PeakID (cmd=annotatePeaks.pl AkaaF3Heat_REP1.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF3Heat_REP1.mLb.clN_peak_8909	chr3R	13901561	13901829	+	202	NA	promoter-TSS (FBgn0000576)	-promoter-TSS (FBgn0000576)	-158	FBgn0000576	FBgn0000576	FBtr0082863						NA
AkaaF3Heat_REP1.mLb.clN_peak_11000	chr4	1278557	1279417	+	200	NA	Intergenic	Intergenic	48150	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF3Heat_REP1.mLb.clN_peak_12114	chrX	9693797	9694194	+	198	NA	promoter-TSS (FBgn0000233)	-promoter-TSS (FBgn0000233)	-191	FBgn0000233	FBgn0000233	FBtr0071379						NA
AkaaF3Heat_REP1.mLb.clN_peak_8770	chr3R	12467799	12468025	+	196	NA	promoter-TSS (FBgn0013277)	-promoter-TSS (FBgn0013277)	-136	FBgn0013277	FBgn0013277	FBtr0082679						NA
AkaaF3Heat_REP1.mLb.clN_peak_6516	chr3L	14274088	14274438	+	189	NA	promoter-TSS (FBgn0001085)	-promoter-TSS (FBgn0001085)	-80	FBgn0001085	FBgn0001085	FBtr0330102						NA
AkaaF3Heat_REP1.mLb.clN_peak_2883	chr2R	8326850	8327557	+	188	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-287	FBgn0261588	FBgn0261588	FBtr0339350						NA
AkaaF3Heat_REP1.mLb.clN_peak_8226	chr3R	7474587	7475134	+	186	NA	exon (FBgn0065099, exon 1 of 1)	-exon (FBgn0065099, exon 1 of 1)	136	FBgn0065099	FBgn0065099	FBtr0091929						NA
AkaaF3Heat_REP1.mLb.clN_peak_10688	chr3R	30912442	30912825	+	186	NA	promoter-TSS (FBgn0020912)	-promoter-TSS (FBgn0020912)	-121	FBgn0020912	FBgn0020912	FBtr0330094						NA
AkaaF3Heat_REP1.mLb.clN_peak_9539	chr3R	19836703	19837083	+	185	NA	promoter-TSS (FBgn0014135)	-promoter-TSS (FBgn0014135)	-76	FBgn0014135	FBgn0014135	FBtr0344549						NA
AkaaF3Heat_REP1.mLb.clN_peak_4095	chr2R	18652801	18653128	+	184	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-188	FBgn0034371	FBgn0034371	FBtr0086657						NA
AkaaF3Heat_REP1.mLb.clN_peak_9203	chr3R	16702811	16703233	+	183	NA	intron (FBgn0003944, intron 1 of 1)	-intron (FBgn0003944, intron 3 of 3)	31404	FBgn0003944	FBgn0003944	FBtr0083352						NA
AkaaF3Heat_REP1.mLb.clN_peak_3279	chr2R	11475521	11475755	+	180	NA	promoter-TSS (FBgn0001269)	-promoter-TSS (FBgn0001269)	-70	FBgn0001269	FBgn0001269	FBtr0345673						NA
AkaaF3Heat_REP1.mLb.clN_peak_7659	chr3L	27076440	27077174	+	178	NA	Intergenic	Intergenic	7099	FBgn0063670	FBgn0063670	FBtr0333872						NA
AkaaF3Heat_REP1.mLb.clN_peak_12035	chrX	8805323	8806100	+	178	NA	promoter-TSS (FBgn0026411)	-promoter-TSS (FBgn0026411)	-20358	FBgn0026411	FBgn0026411	FBtr0071279						NA
AkaaF3Heat_REP1.mLb.clN_peak_2364	chr2R	3140707	3141052	+	176	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74380	FBgn0260995	FBgn0260995	FBtr0334939						NA
AkaaF3Heat_REP1.mLb.clN_peak_10967	chr4	989440	989753	+	175	NA	promoter-TSS (FBgn0019650)	-promoter-TSS (FBgn0019650)	-129	FBgn0019650	FBgn0019650	FBtr0479793						NA
AkaaF3Heat_REP1.mLb.clN_peak_7234	chr3L	20621623	20622150	+	174	NA	Intergenic	Intergenic	-1227	FBgn0001323	FBgn0001323	FBtr0346815						NA
AkaaF3Heat_REP1.mLb.clN_peak_11584	chrX	4426741	4427140	+	172	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13478	FBgn0000179	FBgn0000179	FBtr0331162						NA
AkaaF3Heat_REP1.mLb.clN_peak_2013	chr2L	20148479	20148677	+	171	NA	Intergenic	Intergenic	-13655	FBgn0032853	FBgn0032853	FBtr0345683						NA
AkaaF3Heat_REP1.mLb.clN_peak_1509	chr2L	15333509	15333948	+	170	NA	promoter-TSS (FBgn0287768)	-promoter-TSS (FBgn0287768)	-138	FBgn0287768	FBgn0287768	FBtr0080734						NA
AkaaF3Heat_REP1.mLb.clN_peak_2247	chr2L	22024327	22024768	+	167	NA	exon (FBgn0028979, exon 3 of 3)	-exon (FBgn0028979, exon 3 of 3)	5339	FBgn0053987	FBgn0053987	FBtr0100032						NA
AkaaF3Heat_REP1.mLb.clN_peak_13664	chrX	23371667	23372307	+	166	NA	Intergenic	Intergenic	80287	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP1.mLb.clN_peak_7574	chr3L	22945069	22945823	+	166	NA	promoter-TSS (FBgn0037207)	-promoter-TSS (FBgn0037207)	-549	FBgn0037207	FBgn0037207	FBtr0078563						NA
AkaaF3Heat_REP1.mLb.clN_peak_7494	chr3L	22460806	22461378	+	164	NA	promoter-TSS (FBgn0037163)	-promoter-TSS (FBgn0037163)	39	FBgn0037163	FBgn0037163	FBtr0078508						NA
AkaaF3Heat_REP1.mLb.clN_peak_13648	chrX	23234300	23234971	+	162	NA	Intergenic	Intergenic	-5083	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF3Heat_REP1.mLb.clN_peak_1474	chr2L	15057030	15057261	+	161	NA	intron (FBgn0000317, intron 1 of 11)	-intron (FBgn0000317, intron 1 of 11)	717	FBgn0000317	FBgn0000317	FBtr0343686						NA
AkaaF3Heat_REP1.mLb.clN_peak_539	chr2L	5403575	5403938	+	160	NA	promoter-TSS (FBgn0016660)	-promoter-TSS (FBgn0016660)	-877	FBgn0016660	FBgn0016660	FBtr0343225						NA
AkaaF3Heat_REP1.mLb.clN_peak_8153	chr3R	7000639	7001145	+	159	NA	exon (FBgn0267559, exon 1 of 1)	-exon (FBgn0267559, exon 1 of 1)	400	FBgn0267559	FBgn0267559	FBtr0346969						NA
AkaaF3Heat_REP1.mLb.clN_peak_7625	chr3L	24674473	24674849	+	158	NA	Intergenic	Intergenic	-49501	FBgn0287186	FBgn0287186	FBtr0339923						NA
AkaaF3Heat_REP1.mLb.clN_peak_8752	chr3R	12280796	12281120	+	156	NA	promoter-TSS (FBgn0003651)	-promoter-TSS (FBgn0003651)	-194	FBgn0003651	FBgn0003651	FBtr0479795						NA
AkaaF3Heat_REP1.mLb.clN_peak_8353	chr3R	8477607	8477898	+	156	NA	promoter-TSS (FBgn0266801)	-promoter-TSS (FBgn0266801)	-135	FBgn0266801	FBgn0266801	FBtr0346729						NA
AkaaF3Heat_REP1.mLb.clN_peak_582	chr2L	5828913	5829253	+	155	NA	intron (FBgn0085410, intron 1 of 8)	-intron (FBgn0085410, intron 1 of 9)	5079	FBgn0085410	FBgn0085410	FBtr0342612						NA
AkaaF3Heat_REP1.mLb.clN_peak_7653	chr3L	27006808	27008525	+	155	NA	Intergenic	Intergenic	76240	FBgn0063670	FBgn0063670	FBtr0333872						NA
AkaaF3Heat_REP1.mLb.clN_peak_869	chr2L	8717984	8718474	+	154	NA	intron (FBgn0003209, intron 1 of 8)	-intron (FBgn0003209, intron 1 of 8)	12657	FBgn0032061	FBgn0032061	FBtr0339543						NA
AkaaF3Heat_REP1.mLb.clN_peak_5934	chr3L	8766211	8766559	+	153	NA	promoter-TSS (FBgn0266084)	-promoter-TSS (FBgn0266084)	10396	FBgn0035924	FBgn0035924	FBtr0076576						NA
AkaaF3Heat_REP1.mLb.clN_peak_4737	chr2R	23666822	23667259	+	152	NA	promoter-TSS (FBgn0266377)	-promoter-TSS (FBgn0266377)	1746	FBgn0266377	FBgn0266377	FBtr0344181						NA
AkaaF3Heat_REP1.mLb.clN_peak_4297	chr2R	20111086	20111564	+	152	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-186	FBgn0287775	FBgn0287775	FBtr0086309						NA
AkaaF3Heat_REP1.mLb.clN_peak_2483	chr2R	5726719	5727198	+	152	NA	promoter-TSS (FBgn0267978)	-promoter-TSS (FBgn0267978)	567	FBgn0267978	FBgn0267978	FBtr0335274						NA
AkaaF3Heat_REP1.mLb.clN_peak_5796	chr3L	7434532	7435485	+	151	NA	exon (FBgn0014011, exon 1 of 1)	-exon (FBgn0014011, exon 1 of 1)	182	FBgn0014011	FBgn0014011	FBtr0332800						NA
AkaaF3Heat_REP1.mLb.clN_peak_9205	chr3R	16763803	16764340	+	150	NA	intron (FBgn0020556, intron 1 of 2)	-intron (FBgn0020556, intron 1 of 2)	-12737	FBgn0063261	FBgn0063261	FBtr0083346						NA
AkaaF3Heat_REP1.mLb.clN_peak_6383	chr3L	13113923	13114445	+	149	NA	promoter-TSS (FBgn0010452)	-promoter-TSS (FBgn0010452)	-87	FBgn0010452	FBgn0010452	FBtr0330075						NA
AkaaF3Heat_REP1.mLb.clN_peak_918	chr2L	9176081	9176582	+	148	NA	promoter-TSS (FBgn0041092)	-promoter-TSS (FBgn0041092)	9553	FBgn0041092	FBgn0041092	FBtr0304974						NA
AkaaF3Heat_REP1.mLb.clN_peak_10913	chr4	592360	593332	+	148	NA	Intergenic	Intergenic	5428	FBgn0266726	FBgn0266726	FBtr0345199						NA
AkaaF3Heat_REP1.mLb.clN_peak_6539	chr3L	14427196	14427672	+	147	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2933	FBgn0267695	FBgn0267695	FBtr0347205						NA
AkaaF3Heat_REP1.mLb.clN_peak_2246	chr2L	22018837	22019353	+	147	NA	promoter-TSS (FBgn0028979)	-promoter-TSS (FBgn0028979)	-113	FBgn0028979	FBgn0028979	FBtr0335391						NA
AkaaF3Heat_REP1.mLb.clN_peak_13644	chrX	23221045	23223638	+	147	NA	Intergenic	Intergenic	7889	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF3Heat_REP1.mLb.clN_peak_720	chr2L	7306853	7307181	+	145	NA	promoter-TSS (FBgn0284084)	-promoter-TSS (FBgn0284084)	-142	FBgn0284084	FBgn0284084	FBtr0079432						NA
AkaaF3Heat_REP1.mLb.clN_peak_4248	chr2R	19802476	19802632	+	145	NA	promoter-TSS (FBgn0011897)	-promoter-TSS (FBgn0011897)	-37	FBgn0011897	FBgn0011897	FBtr0086334						NA
AkaaF3Heat_REP1.mLb.clN_peak_12964	chrX	17768044	17768532	+	143	NA	promoter-TSS (FBgn0024184)	-promoter-TSS (FBgn0024184)	-281	FBgn0024184	FBgn0024184	FBtr0340627						NA
AkaaF3Heat_REP1.mLb.clN_peak_7849	chr3R	4835361	4835568	+	141	NA	Intergenic	Intergenic	-4167	FBgn0037284	FBgn0037284	FBtr0078873						NA
AkaaF3Heat_REP1.mLb.clN_peak_7488	chr3L	22407615	22408486	+	141	NA	promoter-TSS (FBgn0004449)	-promoter-TSS (FBgn0004449)	-187	FBgn0004449	FBgn0004449	FBtr0330159						NA
AkaaF3Heat_REP1.mLb.clN_peak_5925	chr3L	8730722	8731047	+	140	NA	TTS (FBgn0000358)	-TTS (FBgn0000358)	1019	FBgn0000358	FBgn0000358	FBtr0076573						NA
AkaaF3Heat_REP1.mLb.clN_peak_5142	chr3L	1586441	1586763	+	140	NA	promoter-TSS (FBgn0035237)	-promoter-TSS (FBgn0035237)	-92	FBgn0035237	FBgn0035237	FBtr0347066						NA
AkaaF3Heat_REP1.mLb.clN_peak_12802	chrX	16216809	16217748	+	140	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-532	FBgn0000459	FBgn0000459	FBtr0074250						NA
AkaaF3Heat_REP1.mLb.clN_peak_8571	chr3R	10614294	10614664	+	140	NA	promoter-TSS (FBgn0001235)	-promoter-TSS (FBgn0001235)	-203	FBgn0001235	FBgn0001235	FBtr0100454						NA
AkaaF3Heat_REP1.mLb.clN_peak_13484	chrX	22258312	22260096	+	140	NA	Intergenic	Intergenic	7622	FBgn0085693	FBgn0085693	FBtr0114142						NA
AkaaF3Heat_REP1.mLb.clN_peak_1112	chr2L	11447551	11448002	+	139	NA	promoter-TSS (FBgn0287465)	-promoter-TSS (FBgn0287465)	-2162	FBgn0261648	FBgn0261648	FBtr0343619						NA
AkaaF3Heat_REP1.mLb.clN_peak_4913	chr2R	25115340	25115696	+	139	NA	intron (FBgn0266129, intron 2 of 4)	-intron (FBgn0266129, intron 2 of 4)	-13941	FBgn0050430	FBgn0050430	FBtr0072448						NA
AkaaF3Heat_REP1.mLb.clN_peak_3130	chr2R	10302726	10303222	+	137	NA	promoter-TSS (FBgn0033504)	-promoter-TSS (FBgn0033504)	6820	FBgn0028426	FBgn0028426	FBtr0088360						NA
AkaaF3Heat_REP1.mLb.clN_peak_6447	chr3L	13666777	13667693	+	137	NA	promoter-TSS (FBgn0264001)	-promoter-TSS (FBgn0264001)	68005	FBgn0266595	FBgn0266595	FBtr0344818						NA
AkaaF3Heat_REP1.mLb.clN_peak_10923	chr4	704424	704616	+	137	NA	promoter-TSS (FBgn0005558)	-promoter-TSS (FBgn0005558)	-131	FBgn0005558	FBgn0005558	FBtr0100396						NA
AkaaF3Heat_REP1.mLb.clN_peak_13015	chrX	18282293	18282710	+	135	NA	intron (FBgn0053542, intron 3 of 3)	-intron (FBgn0053542, intron 3 of 3)	5268	FBgn0053542	FBgn0053542	FBtr0113465						NA
AkaaF3Heat_REP1.mLb.clN_peak_11276	chrX	2050051	2050532	+	134	NA	promoter-TSS (FBgn0025631)	-promoter-TSS (FBgn0025631)	-1896	FBgn0025631	FBgn0025631	FBtr0303045						NA
AkaaF3Heat_REP1.mLb.clN_peak_8167	chr3R	7123759	7124008	+	132	NA	promoter-TSS (FBgn0037472)	-promoter-TSS (FBgn0037472)	302	FBgn0261238	FBgn0261238	FBtr0334677						NA
AkaaF3Heat_REP1.mLb.clN_peak_7641	chr3L	25133280	25134167	+	132	NA	Intergenic	Intergenic	12974	FBgn0260008	FBgn0260008	FBtr0343636						NA
AkaaF3Heat_REP1.mLb.clN_peak_429	chr2L	4371758	4372033	+	132	NA	promoter-TSS (FBgn0026319)	-promoter-TSS (FBgn0026319)	-592	FBgn0266903	FBgn0266903	FBtr0445833						NA
AkaaF3Heat_REP1.mLb.clN_peak_13514	chrX	22539844	22540437	+	130	NA	promoter-TSS (FBgn0031195)	-promoter-TSS (FBgn0031195)	243	FBgn0031194	FBgn0031194	FBtr0333716						NA
AkaaF3Heat_REP1.mLb.clN_peak_9156	chr3R	16242354	16242866	+	130	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-206	FBgn0040071	FBgn0040071	FBtr0083258						NA
AkaaF3Heat_REP1.mLb.clN_peak_2181	chr2L	21537618	21537750	+	129	NA	promoter-TSS (FBgn0053746)	-promoter-TSS (FBgn0053746)	415	FBgn0053868	FBgn0053868	FBtr0091872						NA
AkaaF3Heat_REP1.mLb.clN_peak_9931	chr3R	23601359	23601848	+	128	NA	promoter-TSS (FBgn0051143)	-promoter-TSS (FBgn0051143)	-148	FBgn0051143	FBgn0051143	FBtr0084482						NA
AkaaF3Heat_REP1.mLb.clN_peak_4928	chr2R	25268766	25269355	+	128	NA	Intergenic	Intergenic	17133	FBgn0050428	FBgn0050428	FBtr0343515						NA
AkaaF3Heat_REP1.mLb.clN_peak_7736	chr3R	4196999	4197807	+	127	NA	promoter-TSS (FBgn0037215)	-promoter-TSS (FBgn0037215)	197	FBgn0037215	FBgn0037215	FBtr0336704						NA
AkaaF3Heat_REP1.mLb.clN_peak_602	chr2L	5979999	5980728	+	127	NA	promoter-TSS (FBgn0000308)	-promoter-TSS (FBgn0000308)	-262	FBgn0000308	FBgn0000308	FBtr0079236						NA
AkaaF3Heat_REP1.mLb.clN_peak_5376	chr3L	3626067	3626358	+	127	NA	promoter-TSS (FBgn0263239)	-promoter-TSS (FBgn0263239)	-140	FBgn0263239	FBgn0263239	FBtr0113134						NA
AkaaF3Heat_REP1.mLb.clN_peak_9219	chr3R	16948625	16948854	+	126	NA	intron (FBgn0000015, intron 1 of 6)	-intron (FBgn0000015, intron 1 of 6)	-3168	FBgn0278597	FBgn0278597	FBtr0415462						NA
AkaaF3Heat_REP1.mLb.clN_peak_8906	chr3R	13875047	13875389	+	126	NA	promoter-TSS (FBgn0008646)	-promoter-TSS (FBgn0008646)	-302	FBgn0008646	FBgn0008646	FBtr0082880						NA
AkaaF3Heat_REP1.mLb.clN_peak_2699	chr2R	6992582	6993219	+	126	NA	promoter-TSS (FBgn0050159)	-promoter-TSS (FBgn0050159)	219	FBgn0029508	FBgn0029508	FBtr0086171						NA
AkaaF3Heat_REP1.mLb.clN_peak_2073	chr2L	20716010	20716488	+	125	NA	Intergenic	Intergenic	-1661	FBgn0014859	FBgn0014859	FBtr0301347						NA
AkaaF3Heat_REP1.mLb.clN_peak_10780	chr3R	31688977	31689726	+	125	NA	promoter-TSS (FBgn0267124)	-promoter-TSS (FBgn0267124)	527	FBgn0267125	FBgn0267125	FBtr0346220						NA
AkaaF3Heat_REP1.mLb.clN_peak_13167	chrX	19360815	19361554	+	125	NA	intron (FBgn0031016, intron 1 of 4)	-intron (FBgn0031016, intron 1 of 5)	8003	FBgn0031016	FBgn0031016	FBtr0309224						NA
