PeakID (cmd=annotatePeaks.pl ManzF3Heat_REP2.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF3Heat_REP2.mLb.clN_peak_4978	chr3L	8725136	8725839	+	359	NA	TTS (FBgn0264696)	-TTS (FBgn0264696)	287	FBgn0264696	FBgn0264696	FBtr0333890						NA
ManzF3Heat_REP2.mLb.clN_peak_6422	chr3L	27126139	27127506	+	357	NA	Intergenic	Intergenic	-8362	FBgn0267985	FBgn0267985	FBtr0347582						NA
ManzF3Heat_REP2.mLb.clN_peak_11526	chrX	23537603	23538365	+	329	NA	Intergenic	Intergenic	246284	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP2.mLb.clN_peak_6437	chr3R	27415	27847	+	320	NA	Intergenic	Intergenic	-539445	FBgn0267431	FBgn0267431	FBtr0392909						NA
ManzF3Heat_REP2.mLb.clN_peak_6381	chr3L	24629475	24629723	+	318	NA	Intergenic	Intergenic	76489	FBgn0085810	FBgn0085810	FBtr0114264						NA
ManzF3Heat_REP2.mLb.clN_peak_11518	chrX	23438849	23442060	+	304	NA	Intergenic	Intergenic	148754	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP2.mLb.clN_peak_2175	chr2R	6480500	6481738	+	287	NA	Intergenic	Intergenic	20653	FBgn0267744	FBgn0267744	FBtr0347304						NA
ManzF3Heat_REP2.mLb.clN_peak_1941	chr2R	870290	870591	+	284	NA	Intergenic	Intergenic	15626	FBgn0284080	FBgn0284080	FBtr0452096						NA
ManzF3Heat_REP2.mLb.clN_peak_3687	chr2R	20780454	20780679	+	280	NA	exon (FBgn0265877, exon 2 of 2)	-exon (FBgn0265877, exon 2 of 2)	-1079	FBgn0263850	FBgn0263850	FBtr0321315						NA
ManzF3Heat_REP2.mLb.clN_peak_11479	chrX	23273961	23274381	+	263	NA	Intergenic	Intergenic	-3013	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF3Heat_REP2.mLb.clN_peak_11511	chrX	23413217	23413732	+	231	NA	Intergenic	Intergenic	121774	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP2.mLb.clN_peak_11420	chrX	22855055	22855643	+	229	NA	promoter-TSS (FBgn0000719)	-promoter-TSS (FBgn0000719)	-155	FBgn0000719	FBgn0000719	FBtr0333181						NA
ManzF3Heat_REP2.mLb.clN_peak_11503	chrX	23389960	23391072	+	210	NA	Intergenic	Intergenic	98816	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP2.mLb.clN_peak_11481	chrX	23281118	23281365	+	205	NA	promoter-TSS (FBgn0250731)	-promoter-TSS (FBgn0250731)	-964	FBgn0250731	FBgn0250731	FBtr0346901						NA
ManzF3Heat_REP2.mLb.clN_peak_11466	chrX	23210968	23211193	+	202	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-112	FBgn0085813	FBgn0085813	FBtr0346892						NA
ManzF3Heat_REP2.mLb.clN_peak_6879	chr3R	7000691	7001185	+	200	NA	exon (FBgn0267559, exon 1 of 1)	-exon (FBgn0267559, exon 1 of 1)	446	FBgn0267559	FBgn0267559	FBtr0346969						NA
ManzF3Heat_REP2.mLb.clN_peak_6593	chr3R	4852371	4852815	+	199	NA	promoter-TSS (FBgn0003002)	-promoter-TSS (FBgn0003002)	-220	FBgn0003002	FBgn0003002	FBtr0479794						NA
ManzF3Heat_REP2.mLb.clN_peak_6397	chr3L	25133929	25134178	+	199	NA	Intergenic	Intergenic	13304	FBgn0260008	FBgn0260008	FBtr0343636						NA
ManzF3Heat_REP2.mLb.clN_peak_10905	chrX	17768149	17768514	+	197	NA	promoter-TSS (FBgn0024184)	-promoter-TSS (FBgn0024184)	-238	FBgn0024184	FBgn0024184	FBtr0340627						NA
ManzF3Heat_REP2.mLb.clN_peak_11278	chrX	21281023	21281470	+	193	NA	promoter-TSS (FBgn0052521)	-promoter-TSS (FBgn0052521)	-93	FBgn0052521	FBgn0052521	FBtr0310654						NA
ManzF3Heat_REP2.mLb.clN_peak_2071	chr2R	5726815	5727198	+	193	NA	promoter-TSS (FBgn0267978)	-promoter-TSS (FBgn0267978)	519	FBgn0267978	FBgn0267978	FBtr0335274						NA
ManzF3Heat_REP2.mLb.clN_peak_7993	chr3R	19836776	19837055	+	190	NA	promoter-TSS (FBgn0014135)	-promoter-TSS (FBgn0014135)	-98	FBgn0014135	FBgn0014135	FBtr0344549						NA
ManzF3Heat_REP2.mLb.clN_peak_6934	chr3R	7474551	7475129	+	185	NA	exon (FBgn0065099, exon 1 of 1)	-exon (FBgn0065099, exon 1 of 1)	156	FBgn0065099	FBgn0065099	FBtr0091929						NA
ManzF3Heat_REP2.mLb.clN_peak_8825	chr3R	29556074	29556362	+	185	NA	promoter-TSS (FBgn0000492)	-promoter-TSS (FBgn0000492)	-168	FBgn0000492	FBgn0000492	FBtr0085441						NA
ManzF3Heat_REP2.mLb.clN_peak_6413	chr3L	27006847	27008542	+	185	NA	Intergenic	Intergenic	76212	FBgn0063670	FBgn0063670	FBtr0333872						NA
ManzF3Heat_REP2.mLb.clN_peak_2739	chr2R	11475534	11475752	+	185	NA	promoter-TSS (FBgn0001269)	-promoter-TSS (FBgn0001269)	-65	FBgn0001269	FBgn0001269	FBtr0345673						NA
ManzF3Heat_REP2.mLb.clN_peak_1977	chr2R	3140707	3141052	+	181	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74380	FBgn0260995	FBgn0260995	FBtr0334939						NA
ManzF3Heat_REP2.mLb.clN_peak_3460	chr2R	18652788	18653138	+	181	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-187	FBgn0034371	FBgn0034371	FBtr0086657						NA
ManzF3Heat_REP2.mLb.clN_peak_2617	chr2R	10302759	10303182	+	177	NA	promoter-TSS (FBgn0033504)	-promoter-TSS (FBgn0033504)	6824	FBgn0028426	FBgn0028426	FBtr0088360						NA
ManzF3Heat_REP2.mLb.clN_peak_11469	chrX	23221043	23223649	+	177	NA	Intergenic	Intergenic	7894	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF3Heat_REP2.mLb.clN_peak_9738	chrX	4426764	4427127	+	176	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13483	FBgn0000179	FBgn0000179	FBtr0331162						NA
ManzF3Heat_REP2.mLb.clN_peak_8959	chr3R	30912460	30912839	+	176	NA	promoter-TSS (FBgn0020912)	-promoter-TSS (FBgn0020912)	-105	FBgn0020912	FBgn0020912	FBtr0330094						NA
ManzF3Heat_REP2.mLb.clN_peak_11500	chrX	23383883	23384824	+	176	NA	Intergenic	Intergenic	92653	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP2.mLb.clN_peak_6384	chr3L	24723766	24724088	+	175	NA	promoter-TSS (FBgn0287186)	-promoter-TSS (FBgn0287186)	-235	FBgn0287186	FBgn0287186	FBtr0339923						NA
ManzF3Heat_REP2.mLb.clN_peak_10118	chrX	8650832	8651146	+	174	NA	promoter-TSS (FBgn0004102)	-promoter-TSS (FBgn0004102)	-308	FBgn0004102	FBgn0004102	FBtr0331738						NA
ManzF3Heat_REP2.mLb.clN_peak_10195	chrX	9693800	9694174	+	172	NA	promoter-TSS (FBgn0000233)	-promoter-TSS (FBgn0000233)	-199	FBgn0000233	FBgn0000233	FBtr0071379						NA
ManzF3Heat_REP2.mLb.clN_peak_6385	chr3L	24737905	24739102	+	172	NA	intron (FBgn0287186, intron 3 of 5)	-intron (FBgn0287186, intron 4 of 6)	14341	FBgn0287186	FBgn0287186	FBtr0339923						NA
ManzF3Heat_REP2.mLb.clN_peak_1687	chr2L	20148434	20148733	+	166	NA	Intergenic	Intergenic	-13660	FBgn0032853	FBgn0032853	FBtr0345683						NA
ManzF3Heat_REP2.mLb.clN_peak_1052	chr2L	13060077	13060597	+	166	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-197	FBgn0262160	FBgn0262160	FBtr0336617						NA
ManzF3Heat_REP2.mLb.clN_peak_3619	chr2R	20111092	20111560	+	165	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-185	FBgn0287775	FBgn0287775	FBtr0086309						NA
ManzF3Heat_REP2.mLb.clN_peak_10129	chrX	8805773	8806101	+	163	NA	promoter-TSS (FBgn0026411)	-promoter-TSS (FBgn0026411)	-20584	FBgn0026411	FBgn0026411	FBtr0071279						NA
ManzF3Heat_REP2.mLb.clN_peak_1891	chr2L	22024322	22024774	+	162	NA	exon (FBgn0028979, exon 3 of 3)	-exon (FBgn0028979, exon 3 of 3)	5340	FBgn0028979	FBgn0028979	FBtr0335391						NA
ManzF3Heat_REP2.mLb.clN_peak_1277	chr2L	15333507	15333888	+	160	NA	promoter-TSS (FBgn0287768)	-promoter-TSS (FBgn0287768)	-169	FBgn0287768	FBgn0287768	FBtr0080734						NA
ManzF3Heat_REP2.mLb.clN_peak_7370	chr3R	12467799	12468048	+	160	NA	promoter-TSS (FBgn0013277)	-promoter-TSS (FBgn0013277)	-147	FBgn0013277	FBgn0013277	FBtr0082679						NA
ManzF3Heat_REP2.mLb.clN_peak_3702	chr2R	20903536	20903813	+	157	NA	promoter-TSS (FBgn0015524)	-promoter-TSS (FBgn0015524)	-260	FBgn0015524	FBgn0015524	FBtr0474157						NA
ManzF3Heat_REP2.mLb.clN_peak_728	chr2L	8717967	8718371	+	156	NA	intron (FBgn0003209, intron 1 of 8)	-intron (FBgn0003209, intron 1 of 8)	12597	FBgn0032061	FBgn0032061	FBtr0339543						NA
ManzF3Heat_REP2.mLb.clN_peak_131	chr2L	1420382	1420733	+	155	NA	promoter-TSS (FBgn0002543)	-promoter-TSS (FBgn0002543)	-104	FBgn0002543	FBgn0002543	FBtr0329985						NA
ManzF3Heat_REP2.mLb.clN_peak_7024	chr3R	8477540	8477891	+	153	NA	promoter-TSS (FBgn0266801)	-promoter-TSS (FBgn0266801)	-98	FBgn0266801	FBgn0266801	FBtr0346729						NA
ManzF3Heat_REP2.mLb.clN_peak_2417	chr2R	8326876	8327564	+	152	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-270	FBgn0261588	FBgn0261588	FBtr0339350						NA
ManzF3Heat_REP2.mLb.clN_peak_10091	chrX	8294042	8295995	+	150	NA	intron (FBgn0015519, intron 6 of 11)	-intron (FBgn0015519, intron 6 of 11)	-21212	FBgn0030029	FBgn0030029	FBtr0071178						NA
ManzF3Heat_REP2.mLb.clN_peak_9210	chr4	989466	989700	+	150	NA	promoter-TSS (FBgn0019650)	-promoter-TSS (FBgn0019650)	-142	FBgn0019650	FBgn0019650	FBtr0479793						NA
ManzF3Heat_REP2.mLb.clN_peak_11523	chrX	23525835	23526694	+	149	NA	Intergenic	Intergenic	234564	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP2.mLb.clN_peak_5320	chr3L	12609311	12609637	+	147	NA	promoter-TSS (FBgn0015919)	-promoter-TSS (FBgn0015919)	-157	FBgn0015919	FBgn0015919	FBtr0075909						NA
ManzF3Heat_REP2.mLb.clN_peak_1557	chr2L	18936190	18936362	+	147	NA	intron (FBgn0032723, intron 6 of 10)	-intron (FBgn0032723, intron 6 of 10)	7684	FBgn0032723	FBgn0032723	FBtr0342929						NA
ManzF3Heat_REP2.mLb.clN_peak_4135	chr2R	25268778	25269474	+	146	NA	Intergenic	Intergenic	17199	FBgn0050428	FBgn0050428	FBtr0343515						NA
ManzF3Heat_REP2.mLb.clN_peak_2733	chr2R	11384040	11384313	+	146	NA	promoter-TSS (FBgn0033631)	-promoter-TSS (FBgn0033631)	-62	FBgn0033631	FBgn0033631	FBtr0433531						NA
ManzF3Heat_REP2.mLb.clN_peak_7719	chr3R	16764003	16764342	+	144	NA	intron (FBgn0020556, intron 1 of 2)	-intron (FBgn0020556, intron 1 of 2)	-12838	FBgn0063261	FBgn0063261	FBtr0083346						NA
ManzF3Heat_REP2.mLb.clN_peak_6451	chr3R	771751	771985	+	144	NA	intron (FBgn0267431, intron 1 of 21)	-intron (FBgn0267431, intron 1 of 21)	-49247	FBgn0085804	FBgn0085804	FBtr0114258						NA
ManzF3Heat_REP2.mLb.clN_peak_7477	chr3R	13875047	13875367	+	143	NA	promoter-TSS (FBgn0008646)	-promoter-TSS (FBgn0008646)	-291	FBgn0008646	FBgn0008646	FBtr0082880						NA
ManzF3Heat_REP2.mLb.clN_peak_9169	chr4	592359	593401	+	143	NA	Intergenic	Intergenic	5394	FBgn0266726	FBgn0266726	FBtr0345199						NA
ManzF3Heat_REP2.mLb.clN_peak_10301	chrX	10784487	10784731	+	140	NA	promoter-TSS (FBgn0003360)	-promoter-TSS (FBgn0003360)	2349	FBgn0003360	FBgn0003360	FBtr0346384						NA
ManzF3Heat_REP2.mLb.clN_peak_7717	chr3R	16702852	16703217	+	140	NA	intron (FBgn0003944, intron 1 of 1)	-intron (FBgn0003944, intron 3 of 3)	31392	FBgn0003944	FBgn0003944	FBtr0083352						NA
ManzF3Heat_REP2.mLb.clN_peak_3984	chr2R	23666798	23667257	+	137	NA	promoter-TSS (FBgn0266377)	-promoter-TSS (FBgn0266377)	1733	FBgn0266377	FBgn0266377	FBtr0344181						NA
ManzF3Heat_REP2.mLb.clN_peak_3014	chr2R	14024684	14025512	+	137	NA	intron (FBgn0002643, intron 2 of 5)	-intron (FBgn0002643, intron 3 of 6)	-3522	FBgn0033893	FBgn0033893	FBtr0087599						NA
ManzF3Heat_REP2.mLb.clN_peak_2004	chr2R	4509560	4510867	+	135	NA	Intergenic	Intergenic	2218	FBgn0264909	FBgn0264909	FBtr0334987						NA
ManzF3Heat_REP2.mLb.clN_peak_1244	chr2L	15057032	15057238	+	134	NA	intron (FBgn0000317, intron 1 of 11)	-intron (FBgn0000317, intron 1 of 11)	727	FBgn0000317	FBgn0000317	FBtr0343686						NA
ManzF3Heat_REP2.mLb.clN_peak_6417	chr3L	27071939	27073150	+	133	NA	Intergenic	Intergenic	11362	FBgn0063670	FBgn0063670	FBtr0333872						NA
ManzF3Heat_REP2.mLb.clN_peak_2899	chr2R	13015596	13016037	+	133	NA	Intergenic	Intergenic	19315	FBgn0265623	FBgn0265623	FBtr0330613						NA
ManzF3Heat_REP2.mLb.clN_peak_5915	chr3L	19170543	19170783	+	131	NA	promoter-TSS (FBgn0016797)	-promoter-TSS (FBgn0016797)	-15	FBgn0016797	FBgn0016797	FBtr0330194						NA
ManzF3Heat_REP2.mLb.clN_peak_305	chr2L	3580663	3581161	+	130	NA	promoter-TSS (FBgn0004892)	-promoter-TSS (FBgn0004892)	-143	FBgn0004892	FBgn0004892	FBtr0077558						NA
ManzF3Heat_REP2.mLb.clN_peak_6894	chr3R	7123782	7124038	+	130	NA	promoter-TSS (FBgn0037472)	-promoter-TSS (FBgn0037472)	275	FBgn0261238	FBgn0261238	FBtr0334677						NA
ManzF3Heat_REP2.mLb.clN_peak_9235	chr4	1288343	1289087	+	130	NA	Intergenic	Intergenic	57878	FBgn0053653	FBgn0053653	FBtr0333702						NA
ManzF3Heat_REP2.mLb.clN_peak_8908	chr3R	30450093	30450599	+	130	NA	promoter-TSS (FBgn0028646)	-promoter-TSS (FBgn0028646)	60	FBgn0028646	FBgn0028646	FBtr0306586						NA
ManzF3Heat_REP2.mLb.clN_peak_10957	chrX	18282235	18282749	+	130	NA	intron (FBgn0053542, intron 3 of 3)	-intron (FBgn0053542, intron 3 of 3)	5259	FBgn0053542	FBgn0053542	FBtr0113465						NA
ManzF3Heat_REP2.mLb.clN_peak_11065	chrX	19360970	19361616	+	130	NA	intron (FBgn0031016, intron 1 of 4)	-intron (FBgn0031016, intron 1 of 5)	8112	FBgn0031016	FBgn0031016	FBtr0309224						NA
ManzF3Heat_REP2.mLb.clN_peak_11519	chrX	23455591	23455850	+	129	NA	Intergenic	Intergenic	164020	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP2.mLb.clN_peak_7471	chr3R	13812779	13813092	+	128	NA	promoter-TSS (FBgn0259733)	-promoter-TSS (FBgn0259733)	-174	FBgn0259732	FBgn0259732	FBtr0299999						NA
ManzF3Heat_REP2.mLb.clN_peak_6418	chr3L	27076153	27077504	+	128	NA	Intergenic	Intergenic	7078	FBgn0063670	FBgn0063670	FBtr0333872						NA
ManzF3Heat_REP2.mLb.clN_peak_7680	chr3R	16242371	16242868	+	127	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-197	FBgn0040071	FBgn0040071	FBtr0083258						NA
ManzF3Heat_REP2.mLb.clN_peak_363	chr2L	4371758	4372095	+	127	NA	promoter-TSS (FBgn0026319)	-promoter-TSS (FBgn0026319)	-623	FBgn0266903	FBgn0266903	FBtr0445833						NA
ManzF3Heat_REP2.mLb.clN_peak_1148	chr2L	14094670	14094898	+	125	NA	TTS (FBgn0028875)	-TTS (FBgn0028875)	-9306	FBgn0283651	FBgn0283651	FBtr0445730						NA
ManzF3Heat_REP2.mLb.clN_peak_3894	chr2R	22729242	22729474	+	125	NA	promoter-TSS (FBgn0028371)	-promoter-TSS (FBgn0028371)	11101	FBgn0028371	FBgn0028371	FBtr0330234						NA
ManzF3Heat_REP2.mLb.clN_peak_11522	chrX	23524353	23525185	+	123	NA	Intergenic	Intergenic	233069	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP2.mLb.clN_peak_10961	chrX	18312580	18312947	+	123	NA	promoter-TSS (FBgn0267169)	-promoter-TSS (FBgn0267169)	-837	FBgn0267169	FBgn0267169	FBtr0346289						NA
ManzF3Heat_REP2.mLb.clN_peak_7211	chr3R	10614280	10614705	+	123	NA	promoter-TSS (FBgn0001235)	-promoter-TSS (FBgn0001235)	-216	FBgn0001235	FBgn0001235	FBtr0100454						NA
ManzF3Heat_REP2.mLb.clN_peak_765	chr2L	9176083	9176775	+	123	NA	promoter-TSS (FBgn0041092)	-promoter-TSS (FBgn0041092)	9651	FBgn0041092	FBgn0041092	FBtr0304974						NA
ManzF3Heat_REP2.mLb.clN_peak_604	chr2L	7306860	7307152	+	123	NA	promoter-TSS (FBgn0284084)	-promoter-TSS (FBgn0284084)	-153	FBgn0284084	FBgn0284084	FBtr0079432						NA
ManzF3Heat_REP2.mLb.clN_peak_7479	chr3R	13901548	13901862	+	122	NA	promoter-TSS (FBgn0000576)	-promoter-TSS (FBgn0000576)	-148	FBgn0000576	FBgn0000576	FBtr0082863						NA
ManzF3Heat_REP2.mLb.clN_peak_2748	chr2R	11603240	11603676	+	121	NA	intron (FBgn0033636, intron 1 of 15)	-intron (FBgn0033636, intron 1 of 16)	1478	FBgn0033636	FBgn0033636	FBtr0113066						NA
ManzF3Heat_REP2.mLb.clN_peak_6271	chr3L	22460685	22461402	+	120	NA	promoter-TSS (FBgn0037163)	-promoter-TSS (FBgn0037163)	88	FBgn0037163	FBgn0037163	FBtr0078508						NA
ManzF3Heat_REP2.mLb.clN_peak_11497	chrX	23370242	23372513	+	118	NA	Intergenic	Intergenic	79677	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP2.mLb.clN_peak_5878	chr3L	18765759	18766135	+	118	NA	promoter-TSS (FBgn0001078)	-promoter-TSS (FBgn0001078)	-203	FBgn0001078	FBgn0001078	FBtr0075086						NA
ManzF3Heat_REP2.mLb.clN_peak_6592	chr3R	4835393	4835649	+	117	NA	Intergenic	Intergenic	-4224	FBgn0037284	FBgn0037284	FBtr0078873						NA
ManzF3Heat_REP2.mLb.clN_peak_11474	chrX	23233758	23235170	+	117	NA	Intergenic	Intergenic	-5254	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF3Heat_REP2.mLb.clN_peak_443	chr2L	5403596	5403970	+	117	NA	promoter-TSS (FBgn0016660)	-promoter-TSS (FBgn0016660)	-850	FBgn0016660	FBgn0016660	FBtr0343225						NA
ManzF3Heat_REP2.mLb.clN_peak_2076	chr2R	5781903	5783003	+	116	NA	exon (FBgn0025693, exon 1 of 10)	-exon (FBgn0025693, exon 1 of 10)	405	FBgn0025693	FBgn0025693	FBtr0086056						NA
ManzF3Heat_REP2.mLb.clN_peak_6459	chr3R	3139084	3139307	+	116	NA	intron (FBgn0267430, intron 8 of 20)	-intron (FBgn0267430, intron 8 of 20)	124387	FBgn0267430	FBgn0267430	FBtr0445191						NA
ManzF3Heat_REP2.mLb.clN_peak_9485	chrX	2050085	2050545	+	115	NA	promoter-TSS (FBgn0025631)	-promoter-TSS (FBgn0025631)	-1920	FBgn0025631	FBgn0025631	FBtr0303045						NA
ManzF3Heat_REP2.mLb.clN_peak_2407	chr2R	8237626	8237983	+	115	NA	promoter-TSS (FBgn0013726)	-promoter-TSS (FBgn0013726)	-49	FBgn0013726	FBgn0013726	FBtr0088793						NA
ManzF3Heat_REP2.mLb.clN_peak_6062	chr3L	20621640	20622203	+	115	NA	Intergenic	Intergenic	-1262	FBgn0001323	FBgn0001323	FBtr0346815						NA
ManzF3Heat_REP2.mLb.clN_peak_6040	chr3L	20401470	20401874	+	115	NA	promoter-TSS (FBgn0028978)	-promoter-TSS (FBgn0028978)	-63	FBgn0028978	FBgn0028978	FBtr0078235						NA
ManzF3Heat_REP2.mLb.clN_peak_9386	chrX	1134772	1135533	+	114	NA	promoter-TSS (FBgn0040397)	-promoter-TSS (FBgn0040397)	-256	FBgn0040397	FBgn0040397	FBtr0331340						NA
ManzF3Heat_REP2.mLb.clN_peak_5401	chr3L	13666804	13667683	+	114	NA	promoter-TSS (FBgn0264001)	-promoter-TSS (FBgn0264001)	68013	FBgn0266595	FBgn0266595	FBtr0344818						NA
ManzF3Heat_REP2.mLb.clN_peak_5355	chr3L	13113872	13114676	+	113	NA	promoter-TSS (FBgn0010452)	-promoter-TSS (FBgn0010452)	3	FBgn0010452	FBgn0010452	FBtr0330075						NA
ManzF3Heat_REP2.mLb.clN_peak_4990	chr3L	8766168	8766560	+	113	NA	promoter-TSS (FBgn0266084)	-promoter-TSS (FBgn0266084)	10375	FBgn0035924	FBgn0035924	FBtr0076576						NA
