PeakID (cmd=annotatePeaks.pl AkaaF6HSan_REP3.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF6HSan_REP3.mLb.clN_peak_14664	chrX	8294005	8296004	+	441	NA	intron (FBgn0015519, intron 6 of 11)	-intron (FBgn0015519, intron 6 of 11)	-21198	FBgn0030029	FBgn0030029	FBtr0071178						NA
AkaaF6HSan_REP3.mLb.clN_peak_7146	chr3L	6904076	6904440	+	435	NA	Intergenic	Intergenic	9706	FBgn0041194	FBgn0041194	FBtr0076945						NA
AkaaF6HSan_REP3.mLb.clN_peak_2965	chr2R	6480492	6481812	+	431	NA	Intergenic	Intergenic	20620	FBgn0267744	FBgn0267744	FBtr0347304						NA
AkaaF6HSan_REP3.mLb.clN_peak_15672	chrX	16216581	16217885	+	431	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-487	FBgn0000459	FBgn0000459	FBtr0074250						NA
AkaaF6HSan_REP3.mLb.clN_peak_11114	chr3R	16242295	16242951	+	429	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-193	FBgn0040071	FBgn0040071	FBtr0083258						NA
AkaaF6HSan_REP3.mLb.clN_peak_16466	chrX	23210952	23211259	+	420	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-87	FBgn0085813	FBgn0085813	FBtr0346892						NA
AkaaF6HSan_REP3.mLb.clN_peak_14316	chrX	5754569	5756174	+	419	NA	promoter-TSS (FBgn0029801)	-promoter-TSS (FBgn0029801)	-203	FBgn0029801	FBgn0029801	FBtr0345789						NA
AkaaF6HSan_REP3.mLb.clN_peak_4014	chr2R	11603141	11603742	+	418	NA	intron (FBgn0033636, intron 1 of 15)	-intron (FBgn0033636, intron 1 of 16)	1495	FBgn0033636	FBgn0033636	FBtr0113066						NA
AkaaF6HSan_REP3.mLb.clN_peak_7366	chr3L	8724989	8726639	+	415	NA	promoter-TSS (FBgn0000357)	-promoter-TSS (FBgn0000357)	-40	FBgn0264696	FBgn0264696	FBtr0333890						NA
AkaaF6HSan_REP3.mLb.clN_peak_14289	chrX	5524154	5524856	+	409	NA	promoter-TSS (FBgn0086667)	-promoter-TSS (FBgn0086667)	-40	FBgn0086667	FBgn0086667	FBtr0091788						NA
AkaaF6HSan_REP3.mLb.clN_peak_1519	chr2L	13060042	13060624	+	408	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-193	FBgn0262160	FBgn0262160	FBtr0336617						NA
AkaaF6HSan_REP3.mLb.clN_peak_16471	chrX	23227001	23228782	+	404	NA	Intergenic	Intergenic	-11827	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF6HSan_REP3.mLb.clN_peak_8046	chr3L	14673873	14675281	+	396	NA	promoter-TSS (FBgn0011927)	-promoter-TSS (FBgn0011927)	233	FBgn0011928	FBgn0011928	FBtr0075681						NA
AkaaF6HSan_REP3.mLb.clN_peak_7704	chr3L	11552885	11553696	+	382	NA	promoter-TSS (FBgn0259481)	-promoter-TSS (FBgn0259481)	-8706	FBgn0036173	FBgn0036173	FBtr0333215						NA
AkaaF6HSan_REP3.mLb.clN_peak_5412	chr2R	19999810	20001173	+	369	NA	promoter-TSS (FBgn0050212)	-promoter-TSS (FBgn0050212)	-123	FBgn0050212	FBgn0050212	FBtr0086326						NA
AkaaF6HSan_REP3.mLb.clN_peak_9284	chr3L	24737898	24739138	+	368	NA	intron (FBgn0287186, intron 3 of 5)	-intron (FBgn0287186, intron 4 of 6)	14356	FBgn0287186	FBgn0287186	FBtr0339923						NA
AkaaF6HSan_REP3.mLb.clN_peak_1074	chr2L	8717462	8718512	+	365	NA	intron (FBgn0003209, intron 1 of 8)	-intron (FBgn0003209, intron 1 of 8)	12415	FBgn0032061	FBgn0032061	FBtr0339543						NA
AkaaF6HSan_REP3.mLb.clN_peak_10801	chr3R	13983233	13984079	+	365	NA	promoter-TSS (FBgn0264493)	-promoter-TSS (FBgn0264493)	-11856	FBgn0264493	FBgn0264493	FBtr0301633						NA
AkaaF6HSan_REP3.mLb.clN_peak_14136	chrX	4426704	4427187	+	363	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13483	FBgn0000179	FBgn0000179	FBtr0331162						NA
AkaaF6HSan_REP3.mLb.clN_peak_5236	chr2R	18652622	18653246	+	362	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-158	FBgn0034371	FBgn0034371	FBtr0086657						NA
AkaaF6HSan_REP3.mLb.clN_peak_13344	chr4	1198365	1199647	+	357	NA	exon (FBgn0263112, exon 1 of 9)	-exon (FBgn0263112, exon 1 of 9)	148	FBgn0263112	FBgn0263112	FBtr0307329						NA
AkaaF6HSan_REP3.mLb.clN_peak_11116	chr3R	16249508	16250782	+	356	NA	intron (FBgn0040071, intron 1 of 1)	-intron (FBgn0040071, intron 1 of 1)	7329	FBgn0040071	FBgn0040071	FBtr0083258						NA
AkaaF6HSan_REP3.mLb.clN_peak_11186	chr3R	16702731	16703366	+	356	NA	intron (FBgn0003944, intron 1 of 1)	-intron (FBgn0003944, intron 3 of 3)	31378	FBgn0003944	FBgn0003944	FBtr0083352						NA
AkaaF6HSan_REP3.mLb.clN_peak_2232	chr2L	20416543	20417911	+	349	NA	promoter-TSS (FBgn0032858)	-promoter-TSS (FBgn0032858)	170	FBgn0032859	FBgn0032859	FBtr0346418						NA
AkaaF6HSan_REP3.mLb.clN_peak_14636	chrX	8141349	8142358	+	347	NA	TTS (FBgn0030006)	-TTS (FBgn0030006)	426	FBgn0025800	FBgn0025800	FBtr0340159						NA
AkaaF6HSan_REP3.mLb.clN_peak_16488	chrX	23406858	23407571	+	347	NA	Intergenic	Intergenic	115514	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP3.mLb.clN_peak_3362	chr2R	8326846	8327707	+	347	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-214	FBgn0261588	FBgn0261588	FBtr0339350						NA
AkaaF6HSan_REP3.mLb.clN_peak_6496	chr3L	1586422	1587110	+	345	NA	promoter-TSS (FBgn0035237)	-promoter-TSS (FBgn0035237)	72	FBgn0035237	FBgn0035237	FBtr0347066						NA
AkaaF6HSan_REP3.mLb.clN_peak_8017	chr3L	14427047	14427754	+	345	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2899	FBgn0267695	FBgn0267695	FBtr0347205						NA
AkaaF6HSan_REP3.mLb.clN_peak_4288	chr2R	13014429	13016205	+	344	NA	Intergenic	Intergenic	18816	FBgn0265623	FBgn0265623	FBtr0330613						NA
AkaaF6HSan_REP3.mLb.clN_peak_16193	chrX	19886856	19887991	+	337	NA	promoter-TSS (FBgn0052529)	-promoter-TSS (FBgn0052529)	2637	FBgn0086782	FBgn0086782	FBtr0074802						NA
AkaaF6HSan_REP3.mLb.clN_peak_5426	chr2R	20111055	20111755	+	336	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-106	FBgn0287775	FBgn0287775	FBtr0086309						NA
AkaaF6HSan_REP3.mLb.clN_peak_15747	chrX	16723451	16723940	+	335	NA	intron (FBgn0052572, intron 2 of 3)	-intron (FBgn0052572, intron 2 of 3)	-2284	FBgn0085354	FBgn0085354	FBtr0339826						NA
AkaaF6HSan_REP3.mLb.clN_peak_6288	chr3L	319030	320117	+	330	NA	exon (FBgn0004373, exon 1 of 12)	-exon (FBgn0004373, exon 1 of 12)	311	FBgn0004373	FBgn0004373	FBtr0332841						NA
AkaaF6HSan_REP3.mLb.clN_peak_9116	chr3L	22406918	22408518	+	330	NA	promoter-TSS (FBgn0267624)	-promoter-TSS (FBgn0267624)	145	FBgn0004449	FBgn0004449	FBtr0330159						NA
AkaaF6HSan_REP3.mLb.clN_peak_9891	chr3R	7000551	7001200	+	328	NA	exon (FBgn0267559, exon 1 of 1)	-exon (FBgn0267559, exon 1 of 1)	383	FBgn0267559	FBgn0267559	FBtr0346969						NA
AkaaF6HSan_REP3.mLb.clN_peak_4283	chr2R	12996141	12997622	+	327	NA	promoter-TSS (FBgn0265623)	-promoter-TSS (FBgn0265623)	380	FBgn0265623	FBgn0265623	FBtr0330613						NA
AkaaF6HSan_REP3.mLb.clN_peak_2089	chr2L	19157937	19159031	+	326	NA	promoter-TSS (FBgn0010300)	-promoter-TSS (FBgn0010300)	815	FBgn0266312	FBgn0266312	FBtr0344041						NA
AkaaF6HSan_REP3.mLb.clN_peak_13359	chr4	1276996	1279455	+	326	NA	Intergenic	Intergenic	47388	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF6HSan_REP3.mLb.clN_peak_2907	chr2R	6120233	6120954	+	325	NA	intron (FBgn0000546, intron 4 of 7)	-intron (FBgn0000546, intron 3 of 6)	11248	FBgn0000546	FBgn0000546	FBtr0086008						NA
AkaaF6HSan_REP3.mLb.clN_peak_5383	chr2R	19668879	19669909	+	325	NA	promoter-TSS (FBgn0015949)	-promoter-TSS (FBgn0015949)	438	FBgn0015949	FBgn0015949	FBtr0111010						NA
AkaaF6HSan_REP3.mLb.clN_peak_9294	chr3L	25133282	25134189	+	325	NA	Intergenic	Intergenic	12986	FBgn0260008	FBgn0260008	FBtr0343636						NA
AkaaF6HSan_REP3.mLb.clN_peak_1194	chr2L	9782112	9783003	+	323	NA	exon (FBgn0032147, exon 1 of 4)	-exon (FBgn0032147, exon 1 of 4)	-3689	FBgn0032147	FBgn0032147	FBtr0307204						NA
AkaaF6HSan_REP3.mLb.clN_peak_13012	chr3R	31688866	31689919	+	322	NA	promoter-TSS (FBgn0267124)	-promoter-TSS (FBgn0267124)	486	FBgn0267125	FBgn0267125	FBtr0346220						NA
AkaaF6HSan_REP3.mLb.clN_peak_13016	chr3R	31712911	31714082	+	322	NA	promoter-TSS (FBgn0003870)	-promoter-TSS (FBgn0003870)	4221	FBgn0054046	FBgn0054046	FBtr0308935						NA
AkaaF6HSan_REP3.mLb.clN_peak_8468	chr3L	18185582	18186496	+	320	NA	promoter-TSS (FBgn0003997)	-promoter-TSS (FBgn0003997)	-398	FBgn0003997	FBgn0003997	FBtr0332862						NA
AkaaF6HSan_REP3.mLb.clN_peak_7858	chr3L	12692873	12693770	+	319	NA	promoter-TSS (FBgn0014343)	-promoter-TSS (FBgn0014343)	-318	FBgn0014343	FBgn0014343	FBtr0330077						NA
AkaaF6HSan_REP3.mLb.clN_peak_16211	chrX	20158924	20160133	+	318	NA	TTS (FBgn0031091)	-TTS (FBgn0031091)	344	FBgn0031090	FBgn0031090	FBtr0333549						NA
AkaaF6HSan_REP3.mLb.clN_peak_6683	chr3L	3059797	3061321	+	317	NA	intron (FBgn0266918, intron 1 of 7)	-intron (FBgn0266918, intron 1 of 7)	5480	FBgn0035393	FBgn0035393	FBtr0072990						NA
AkaaF6HSan_REP3.mLb.clN_peak_12281	chr3R	26041593	26042959	+	316	NA	promoter-TSS (FBgn0001139)	-promoter-TSS (FBgn0001139)	540	FBgn0001139	FBgn0001139	FBtr0339900						NA
AkaaF6HSan_REP3.mLb.clN_peak_7896	chr3L	13044364	13045044	+	315	NA	promoter-TSS (FBgn0036341)	-promoter-TSS (FBgn0036341)	66	FBgn0036341	FBgn0036341	FBtr0332076						NA
AkaaF6HSan_REP3.mLb.clN_peak_1476	chr2L	12529500	12530606	+	313	NA	intron (FBgn0259176, intron 5 of 7)	-intron (FBgn0259176, intron 5 of 7)	10849	FBgn0259176	FBgn0259176	FBtr0300521						NA
AkaaF6HSan_REP3.mLb.clN_peak_14840	chrX	9658033	9659504	+	313	NA	TTS (FBgn0030148)	-TTS (FBgn0030148)	4135	FBgn0030148	FBgn0030148	FBtr0346168						NA
AkaaF6HSan_REP3.mLb.clN_peak_2388	chr2L	21250401	21251186	+	312	NA	intron (FBgn0261239, intron 2 of 7)	-intron (FBgn0261239, intron 2 of 4)	-10375	FBgn0021856	FBgn0021856	FBtr0330677						NA
AkaaF6HSan_REP3.mLb.clN_peak_6231	chr2R	25262578	25262938	+	311	NA	Intergenic	Intergenic	10831	FBgn0050428	FBgn0050428	FBtr0343515						NA
AkaaF6HSan_REP3.mLb.clN_peak_4488	chr2R	14006761	14007295	+	310	NA	intron (FBgn0002643, intron 2 of 6)	-intron (FBgn0002643, intron 2 of 6)	-2171	FBgn0002643	FBgn0002643	FBtr0087598						NA
AkaaF6HSan_REP3.mLb.clN_peak_5235	chr2R	18638564	18640043	+	310	NA	promoter-TSS (FBgn0050227)	-promoter-TSS (FBgn0050227)	-33	FBgn0050122	FBgn0050122	FBtr0300924						NA
AkaaF6HSan_REP3.mLb.clN_peak_8029	chr3L	14550585	14551651	+	308	NA	promoter-TSS (FBgn0036428)	-promoter-TSS (FBgn0036428)	-143	FBgn0036428	FBgn0036428	FBtr0333037						NA
AkaaF6HSan_REP3.mLb.clN_peak_6688	chr3L	3095502	3096707	+	308	NA	promoter-TSS (FBgn0052287)	-promoter-TSS (FBgn0052287)	113	FBgn0052289	FBgn0052289	FBtr0073019						NA
AkaaF6HSan_REP3.mLb.clN_peak_8504	chr3L	18765505	18766132	+	308	NA	promoter-TSS (FBgn0001078)	-promoter-TSS (FBgn0001078)	-74	FBgn0001078	FBgn0001078	FBtr0075086						NA
AkaaF6HSan_REP3.mLb.clN_peak_1414	chr2L	11970804	11971438	+	305	NA	promoter-TSS (FBgn0263019)	-promoter-TSS (FBgn0263019)	-27	FBgn0263019	FBgn0263019	FBtr0306899						NA
AkaaF6HSan_REP3.mLb.clN_peak_867	chr2L	7188021	7189071	+	304	NA	promoter-TSS (FBgn0031894)	-promoter-TSS (FBgn0031894)	1464	FBgn0031894	FBgn0031894	FBtr0342655						NA
AkaaF6HSan_REP3.mLb.clN_peak_16258	chrX	20656136	20657744	+	304	NA	promoter-TSS (FBgn0031126)	-promoter-TSS (FBgn0031126)	608	FBgn0267022	FBgn0267022	FBtr0345969						NA
AkaaF6HSan_REP3.mLb.clN_peak_2920	chr2R	6171294	6171965	+	303	NA	promoter-TSS (FBgn0050316)	-promoter-TSS (FBgn0050316)	-58	FBgn0050316	FBgn0050316	FBtr0085986						NA
AkaaF6HSan_REP3.mLb.clN_peak_9359	chr3R	3734506	3735522	+	303	NA	promoter-TSS (FBgn0263977)	-promoter-TSS (FBgn0263977)	85	FBgn0263977	FBgn0263977	FBtr0345179						NA
AkaaF6HSan_REP3.mLb.clN_peak_691	chr2L	5906995	5907888	+	303	NA	intron (FBgn0043362, intron 1 of 17)	-intron (FBgn0043362, intron 1 of 17)	272	FBgn0043362	FBgn0043362	FBtr0079144						NA
AkaaF6HSan_REP3.mLb.clN_peak_5050	chr2R	17391584	17392818	+	302	NA	promoter-TSS (FBgn0011879)	-promoter-TSS (FBgn0011879)	-14	FBgn0011879	FBgn0011879	FBtr0086908						NA
AkaaF6HSan_REP3.mLb.clN_peak_5981	chr2R	23839648	23840543	+	302	NA	promoter-TSS (FBgn0086659)	-promoter-TSS (FBgn0086659)	-31	FBgn0086659	FBgn0086659	FBtr0091917						NA
AkaaF6HSan_REP3.mLb.clN_peak_6942	chr3L	5184241	5185260	+	299	NA	promoter-TSS (FBgn0052423)	-promoter-TSS (FBgn0052423)	47	FBgn0052423	FBgn0052423	FBtr0308859						NA
AkaaF6HSan_REP3.mLb.clN_peak_9532	chr3R	4951694	4952787	+	297	NA	intron (FBgn0004436, intron 1 of 2)	-intron (FBgn0004436, intron 1 of 2)	442	FBgn0004436	FBgn0004436	FBtr0306106						NA
AkaaF6HSan_REP3.mLb.clN_peak_6980	chr3L	5610571	5610965	+	297	NA	Intergenic	Intergenic	-2468	FBgn0035624	FBgn0035624	FBtr0077126						NA
AkaaF6HSan_REP3.mLb.clN_peak_11200	chr3R	16948621	16948866	+	296	NA	intron (FBgn0000015, intron 1 of 6)	-intron (FBgn0000015, intron 1 of 6)	-3164	FBgn0278597	FBgn0278597	FBtr0415462						NA
AkaaF6HSan_REP3.mLb.clN_peak_14707	chrX	8624762	8625357	+	295	NA	Intergenic	Intergenic	-18755	FBgn0030054	FBgn0030054	FBtr0071228						NA
AkaaF6HSan_REP3.mLb.clN_peak_9663	chr3R	5547172	5547872	+	295	NA	TTS (FBgn0014342)	-TTS (FBgn0014342)	253	FBgn0037336	FBgn0037336	FBtr0078762						NA
AkaaF6HSan_REP3.mLb.clN_peak_11189	chr3R	16763786	16764388	+	294	NA	intron (FBgn0020556, intron 1 of 2)	-intron (FBgn0020556, intron 1 of 2)	-12753	FBgn0063261	FBgn0063261	FBtr0083346						NA
AkaaF6HSan_REP3.mLb.clN_peak_16165	chrX	19682934	19684192	+	294	NA	promoter-TSS (FBgn0031057)	-promoter-TSS (FBgn0031057)	-45	FBgn0043903	FBgn0043903	FBtr0074756						NA
AkaaF6HSan_REP3.mLb.clN_peak_8834	chr3L	21014430	21014948	+	292	NA	intron (FBgn0003415, intron 2 of 12)	-intron (FBgn0003415, intron 2 of 12)	-8169	FBgn0263486	FBgn0263486	FBtr0309785						NA
AkaaF6HSan_REP3.mLb.clN_peak_13367	chrX	52231	54942	+	291	NA	Intergenic	Intergenic	-68907	FBgn0058469	FBgn0058469	FBtr0307364						NA
AkaaF6HSan_REP3.mLb.clN_peak_16490	chrX	23413223	23413646	+	291	NA	Intergenic	Intergenic	121734	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP3.mLb.clN_peak_6232	chr2R	25267997	25269357	+	290	NA	Intergenic	Intergenic	16750	FBgn0050428	FBgn0050428	FBtr0343515						NA
AkaaF6HSan_REP3.mLb.clN_peak_7614	chr3L	10897913	10899466	+	290	NA	promoter-TSS (FBgn0036111)	-promoter-TSS (FBgn0036111)	434	FBgn0036111	FBgn0036111	FBtr0076252						NA
AkaaF6HSan_REP3.mLb.clN_peak_2540	chr2L	22133949	22134933	+	290	NA	exon (FBgn0261802, exon 1 of 8)	-exon (FBgn0261802, exon 1 of 8)	108	FBgn0261802	FBgn0261802	FBtr0333744						NA
AkaaF6HSan_REP3.mLb.clN_peak_14579	chrX	7702652	7702867	+	288	NA	intron (FBgn0029504, intron 1 of 5)	-intron (FBgn0029504, intron 1 of 5)	-5016	FBgn0262979	FBgn0262979	FBtr0344596						NA
AkaaF6HSan_REP3.mLb.clN_peak_8457	chr3L	18105452	18106795	+	287	NA	promoter-TSS (FBgn0036774)	-promoter-TSS (FBgn0036774)	26	FBgn0036773	FBgn0036773	FBtr0333698						NA
AkaaF6HSan_REP3.mLb.clN_peak_15072	chrX	11389628	11390677	+	286	NA	promoter-TSS (FBgn0001624)	-promoter-TSS (FBgn0001624)	-19795	FBgn0030296	FBgn0030296	FBtr0309222						NA
AkaaF6HSan_REP3.mLb.clN_peak_8584	chr3L	19294412	19295195	+	286	NA	promoter-TSS (FBgn0028380)	-promoter-TSS (FBgn0028380)	239	FBgn0028380	FBgn0028380	FBtr0347258						NA
AkaaF6HSan_REP3.mLb.clN_peak_1644	chr2L	14094678	14094888	+	285	NA	TTS (FBgn0028875)	-TTS (FBgn0028875)	-9307	FBgn0283651	FBgn0283651	FBtr0445730						NA
AkaaF6HSan_REP3.mLb.clN_peak_5840	chr2R	23071785	23072931	+	285	NA	promoter-TSS (FBgn0050202)	-promoter-TSS (FBgn0050202)	-223	FBgn0050202	FBgn0050202	FBtr0071962						NA
AkaaF6HSan_REP3.mLb.clN_peak_13550	chrX	935072	936017	+	284	NA	promoter-TSS (FBgn0040340)	-promoter-TSS (FBgn0040340)	118	FBgn0040340	FBgn0040340	FBtr0332589						NA
AkaaF6HSan_REP3.mLb.clN_peak_2819	chr2R	5781911	5783057	+	284	NA	exon (FBgn0025693, exon 1 of 10)	-exon (FBgn0025693, exon 1 of 10)	374	FBgn0025693	FBgn0025693	FBtr0086056						NA
AkaaF6HSan_REP3.mLb.clN_peak_4547	chr2R	14269842	14270760	+	283	NA	promoter-TSS (FBgn0261269)	-promoter-TSS (FBgn0261269)	357	FBgn0261270	FBgn0261270	FBtr0087565						NA
AkaaF6HSan_REP3.mLb.clN_peak_11948	chr3R	23601344	23602199	+	283	NA	promoter-TSS (FBgn0051143)	-promoter-TSS (FBgn0051143)	-316	FBgn0051143	FBgn0051143	FBtr0084482						NA
AkaaF6HSan_REP3.mLb.clN_peak_1387	chr2L	11447509	11448102	+	283	NA	promoter-TSS (FBgn0287465)	-promoter-TSS (FBgn0287465)	-2191	FBgn0261648	FBgn0261648	FBtr0343619						NA
AkaaF6HSan_REP3.mLb.clN_peak_15719	chrX	16552727	16553992	+	282	NA	exon (FBgn0011742, exon 1 of 6)	-exon (FBgn0011742, exon 1 of 6)	592	FBgn0011742	FBgn0011742	FBtr0112868						NA
AkaaF6HSan_REP3.mLb.clN_peak_13147	chr4	359819	360952	+	282	NA	intron (FBgn0039904, intron 1 of 13)	-intron (FBgn0039904, intron 1 of 12)	447	FBgn0039904	FBgn0039904	FBtr0345284						NA
AkaaF6HSan_REP3.mLb.clN_peak_6467	chr3L	1400994	1402394	+	282	NA	promoter-TSS (FBgn0011855)	-promoter-TSS (FBgn0011855)	-87	FBgn0011855	FBgn0011855	FBtr0072691						NA
AkaaF6HSan_REP3.mLb.clN_peak_13546	chrX	908615	909660	+	281	NA	promoter-TSS (FBgn0264449)	-promoter-TSS (FBgn0264449)	14653	FBgn0029539	FBgn0029539	FBtr0310165						NA
AkaaF6HSan_REP3.mLb.clN_peak_5101	chr2R	17682828	17683969	+	281	NA	promoter-TSS (FBgn0034261)	-promoter-TSS (FBgn0034261)	-1457	FBgn0260763	FBgn0260763	FBtr0301265						NA
AkaaF6HSan_REP3.mLb.clN_peak_7917	chr3L	13227652	13229028	+	281	NA	promoter-TSS (FBgn0023095)	-promoter-TSS (FBgn0023095)	-352	FBgn0023095	FBgn0023095	FBtr0346864						NA
AkaaF6HSan_REP3.mLb.clN_peak_8014	chr3L	14409456	14411010	+	280	NA	promoter-TSS (FBgn0003459)	-promoter-TSS (FBgn0003459)	-294	FBgn0003459	FBgn0003459	FBtr0333042						NA
