PeakID (cmd=annotatePeaks.pl ManzF3Heat_REP3.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF3Heat_REP3.mLb.clN_peak_9304	chrX	23534928	23535751	+	957	NA	Intergenic	Intergenic	243639	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP3.mLb.clN_peak_9298	chrX	23472335	23473471	+	919	NA	Intergenic	Intergenic	181203	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP3.mLb.clN_peak_9295	chrX	23432802	23433730	+	797	NA	Intergenic	Intergenic	141566	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP3.mLb.clN_peak_9261	chrX	23270867	23271461	+	746	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	-6	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF3Heat_REP3.mLb.clN_peak_9251	chrX	23215749	23217204	+	723	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2024	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF3Heat_REP3.mLb.clN_peak_9246	chrX	23205203	23206526	+	640	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	42	FBgn0267515	FBgn0267515	FBtr0346891						NA
ManzF3Heat_REP3.mLb.clN_peak_8142	chrX	9515545	9515751	+	608	NA	intron (FBgn0267253, intron 1 of 2)	-intron (FBgn0267253, intron 1 of 2)	4124	FBgn0054028	FBgn0054028	FBtr0100083						NA
ManzF3Heat_REP3.mLb.clN_peak_1494	chr2R	870288	870589	+	571	NA	Intergenic	Intergenic	15624	FBgn0284080	FBgn0284080	FBtr0452096						NA
ManzF3Heat_REP3.mLb.clN_peak_4023	chr3L	8725187	8725773	+	553	NA	TTS (FBgn0264696)	-TTS (FBgn0264696)	294	FBgn0264696	FBgn0264696	FBtr0333890						NA
ManzF3Heat_REP3.mLb.clN_peak_9264	chrX	23278943	23280458	+	505	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	310	FBgn0267522	FBgn0267522	FBtr0346902						NA
ManzF3Heat_REP3.mLb.clN_peak_8348	chrX	12437699	12437921	+	468	NA	intron (FBgn0287828, intron 7 of 15)	-intron (FBgn0287828, intron 7 of 15)	-3674	FBgn0287828	FBgn0287828	FBtr0340086						NA
ManzF3Heat_REP3.mLb.clN_peak_9267	chrX	23291023	23291997	+	462	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-39	FBgn0267523	FBgn0267523	FBtr0346897						NA
ManzF3Heat_REP3.mLb.clN_peak_9305	chrX	23537579	23538368	+	462	NA	Intergenic	Intergenic	246273	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP3.mLb.clN_peak_9154	chrX	22382940	22383853	+	428	NA	Intergenic	Intergenic	-60831	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF3Heat_REP3.mLb.clN_peak_9296	chrX	23438862	23442066	+	408	NA	Intergenic	Intergenic	148764	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP3.mLb.clN_peak_9250	chrX	23214881	23214993	+	407	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	485	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF3Heat_REP3.mLb.clN_peak_5145	chr3L	24629507	24629760	+	375	NA	Intergenic	Intergenic	76523	FBgn0085810	FBgn0085810	FBtr0114264						NA
ManzF3Heat_REP3.mLb.clN_peak_9151	chrX	22354404	22354733	+	351	NA	Intergenic	Intergenic	-89659	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF3Heat_REP3.mLb.clN_peak_9255	chrX	23228428	23228782	+	348	NA	Intergenic	Intergenic	-11113	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF3Heat_REP3.mLb.clN_peak_9288	chrX	23406976	23407833	+	332	NA	Intergenic	Intergenic	115704	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP3.mLb.clN_peak_1705	chr2R	6480500	6481739	+	321	NA	Intergenic	Intergenic	20653	FBgn0267744	FBgn0267744	FBtr0347304						NA
ManzF3Heat_REP3.mLb.clN_peak_5178	chr3L	27126139	27127443	+	297	NA	Intergenic	Intergenic	-8393	FBgn0267985	FBgn0267985	FBtr0347582						NA
ManzF3Heat_REP3.mLb.clN_peak_9263	chrX	23278010	23278508	+	276	NA	exon (FBgn0267516, exon 1 of 1)	-exon (FBgn0267516, exon 1 of 1)	1751	FBgn0267522	FBgn0267522	FBtr0346902						NA
ManzF3Heat_REP3.mLb.clN_peak_5188	chr3R	27443	27851	+	271	NA	Intergenic	Intergenic	-539429	FBgn0267431	FBgn0267431	FBtr0392909						NA
ManzF3Heat_REP3.mLb.clN_peak_9248	chrX	23210949	23211246	+	271	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-95	FBgn0085813	FBgn0085813	FBtr0346892						NA
ManzF3Heat_REP3.mLb.clN_peak_9283	chrX	23390046	23391020	+	265	NA	Intergenic	Intergenic	98833	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP3.mLb.clN_peak_9262	chrX	23273963	23274382	+	261	NA	Intergenic	Intergenic	-3014	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF3Heat_REP3.mLb.clN_peak_1491	chr2L	23512822	23512964	+	238	NA	Intergenic	Intergenic	96977	FBgn0085664	FBgn0085664	FBtr0304148						NA
ManzF3Heat_REP3.mLb.clN_peak_5300	chr3R	4852380	4852786	+	231	NA	promoter-TSS (FBgn0003002)	-promoter-TSS (FBgn0003002)	-230	FBgn0003002	FBgn0003002	FBtr0479794						NA
ManzF3Heat_REP3.mLb.clN_peak_9265	chrX	23281161	23281361	+	231	NA	promoter-TSS (FBgn0250731)	-promoter-TSS (FBgn0250731)	-984	FBgn0250731	FBgn0250731	FBtr0346901						NA
ManzF3Heat_REP3.mLb.clN_peak_9202	chrX	22855036	22855511	+	218	NA	promoter-TSS (FBgn0000719)	-promoter-TSS (FBgn0000719)	-79	FBgn0000719	FBgn0000719	FBtr0333181						NA
ManzF3Heat_REP3.mLb.clN_peak_9291	chrX	23413217	23413735	+	214	NA	Intergenic	Intergenic	121776	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP3.mLb.clN_peak_818	chr2L	13060090	13060598	+	205	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-204	FBgn0262160	FBgn0262160	FBtr0336617						NA
ManzF3Heat_REP3.mLb.clN_peak_5168	chr3L	27006816	27008535	+	202	NA	Intergenic	Intergenic	76231	FBgn0063670	FBgn0063670	FBtr0333872						NA
ManzF3Heat_REP3.mLb.clN_peak_9252	chrX	23221308	23223658	+	198	NA	Intergenic	Intergenic	8031	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF3Heat_REP3.mLb.clN_peak_2818	chr2R	18652766	18653121	+	194	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-167	FBgn0034371	FBgn0034371	FBtr0086657						NA
ManzF3Heat_REP3.mLb.clN_peak_5988	chr3R	13875096	13875353	+	191	NA	promoter-TSS (FBgn0008646)	-promoter-TSS (FBgn0008646)	-308	FBgn0008646	FBgn0008646	FBtr0082880						NA
ManzF3Heat_REP3.mLb.clN_peak_2949	chr2R	20111078	20111542	+	190	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-201	FBgn0287775	FBgn0287775	FBtr0086309						NA
ManzF3Heat_REP3.mLb.clN_peak_5529	chr3R	7123807	7123995	+	190	NA	promoter-TSS (FBgn0037472)	-promoter-TSS (FBgn0037472)	284	FBgn0261238	FBgn0261238	FBtr0334677						NA
ManzF3Heat_REP3.mLb.clN_peak_5157	chr3L	25133230	25134182	+	189	NA	Intergenic	Intergenic	12957	FBgn0260008	FBgn0260008	FBtr0343636						NA
ManzF3Heat_REP3.mLb.clN_peak_3011	chr2R	20903552	20903793	+	185	NA	promoter-TSS (FBgn0015524)	-promoter-TSS (FBgn0015524)	-258	FBgn0015524	FBgn0015524	FBtr0474157						NA
ManzF3Heat_REP3.mLb.clN_peak_5148	chr3L	24723766	24724168	+	182	NA	promoter-TSS (FBgn0287186)	-promoter-TSS (FBgn0287186)	-195	FBgn0287186	FBgn0287186	FBtr0339923						NA
ManzF3Heat_REP3.mLb.clN_peak_5561	chr3R	7474565	7475118	+	181	NA	exon (FBgn0065099, exon 1 of 1)	-exon (FBgn0065099, exon 1 of 1)	155	FBgn0065099	FBgn0065099	FBtr0091929						NA
ManzF3Heat_REP3.mLb.clN_peak_5058	chr3L	22460875	22461369	+	175	NA	promoter-TSS (FBgn0037163)	-promoter-TSS (FBgn0037163)	9	FBgn0037163	FBgn0037163	FBtr0078508						NA
ManzF3Heat_REP3.mLb.clN_peak_5174	chr3L	27076142	27077151	+	169	NA	Intergenic	Intergenic	7260	FBgn0063670	FBgn0063670	FBtr0333872						NA
ManzF3Heat_REP3.mLb.clN_peak_9301	chrX	23525955	23526741	+	169	NA	Intergenic	Intergenic	234648	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP3.mLb.clN_peak_1529	chr2R	3140720	3141040	+	169	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74381	FBgn0260995	FBgn0260995	FBtr0334939						NA
ManzF3Heat_REP3.mLb.clN_peak_2742	chr2R	17716503	17716844	+	166	NA	promoter-TSS (FBgn0028494)	-promoter-TSS (FBgn0028494)	597	FBgn0028494	FBgn0028494	FBtr0086886						NA
ManzF3Heat_REP3.mLb.clN_peak_7113	chr3R	30912437	30912714	+	166	NA	promoter-TSS (FBgn0020912)	-promoter-TSS (FBgn0020912)	-179	FBgn0020912	FBgn0020912	FBtr0330094						NA
ManzF3Heat_REP3.mLb.clN_peak_7312	chr4	989426	989703	+	164	NA	promoter-TSS (FBgn0019650)	-promoter-TSS (FBgn0019650)	-161	FBgn0019650	FBgn0019650	FBtr0479793						NA
ManzF3Heat_REP3.mLb.clN_peak_1704	chr2R	6469290	6469740	+	163	NA	Intergenic	Intergenic	32257	FBgn0267744	FBgn0267744	FBtr0347304						NA
ManzF3Heat_REP3.mLb.clN_peak_8159	chrX	9693789	9694145	+	163	NA	promoter-TSS (FBgn0000233)	-promoter-TSS (FBgn0000233)	-219	FBgn0000233	FBgn0000233	FBtr0071379						NA
ManzF3Heat_REP3.mLb.clN_peak_5149	chr3L	24737950	24739121	+	162	NA	intron (FBgn0287186, intron 3 of 5)	-intron (FBgn0287186, intron 4 of 6)	14373	FBgn0287186	FBgn0287186	FBtr0339923						NA
ManzF3Heat_REP3.mLb.clN_peak_6355	chr3R	19836795	19837053	+	162	NA	promoter-TSS (FBgn0014135)	-promoter-TSS (FBgn0014135)	-107	FBgn0014135	FBgn0014135	FBtr0344549						NA
ManzF3Heat_REP3.mLb.clN_peak_5990	chr3R	13901553	13901835	+	161	NA	promoter-TSS (FBgn0000576)	-promoter-TSS (FBgn0000576)	-159	FBgn0000576	FBgn0000576	FBtr0082863						NA
ManzF3Heat_REP3.mLb.clN_peak_9257	chrX	23234300	23235170	+	159	NA	Intergenic	Intergenic	-4983	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF3Heat_REP3.mLb.clN_peak_8081	chrX	8650838	8651435	+	158	NA	promoter-TSS (FBgn0004102)	-promoter-TSS (FBgn0004102)	-455	FBgn0004102	FBgn0004102	FBtr0331738						NA
ManzF3Heat_REP3.mLb.clN_peak_9100	chrX	21281035	21281572	+	154	NA	promoter-TSS (FBgn0052521)	-promoter-TSS (FBgn0052521)	-150	FBgn0052521	FBgn0052521	FBtr0310654						NA
ManzF3Heat_REP3.mLb.clN_peak_5516	chr3R	7000690	7001197	+	153	NA	exon (FBgn0267559, exon 1 of 1)	-exon (FBgn0267559, exon 1 of 1)	451	FBgn0267559	FBgn0267559	FBtr0346969						NA
ManzF3Heat_REP3.mLb.clN_peak_996	chr2L	15333528	15333999	+	153	NA	promoter-TSS (FBgn0287768)	-promoter-TSS (FBgn0287768)	-103	FBgn0287768	FBgn0287768	FBtr0080734						NA
ManzF3Heat_REP3.mLb.clN_peak_2081	chr2R	10100847	10101134	+	152	NA	promoter-TSS (FBgn0004907)	-promoter-TSS (FBgn0004907)	-1400	FBgn0033485	FBgn0033485	FBtr0088425						NA
ManzF3Heat_REP3.mLb.clN_peak_4280	chr3L	12609364	12609799	+	152	NA	promoter-TSS (FBgn0015919)	-promoter-TSS (FBgn0015919)	-50	FBgn0015919	FBgn0015919	FBtr0075909						NA
ManzF3Heat_REP3.mLb.clN_peak_476	chr2L	7306860	7307104	+	152	NA	promoter-TSS (FBgn0284084)	-promoter-TSS (FBgn0284084)	-177	FBgn0284084	FBgn0284084	FBtr0079432						NA
ManzF3Heat_REP3.mLb.clN_peak_6165	chr3R	16702821	16703237	+	151	NA	intron (FBgn0003944, intron 1 of 1)	-intron (FBgn0003944, intron 3 of 3)	31397	FBgn0003944	FBgn0003944	FBtr0083352						NA
ManzF3Heat_REP3.mLb.clN_peak_7775	chrX	4426785	4427154	+	150	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13507	FBgn0000179	FBgn0000179	FBtr0331162						NA
ManzF3Heat_REP3.mLb.clN_peak_5202	chr3R	771751	771985	+	149	NA	intron (FBgn0267431, intron 1 of 21)	-intron (FBgn0267431, intron 1 of 21)	-49247	FBgn0085804	FBgn0085804	FBtr0114258						NA
ManzF3Heat_REP3.mLb.clN_peak_5299	chr3R	4835363	4835710	+	146	NA	Intergenic	Intergenic	-4239	FBgn0037284	FBgn0037284	FBtr0078873						NA
ManzF3Heat_REP3.mLb.clN_peak_8783	chrX	17768137	17768532	+	142	NA	promoter-TSS (FBgn0024184)	-promoter-TSS (FBgn0024184)	-235	FBgn0024184	FBgn0024184	FBtr0340627						NA
ManzF3Heat_REP3.mLb.clN_peak_3598	chr3L	2489985	2490280	+	142	NA	promoter-TSS (FBgn0035346)	-promoter-TSS (FBgn0035346)	-468	FBgn0035346	FBgn0035346	FBtr0344219						NA
ManzF3Heat_REP3.mLb.clN_peak_1909	chr2R	8326907	8327531	+	142	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-271	FBgn0261588	FBgn0261588	FBtr0339350						NA
ManzF3Heat_REP3.mLb.clN_peak_3373	chr2R	25268745	25269343	+	141	NA	Intergenic	Intergenic	17117	FBgn0050428	FBgn0050428	FBtr0343515						NA
ManzF3Heat_REP3.mLb.clN_peak_2226	chr2R	11475536	11475765	+	140	NA	promoter-TSS (FBgn0001269)	-promoter-TSS (FBgn0001269)	-58	FBgn0001269	FBgn0001269	FBtr0345673						NA
ManzF3Heat_REP3.mLb.clN_peak_135	chr2L	1669717	1669985	+	140	NA	intron (FBgn0086758, intron 1 of 5)	-intron (FBgn0086758, intron 2 of 6)	18593	FBgn0086758	FBgn0086758	FBtr0303934						NA
ManzF3Heat_REP3.mLb.clN_peak_8931	chrX	19360983	19361489	+	139	NA	intron (FBgn0031016, intron 1 of 4)	-intron (FBgn0031016, intron 1 of 5)	8055	FBgn0031016	FBgn0031016	FBtr0309224						NA
ManzF3Heat_REP3.mLb.clN_peak_1453	chr2L	22024350	22024794	+	137	NA	exon (FBgn0028979, exon 3 of 3)	-exon (FBgn0028979, exon 3 of 3)	5364	FBgn0028979	FBgn0028979	FBtr0335391						NA
ManzF3Heat_REP3.mLb.clN_peak_8093	chrX	8805841	8806093	+	137	NA	promoter-TSS (FBgn0026411)	-promoter-TSS (FBgn0026411)	-20614	FBgn0026411	FBgn0026411	FBtr0071279						NA
ManzF3Heat_REP3.mLb.clN_peak_615	chr2L	9176083	9176420	+	136	NA	promoter-TSS (FBgn0041092)	-promoter-TSS (FBgn0041092)	9473	FBgn0041092	FBgn0041092	FBtr0304974						NA
ManzF3Heat_REP3.mLb.clN_peak_4870	chr3L	20621620	20622110	+	136	NA	Intergenic	Intergenic	-1206	FBgn0001323	FBgn0001323	FBtr0346815						NA
ManzF3Heat_REP3.mLb.clN_peak_4415	chr3L	14706562	14706844	+	136	NA	promoter-TSS (FBgn0259175)	-promoter-TSS (FBgn0259175)	-48	FBgn0259175	FBgn0259175	FBtr0333043						NA
ManzF3Heat_REP3.mLb.clN_peak_358	chr2L	5461240	5461573	+	135	NA	promoter-TSS (FBgn0261963)	-promoter-TSS (FBgn0261963)	-233	FBgn0261963	FBgn0261963	FBtr0079093						NA
ManzF3Heat_REP3.mLb.clN_peak_9256	chrX	23231723	23232348	+	135	NA	Intergenic	Intergenic	-7683	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF3Heat_REP3.mLb.clN_peak_3515	chr3L	1586445	1586792	+	133	NA	promoter-TSS (FBgn0035237)	-promoter-TSS (FBgn0035237)	-76	FBgn0035237	FBgn0035237	FBtr0347066						NA
ManzF3Heat_REP3.mLb.clN_peak_9300	chrX	23524487	23525221	+	133	NA	Intergenic	Intergenic	233154	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP3.mLb.clN_peak_243	chr2L	3580645	3581120	+	132	NA	promoter-TSS (FBgn0004892)	-promoter-TSS (FBgn0004892)	-113	FBgn0004892	FBgn0004892	FBtr0077558						NA
ManzF3Heat_REP3.mLb.clN_peak_290	chr2L	4371758	4372026	+	132	NA	promoter-TSS (FBgn0026319)	-promoter-TSS (FBgn0026319)	-589	FBgn0266903	FBgn0266903	FBtr0445833						NA
ManzF3Heat_REP3.mLb.clN_peak_4347	chr3L	13666796	13667676	+	131	NA	promoter-TSS (FBgn0264001)	-promoter-TSS (FBgn0264001)	68006	FBgn0266595	FBgn0266595	FBtr0344818						NA
ManzF3Heat_REP3.mLb.clN_peak_9277	chrX	23370997	23372539	+	130	NA	Intergenic	Intergenic	80068	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP3.mLb.clN_peak_6232	chr3R	17943705	17944127	+	129	NA	promoter-TSS (FBgn0263995)	-promoter-TSS (FBgn0263995)	-190	FBgn0263995	FBgn0263995	FBtr0330271						NA
ManzF3Heat_REP3.mLb.clN_peak_3114	chr2R	22270621	22270926	+	129	NA	promoter-TSS (FBgn0020307)	-promoter-TSS (FBgn0020307)	-145	FBgn0020307	FBgn0020307	FBtr0071776						NA
ManzF3Heat_REP3.mLb.clN_peak_5147	chr3L	24674448	24674838	+	128	NA	Intergenic	Intergenic	-49519	FBgn0287186	FBgn0287186	FBtr0339923						NA
ManzF3Heat_REP3.mLb.clN_peak_5173	chr3L	27071938	27073154	+	127	NA	Intergenic	Intergenic	11360	FBgn0063670	FBgn0063670	FBtr0333872						NA
ManzF3Heat_REP3.mLb.clN_peak_7549	chrX	2050075	2050555	+	126	NA	promoter-TSS (FBgn0025631)	-promoter-TSS (FBgn0025631)	-1920	FBgn0025631	FBgn0025631	FBtr0303045						NA
ManzF3Heat_REP3.mLb.clN_peak_5207	chr3R	3139096	3139312	+	126	NA	intron (FBgn0267430, intron 8 of 20)	-intron (FBgn0267430, intron 8 of 20)	124378	FBgn0267430	FBgn0267430	FBtr0445191						NA
ManzF3Heat_REP3.mLb.clN_peak_1722	chr2R	6632398	6632668	+	126	NA	promoter-TSS (FBgn0262736)	-promoter-TSS (FBgn0262736)	-149	FBgn0262736	FBgn0262736	FBtr0086150						NA
ManzF3Heat_REP3.mLb.clN_peak_3242	chr2R	23666819	23667269	+	125	NA	promoter-TSS (FBgn0266377)	-promoter-TSS (FBgn0266377)	1750	FBgn0266377	FBgn0266377	FBtr0344181						NA
ManzF3Heat_REP3.mLb.clN_peak_1452	chr2L	22018873	22019282	+	124	NA	promoter-TSS (FBgn0028979)	-promoter-TSS (FBgn0028979)	-131	FBgn0053987	FBgn0053987	FBtr0100032						NA
ManzF3Heat_REP3.mLb.clN_peak_4382	chr3L	14273952	14274413	+	124	NA	promoter-TSS (FBgn0001085)	-promoter-TSS (FBgn0001085)	-161	FBgn0001085	FBgn0001085	FBtr0330102						NA
ManzF3Heat_REP3.mLb.clN_peak_1283	chr2L	20148481	20148720	+	122	NA	Intergenic	Intergenic	-13677	FBgn0032853	FBgn0032853	FBtr0345683						NA
ManzF3Heat_REP3.mLb.clN_peak_2359	chr2R	13015610	13016047	+	122	NA	Intergenic	Intergenic	19327	FBgn0265623	FBgn0265623	FBtr0330613						NA
ManzF3Heat_REP3.mLb.clN_peak_973	chr2L	15057026	15057229	+	122	NA	intron (FBgn0000317, intron 1 of 11)	-intron (FBgn0000317, intron 1 of 11)	735	FBgn0000317	FBgn0000317	FBtr0343686						NA
ManzF3Heat_REP3.mLb.clN_peak_6168	chr3R	16830128	16830332	+	122	NA	promoter-TSS (FBgn0000014)	-promoter-TSS (FBgn0000014)	-181	FBgn0000014	FBgn0000014	FBtr0306337						NA
ManzF3Heat_REP3.mLb.clN_peak_579	chr2L	8717995	8718302	+	121	NA	intron (FBgn0003209, intron 1 of 8)	-intron (FBgn0003209, intron 1 of 8)	12576	FBgn0032061	FBgn0032061	FBtr0339543						NA
ManzF3Heat_REP3.mLb.clN_peak_388	chr2L	5828911	5829251	+	121	NA	intron (FBgn0085410, intron 1 of 8)	-intron (FBgn0085410, intron 1 of 9)	5077	FBgn0085410	FBgn0085410	FBtr0342612						NA
ManzF3Heat_REP3.mLb.clN_peak_3236	chr2R	23580613	23581037	+	121	NA	promoter-TSS (FBgn0015903)	-promoter-TSS (FBgn0015903)	-15767	FBgn0015903	FBgn0015903	FBtr0332926						NA
ManzF3Heat_REP3.mLb.clN_peak_2248	chr2R	11665443	11665709	+	121	NA	promoter-TSS (FBgn0050035)	-promoter-TSS (FBgn0050035)	-4941	FBgn0011916	FBgn0011916	FBtr0088086						NA
ManzF3Heat_REP3.mLb.clN_peak_5190	chr3R	123184	123428	+	120	NA	Intergenic	Intergenic	-443770	FBgn0267431	FBgn0267431	FBtr0392909						NA
ManzF3Heat_REP3.mLb.clN_peak_8249	chrX	10784471	10784743	+	120	NA	promoter-TSS (FBgn0003360)	-promoter-TSS (FBgn0003360)	2351	FBgn0003360	FBgn0003360	FBtr0346384						NA
ManzF3Heat_REP3.mLb.clN_peak_8050	chrX	8294063	8295980	+	120	NA	intron (FBgn0015519, intron 6 of 11)	-intron (FBgn0015519, intron 6 of 11)	-21215	FBgn0030029	FBgn0030029	FBtr0071178						NA
ManzF3Heat_REP3.mLb.clN_peak_2902	chr2R	19631515	19632127	+	120	NA	promoter-TSS (FBgn0003435)	-promoter-TSS (FBgn0003435)	-1374	FBgn0265696	FBgn0265696	FBtr0340594						NA
ManzF3Heat_REP3.mLb.clN_peak_2101	chr2R	10271048	10271865	+	120	NA	promoter-TSS (FBgn0033504)	-promoter-TSS (FBgn0033504)	5385	FBgn0033502	FBgn0033502	FBtr0310142						NA
ManzF3Heat_REP3.mLb.clN_peak_1321	chr2L	20714630	20714819	+	120	NA	promoter-TSS (FBgn0014859)	-promoter-TSS (FBgn0014859)	-136	FBgn0014859	FBgn0014859	FBtr0301347						NA
ManzF3Heat_REP3.mLb.clN_peak_6166	chr3R	16763793	16764345	+	119	NA	intron (FBgn0020556, intron 1 of 2)	-intron (FBgn0020556, intron 1 of 2)	-12735	FBgn0063261	FBgn0063261	FBtr0083346						NA
ManzF3Heat_REP3.mLb.clN_peak_9303	chrX	23532138	23532259	+	119	NA	Intergenic	Intergenic	240498	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP3.mLb.clN_peak_5899	chr3R	12467800	12468018	+	119	NA	promoter-TSS (FBgn0013277)	-promoter-TSS (FBgn0013277)	-133	FBgn0013277	FBgn0013277	FBtr0082679						NA
ManzF3Heat_REP3.mLb.clN_peak_1403	chr2L	21537582	21537718	+	119	NA	promoter-TSS (FBgn0053746)	-promoter-TSS (FBgn0053746)	449	FBgn0053868	FBgn0053868	FBtr0091872						NA
ManzF3Heat_REP3.mLb.clN_peak_7001	chr3R	29556047	29556405	+	119	NA	promoter-TSS (FBgn0000492)	-promoter-TSS (FBgn0000492)	-160	FBgn0000492	FBgn0000492	FBtr0085441						NA
ManzF3Heat_REP3.mLb.clN_peak_2443	chr2R	13925376	13925728	+	118	NA	promoter-TSS (FBgn0013733)	-promoter-TSS (FBgn0013733)	-14606	FBgn0013733	FBgn0013733	FBtr0304850						NA
ManzF3Heat_REP3.mLb.clN_peak_4308	chr3L	13113925	13114438	+	118	NA	promoter-TSS (FBgn0010452)	-promoter-TSS (FBgn0010452)	-90	FBgn0010452	FBgn0010452	FBtr0330075						NA
ManzF3Heat_REP3.mLb.clN_peak_357	chr2L	5403596	5404288	+	117	NA	promoter-TSS (FBgn0016660)	-promoter-TSS (FBgn0016660)	-691	FBgn0016660	FBgn0016660	FBtr0343225						NA
