PeakID (cmd=annotatePeaks.pl ManzF6HSan_REP3.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF6HSan_REP3.mLb.clN_peak_15128	chrX	8624732	8625207	+	268	NA	Intergenic	Intergenic	-18665	FBgn0030054	FBgn0030054	FBtr0071228						NA
ManzF6HSan_REP3.mLb.clN_peak_8375	chr3L	14427037	14427862	+	267	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2948	FBgn0267695	FBgn0267695	FBtr0347205						NA
ManzF6HSan_REP3.mLb.clN_peak_17122	chrX	23274075	23274310	+	265	NA	Intergenic	Intergenic	-3034	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF6HSan_REP3.mLb.clN_peak_14974	chrX	7702618	7702870	+	263	NA	intron (FBgn0029504, intron 1 of 5)	-intron (FBgn0029504, intron 1 of 5)	-5031	FBgn0262979	FBgn0262979	FBtr0344596						NA
ManzF6HSan_REP3.mLb.clN_peak_11356	chr3R	16249599	16250808	+	263	NA	intron (FBgn0040071, intron 1 of 1)	-intron (FBgn0040071, intron 1 of 1)	7387	FBgn0040071	FBgn0040071	FBtr0083258						NA
ManzF6HSan_REP3.mLb.clN_peak_5727	chr2R	20000109	20001221	+	262	NA	promoter-TSS (FBgn0050212)	-promoter-TSS (FBgn0050212)	-154	FBgn0053538	FBgn0053538	FBtr0100846						NA
ManzF6HSan_REP3.mLb.clN_peak_7314	chr3L	5184292	5185260	+	261	NA	promoter-TSS (FBgn0052423)	-promoter-TSS (FBgn0052423)	21	FBgn0052423	FBgn0052423	FBtr0308859						NA
ManzF6HSan_REP3.mLb.clN_peak_11415	chr3R	16763808	16764353	+	261	NA	intron (FBgn0020556, intron 1 of 2)	-intron (FBgn0020556, intron 1 of 2)	-12746	FBgn0063261	FBgn0063261	FBtr0083346						NA
ManzF6HSan_REP3.mLb.clN_peak_7707	chr3L	8675208	8676074	+	260	NA	promoter-TSS (FBgn0001168)	-promoter-TSS (FBgn0001168)	-118	FBgn0001168	FBgn0001168	FBtr0100153						NA
ManzF6HSan_REP3.mLb.clN_peak_8862	chr3L	18185601	18186458	+	260	NA	promoter-TSS (FBgn0003997)	-promoter-TSS (FBgn0003997)	-388	FBgn0003997	FBgn0003997	FBtr0332862						NA
ManzF6HSan_REP3.mLb.clN_peak_15043	chrX	8141454	8142345	+	260	NA	TTS (FBgn0030006)	-TTS (FBgn0030006)	380	FBgn0025800	FBgn0025800	FBtr0340159						NA
ManzF6HSan_REP3.mLb.clN_peak_14784	chrX	6343677	6344731	+	258	NA	TTS (FBgn0029866)	-TTS (FBgn0029866)	-2899	FBgn0029867	FBgn0029867	FBtr0070905						NA
ManzF6HSan_REP3.mLb.clN_peak_10230	chr3R	7000627	7001208	+	258	NA	exon (FBgn0267559, exon 1 of 1)	-exon (FBgn0267559, exon 1 of 1)	425	FBgn0267559	FBgn0267559	FBtr0346969						NA
ManzF6HSan_REP3.mLb.clN_peak_14669	chrX	5665698	5666363	+	257	NA	promoter-TSS (FBgn0028474)	-promoter-TSS (FBgn0028474)	-22	FBgn0028474	FBgn0028474	FBtr0340463						NA
ManzF6HSan_REP3.mLb.clN_peak_17142	chrX	23413217	23413627	+	257	NA	Intergenic	Intergenic	121722	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP3.mLb.clN_peak_4685	chr2R	13925330	13926159	+	257	NA	promoter-TSS (FBgn0013733)	-promoter-TSS (FBgn0013733)	-14798	FBgn0013733	FBgn0013733	FBtr0304850						NA
ManzF6HSan_REP3.mLb.clN_peak_9485	chr3L	22772798	22774270	+	255	NA	promoter-TSS (FBgn0052451)	-promoter-TSS (FBgn0052451)	-2	FBgn0052451	FBgn0052451	FBtr0078533						NA
ManzF6HSan_REP3.mLb.clN_peak_12270	chr3R	23601345	23602054	+	255	NA	promoter-TSS (FBgn0051143)	-promoter-TSS (FBgn0051143)	-244	FBgn0051143	FBgn0051143	FBtr0084482						NA
ManzF6HSan_REP3.mLb.clN_peak_10284	chr3R	7473264	7476037	+	254	NA	promoter-TSS (FBgn0037504)	-promoter-TSS (FBgn0037504)	346	FBgn0065099	FBgn0065099	FBtr0091929						NA
ManzF6HSan_REP3.mLb.clN_peak_8878	chr3L	18618163	18618533	+	254	NA	promoter-TSS (FBgn0052200)	-promoter-TSS (FBgn0052200)	-42	FBgn0052200	FBgn0052200	FBtr0075107						NA
ManzF6HSan_REP3.mLb.clN_peak_16955	chrX	21280782	21282049	+	252	NA	promoter-TSS (FBgn0052521)	-promoter-TSS (FBgn0052521)	-262	FBgn0052521	FBgn0052521	FBtr0310654						NA
ManzF6HSan_REP3.mLb.clN_peak_2982	chr2R	6171396	6172198	+	251	NA	promoter-TSS (FBgn0011890)	-promoter-TSS (FBgn0011890)	110	FBgn0050316	FBgn0050316	FBtr0085986						NA
ManzF6HSan_REP3.mLb.clN_peak_16748	chrX	19360854	19362005	+	251	NA	intron (FBgn0031016, intron 1 of 4)	-intron (FBgn0031016, intron 1 of 5)	8248	FBgn0031016	FBgn0031016	FBtr0309224						NA
ManzF6HSan_REP3.mLb.clN_peak_2967	chr2R	6120363	6121093	+	251	NA	intron (FBgn0000546, intron 4 of 7)	-intron (FBgn0000546, intron 3 of 6)	11113	FBgn0000546	FBgn0000546	FBtr0086008						NA
ManzF6HSan_REP3.mLb.clN_peak_8698	chr3L	16969607	16970215	+	250	NA	promoter-TSS (FBgn0261547)	-promoter-TSS (FBgn0261547)	-102	FBgn0261547	FBgn0261547	FBtr0302651						NA
ManzF6HSan_REP3.mLb.clN_peak_2718	chr2R	4509523	4510943	+	247	NA	Intergenic	Intergenic	2238	FBgn0264909	FBgn0264909	FBtr0334987						NA
ManzF6HSan_REP3.mLb.clN_peak_14525	chrX	4684359	4684835	+	247	NA	intron (FBgn0022768, intron 1 of 2)	-intron (FBgn0022768, intron 1 of 2)	2306	FBgn0022768	FBgn0022768	FBtr0343531						NA
ManzF6HSan_REP3.mLb.clN_peak_502	chr2L	4371763	4372078	+	247	NA	promoter-TSS (FBgn0026319)	-promoter-TSS (FBgn0026319)	-617	FBgn0266903	FBgn0266903	FBtr0445833						NA
ManzF6HSan_REP3.mLb.clN_peak_1669	chr2L	14094672	14094885	+	246	NA	TTS (FBgn0028875)	-TTS (FBgn0028875)	-9312	FBgn0283651	FBgn0283651	FBtr0445730						NA
ManzF6HSan_REP3.mLb.clN_peak_11081	chr3R	13983263	13984116	+	246	NA	promoter-TSS (FBgn0264493)	-promoter-TSS (FBgn0264493)	-11889	FBgn0264493	FBgn0264493	FBtr0301633						NA
ManzF6HSan_REP3.mLb.clN_peak_3912	chr2R	10270968	10272085	+	246	NA	promoter-TSS (FBgn0033504)	-promoter-TSS (FBgn0033504)	5455	FBgn0033502	FBgn0033502	FBtr0310142						NA
ManzF6HSan_REP3.mLb.clN_peak_4511	chr2R	13034908	13035844	+	246	NA	Intergenic	Intergenic	11880	FBgn0033788	FBgn0033788	FBtr0345360						NA
ManzF6HSan_REP3.mLb.clN_peak_1149	chr2L	9176067	9176926	+	245	NA	intron (FBgn0041092, intron 1 of 13)	-intron (FBgn0041092, intron 1 of 14)	9718	FBgn0041092	FBgn0041092	FBtr0304974						NA
ManzF6HSan_REP3.mLb.clN_peak_15915	chrX	13986412	13986849	+	244	NA	promoter-TSS (FBgn0267033)	-promoter-TSS (FBgn0267033)	2201	FBgn0267033	FBgn0267033	FBtr0346006						NA
ManzF6HSan_REP3.mLb.clN_peak_6608	chr3L	39933	40908	+	243	NA	Intergenic	Intergenic	14331	FBgn0262679	FBgn0262679	FBtr0305596						NA
ManzF6HSan_REP3.mLb.clN_peak_17136	chrX	23390046	23391018	+	242	NA	Intergenic	Intergenic	98832	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP3.mLb.clN_peak_8258	chr3L	13113917	13114542	+	242	NA	promoter-TSS (FBgn0010452)	-promoter-TSS (FBgn0010452)	-42	FBgn0010452	FBgn0010452	FBtr0330075						NA
ManzF6HSan_REP3.mLb.clN_peak_2208	chr2L	20428480	20429510	+	239	NA	promoter-TSS (FBgn0263355)	-promoter-TSS (FBgn0263355)	-30	FBgn0263355	FBgn0263355	FBtr0330204						NA
ManzF6HSan_REP3.mLb.clN_peak_8400	chr3L	14706470	14706890	+	239	NA	promoter-TSS (FBgn0259175)	-promoter-TSS (FBgn0259175)	-71	FBgn0259175	FBgn0259175	FBtr0333043						NA
ManzF6HSan_REP3.mLb.clN_peak_8837	chr3L	18062882	18063594	+	239	NA	intron (FBgn0000568, intron 1 of 7)	-intron (FBgn0000568, intron 1 of 7)	6912	FBgn0264748	FBgn0264748	FBtr0334132						NA
ManzF6HSan_REP3.mLb.clN_peak_7063	chr3L	3095465	3096900	+	238	NA	promoter-TSS (FBgn0052287)	-promoter-TSS (FBgn0052287)	-187	FBgn0052287	FBgn0052287	FBtr0073020						NA
ManzF6HSan_REP3.mLb.clN_peak_13068	chr3R	30449871	30450989	+	238	NA	promoter-TSS (FBgn0028646)	-promoter-TSS (FBgn0028646)	-24	FBgn0028646	FBgn0028646	FBtr0306586						NA
ManzF6HSan_REP3.mLb.clN_peak_9694	chr3R	27454	27835	+	237	NA	Intergenic	Intergenic	-539432	FBgn0267431	FBgn0267431	FBtr0392909						NA
ManzF6HSan_REP3.mLb.clN_peak_8041	chr3L	11291894	11292582	+	236	NA	intron (FBgn0036152, intron 1 of 3)	-intron (FBgn0036152, intron 1 of 2)	3681	FBgn0036152	FBgn0036152	FBtr0333389						NA
ManzF6HSan_REP3.mLb.clN_peak_7058	chr3L	3059838	3061320	+	236	NA	intron (FBgn0266918, intron 1 of 7)	-intron (FBgn0266918, intron 1 of 7)	5500	FBgn0035393	FBgn0035393	FBtr0072990						NA
ManzF6HSan_REP3.mLb.clN_peak_2854	chr2R	5701865	5702699	+	235	NA	promoter-TSS (FBgn0259978)	-promoter-TSS (FBgn0259978)	170	FBgn0259978	FBgn0259978	FBtr0307532						NA
ManzF6HSan_REP3.mLb.clN_peak_8251	chr3L	13044367	13044979	+	234	NA	promoter-TSS (FBgn0036341)	-promoter-TSS (FBgn0036341)	35	FBgn0036341	FBgn0036341	FBtr0332076						NA
ManzF6HSan_REP3.mLb.clN_peak_10377	chr3R	8181454	8182029	+	234	NA	promoter-TSS (FBgn0001138)	-promoter-TSS (FBgn0001138)	-297	FBgn0001138	FBgn0001138	FBtr0330188						NA
ManzF6HSan_REP3.mLb.clN_peak_16357	chrX	17076598	17078085	+	234	NA	exon (FBgn0030812, exon 2 of 15)	-exon (FBgn0030812, exon 2 of 15)	556	FBgn0030812	FBgn0030812	FBtr0330596						NA
ManzF6HSan_REP3.mLb.clN_peak_6122	chr2R	22569496	22570642	+	234	NA	intron (FBgn0260866, intron 1 of 3)	-intron (FBgn0260866, intron 1 of 3)	7762	FBgn0034737	FBgn0034737	FBtr0071836						NA
ManzF6HSan_REP3.mLb.clN_peak_10772	chr3R	11156763	11157356	+	233	NA	promoter-TSS (FBgn0040259)	-promoter-TSS (FBgn0040259)	-39	FBgn0040259	FBgn0040259	FBtr0082338						NA
ManzF6HSan_REP3.mLb.clN_peak_8898	chr3L	18765505	18766129	+	233	NA	promoter-TSS (FBgn0001078)	-promoter-TSS (FBgn0001078)	-73	FBgn0001078	FBgn0001078	FBtr0075086						NA
