PeakID (cmd=annotatePeaks.pl ManzF3Heat_REP1.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF3Heat_REP1.mLb.clN_peak_10610	chrX	8650840	8651140	+	260	NA	promoter-TSS (FBgn0004102)	-promoter-TSS (FBgn0004102)	-309	FBgn0004102	FBgn0004102	FBtr0331738						NA
ManzF3Heat_REP1.mLb.clN_peak_1090	chr2L	13060090	13060597	+	252	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-203	FBgn0262160	FBgn0262160	FBtr0336617						NA
ManzF3Heat_REP1.mLb.clN_peak_7294	chr3R	7474539	7475103	+	248	NA	exon (FBgn0065099, exon 1 of 1)	-exon (FBgn0065099, exon 1 of 1)	175	FBgn0065099	FBgn0065099	FBtr0091929						NA
ManzF3Heat_REP1.mLb.clN_peak_2177	chr2R	6480510	6481812	+	245	NA	Intergenic	Intergenic	20611	FBgn0267744	FBgn0267744	FBtr0347304						NA
ManzF3Heat_REP1.mLb.clN_peak_6760	chr3L	25133916	25134213	+	241	NA	Intergenic	Intergenic	13315	FBgn0260008	FBgn0260008	FBtr0343636						NA
ManzF3Heat_REP1.mLb.clN_peak_2064	chr2R	5726547	5727226	+	238	NA	promoter-TSS (FBgn0267978)	-promoter-TSS (FBgn0267978)	639	FBgn0267978	FBgn0267978	FBtr0335274						NA
ManzF3Heat_REP1.mLb.clN_peak_12105	chrX	23412508	23413646	+	238	NA	Intergenic	Intergenic	121377	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP1.mLb.clN_peak_6643	chr3L	22460806	22461366	+	237	NA	promoter-TSS (FBgn0037163)	-promoter-TSS (FBgn0037163)	45	FBgn0037163	FBgn0037163	FBtr0078508						NA
ManzF3Heat_REP1.mLb.clN_peak_1691	chr2L	20148462	20148691	+	232	NA	Intergenic	Intergenic	-13653	FBgn0032853	FBgn0032853	FBtr0345683						NA
ManzF3Heat_REP1.mLb.clN_peak_11867	chrX	21280978	21281488	+	225	NA	promoter-TSS (FBgn0052521)	-promoter-TSS (FBgn0052521)	-80	FBgn0052521	FBgn0052521	FBtr0310654						NA
ManzF3Heat_REP1.mLb.clN_peak_8135	chr3R	16763936	16764342	+	221	NA	intron (FBgn0020556, intron 1 of 2)	-intron (FBgn0020556, intron 1 of 2)	-12805	FBgn0063261	FBgn0063261	FBtr0083346						NA
ManzF3Heat_REP1.mLb.clN_peak_6817	chr3R	771749	771985	+	214	NA	intron (FBgn0267431, intron 1 of 21)	-intron (FBgn0267431, intron 1 of 21)	-49246	FBgn0085804	FBgn0085804	FBtr0114258						NA
ManzF3Heat_REP1.mLb.clN_peak_1293	chr2L	15057024	15057236	+	213	NA	intron (FBgn0000317, intron 1 of 11)	-intron (FBgn0000317, intron 1 of 11)	732	FBgn0000317	FBgn0000317	FBtr0343686						NA
ManzF3Heat_REP1.mLb.clN_peak_9649	chr4	989464	989733	+	209	NA	promoter-TSS (FBgn0019650)	-promoter-TSS (FBgn0019650)	-127	FBgn0019650	FBgn0019650	FBtr0479793						NA
ManzF3Heat_REP1.mLb.clN_peak_7244	chr3R	7000695	7001185	+	205	NA	exon (FBgn0267559, exon 1 of 1)	-exon (FBgn0267559, exon 1 of 1)	448	FBgn0267559	FBgn0267559	FBtr0346969						NA
ManzF3Heat_REP1.mLb.clN_peak_9376	chr3R	30912336	30912758	+	205	NA	promoter-TSS (FBgn0020912)	-promoter-TSS (FBgn0020912)	-207	FBgn0020912	FBgn0020912	FBtr0330094						NA
ManzF3Heat_REP1.mLb.clN_peak_3754	chr2R	20111050	20111508	+	203	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-232	FBgn0287775	FBgn0287775	FBtr0086309						NA
ManzF3Heat_REP1.mLb.clN_peak_9846	chrX	1134785	1135509	+	203	NA	promoter-TSS (FBgn0040397)	-promoter-TSS (FBgn0040397)	-251	FBgn0040397	FBgn0040397	FBtr0331340						NA
ManzF3Heat_REP1.mLb.clN_peak_2433	chr2R	8326849	8327566	+	200	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-283	FBgn0261588	FBgn0261588	FBtr0339350						NA
ManzF3Heat_REP1.mLb.clN_peak_3581	chr2R	18652781	18653147	+	197	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-188	FBgn0034371	FBgn0034371	FBtr0086657						NA
ManzF3Heat_REP1.mLb.clN_peak_12082	chrX	23281165	23281359	+	195	NA	promoter-TSS (FBgn0250731)	-promoter-TSS (FBgn0250731)	-985	FBgn0250731	FBgn0250731	FBtr0346901						NA
ManzF3Heat_REP1.mLb.clN_peak_7592	chr3R	10614295	10614695	+	195	NA	promoter-TSS (FBgn0001235)	-promoter-TSS (FBgn0001235)	-219	FBgn0001235	FBgn0001235	FBtr0100454						NA
ManzF3Heat_REP1.mLb.clN_peak_7766	chr3R	12467792	12468196	+	192	NA	promoter-TSS (FBgn0013277)	-promoter-TSS (FBgn0013277)	-218	FBgn0013277	FBgn0013277	FBtr0082679						NA
ManzF3Heat_REP1.mLb.clN_peak_9680	chr4	1288256	1289090	+	190	NA	Intergenic	Intergenic	57836	FBgn0053653	FBgn0053653	FBtr0333702						NA
ManzF3Heat_REP1.mLb.clN_peak_11663	chrX	19360921	19361567	+	190	NA	intron (FBgn0031016, intron 1 of 4)	-intron (FBgn0031016, intron 1 of 5)	8063	FBgn0031016	FBgn0031016	FBtr0309224						NA
ManzF3Heat_REP1.mLb.clN_peak_10234	chrX	4426741	4427159	+	189	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13488	FBgn0000179	FBgn0000179	FBtr0331162						NA
ManzF3Heat_REP1.mLb.clN_peak_11461	chrX	17768125	17768487	+	185	NA	promoter-TSS (FBgn0024184)	-promoter-TSS (FBgn0024184)	-263	FBgn0024184	FBgn0024184	FBtr0340627						NA
ManzF3Heat_REP1.mLb.clN_peak_12080	chrX	23273952	23274361	+	185	NA	Intergenic	Intergenic	-2998	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF3Heat_REP1.mLb.clN_peak_6806	chr3R	27433	27838	+	185	NA	Intergenic	Intergenic	-539441	FBgn0267431	FBgn0267431	FBtr0392909						NA
ManzF3Heat_REP1.mLb.clN_peak_1884	chr2L	22024358	22024799	+	184	NA	exon (FBgn0028979, exon 3 of 3)	-exon (FBgn0028979, exon 3 of 3)	5370	FBgn0028979	FBgn0028979	FBtr0335391						NA
ManzF3Heat_REP1.mLb.clN_peak_1976	chr2R	3140712	3141053	+	176	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74383	FBgn0260995	FBgn0260995	FBtr0334939						NA
ManzF3Heat_REP1.mLb.clN_peak_6778	chr3L	27006854	27008527	+	175	NA	Intergenic	Intergenic	76216	FBgn0063670	FBgn0063670	FBtr0333872						NA
ManzF3Heat_REP1.mLb.clN_peak_7883	chr3R	13875060	13875389	+	173	NA	promoter-TSS (FBgn0008646)	-promoter-TSS (FBgn0008646)	-308	FBgn0008646	FBgn0008646	FBtr0082880						NA
ManzF3Heat_REP1.mLb.clN_peak_6952	chr3R	4835391	4835614	+	171	NA	Intergenic	Intergenic	-4205	FBgn0037284	FBgn0037284	FBtr0078873						NA
ManzF3Heat_REP1.mLb.clN_peak_637	chr2L	7306853	7307146	+	169	NA	promoter-TSS (FBgn0284084)	-promoter-TSS (FBgn0284084)	-160	FBgn0284084	FBgn0284084	FBtr0079432						NA
ManzF3Heat_REP1.mLb.clN_peak_10701	chrX	9693817	9694185	+	168	NA	promoter-TSS (FBgn0000233)	-promoter-TSS (FBgn0000233)	-185	FBgn0000233	FBgn0000233	FBtr0071379						NA
ManzF3Heat_REP1.mLb.clN_peak_7885	chr3R	13901548	13901840	+	167	NA	promoter-TSS (FBgn0000576)	-promoter-TSS (FBgn0000576)	-159	FBgn0000576	FBgn0000576	FBtr0082863						NA
ManzF3Heat_REP1.mLb.clN_peak_1311	chr2L	15333553	15333888	+	164	NA	promoter-TSS (FBgn0287768)	-promoter-TSS (FBgn0287768)	-146	FBgn0287768	FBgn0287768	FBtr0080734						NA
ManzF3Heat_REP1.mLb.clN_peak_1307	chr2L	15264471	15264871	+	163	NA	promoter-TSS (FBgn0045842)	-promoter-TSS (FBgn0045842)	21	FBgn0045842	FBgn0045842	FBtr0415452						NA
ManzF3Heat_REP1.mLb.clN_peak_10338	chrX	5560512	5560890	+	160	NA	promoter-TSS (FBgn0263512)	-promoter-TSS (FBgn0263512)	-518	FBgn0263512	FBgn0263512	FBtr0343015						NA
ManzF3Heat_REP1.mLb.clN_peak_10808	chrX	10784479	10784691	+	160	NA	promoter-TSS (FBgn0003360)	-promoter-TSS (FBgn0003360)	2373	FBgn0003360	FBgn0003360	FBtr0346384						NA
ManzF3Heat_REP1.mLb.clN_peak_12103	chrX	23405603	23407572	+	159	NA	Intergenic	Intergenic	114887	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP1.mLb.clN_peak_7742	chr3R	12280762	12281090	+	157	NA	promoter-TSS (FBgn0003651)	-promoter-TSS (FBgn0003651)	-226	FBgn0003651	FBgn0003651	FBtr0479795						NA
ManzF3Heat_REP1.mLb.clN_peak_12070	chrX	23221045	23223641	+	157	NA	Intergenic	Intergenic	7891	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF3Heat_REP1.mLb.clN_peak_2829	chr2R	11475423	11475747	+	157	NA	promoter-TSS (FBgn0001269)	-promoter-TSS (FBgn0001269)	-123	FBgn0001269	FBgn0001269	FBtr0345673						NA
ManzF3Heat_REP1.mLb.clN_peak_6033	chr3L	16890883	16891312	+	156	NA	promoter-TSS (FBgn0261565)	-promoter-TSS (FBgn0261565)	3991	FBgn0261565	FBgn0261565	FBtr0479915						NA
ManzF3Heat_REP1.mLb.clN_peak_8134	chr3R	16702830	16703232	+	155	NA	intron (FBgn0003944, intron 1 of 1)	-intron (FBgn0003944, intron 3 of 3)	31395	FBgn0003944	FBgn0003944	FBtr0083352						NA
ManzF3Heat_REP1.mLb.clN_peak_8092	chr3R	16242357	16242883	+	155	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-196	FBgn0040071	FBgn0040071	FBtr0083258						NA
ManzF3Heat_REP1.mLb.clN_peak_1567	chr2L	18936209	18936362	+	154	NA	intron (FBgn0032723, intron 6 of 10)	-intron (FBgn0032723, intron 6 of 10)	7675	FBgn0032723	FBgn0032723	FBtr0342929						NA
ManzF3Heat_REP1.mLb.clN_peak_2420	chr2R	8237552	8238088	+	153	NA	promoter-TSS (FBgn0013726)	-promoter-TSS (FBgn0013726)	-33	FBgn0013726	FBgn0013726	FBtr0088793						NA
ManzF3Heat_REP1.mLb.clN_peak_6711	chr3L	22945074	22945837	+	153	NA	promoter-TSS (FBgn0037207)	-promoter-TSS (FBgn0037207)	-540	FBgn0037207	FBgn0037207	FBtr0078563						NA
ManzF3Heat_REP1.mLb.clN_peak_11515	chrX	18282237	18282745	+	153	NA	intron (FBgn0053542, intron 3 of 3)	-intron (FBgn0053542, intron 3 of 3)	5258	FBgn0053542	FBgn0053542	FBtr0113465						NA
ManzF3Heat_REP1.mLb.clN_peak_140	chr2L	1420316	1420760	+	152	NA	promoter-TSS (FBgn0002543)	-promoter-TSS (FBgn0002543)	-85	FBgn0002543	FBgn0002543	FBtr0329985						NA
ManzF3Heat_REP1.mLb.clN_peak_5680	chr3L	13113865	13114419	+	151	NA	promoter-TSS (FBgn0010452)	-promoter-TSS (FBgn0010452)	-129	FBgn0010452	FBgn0010452	FBtr0330075						NA
ManzF3Heat_REP1.mLb.clN_peak_9037	chr3R	27069831	27070332	+	151	NA	promoter-TSS (FBgn0003495)	-promoter-TSS (FBgn0003495)	-11	FBgn0003495	FBgn0003495	FBtr0114372						NA
ManzF3Heat_REP1.mLb.clN_peak_11729	chrX	19886864	19887680	+	150	NA	promoter-TSS (FBgn0052529)	-promoter-TSS (FBgn0052529)	2788	FBgn0086782	FBgn0086782	FBtr0074802						NA
ManzF3Heat_REP1.mLb.clN_peak_3738	chr2R	20000041	20000901	+	150	NA	promoter-TSS (FBgn0050212)	-promoter-TSS (FBgn0050212)	-103	FBgn0050212	FBgn0050212	FBtr0086326						NA
ManzF3Heat_REP1.mLb.clN_peak_7399	chr3R	8477565	8477898	+	150	NA	promoter-TSS (FBgn0266801)	-promoter-TSS (FBgn0266801)	-114	FBgn0266801	FBgn0266801	FBtr0346729						NA
ManzF3Heat_REP1.mLb.clN_peak_11618	chrX	19028669	19028865	+	148	NA	TTS (FBgn0264090)	-TTS (FBgn0264090)	-21675	FBgn0085358	FBgn0085358	FBtr0344305						NA
ManzF3Heat_REP1.mLb.clN_peak_1710	chr2L	20428821	20429453	+	147	NA	exon (FBgn0263355, exon 1 of 5)	-exon (FBgn0263355, exon 1 of 5)	112	FBgn0263355	FBgn0263355	FBtr0330204						NA
ManzF3Heat_REP1.mLb.clN_peak_7769	chr3R	12505866	12506045	+	147	NA	TTS (FBgn0267866)	-TTS (FBgn0267866)	162	FBgn0013278	FBgn0013278	FBtr0082637						NA
ManzF3Heat_REP1.mLb.clN_peak_4366	chr2R	25268771	25269515	+	146	NA	Intergenic	Intergenic	17216	FBgn0050428	FBgn0050428	FBtr0343515						NA
ManzF3Heat_REP1.mLb.clN_peak_6633	chr3L	22407617	22408481	+	145	NA	promoter-TSS (FBgn0004449)	-promoter-TSS (FBgn0004449)	-186	FBgn0004449	FBgn0004449	FBtr0330159						NA
ManzF3Heat_REP1.mLb.clN_peak_7587	chr3R	10535830	10536017	+	144	NA	intron (FBgn0001235, intron 8 of 13)	-intron (FBgn0001235, intron 8 of 13)	-45707	FBgn0267136	FBgn0267136	FBtr0346258						NA
ManzF3Heat_REP1.mLb.clN_peak_11307	chrX	16216815	16217817	+	144	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-570	FBgn0000459	FBgn0000459	FBtr0074250						NA
ManzF3Heat_REP1.mLb.clN_peak_4093	chr2R	22998622	22999076	+	144	NA	promoter-TSS (FBgn0034808)	-promoter-TSS (FBgn0034808)	35	FBgn0034808	FBgn0034808	FBtr0071988						NA
ManzF3Heat_REP1.mLb.clN_peak_8401	chr3R	19802289	19802772	+	143	NA	promoter-TSS (FBgn0051471)	-promoter-TSS (FBgn0051471)	-160	FBgn0051471	FBgn0051471	FBtr0083794						NA
ManzF3Heat_REP1.mLb.clN_peak_6399	chr3L	20621631	20622184	+	143	NA	Intergenic	Intergenic	-1248	FBgn0001323	FBgn0001323	FBtr0346815						NA
ManzF3Heat_REP1.mLb.clN_peak_11519	chrX	18312547	18312922	+	142	NA	promoter-TSS (FBgn0267169)	-promoter-TSS (FBgn0267169)	-808	FBgn0267169	FBgn0267169	FBtr0346289						NA
ManzF3Heat_REP1.mLb.clN_peak_9318	chr3R	30450102	30450604	+	142	NA	promoter-TSS (FBgn0028646)	-promoter-TSS (FBgn0028646)	53	FBgn0028646	FBgn0028646	FBtr0306586						NA
ManzF3Heat_REP1.mLb.clN_peak_4568	chr3L	1586445	1586844	+	141	NA	promoter-TSS (FBgn0035237)	-promoter-TSS (FBgn0035237)	-50	FBgn0035237	FBgn0035237	FBtr0347066						NA
ManzF3Heat_REP1.mLb.clN_peak_5802	chr3L	14427154	14427788	+	140	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2970	FBgn0267695	FBgn0267695	FBtr0347205						NA
ManzF3Heat_REP1.mLb.clN_peak_12119	chrX	23525846	23526751	+	140	NA	Intergenic	Intergenic	234598	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP1.mLb.clN_peak_8088	chr3R	16224269	16224933	+	140	NA	TTS (FBgn0267203)	-TTS (FBgn0267203)	1206	FBgn0267203	FBgn0267203	FBtr0346358						NA
ManzF3Heat_REP1.mLb.clN_peak_4780	chr3L	3626070	3626421	+	139	NA	promoter-TSS (FBgn0263239)	-promoter-TSS (FBgn0263239)	-107	FBgn0263239	FBgn0263239	FBtr0113134						NA
ManzF3Heat_REP1.mLb.clN_peak_10621	chrX	8805771	8806118	+	139	NA	promoter-TSS (FBgn0026411)	-promoter-TSS (FBgn0026411)	-20591	FBgn0026411	FBgn0026411	FBtr0071279						NA
ManzF3Heat_REP1.mLb.clN_peak_5639	chr3L	12609311	12609809	+	138	NA	promoter-TSS (FBgn0015919)	-promoter-TSS (FBgn0015919)	-71	FBgn0015919	FBgn0015919	FBtr0075909						NA
ManzF3Heat_REP1.mLb.clN_peak_472	chr2L	5461269	5461659	+	138	NA	promoter-TSS (FBgn0261963)	-promoter-TSS (FBgn0261963)	-175	FBgn0261963	FBgn0261963	FBtr0079093						NA
ManzF3Heat_REP1.mLb.clN_peak_8405	chr3R	19836657	19837063	+	138	NA	promoter-TSS (FBgn0014135)	-promoter-TSS (FBgn0014135)	-43	FBgn0014135	FBgn0014135	FBtr0344549						NA
ManzF3Heat_REP1.mLb.clN_peak_7257	chr3R	7123758	7124039	+	137	NA	promoter-TSS (FBgn0037472)	-promoter-TSS (FBgn0037472)	287	FBgn0261238	FBgn0261238	FBtr0334677						NA
ManzF3Heat_REP1.mLb.clN_peak_1883	chr2L	22018828	22019421	+	137	NA	promoter-TSS (FBgn0028979)	-promoter-TSS (FBgn0028979)	-84	FBgn0053987	FBgn0053987	FBtr0100032						NA
ManzF3Heat_REP1.mLb.clN_peak_4177	chr2R	23666822	23667300	+	136	NA	promoter-TSS (FBgn0266377)	-promoter-TSS (FBgn0266377)	1767	FBgn0266377	FBgn0266377	FBtr0344181						NA
ManzF3Heat_REP1.mLb.clN_peak_165	chr2L	1669654	1669985	+	136	NA	intron (FBgn0086758, intron 1 of 5)	-intron (FBgn0086758, intron 2 of 6)	18561	FBgn0086758	FBgn0086758	FBtr0303934						NA
ManzF3Heat_REP1.mLb.clN_peak_1238	chr2L	14490167	14490968	+	136	NA	promoter-TSS (FBgn0005771)	-promoter-TSS (FBgn0005771)	-292	FBgn0005771	FBgn0005771	FBtr0080643						NA
ManzF3Heat_REP1.mLb.clN_peak_6751	chr3L	24737956	24739201	+	136	NA	intron (FBgn0287186, intron 3 of 5)	-intron (FBgn0287186, intron 4 of 6)	14416	FBgn0287186	FBgn0287186	FBtr0339923						NA
ManzF3Heat_REP1.mLb.clN_peak_9331	chr3R	30532274	30532734	+	136	NA	promoter-TSS (FBgn0082582)	-promoter-TSS (FBgn0082582)	-103	FBgn0082582	FBgn0082582	FBtr0306686						NA
ManzF3Heat_REP1.mLb.clN_peak_6781	chr3L	27071934	27072266	+	135	NA	Intergenic	Intergenic	11806	FBgn0063670	FBgn0063670	FBtr0333872						NA
ManzF3Heat_REP1.mLb.clN_peak_3001	chr2R	13015606	13016297	+	135	NA	Intergenic	Intergenic	19450	FBgn0265623	FBgn0265623	FBtr0330613						NA
ManzF3Heat_REP1.mLb.clN_peak_4667	chr3L	2489948	2490259	+	134	NA	promoter-TSS (FBgn0035346)	-promoter-TSS (FBgn0035346)	-497	FBgn0035346	FBgn0035346	FBtr0344219						NA
ManzF3Heat_REP1.mLb.clN_peak_9508	chr3R	31985262	31985909	+	134	NA	exon (FBgn0011224, exon 1 of 14)	-exon (FBgn0011224, exon 1 of 14)	-1264	FBgn0039886	FBgn0039886	FBtr0085871						NA
ManzF3Heat_REP1.mLb.clN_peak_12118	chrX	23524395	23524902	+	134	NA	Intergenic	Intergenic	232948	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP1.mLb.clN_peak_4168	chr2R	23580637	23581043	+	133	NA	promoter-TSS (FBgn0015903)	-promoter-TSS (FBgn0015903)	-15752	FBgn0015903	FBgn0015903	FBtr0332926						NA
ManzF3Heat_REP1.mLb.clN_peak_4002	chr2R	22270617	22270934	+	133	NA	promoter-TSS (FBgn0020307)	-promoter-TSS (FBgn0020307)	-143	FBgn0020307	FBgn0020307	FBtr0071776						NA
