PeakID (cmd=annotatePeaks.pl AkaaF6Ctrl_REP2.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF6Ctrl_REP2.mLb.clN_peak_17008	chrX	23537054	23538424	+	1062	NA	Intergenic	Intergenic	246039	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16977	chrX	23278010	23280482	+	951	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	764	FBgn0267522	FBgn0267522	FBtr0346902						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_9854	chr3L	27126142	27127542	+	891	NA	Intergenic	Intergenic	-8342	FBgn0267985	FBgn0267985	FBtr0347582						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16982	chrX	23327299	23328953	+	888	NA	Intergenic	Intergenic	36426	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_7760	chr3L	8724750	8726617	+	884	NA	promoter-TSS (FBgn0264696)	-promoter-TSS (FBgn0264696)	91	FBgn0264696	FBgn0264696	FBtr0333890						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16999	chrX	23438810	23442082	+	881	NA	Intergenic	Intergenic	148746	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16878	chrX	22382672	22383871	+	777	NA	Intergenic	Intergenic	-60956	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16869	chrX	21796904	21797148	+	717	NA	Intergenic	Intergenic	163590	FBgn0267704	FBgn0267704	FBtr0347227						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16964	chrX	23210948	23211280	+	559	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-78	FBgn0085813	FBgn0085813	FBtr0346892						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16966	chrX	23214299	23215003	+	554	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	199	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16978	chrX	23281089	23281368	+	543	NA	promoter-TSS (FBgn0250731)	-promoter-TSS (FBgn0250731)	-951	FBgn0250731	FBgn0250731	FBtr0346901						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_1652	chr2L	13060082	13060628	+	521	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-215	FBgn0262160	FBgn0262160	FBtr0336617						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_5716	chr2R	20111054	20111728	+	490	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-120	FBgn0287775	FBgn0287775	FBtr0086309						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_2831	chr2R	3140716	3141066	+	475	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74392	FBgn0260995	FBgn0260995	FBtr0334939						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_14825	chrX	5754606	5756090	+	472	NA	promoter-TSS (FBgn0029801)	-promoter-TSS (FBgn0029801)	-226	FBgn0029801	FBgn0029801	FBtr0345789						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16875	chrX	22354413	22354716	+	465	NA	Intergenic	Intergenic	-89663	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_3152	chr2R	6171398	6171907	+	463	NA	promoter-TSS (FBgn0050316)	-promoter-TSS (FBgn0050316)	-35	FBgn0050316	FBgn0050316	FBtr0085986						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_1969	chr2L	16525892	16526529	+	459	NA	intron (FBgn0032587, intron 2 of 2)	-intron (FBgn0032587, intron 2 of 2)	2712	FBgn0086038	FBgn0086038	FBtr0114314						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16969	chrX	23227024	23228782	+	440	NA	Intergenic	Intergenic	-11815	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_8116	chr3L	11552932	11553696	+	439	NA	promoter-TSS (FBgn0259481)	-promoter-TSS (FBgn0259481)	-8682	FBgn0036173	FBgn0036173	FBtr0333215						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_11528	chr3R	16242314	16242916	+	431	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-201	FBgn0040071	FBgn0040071	FBtr0083258						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_5486	chr2R	18652699	18653186	+	424	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-166	FBgn0034371	FBgn0034371	FBtr0086657						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16147	chrX	16216682	16217862	+	421	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-526	FBgn0000459	FBgn0000459	FBtr0074250						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_3199	chr2R	6480403	6481812	+	404	NA	Intergenic	Intergenic	20665	FBgn0267744	FBgn0267744	FBtr0347304						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_11207	chr3R	13983253	13984112	+	402	NA	promoter-TSS (FBgn0264493)	-promoter-TSS (FBgn0264493)	-11882	FBgn0264493	FBgn0264493	FBtr0301633						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_8474	chr3L	14673710	14675318	+	401	NA	promoter-TSS (FBgn0011927)	-promoter-TSS (FBgn0011927)	170	FBgn0011928	FBgn0011928	FBtr0075681						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_6587	chr2R	25268003	25269506	+	398	NA	Intergenic	Intergenic	16827	FBgn0050428	FBgn0050428	FBtr0343515						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_4266	chr2R	11603172	11603745	+	396	NA	intron (FBgn0033636, intron 1 of 15)	-intron (FBgn0033636, intron 1 of 16)	1478	FBgn0033636	FBgn0033636	FBtr0113066						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_7088	chr3L	3059898	3061324	+	395	NA	intron (FBgn0266918, intron 1 of 7)	-intron (FBgn0266918, intron 1 of 7)	5532	FBgn0035393	FBgn0035393	FBtr0072990						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_1289	chr2L	9782119	9782972	+	389	NA	exon (FBgn0032147, exon 1 of 4)	-exon (FBgn0032147, exon 1 of 4)	-3701	FBgn0032147	FBgn0032147	FBtr0307204						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_6585	chr2R	25262576	25262943	+	385	NA	Intergenic	Intergenic	10832	FBgn0050428	FBgn0050428	FBtr0343515						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_8456	chr3L	14550655	14551791	+	383	NA	promoter-TSS (FBgn0036428)	-promoter-TSS (FBgn0036428)	-248	FBgn0036428	FBgn0036428	FBtr0333037						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_3595	chr2R	8326874	8327665	+	382	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-221	FBgn0261588	FBgn0261588	FBtr0339350						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_15153	chrX	8294028	8296003	+	377	NA	intron (FBgn0015519, intron 6 of 11)	-intron (FBgn0015519, intron 6 of 11)	-21209	FBgn0030029	FBgn0030029	FBtr0071178						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_6334	chr2R	23839648	23840396	+	373	NA	promoter-TSS (FBgn0086659)	-promoter-TSS (FBgn0086659)	42	FBgn0086659	FBgn0086659	FBtr0091917						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_2229	chr2L	19157930	19159031	+	370	NA	promoter-TSS (FBgn0010300)	-promoter-TSS (FBgn0010300)	819	FBgn0266312	FBgn0266312	FBtr0344041						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_1825	chr2L	14490166	14491129	+	366	NA	promoter-TSS (FBgn0005771)	-promoter-TSS (FBgn0005771)	-212	FBgn0005771	FBgn0005771	FBtr0080643						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_14647	chrX	4426700	4427244	+	359	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13510	FBgn0000179	FBgn0000179	FBtr0331162						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_4542	chr2R	13034983	13035782	+	357	NA	Intergenic	Intergenic	11874	FBgn0033788	FBgn0033788	FBtr0345360						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_8442	chr3L	14427015	14427788	+	356	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2900	FBgn0267695	FBgn0267695	FBtr0347205						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_15129	chrX	8141359	8142376	+	355	NA	TTS (FBgn0030006)	-TTS (FBgn0030006)	412	FBgn0025800	FBgn0025800	FBtr0340159						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_278	chr2L	2130090	2131053	+	353	NA	promoter-TSS (FBgn0004507)	-promoter-TSS (FBgn0004507)	-242	FBgn0004507	FBgn0004507	FBtr0077828						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_7742	chr3L	8674941	8676099	+	351	NA	promoter-TSS (FBgn0001168)	-promoter-TSS (FBgn0001168)	-239	FBgn0001168	FBgn0001168	FBtr0100153						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_6878	chr3L	1586384	1587448	+	348	NA	exon (FBgn0035237, exon 1 of 5)	-exon (FBgn0035237, exon 1 of 5)	222	FBgn0035237	FBgn0035237	FBtr0347066						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_5693	chr2R	19999812	20001113	+	346	NA	promoter-TSS (FBgn0050212)	-promoter-TSS (FBgn0050212)	-94	FBgn0050212	FBgn0050212	FBtr0086326						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_9605	chr3L	22406918	22408538	+	345	NA	promoter-TSS (FBgn0267624)	-promoter-TSS (FBgn0267624)	135	FBgn0004449	FBgn0004449	FBtr0330159						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_13513	chr3R	31688987	31690581	+	345	NA	promoter-TSS (FBgn0267125)	-promoter-TSS (FBgn0267125)	94	FBgn0267125	FBgn0267125	FBtr0346220						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16687	chrX	19886850	19887967	+	345	NA	promoter-TSS (FBgn0052529)	-promoter-TSS (FBgn0052529)	2652	FBgn0086782	FBgn0086782	FBtr0074802						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_15344	chrX	9693800	9694307	+	342	NA	promoter-TSS (FBgn0000233)	-promoter-TSS (FBgn0000233)	-133	FBgn0000233	FBgn0000233	FBtr0071379						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_7514	chr3L	6903996	6904459	+	336	NA	Intergenic	Intergenic	9737	FBgn0041194	FBgn0041194	FBtr0076945						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_13516	chr3R	31712911	31714067	+	335	NA	promoter-TSS (FBgn0003870)	-promoter-TSS (FBgn0003870)	4214	FBgn0054046	FBgn0054046	FBtr0308935						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16804	chrX	21280784	21281933	+	334	NA	promoter-TSS (FBgn0052521)	-promoter-TSS (FBgn0052521)	-205	FBgn0052521	FBgn0052521	FBtr0310654						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_1027	chr2L	7984095	7984617	+	333	NA	promoter-TSS (FBgn0031968)	-promoter-TSS (FBgn0031968)	-927	FBgn0031968	FBgn0031968	FBtr0306336						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_15321	chrX	9515555	9515748	+	332	NA	intron (FBgn0267253, intron 1 of 2)	-intron (FBgn0267253, intron 1 of 2)	4127	FBgn0054028	FBgn0054028	FBtr0100083						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_1777	chr2L	14094671	14094907	+	328	NA	TTS (FBgn0028875)	-TTS (FBgn0028875)	-9301	FBgn0283651	FBgn0283651	FBtr0445730						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_10739	chr3R	9808575	9809463	+	326	NA	exon (FBgn0037760, exon 1 of 4)	-exon (FBgn0037760, exon 1 of 4)	349	FBgn0037760	FBgn0037760	FBtr0334684						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_10216	chr3R	5547172	5547886	+	324	NA	TTS (FBgn0014342)	-TTS (FBgn0014342)	246	FBgn0037336	FBgn0037336	FBtr0078762						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_11530	chr3R	16249506	16250813	+	323	NA	intron (FBgn0040071, intron 1 of 1)	-intron (FBgn0040071, intron 1 of 1)	7343	FBgn0040071	FBgn0040071	FBtr0083258						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_13656	chr4	359787	360637	+	323	NA	exon (FBgn0039904, exon 1 of 13)	-exon (FBgn0039904, exon 1 of 13)	274	FBgn0039904	FBgn0039904	FBtr0345284						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_14082	chrX	935053	935984	+	322	NA	promoter-TSS (FBgn0040340)	-promoter-TSS (FBgn0040340)	92	FBgn0040340	FBgn0040340	FBtr0332589						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_3052	chr2R	5781855	5783087	+	322	NA	exon (FBgn0025693, exon 1 of 10)	-exon (FBgn0025693, exon 1 of 10)	387	FBgn0025693	FBgn0025693	FBtr0086056						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_9010	chr3L	18765567	18766163	+	321	NA	promoter-TSS (FBgn0001078)	-promoter-TSS (FBgn0001078)	-121	FBgn0001078	FBgn0001078	FBtr0075086						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16994	chrX	23405791	23407587	+	320	NA	Intergenic	Intergenic	114989	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_13909	chrX	52446	54939	+	319	NA	Intergenic	Intergenic	-68801	FBgn0058469	FBgn0058469	FBtr0307364						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_8954	chr3L	18185543	18186459	+	317	NA	promoter-TSS (FBgn0003997)	-promoter-TSS (FBgn0003997)	-360	FBgn0003997	FBgn0003997	FBtr0332862						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_10062	chr3R	4820459	4821638	+	317	NA	exon (FBgn0037282, exon 1 of 3)	-exon (FBgn0037282, exon 1 of 3)	384	FBgn0037282	FBgn0037282	FBtr0334901						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_10083	chr3R	4951710	4952771	+	317	NA	intron (FBgn0004436, intron 1 of 2)	-intron (FBgn0004436, intron 1 of 2)	442	FBgn0004436	FBgn0004436	FBtr0306106						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16424	chrX	18282245	18282745	+	316	NA	intron (FBgn0053542, intron 3 of 3)	-intron (FBgn0053542, intron 3 of 3)	5262	FBgn0053542	FBgn0053542	FBtr0113465						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16653	chrX	19682882	19684166	+	315	NA	promoter-TSS (FBgn0031057)	-promoter-TSS (FBgn0031057)	-6	FBgn0043903	FBgn0043903	FBtr0074756						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_2405	chr2L	20416539	20417904	+	314	NA	promoter-TSS (FBgn0032858)	-promoter-TSS (FBgn0032858)	164	FBgn0032859	FBgn0032859	FBtr0346418						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16583	chrX	19297895	19298917	+	313	NA	promoter-TSS (FBgn0031011)	-promoter-TSS (FBgn0031011)	3467	FBgn0065084	FBgn0065084	FBtr0091699						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_532	chr2L	4371652	4372059	+	312	NA	promoter-TSS (FBgn0026319)	-promoter-TSS (FBgn0026319)	-552	FBgn0266903	FBgn0266903	FBtr0445833						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_9011	chr3L	18771035	18772227	+	312	NA	TTS (FBgn0267601)	-TTS (FBgn0267601)	-5887	FBgn0001078	FBgn0001078	FBtr0075086						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16711	chrX	20158856	20160139	+	312	NA	TTS (FBgn0031091)	-TTS (FBgn0031091)	375	FBgn0031090	FBgn0031090	FBtr0333549						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_6505	chr2R	24767533	24768655	+	310	NA	promoter-TSS (FBgn0027590)	-promoter-TSS (FBgn0027590)	-387	FBgn0027590	FBgn0027590	FBtr0072436						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_11592	chr3R	16763793	16764365	+	308	NA	intron (FBgn0020556, intron 1 of 2)	-intron (FBgn0020556, intron 1 of 2)	-12745	FBgn0063261	FBgn0063261	FBtr0083346						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_4540	chr2R	13014392	13016182	+	308	NA	Intergenic	Intergenic	18786	FBgn0265623	FBgn0265623	FBtr0330613						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_8940	chr3L	18105480	18106826	+	308	NA	promoter-TSS (FBgn0036774)	-promoter-TSS (FBgn0036774)	-4	FBgn0036773	FBgn0036773	FBtr0333698						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_16042	chrX	15332959	15334209	+	307	NA	promoter-TSS (FBgn0026428)	-promoter-TSS (FBgn0026428)	274	FBgn0026428	FBgn0026428	FBtr0330405						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_3140	chr2R	6131828	6132358	+	307	NA	promoter-TSS (FBgn0000546)	-promoter-TSS (FBgn0000546)	-252	FBgn0000546	FBgn0000546	FBtr0086008						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_8422	chr3L	14273970	14274624	+	307	NA	promoter-TSS (FBgn0001085)	-promoter-TSS (FBgn0001085)	-46	FBgn0001085	FBgn0001085	FBtr0330102						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_11056	chr3R	12467798	12468038	+	307	NA	promoter-TSS (FBgn0013277)	-promoter-TSS (FBgn0013277)	-142	FBgn0013277	FBgn0013277	FBtr0082679						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_4536	chr2R	12996207	12997671	+	306	NA	promoter-TSS (FBgn0265623)	-promoter-TSS (FBgn0265623)	438	FBgn0265623	FBgn0265623	FBtr0330613						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_12772	chr3R	26041467	26042998	+	305	NA	promoter-TSS (FBgn0001139)	-promoter-TSS (FBgn0001139)	496	FBgn0001139	FBgn0001139	FBtr0339900						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_9813	chr3L	24737910	24739138	+	305	NA	intron (FBgn0287186, intron 3 of 5)	-intron (FBgn0287186, intron 4 of 6)	14362	FBgn0287186	FBgn0287186	FBtr0339923						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_1536	chr2L	11970774	11971546	+	305	NA	promoter-TSS (FBgn0263019)	-promoter-TSS (FBgn0263019)	-66	FBgn0263019	FBgn0263019	FBtr0306899						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_13901	chr4	1276996	1279450	+	304	NA	Intergenic	Intergenic	47386	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_14701	chrX	4684359	4684868	+	303	NA	intron (FBgn0022768, intron 1 of 2)	-intron (FBgn0022768, intron 1 of 2)	2290	FBgn0022768	FBgn0022768	FBtr0343531						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_5268	chr2R	17265006	17266169	+	302	NA	promoter-TSS (FBgn0265487)	-promoter-TSS (FBgn0265487)	3248	FBgn0267659	FBgn0267659	FBtr0347117						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_8109	chr3L	11487250	11488128	+	302	NA	exon (FBgn0036165, exon 1 of 4)	-exon (FBgn0036165, exon 1 of 4)	-6182	FBgn0036165	FBgn0036165	FBtr0344910						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_1940	chr2L	16284345	16285513	+	302	NA	intron (FBgn0001994, intron 1 of 2)	-intron (FBgn0001994, intron 1 of 2)	2801	FBgn0001994	FBgn0001994	FBtr0343814						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_13882	chr4	1198110	1199638	+	301	NA	promoter-TSS (FBgn0263112)	-promoter-TSS (FBgn0263112)	16	FBgn0263112	FBgn0263112	FBtr0307329						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_11591	chr3R	16702745	16703363	+	301	NA	intron (FBgn0003944, intron 1 of 1)	-intron (FBgn0003944, intron 3 of 3)	31372	FBgn0003944	FBgn0003944	FBtr0083352						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_12472	chr3R	23601345	23602080	+	300	NA	promoter-TSS (FBgn0051143)	-promoter-TSS (FBgn0051143)	-257	FBgn0051143	FBgn0051143	FBtr0084482						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_3242	chr2R	6661870	6663922	+	299	NA	promoter-TSS (FBgn0266518)	-promoter-TSS (FBgn0266518)	631	FBgn0284249	FBgn0284249	FBtr0330252						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_13908	chr4	1316831	1319795	+	299	NA	Intergenic	Intergenic	87476	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_1574	chr2L	12365957	12366538	+	298	NA	promoter-TSS (FBgn0262475)	-promoter-TSS (FBgn0262475)	9806	FBgn0032424	FBgn0032424	FBtr0080354						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_10394	chr3R	7000584	7001212	+	298	NA	exon (FBgn0267559, exon 1 of 1)	-exon (FBgn0267559, exon 1 of 1)	406	FBgn0267559	FBgn0267559	FBtr0346969						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_7752	chr3L	8699784	8700772	+	297	NA	Intergenic	Intergenic	7575	FBgn0265719	FBgn0265719	FBtr0340661						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_1892	chr2L	15263947	15265017	+	296	NA	promoter-TSS (FBgn0045842)	-promoter-TSS (FBgn0045842)	210	FBgn0045842	FBgn0045842	FBtr0415452						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_12320	chr3R	22396480	22397869	+	295	NA	promoter-TSS (FBgn0051166)	-promoter-TSS (FBgn0051166)	87	FBgn0051167	FBgn0051167	FBtr0084232						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_479	chr2L	3771098	3772202	+	293	NA	promoter-TSS (FBgn0004893)	-promoter-TSS (FBgn0004893)	-270	FBgn0004893	FBgn0004893	FBtr0307029						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_13576	chr3R	31985116	31985930	+	293	NA	exon (FBgn0011224, exon 1 of 14)	-exon (FBgn0011224, exon 1 of 14)	-1326	FBgn0039886	FBgn0039886	FBtr0085871						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_2767	chr2R	870293	870589	+	293	NA	Intergenic	Intergenic	15627	FBgn0284080	FBgn0284080	FBtr0452096						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_9898	chr3R	27443	27835	+	293	NA	Intergenic	Intergenic	-539437	FBgn0267431	FBgn0267431	FBtr0392909						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_10065	chr3R	4852375	4852978	+	291	NA	promoter-TSS (FBgn0003002)	-promoter-TSS (FBgn0003002)	-137	FBgn0003002	FBgn0003002	FBtr0479794						NA
AkaaF6Ctrl_REP2.mLb.clN_peak_8268	chr3L	12692758	12693748	+	290	NA	promoter-TSS (FBgn0014343)	-promoter-TSS (FBgn0014343)	-386	FBgn0014343	FBgn0014343	FBtr0330077						NA
