PeakID (cmd=annotatePeaks.pl ManzF3Ctrl_REP1.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF3Ctrl_REP1.mLb.clN_peak_19866	chrX	21796822	21797154	+	1444	NA	Intergenic	Intergenic	163552	FBgn0267704	FBgn0267704	FBtr0347227						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19970	chrX	23205214	23206524	+	1391	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	47	FBgn0267515	FBgn0267515	FBtr0346891						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19991	chrX	23326624	23328427	+	1215	NA	Intergenic	Intergenic	35825	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19986	chrX	23278008	23280458	+	1070	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	777	FBgn0267522	FBgn0267522	FBtr0346902						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19989	chrX	23291028	23292001	+	906	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-35	FBgn0267523	FBgn0267523	FBtr0346897						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19978	chrX	23228383	23228792	+	889	NA	Intergenic	Intergenic	-11131	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF3Ctrl_REP1.mLb.clN_peak_20019	chrX	23537569	23538338	+	858	NA	Intergenic	Intergenic	246253	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19973	chrX	23214876	23214993	+	856	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	482	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF3Ctrl_REP1.mLb.clN_peak_20012	chrX	23438836	23442078	+	804	NA	Intergenic	Intergenic	148757	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP1.mLb.clN_peak_3049	chr2R	870290	870591	+	728	NA	Intergenic	Intergenic	15626	FBgn0284080	FBgn0284080	FBtr0452096						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19987	chrX	23281113	23281367	+	567	NA	promoter-TSS (FBgn0250731)	-promoter-TSS (FBgn0250731)	-963	FBgn0250731	FBgn0250731	FBtr0346901						NA
ManzF3Ctrl_REP1.mLb.clN_peak_20004	chrX	23406972	23407589	+	566	NA	Intergenic	Intergenic	115580	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19874	chrX	22382664	22383857	+	533	NA	Intergenic	Intergenic	-60967	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF3Ctrl_REP1.mLb.clN_peak_3531	chr2R	6480502	6481739	+	528	NA	Intergenic	Intergenic	20652	FBgn0267744	FBgn0267744	FBtr0347304						NA
ManzF3Ctrl_REP1.mLb.clN_peak_11352	chr3L	27126139	27127603	+	478	NA	Intergenic	Intergenic	-8313	FBgn0267985	FBgn0267985	FBtr0347582						NA
ManzF3Ctrl_REP1.mLb.clN_peak_6516	chr2R	20111087	20111492	+	421	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-222	FBgn0287775	FBgn0287775	FBtr0086309						NA
ManzF3Ctrl_REP1.mLb.clN_peak_12098	chr3R	7474557	7475095	+	412	NA	exon (FBgn0065099, exon 1 of 1)	-exon (FBgn0065099, exon 1 of 1)	170	FBgn0065099	FBgn0065099	FBtr0091929						NA
ManzF3Ctrl_REP1.mLb.clN_peak_17913	chrX	9515561	9515751	+	409	NA	intron (FBgn0267253, intron 1 of 2)	-intron (FBgn0267253, intron 1 of 2)	4132	FBgn0054028	FBgn0054028	FBtr0100083						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19871	chrX	22354405	22354690	+	400	NA	Intergenic	Intergenic	-89680	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF3Ctrl_REP1.mLb.clN_peak_13501	chr3R	16242327	16242882	+	391	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-212	FBgn0040071	FBgn0040071	FBtr0083258						NA
ManzF3Ctrl_REP1.mLb.clN_peak_5051	chr2R	13015535	13016067	+	390	NA	Intergenic	Intergenic	19300	FBgn0265623	FBgn0265623	FBtr0330613						NA
ManzF3Ctrl_REP1.mLb.clN_peak_9397	chr3L	11553072	11553653	+	388	NA	promoter-TSS (FBgn0259481)	-promoter-TSS (FBgn0259481)	-8634	FBgn0036173	FBgn0036173	FBtr0333215						NA
ManzF3Ctrl_REP1.mLb.clN_peak_11403	chr3R	27433	27849	+	385	NA	Intergenic	Intergenic	-539435	FBgn0267431	FBgn0267431	FBtr0392909						NA
ManzF3Ctrl_REP1.mLb.clN_peak_1848	chr2L	13060116	13060607	+	380	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-221	FBgn0262160	FBgn0262160	FBtr0336617						NA
ManzF3Ctrl_REP1.mLb.clN_peak_17056	chrX	4426766	4427159	+	372	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13500	FBgn0000179	FBgn0000179	FBtr0331162						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19971	chrX	23210957	23211242	+	348	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-93	FBgn0085813	FBgn0085813	FBtr0346892						NA
ManzF3Ctrl_REP1.mLb.clN_peak_11302	chr3L	25133214	25134216	+	348	NA	Intergenic	Intergenic	12966	FBgn0260008	FBgn0260008	FBtr0343636						NA
ManzF3Ctrl_REP1.mLb.clN_peak_3045	chr2L	23512827	23512959	+	339	NA	Intergenic	Intergenic	96977	FBgn0085664	FBgn0085664	FBtr0304148						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19985	chrX	23274075	23274278	+	334	NA	Intergenic	Intergenic	-3018	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF3Ctrl_REP1.mLb.clN_peak_6230	chr2R	18652752	18653209	+	333	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-204	FBgn0034371	FBgn0034371	FBtr0086657						NA
ManzF3Ctrl_REP1.mLb.clN_peak_12033	chr3R	7000632	7001204	+	330	NA	exon (FBgn0267559, exon 1 of 1)	-exon (FBgn0267559, exon 1 of 1)	426	FBgn0267559	FBgn0267559	FBtr0346969						NA
ManzF3Ctrl_REP1.mLb.clN_peak_13496	chr3R	16224253	16224965	+	325	NA	TTS (FBgn0267203)	-TTS (FBgn0267203)	1214	FBgn0267203	FBgn0267203	FBtr0346358						NA
ManzF3Ctrl_REP1.mLb.clN_peak_8214	chr3L	3626067	3626370	+	317	NA	promoter-TSS (FBgn0263239)	-promoter-TSS (FBgn0263239)	-134	FBgn0263239	FBgn0263239	FBtr0113134						NA
ManzF3Ctrl_REP1.mLb.clN_peak_15902	chr3R	31713227	31714053	+	313	NA	promoter-TSS (FBgn0003870)	-promoter-TSS (FBgn0003870)	4365	FBgn0054046	FBgn0054046	FBtr0308935						NA
ManzF3Ctrl_REP1.mLb.clN_peak_11281	chr3L	24629518	24629719	+	309	NA	Intergenic	Intergenic	76508	FBgn0085810	FBgn0085810	FBtr0114264						NA
ManzF3Ctrl_REP1.mLb.clN_peak_4743	chr2R	11603209	11603696	+	308	NA	intron (FBgn0033636, intron 1 of 15)	-intron (FBgn0033636, intron 1 of 16)	1484	FBgn0033636	FBgn0033636	FBtr0113066						NA
ManzF3Ctrl_REP1.mLb.clN_peak_13575	chr3R	16702811	16703239	+	308	NA	intron (FBgn0003944, intron 1 of 1)	-intron (FBgn0003944, intron 3 of 3)	31401	FBgn0003944	FBgn0003944	FBtr0083352						NA
ManzF3Ctrl_REP1.mLb.clN_peak_13578	chr3R	16763808	16764363	+	308	NA	intron (FBgn0020556, intron 1 of 2)	-intron (FBgn0020556, intron 1 of 2)	-12751	FBgn0063261	FBgn0063261	FBtr0083346						NA
ManzF3Ctrl_REP1.mLb.clN_peak_18398	chrX	12437699	12437916	+	305	NA	intron (FBgn0287828, intron 7 of 15)	-intron (FBgn0287828, intron 7 of 15)	-3677	FBgn0287828	FBgn0287828	FBtr0340086						NA
ManzF3Ctrl_REP1.mLb.clN_peak_18438	chrX	12665088	12665516	+	299	NA	intron (FBgn0011837, intron 1 of 2)	-intron (FBgn0011837, intron 2 of 3)	4768	FBgn0011837	FBgn0011837	FBtr0333756						NA
ManzF3Ctrl_REP1.mLb.clN_peak_6829	chr2R	21704431	21704930	+	299	NA	promoter-TSS (FBgn0010228)	-promoter-TSS (FBgn0010228)	3181	FBgn0010228	FBgn0010228	FBtr0345488						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19792	chrX	21281032	21281492	+	296	NA	promoter-TSS (FBgn0052521)	-promoter-TSS (FBgn0052521)	-109	FBgn0052521	FBgn0052521	FBtr0310654						NA
ManzF3Ctrl_REP1.mLb.clN_peak_17454	chrX	6868065	6868531	+	292	NA	promoter-TSS (FBgn0263993)	-promoter-TSS (FBgn0263993)	71	FBgn0263993	FBgn0263993	FBtr0330267						NA
ManzF3Ctrl_REP1.mLb.clN_peak_1331	chr2L	9176079	9176656	+	290	NA	promoter-TSS (FBgn0041092)	-promoter-TSS (FBgn0041092)	9589	FBgn0041092	FBgn0041092	FBtr0304974						NA
ManzF3Ctrl_REP1.mLb.clN_peak_17535	chrX	7307422	7308208	+	288	NA	promoter-TSS (FBgn0024250)	-promoter-TSS (FBgn0024250)	-124	FBgn0024250	FBgn0024250	FBtr0071048						NA
ManzF3Ctrl_REP1.mLb.clN_peak_4473	chr2R	10418043	10418751	+	286	NA	promoter-TSS (FBgn0033518)	-promoter-TSS (FBgn0033518)	-321	FBgn0033518	FBgn0033518	FBtr0088259						NA
ManzF3Ctrl_REP1.mLb.clN_peak_18661	chrX	13986385	13986870	+	278	NA	promoter-TSS (FBgn0267033)	-promoter-TSS (FBgn0267033)	2204	FBgn0267033	FBgn0267033	FBtr0346006						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19324	chrX	18366085	18366684	+	276	NA	promoter-TSS (FBgn0265784)	-promoter-TSS (FBgn0265784)	3734	FBgn0263769	FBgn0263769	FBtr0310488						NA
ManzF3Ctrl_REP1.mLb.clN_peak_17767	chrX	8650668	8651540	+	274	NA	promoter-TSS (FBgn0004102)	-promoter-TSS (FBgn0004102)	-423	FBgn0004102	FBgn0004102	FBtr0331738						NA
ManzF3Ctrl_REP1.mLb.clN_peak_11209	chr3L	23116760	23117462	+	274	NA	Intergenic	Intergenic	-8914	FBgn0053217	FBgn0053217	FBtr0070045						NA
ManzF3Ctrl_REP1.mLb.clN_peak_17942	chrX	9693800	9694247	+	272	NA	promoter-TSS (FBgn0000233)	-promoter-TSS (FBgn0000233)	-163	FBgn0000233	FBgn0000233	FBtr0071379						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19975	chrX	23221045	23223648	+	272	NA	Intergenic	Intergenic	7894	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF3Ctrl_REP1.mLb.clN_peak_10146	chr3L	16890855	16891278	+	271	NA	promoter-TSS (FBgn0261565)	-promoter-TSS (FBgn0261565)	3960	FBgn0261565	FBgn0261565	FBtr0479915						NA
ManzF3Ctrl_REP1.mLb.clN_peak_4522	chr2R	10583094	10583736	+	268	NA	promoter-TSS (FBgn0263102)	-promoter-TSS (FBgn0263102)	-271	FBgn0263102	FBgn0263102	FBtr0479799						NA
ManzF3Ctrl_REP1.mLb.clN_peak_4654	chr2R	11197246	11197538	+	266	NA	promoter-TSS (FBgn0003396)	-promoter-TSS (FBgn0003396)	21849	FBgn0033582	FBgn0033582	FBtr0339485						NA
ManzF3Ctrl_REP1.mLb.clN_peak_16226	chr4	1288245	1289092	+	259	NA	Intergenic	Intergenic	57831	FBgn0053653	FBgn0053653	FBtr0333702						NA
ManzF3Ctrl_REP1.mLb.clN_peak_10958	chr3L	21879297	21879670	+	259	NA	promoter-TSS (FBgn0262737)	-promoter-TSS (FBgn0262737)	-94	FBgn0262737	FBgn0262737	FBtr0346820						NA
ManzF3Ctrl_REP1.mLb.clN_peak_18460	chrX	12734911	12736446	+	259	NA	intron (FBgn0265523, intron 2 of 10)	-intron (FBgn0265523, intron 1 of 9)	6766	FBgn0265523	FBgn0265523	FBtr0333765						NA
ManzF3Ctrl_REP1.mLb.clN_peak_7872	chr3L	1586427	1586765	+	255	NA	promoter-TSS (FBgn0035237)	-promoter-TSS (FBgn0035237)	-98	FBgn0035237	FBgn0035237	FBtr0347066						NA
ManzF3Ctrl_REP1.mLb.clN_peak_599	chr2L	4371758	4372057	+	252	NA	promoter-TSS (FBgn0026319)	-promoter-TSS (FBgn0026319)	-604	FBgn0266903	FBgn0266903	FBtr0445833						NA
ManzF3Ctrl_REP1.mLb.clN_peak_11598	chr3R	4852410	4852868	+	250	NA	promoter-TSS (FBgn0003002)	-promoter-TSS (FBgn0003002)	-174	FBgn0003002	FBgn0003002	FBtr0479794						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19308	chrX	18282263	18282750	+	247	NA	intron (FBgn0053542, intron 3 of 3)	-intron (FBgn0053542, intron 3 of 3)	5273	FBgn0053542	FBgn0053542	FBtr0113465						NA
ManzF3Ctrl_REP1.mLb.clN_peak_18969	chrX	16216581	16217748	+	245	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-418	FBgn0000459	FBgn0000459	FBtr0074250						NA
ManzF3Ctrl_REP1.mLb.clN_peak_5278	chr2R	13925340	13926188	+	241	NA	promoter-TSS (FBgn0013733)	-promoter-TSS (FBgn0013733)	-14818	FBgn0013733	FBgn0013733	FBtr0304850						NA
ManzF3Ctrl_REP1.mLb.clN_peak_2223	chr2L	16525898	16526499	+	239	NA	intron (FBgn0032587, intron 2 of 2)	-intron (FBgn0032587, intron 2 of 2)	2724	FBgn0086038	FBgn0086038	FBtr0114314						NA
ManzF3Ctrl_REP1.mLb.clN_peak_3142	chr2R	3140712	3141050	+	239	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74382	FBgn0260995	FBgn0260995	FBtr0334939						NA
ManzF3Ctrl_REP1.mLb.clN_peak_7240	chr2R	23666781	23667350	+	236	NA	promoter-TSS (FBgn0266377)	-promoter-TSS (FBgn0266377)	1771	FBgn0266377	FBgn0266377	FBtr0344181						NA
ManzF3Ctrl_REP1.mLb.clN_peak_18907	chrX	15811662	15812513	+	234	NA	promoter-TSS (FBgn0003345)	-promoter-TSS (FBgn0003345)	-240	FBgn0003345	FBgn0003345	FBtr0479844						NA
ManzF3Ctrl_REP1.mLb.clN_peak_9560	chr3L	12609335	12609810	+	234	NA	promoter-TSS (FBgn0015919)	-promoter-TSS (FBgn0015919)	-59	FBgn0015919	FBgn0015919	FBtr0075909						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19060	chrX	16723455	16723833	+	232	NA	intron (FBgn0052572, intron 2 of 3)	-intron (FBgn0052572, intron 2 of 3)	-2233	FBgn0085354	FBgn0085354	FBtr0339826						NA
ManzF3Ctrl_REP1.mLb.clN_peak_14040	chr3R	19836770	19837083	+	231	NA	promoter-TSS (FBgn0014135)	-promoter-TSS (FBgn0014135)	-109	FBgn0014135	FBgn0014135	FBtr0344549						NA
ManzF3Ctrl_REP1.mLb.clN_peak_10264	chr3L	17619283	17619534	+	230	NA	promoter-TSS (FBgn0000567)	-promoter-TSS (FBgn0000567)	-83	FBgn0000567	FBgn0000567	FBtr0305796						NA
ManzF3Ctrl_REP1.mLb.clN_peak_17262	chrX	5754732	5756292	+	229	NA	promoter-TSS (FBgn0029801)	-promoter-TSS (FBgn0029801)	-62	FBgn0029801	FBgn0029801	FBtr0345789						NA
ManzF3Ctrl_REP1.mLb.clN_peak_10165	chr3L	16969611	16970054	+	228	NA	promoter-TSS (FBgn0261547)	-promoter-TSS (FBgn0261547)	-181	FBgn0261547	FBgn0261547	FBtr0302651						NA
ManzF3Ctrl_REP1.mLb.clN_peak_965	chr2L	6786767	6788064	+	227	NA	promoter-TSS (FBgn0015776)	-promoter-TSS (FBgn0015776)	-554	FBgn0015776	FBgn0015776	FBtr0332370						NA
ManzF3Ctrl_REP1.mLb.clN_peak_3534	chr2R	6500701	6503277	+	226	NA	promoter-TSS (FBgn0086655)	-promoter-TSS (FBgn0086655)	-217	FBgn0267744	FBgn0267744	FBtr0347304						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19995	chrX	23371512	23372142	+	226	NA	Intergenic	Intergenic	80127	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19637	chrX	19886889	19887985	+	226	NA	promoter-TSS (FBgn0052529)	-promoter-TSS (FBgn0052529)	2623	FBgn0086782	FBgn0086782	FBtr0074802						NA
ManzF3Ctrl_REP1.mLb.clN_peak_17224	chrX	5560434	5560933	+	224	NA	promoter-TSS (FBgn0263512)	-promoter-TSS (FBgn0263512)	-500	FBgn0263512	FBgn0263512	FBtr0343015						NA
ManzF3Ctrl_REP1.mLb.clN_peak_14238	chr3R	21188558	21188905	+	224	NA	promoter-TSS (FBgn0264357)	-promoter-TSS (FBgn0264357)	-20526	FBgn0260004	FBgn0260004	FBtr0333928						NA
ManzF3Ctrl_REP1.mLb.clN_peak_6190	chr2R	18413343	18413736	+	224	NA	promoter-TSS (FBgn0027835)	-promoter-TSS (FBgn0027835)	60	FBgn0013983	FBgn0013983	FBtr0345891						NA
ManzF3Ctrl_REP1.mLb.clN_peak_9790	chr3L	14427196	14427650	+	223	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2922	FBgn0267695	FBgn0267695	FBtr0347205						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19234	chrX	17768125	17768597	+	222	NA	promoter-TSS (FBgn0024184)	-promoter-TSS (FBgn0024184)	-208	FBgn0024184	FBgn0024184	FBtr0340627						NA
ManzF3Ctrl_REP1.mLb.clN_peak_12402	chr3R	9226797	9227411	+	222	NA	promoter-TSS (FBgn0003165)	-promoter-TSS (FBgn0003165)	-1029	FBgn0266706	FBgn0266706	FBtr0345157						NA
ManzF3Ctrl_REP1.mLb.clN_peak_6667	chr2R	20903238	20903910	+	222	NA	promoter-TSS (FBgn0015524)	-promoter-TSS (FBgn0015524)	-160	FBgn0015524	FBgn0015524	FBtr0474157						NA
ManzF3Ctrl_REP1.mLb.clN_peak_13702	chr3R	17716560	17718061	+	221	NA	intron (FBgn0261885, intron 1 of 14)	-intron (FBgn0261885, intron 1 of 15)	1040	FBgn0261885	FBgn0261885	FBtr0335024						NA
ManzF3Ctrl_REP1.mLb.clN_peak_2946	chr2L	22024364	22024794	+	221	NA	exon (FBgn0028979, exon 3 of 3)	-exon (FBgn0028979, exon 3 of 3)	5371	FBgn0053987	FBgn0053987	FBtr0100032						NA
ManzF3Ctrl_REP1.mLb.clN_peak_13502	chr3R	16249708	16250770	+	220	NA	intron (FBgn0040071, intron 1 of 1)	-intron (FBgn0040071, intron 1 of 1)	7423	FBgn0040071	FBgn0040071	FBtr0083258						NA
ManzF3Ctrl_REP1.mLb.clN_peak_7467	chr2R	24767632	24768619	+	220	NA	promoter-TSS (FBgn0027590)	-promoter-TSS (FBgn0027590)	-418	FBgn0027590	FBgn0027590	FBtr0072436						NA
ManzF3Ctrl_REP1.mLb.clN_peak_20013	chrX	23455591	23456250	+	218	NA	Intergenic	Intergenic	164220	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP1.mLb.clN_peak_15023	chr3R	25740396	25740782	+	218	NA	promoter-TSS (FBgn0051092)	-promoter-TSS (FBgn0051092)	2562	FBgn0267771	FBgn0267771	FBtr0347335						NA
ManzF3Ctrl_REP1.mLb.clN_peak_18950	chrX	16091456	16091771	+	217	NA	promoter-TSS (FBgn0028397)	-promoter-TSS (FBgn0028397)	-4224	FBgn0028397	FBgn0028397	FBtr0301652						NA
ManzF3Ctrl_REP1.mLb.clN_peak_822	chr2L	5979996	5981033	+	217	NA	promoter-TSS (FBgn0000308)	-promoter-TSS (FBgn0000308)	-413	FBgn0000308	FBgn0000308	FBtr0079236						NA
ManzF3Ctrl_REP1.mLb.clN_peak_1278	chr2L	8717444	8718371	+	215	NA	intron (FBgn0003209, intron 1 of 8)	-intron (FBgn0003209, intron 1 of 8)	12335	FBgn0032061	FBgn0032061	FBtr0339543						NA
ManzF3Ctrl_REP1.mLb.clN_peak_17709	chrX	8294068	8295973	+	214	NA	intron (FBgn0015519, intron 6 of 11)	-intron (FBgn0015519, intron 6 of 11)	-21214	FBgn0030029	FBgn0030029	FBtr0071178						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19315	chrX	18312593	18312972	+	212	NA	promoter-TSS (FBgn0267169)	-promoter-TSS (FBgn0267169)	-856	FBgn0267169	FBgn0267169	FBtr0346289						NA
ManzF3Ctrl_REP1.mLb.clN_peak_239	chr2L	1644442	1644650	+	212	NA	Intergenic	Intergenic	2617	FBgn0267259	FBgn0267259	FBtr0346473						NA
ManzF3Ctrl_REP1.mLb.clN_peak_502	chr2L	3580735	3581136	+	211	NA	promoter-TSS (FBgn0004892)	-promoter-TSS (FBgn0004892)	-166	FBgn0004892	FBgn0004892	FBtr0077558						NA
ManzF3Ctrl_REP1.mLb.clN_peak_3983	chr2R	8326876	8327566	+	210	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-269	FBgn0261588	FBgn0261588	FBtr0339350						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19928	chrX	22855142	22855505	+	210	NA	promoter-TSS (FBgn0000719)	-promoter-TSS (FBgn0000719)	-129	FBgn0000719	FBgn0000719	FBtr0333181						NA
ManzF3Ctrl_REP1.mLb.clN_peak_8081	chr3L	2820992	2821359	+	209	NA	promoter-TSS (FBgn0263392)	-promoter-TSS (FBgn0263392)	38920	FBgn0035375	FBgn0035375	FBtr0333442						NA
ManzF3Ctrl_REP1.mLb.clN_peak_11284	chr3L	24737933	24739134	+	209	NA	intron (FBgn0287186, intron 3 of 5)	-intron (FBgn0287186, intron 4 of 6)	14371	FBgn0287186	FBgn0287186	FBtr0339923						NA
ManzF3Ctrl_REP1.mLb.clN_peak_740	chr2L	5403509	5404023	+	208	NA	promoter-TSS (FBgn0016660)	-promoter-TSS (FBgn0016660)	-867	FBgn0016660	FBgn0016660	FBtr0343225						NA
ManzF3Ctrl_REP1.mLb.clN_peak_7089	chr2R	22933883	22934804	+	207	NA	promoter-TSS (FBgn0034800)	-promoter-TSS (FBgn0034800)	-266	FBgn0034800	FBgn0034800	FBtr0303465						NA
ManzF3Ctrl_REP1.mLb.clN_peak_11418	chr3R	3139165	3139307	+	206	NA	intron (FBgn0267430, intron 8 of 20)	-intron (FBgn0267430, intron 8 of 20)	124346	FBgn0267430	FBgn0267430	FBtr0445191						NA
ManzF3Ctrl_REP1.mLb.clN_peak_16641	chrX	2049404	2050619	+	205	NA	exon (FBgn0025631, exon 1 of 5)	-exon (FBgn0025631, exon 1 of 5)	-1616	FBgn0025631	FBgn0025631	FBtr0303045						NA
ManzF3Ctrl_REP1.mLb.clN_peak_9646	chr3L	13228445	13228957	+	203	NA	promoter-TSS (FBgn0023095)	-promoter-TSS (FBgn0023095)	9	FBgn0023095	FBgn0023095	FBtr0346864						NA
ManzF3Ctrl_REP1.mLb.clN_peak_12210	chr3R	8181338	8181975	+	202	NA	promoter-TSS (FBgn0001138)	-promoter-TSS (FBgn0001138)	-212	FBgn0001138	FBgn0001138	FBtr0330188						NA
ManzF3Ctrl_REP1.mLb.clN_peak_15561	chr3R	29772713	29773519	+	202	NA	exon (FBgn0001297, exon 1 of 3)	-exon (FBgn0001297, exon 1 of 3)	224	FBgn0001297	FBgn0001297	FBtr0339165						NA
ManzF3Ctrl_REP1.mLb.clN_peak_9706	chr3L	13919569	13920536	+	202	NA	promoter-TSS (FBgn0026376)	-promoter-TSS (FBgn0026376)	-87	FBgn0026376	FBgn0026376	FBtr0075795						NA
ManzF3Ctrl_REP1.mLb.clN_peak_10396	chr3L	18759051	18759623	+	201	NA	intron (FBgn0001078, intron 1 of 7)	-intron (FBgn0001078, intron 3 of 9)	-5252	FBgn0267600	FBgn0267600	FBtr0347046						NA
