PeakID (cmd=annotatePeaks.pl ManzF6Ctrl_REP1.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF6Ctrl_REP1.mLb.clN_peak_7373	chr3L	10897905	10899466	+	270	NA	promoter-TSS (FBgn0036111)	-promoter-TSS (FBgn0036111)	438	FBgn0036111	FBgn0036111	FBtr0076252						NA
ManzF6Ctrl_REP1.mLb.clN_peak_1900	chr2L	19157937	19159173	+	269	NA	promoter-TSS (FBgn0010300)	-promoter-TSS (FBgn0010300)	744	FBgn0266312	FBgn0266312	FBtr0344041						NA
ManzF6Ctrl_REP1.mLb.clN_peak_2944	chr2R	7024853	7025899	+	268	NA	exon (FBgn0033127, exon 1 of 5)	-exon (FBgn0033127, exon 1 of 5)	366	FBgn0033127	FBgn0033127	FBtr0089023						NA
ManzF6Ctrl_REP1.mLb.clN_peak_5829	chr2R	23839808	23840548	+	266	NA	promoter-TSS (FBgn0086659)	-promoter-TSS (FBgn0086659)	-114	FBgn0086659	FBgn0086659	FBtr0091917						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15850	chrX	23274076	23274322	+	265	NA	Intergenic	Intergenic	-3041	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF6Ctrl_REP1.mLb.clN_peak_4837	chr2R	17391619	17392818	+	264	NA	promoter-TSS (FBgn0011879)	-promoter-TSS (FBgn0011879)	3	FBgn0011879	FBgn0011879	FBtr0086908						NA
ManzF6Ctrl_REP1.mLb.clN_peak_7399	chr3L	11092195	11093240	+	264	NA	promoter-TSS (FBgn0020412)	-promoter-TSS (FBgn0020412)	476	FBgn0020412	FBgn0020412	FBtr0332707						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15845	chrX	23233786	23234944	+	264	NA	Intergenic	Intergenic	-5353	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF6Ctrl_REP1.mLb.clN_peak_3213	chr2R	8326822	8327787	+	263	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-186	FBgn0261588	FBgn0261588	FBtr0339350						NA
ManzF6Ctrl_REP1.mLb.clN_peak_12432	chr3R	31688943	31689814	+	262	NA	promoter-TSS (FBgn0267124)	-promoter-TSS (FBgn0267124)	500	FBgn0267125	FBgn0267125	FBtr0346220						NA
ManzF6Ctrl_REP1.mLb.clN_peak_2507	chr2R	4509701	4510945	+	262	NA	Intergenic	Intergenic	2328	FBgn0264909	FBgn0264909	FBtr0334987						NA
ManzF6Ctrl_REP1.mLb.clN_peak_2677	chr2R	5781913	5783087	+	261	NA	exon (FBgn0025693, exon 1 of 10)	-exon (FBgn0025693, exon 1 of 10)	358	FBgn0025693	FBgn0025693	FBtr0086056						NA
ManzF6Ctrl_REP1.mLb.clN_peak_12436	chr3R	31712912	31714043	+	261	NA	promoter-TSS (FBgn0003870)	-promoter-TSS (FBgn0003870)	4202	FBgn0054046	FBgn0054046	FBtr0308935						NA
ManzF6Ctrl_REP1.mLb.clN_peak_3613	chr2R	10418047	10418300	+	260	NA	promoter-TSS (FBgn0033518)	-promoter-TSS (FBgn0033518)	-545	FBgn0033518	FBgn0033518	FBtr0088259						NA
ManzF6Ctrl_REP1.mLb.clN_peak_7230	chr3L	9401010	9402554	+	260	NA	promoter-TSS (FBgn0015218)	-promoter-TSS (FBgn0015218)	678	FBgn0015218	FBgn0015218	FBtr0076488						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15558	chrX	19682455	19684253	+	260	NA	promoter-TSS (FBgn0031057)	-promoter-TSS (FBgn0031057)	164	FBgn0043903	FBgn0043903	FBtr0074756						NA
ManzF6Ctrl_REP1.mLb.clN_peak_2535	chr2R	4744198	4745445	+	256	NA	exon (FBgn0039994, exon 1 of 9)	-exon (FBgn0039994, exon 1 of 9)	-4368	FBgn0039994	FBgn0039994	FBtr0345008						NA
ManzF6Ctrl_REP1.mLb.clN_peak_9528	chr3R	7000587	7001249	+	255	NA	exon (FBgn0267559, exon 1 of 1)	-exon (FBgn0267559, exon 1 of 1)	426	FBgn0267559	FBgn0267559	FBtr0346969						NA
ManzF6Ctrl_REP1.mLb.clN_peak_13383	chrX	3161928	3163249	+	255	NA	intron (FBgn0004647, intron 5 of 8)	-intron (FBgn0004647, intron 5 of 8)	10552	FBgn0028746	FBgn0028746	FBtr0345708						NA
ManzF6Ctrl_REP1.mLb.clN_peak_14266	chrX	9693745	9694304	+	254	NA	promoter-TSS (FBgn0000233)	-promoter-TSS (FBgn0000233)	-162	FBgn0000233	FBgn0000233	FBtr0071379						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15495	chrX	19360853	19361981	+	254	NA	intron (FBgn0031016, intron 1 of 4)	-intron (FBgn0031016, intron 1 of 5)	8236	FBgn0031016	FBgn0031016	FBtr0309224						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15085	chrX	16372279	16374409	+	252	NA	promoter-TSS (FBgn0004598)	-promoter-TSS (FBgn0004598)	258	FBgn0004598	FBgn0004598	FBtr0074267						NA
ManzF6Ctrl_REP1.mLb.clN_peak_10349	chr3R	13983135	13984076	+	252	NA	promoter-TSS (FBgn0264493)	-promoter-TSS (FBgn0264493)	-11805	FBgn0264493	FBgn0264493	FBtr0301633						NA
ManzF6Ctrl_REP1.mLb.clN_peak_3848	chr2R	11629632	11630258	+	251	NA	intron (FBgn0033638, intron 1 of 7)	-intron (FBgn0033638, intron 1 of 7)	-10922	FBgn0086712	FBgn0086712	FBtr0088090						NA
ManzF6Ctrl_REP1.mLb.clN_peak_9430	chr3R	6007261	6008697	+	251	NA	promoter-TSS (FBgn0003261)	-promoter-TSS (FBgn0003261)	600	FBgn0003261	FBgn0003261	FBtr0309322						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15857	chrX	23371661	23372255	+	251	NA	Intergenic	Intergenic	80258	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP1.mLb.clN_peak_2862	chr2R	6661865	6663941	+	251	NA	promoter-TSS (FBgn0266518)	-promoter-TSS (FBgn0266518)	638	FBgn0284249	FBgn0284249	FBtr0330252						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15590	chrX	19886856	19887958	+	250	NA	promoter-TSS (FBgn0052529)	-promoter-TSS (FBgn0052529)	2653	FBgn0086782	FBgn0086782	FBtr0074802						NA
ManzF6Ctrl_REP1.mLb.clN_peak_923	chr2L	7984106	7984558	+	250	NA	promoter-TSS (FBgn0031968)	-promoter-TSS (FBgn0031968)	-951	FBgn0031968	FBgn0031968	FBtr0306336						NA
ManzF6Ctrl_REP1.mLb.clN_peak_8188	chr3L	18105502	18106804	+	250	NA	promoter-TSS (FBgn0036774)	-promoter-TSS (FBgn0036774)	-4	FBgn0036773	FBgn0036773	FBtr0333698						NA
ManzF6Ctrl_REP1.mLb.clN_peak_9062	chr3R	3733806	3735580	+	250	NA	promoter-TSS (FBgn0263977)	-promoter-TSS (FBgn0263977)	-236	FBgn0263977	FBgn0263977	FBtr0345179						NA
ManzF6Ctrl_REP1.mLb.clN_peak_13499	chrX	3948921	3950641	+	249	NA	intron (FBgn0029687, intron 2 of 6)	-intron (FBgn0029687, intron 2 of 6)	806	FBgn0029687	FBgn0029687	FBtr0342739						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15177	chrX	17076603	17078086	+	248	NA	exon (FBgn0030812, exon 2 of 15)	-exon (FBgn0030812, exon 2 of 15)	553	FBgn0030812	FBgn0030812	FBtr0330596						NA
ManzF6Ctrl_REP1.mLb.clN_peak_8982	chr3L	27076030	27077511	+	248	NA	Intergenic	Intergenic	7136	FBgn0063670	FBgn0063670	FBtr0333872						NA
ManzF6Ctrl_REP1.mLb.clN_peak_8936	chr3L	24674474	24674842	+	246	NA	Intergenic	Intergenic	-49504	FBgn0287186	FBgn0287186	FBtr0339923						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15372	chrX	18511989	18512630	+	246	NA	promoter-TSS (FBgn0030932)	-promoter-TSS (FBgn0030932)	28	FBgn0030932	FBgn0030932	FBtr0074622						NA
ManzF6Ctrl_REP1.mLb.clN_peak_10848	chr3R	18396875	18397841	+	245	NA	promoter-TSS (FBgn0028670)	-promoter-TSS (FBgn0028670)	363	FBgn0264751	FBgn0264751	FBtr0334145						NA
ManzF6Ctrl_REP1.mLb.clN_peak_14734	chrX	13563543	13564339	+	243	NA	TTS (FBgn0052633)	-TTS (FBgn0052633)	118	FBgn0086674	FBgn0086674	FBtr0330399						NA
ManzF6Ctrl_REP1.mLb.clN_peak_3786	chr2R	11288994	11290194	+	242	NA	TTS (FBgn0033610)	-TTS (FBgn0033610)	178	FBgn0033609	FBgn0033609	FBtr0088178						NA
ManzF6Ctrl_REP1.mLb.clN_peak_11465	chr3R	23601200	23602061	+	240	NA	promoter-TSS (FBgn0051143)	-promoter-TSS (FBgn0051143)	-175	FBgn0051143	FBgn0051143	FBtr0084482						NA
ManzF6Ctrl_REP1.mLb.clN_peak_4991	chr2R	18355664	18358000	+	240	NA	exon (FBgn0285917, exon 1 of 13)	-exon (FBgn0285917, exon 1 of 13)	464	FBgn0285917	FBgn0285917	FBtr0301550						NA
ManzF6Ctrl_REP1.mLb.clN_peak_9935	chr3R	10133081	10134810	+	239	NA	intron (FBgn0004889, intron 1 of 4)	-intron (FBgn0004889, intron 2 of 4)	1386	FBgn0004889	FBgn0004889	FBtr0082186						NA
ManzF6Ctrl_REP1.mLb.clN_peak_15632	chrX	20656153	20657764	+	238	NA	promoter-TSS (FBgn0031126)	-promoter-TSS (FBgn0031126)	590	FBgn0267022	FBgn0267022	FBtr0345969						NA
ManzF6Ctrl_REP1.mLb.clN_peak_7748	chr3L	14427035	14427834	+	238	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2933	FBgn0267695	FBgn0267695	FBtr0347205						NA
ManzF6Ctrl_REP1.mLb.clN_peak_5986	chr2R	24767505	24768823	+	237	NA	promoter-TSS (FBgn0027590)	-promoter-TSS (FBgn0027590)	-457	FBgn0027590	FBgn0027590	FBtr0072436						NA
