PeakID (cmd=annotatePeaks.pl ManzF6HSan_REP2.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF6HSan_REP2.mLb.clN_peak_1167	chr2L	9782073	9782854	+	410	NA	promoter-TSS (FBgn0032147)	-promoter-TSS (FBgn0032147)	-3783	FBgn0032147	FBgn0032147	FBtr0307204						NA
ManzF6HSan_REP2.mLb.clN_peak_13042	chr4	1278816	1279496	+	408	NA	Intergenic	Intergenic	48319	FBgn0053653	FBgn0053653	FBtr0333702						NA
ManzF6HSan_REP2.mLb.clN_peak_15419	chrX	16216705	16217818	+	402	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-515	FBgn0000459	FBgn0000459	FBtr0074250						NA
ManzF6HSan_REP2.mLb.clN_peak_16194	chrX	23210951	23211272	+	396	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-81	FBgn0085813	FBgn0085813	FBtr0346892						NA
ManzF6HSan_REP2.mLb.clN_peak_6792	chr3L	3059751	3061324	+	386	NA	intron (FBgn0266918, intron 1 of 7)	-intron (FBgn0266918, intron 1 of 7)	5458	FBgn0035393	FBgn0035393	FBtr0072990						NA
ManzF6HSan_REP2.mLb.clN_peak_2468	chr2L	23332107	23332778	+	384	NA	Intergenic	Intergenic	-8250	FBgn0260435	FBgn0260435	FBtr0302459						NA
ManzF6HSan_REP2.mLb.clN_peak_4287	chr2R	12996226	12997642	+	376	NA	promoter-TSS (FBgn0265623)	-promoter-TSS (FBgn0265623)	433	FBgn0265623	FBgn0265623	FBtr0330613						NA
ManzF6HSan_REP2.mLb.clN_peak_1678	chr2L	14490166	14491063	+	371	NA	promoter-TSS (FBgn0005771)	-promoter-TSS (FBgn0005771)	-245	FBgn0005771	FBgn0005771	FBtr0080643						NA
ManzF6HSan_REP2.mLb.clN_peak_14342	chrX	8294028	8295994	+	368	NA	intron (FBgn0015519, intron 6 of 11)	-intron (FBgn0015519, intron 6 of 11)	-21205	FBgn0030029	FBgn0030029	FBtr0071178						NA
ManzF6HSan_REP2.mLb.clN_peak_4477	chr2R	14006758	14007295	+	363	NA	intron (FBgn0002643, intron 2 of 6)	-intron (FBgn0002643, intron 2 of 6)	-2173	FBgn0002643	FBgn0002643	FBtr0087598						NA
ManzF6HSan_REP2.mLb.clN_peak_8607	chr3L	18185571	18186449	+	360	NA	promoter-TSS (FBgn0003997)	-promoter-TSS (FBgn0003997)	-369	FBgn0003997	FBgn0003997	FBtr0332862						NA
ManzF6HSan_REP2.mLb.clN_peak_8142	chr3L	14673866	14675300	+	357	NA	promoter-TSS (FBgn0011927)	-promoter-TSS (FBgn0011927)	239	FBgn0011928	FBgn0011928	FBtr0075681						NA
ManzF6HSan_REP2.mLb.clN_peak_16219	chrX	23406976	23407544	+	348	NA	Intergenic	Intergenic	115560	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP2.mLb.clN_peak_16196	chrX	23214293	23214998	+	347	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	193	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF6HSan_REP2.mLb.clN_peak_10994	chr3R	16249508	16250789	+	342	NA	intron (FBgn0040071, intron 1 of 1)	-intron (FBgn0040071, intron 1 of 1)	7332	FBgn0040071	FBgn0040071	FBtr0083258						NA
ManzF6HSan_REP2.mLb.clN_peak_7448	chr3L	8674899	8676074	+	336	NA	promoter-TSS (FBgn0001168)	-promoter-TSS (FBgn0001168)	-273	FBgn0001168	FBgn0001168	FBtr0100153						NA
ManzF6HSan_REP2.mLb.clN_peak_233	chr2L	2130127	2131277	+	335	NA	promoter-TSS (FBgn0004507)	-promoter-TSS (FBgn0004507)	-111	FBgn0004507	FBgn0004507	FBtr0077828						NA
ManzF6HSan_REP2.mLb.clN_peak_8621	chr3L	18618200	18618620	+	329	NA	promoter-TSS (FBgn0052200)	-promoter-TSS (FBgn0052200)	20	FBgn0052200	FBgn0052200	FBtr0075107						NA
ManzF6HSan_REP2.mLb.clN_peak_3339	chr2R	8326830	8327619	+	327	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-266	FBgn0261588	FBgn0261588	FBtr0339350						NA
ManzF6HSan_REP2.mLb.clN_peak_2558	chr2R	3140721	3141056	+	323	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74389	FBgn0260995	FBgn0260995	FBtr0334939						NA
ManzF6HSan_REP2.mLb.clN_peak_6063	chr2R	23839808	23840428	+	321	NA	promoter-TSS (FBgn0086659)	-promoter-TSS (FBgn0086659)	-54	FBgn0086659	FBgn0086659	FBtr0091917						NA
ManzF6HSan_REP2.mLb.clN_peak_6797	chr3L	3095511	3096707	+	319	NA	promoter-TSS (FBgn0052287)	-promoter-TSS (FBgn0052287)	118	FBgn0052289	FBgn0052289	FBtr0073019						NA
ManzF6HSan_REP2.mLb.clN_peak_8644	chr3L	18771175	18772289	+	314	NA	TTS (FBgn0267601)	-TTS (FBgn0267601)	-5988	FBgn0001078	FBgn0001078	FBtr0075086						NA
ManzF6HSan_REP2.mLb.clN_peak_16124	chrX	22354423	22354690	+	312	NA	Intergenic	Intergenic	-89671	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF6HSan_REP2.mLb.clN_peak_9364	chr3L	25133275	25134187	+	309	NA	Intergenic	Intergenic	12982	FBgn0260008	FBgn0260008	FBtr0343636						NA
ManzF6HSan_REP2.mLb.clN_peak_12656	chr3R	31712911	31714127	+	306	NA	promoter-TSS (FBgn0003870)	-promoter-TSS (FBgn0003870)	4244	FBgn0054046	FBgn0054046	FBtr0308935						NA
ManzF6HSan_REP2.mLb.clN_peak_5477	chr2R	20000114	20001271	+	304	NA	promoter-TSS (FBgn0050212)	-promoter-TSS (FBgn0050212)	-127	FBgn0053538	FBgn0053538	FBtr0100846						NA
ManzF6HSan_REP2.mLb.clN_peak_5087	chr2R	17391576	17392819	+	304	NA	promoter-TSS (FBgn0011879)	-promoter-TSS (FBgn0011879)	-18	FBgn0011879	FBgn0011879	FBtr0086908						NA
ManzF6HSan_REP2.mLb.clN_peak_13789	chrX	4426705	4427196	+	304	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13488	FBgn0000179	FBgn0000179	FBtr0331162						NA
ManzF6HSan_REP2.mLb.clN_peak_4017	chr2R	11603134	11603744	+	302	NA	intron (FBgn0033636, intron 1 of 15)	-intron (FBgn0033636, intron 1 of 16)	1497	FBgn0033636	FBgn0033636	FBtr0113066						NA
ManzF6HSan_REP2.mLb.clN_peak_6396	chr3L	318945	320099	+	300	NA	exon (FBgn0004373, exon 1 of 12)	-exon (FBgn0004373, exon 1 of 12)	362	FBgn0004373	FBgn0004373	FBtr0332841						NA
ManzF6HSan_REP2.mLb.clN_peak_6031	chr2R	23666768	23667419	+	296	NA	promoter-TSS (FBgn0266377)	-promoter-TSS (FBgn0266377)	1799	FBgn0266377	FBgn0266377	FBtr0344181						NA
ManzF6HSan_REP2.mLb.clN_peak_11562	chr3R	21604680	21605974	+	295	NA	intron (FBgn0283499, intron 1 of 12)	-intron (FBgn0283499, intron 1 of 12)	10413	FBgn0264826	FBgn0264826	FBtr0334680						NA
ManzF6HSan_REP2.mLb.clN_peak_8115	chr3L	14427037	14427979	+	295	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	3007	FBgn0267695	FBgn0267695	FBtr0347205						NA
ManzF6HSan_REP2.mLb.clN_peak_667	chr2L	5907014	5907933	+	294	NA	intron (FBgn0043362, intron 1 of 17)	-intron (FBgn0043362, intron 1 of 17)	304	FBgn0043362	FBgn0043362	FBtr0079144						NA
ManzF6HSan_REP2.mLb.clN_peak_9916	chr3R	7000628	7001220	+	294	NA	exon (FBgn0267559, exon 1 of 1)	-exon (FBgn0267559, exon 1 of 1)	432	FBgn0267559	FBgn0267559	FBtr0346969						NA
ManzF6HSan_REP2.mLb.clN_peak_15500	chrX	16723442	16723940	+	291	NA	intron (FBgn0052572, intron 2 of 3)	-intron (FBgn0052572, intron 2 of 3)	-2280	FBgn0085354	FBgn0085354	FBtr0339826						NA
ManzF6HSan_REP2.mLb.clN_peak_2279	chr2L	21250431	21251151	+	289	NA	intron (FBgn0261239, intron 2 of 7)	-intron (FBgn0261239, intron 2 of 4)	-10377	FBgn0021856	FBgn0021856	FBtr0330677						NA
ManzF6HSan_REP2.mLb.clN_peak_1998	chr2L	19157944	19159090	+	285	NA	promoter-TSS (FBgn0010300)	-promoter-TSS (FBgn0010300)	782	FBgn0266312	FBgn0266312	FBtr0344041						NA
ManzF6HSan_REP2.mLb.clN_peak_9347	chr3L	24737923	24739135	+	284	NA	intron (FBgn0287186, intron 3 of 5)	-intron (FBgn0287186, intron 4 of 6)	14367	FBgn0287186	FBgn0287186	FBtr0339923						NA
ManzF6HSan_REP2.mLb.clN_peak_7809	chr3L	11552829	11553701	+	283	NA	promoter-TSS (FBgn0259481)	-promoter-TSS (FBgn0259481)	-8731	FBgn0036173	FBgn0036173	FBtr0333215						NA
ManzF6HSan_REP2.mLb.clN_peak_7995	chr3L	13113885	13114448	+	283	NA	promoter-TSS (FBgn0010452)	-promoter-TSS (FBgn0010452)	-105	FBgn0010452	FBgn0010452	FBtr0330075						NA
ManzF6HSan_REP2.mLb.clN_peak_14313	chrX	8141291	8142371	+	280	NA	TTS (FBgn0030006)	-TTS (FBgn0030006)	448	FBgn0025800	FBgn0025800	FBtr0340159						NA
ManzF6HSan_REP2.mLb.clN_peak_15961	chrX	19886880	19887972	+	274	NA	promoter-TSS (FBgn0052529)	-promoter-TSS (FBgn0052529)	2634	FBgn0086782	FBgn0086782	FBtr0074802						NA
ManzF6HSan_REP2.mLb.clN_peak_13939	chrX	5524198	5524855	+	273	NA	promoter-TSS (FBgn0086667)	-promoter-TSS (FBgn0086667)	-61	FBgn0086667	FBgn0086667	FBtr0091788						NA
ManzF6HSan_REP2.mLb.clN_peak_15869	chrX	19360702	19361979	+	272	NA	intron (FBgn0031016, intron 1 of 4)	-intron (FBgn0031016, intron 1 of 5)	8159	FBgn0031016	FBgn0031016	FBtr0309224						NA
ManzF6HSan_REP2.mLb.clN_peak_11357	chr3R	19836712	19837115	+	271	NA	promoter-TSS (FBgn0014135)	-promoter-TSS (FBgn0014135)	-96	FBgn0014135	FBgn0014135	FBtr0344549						NA
ManzF6HSan_REP2.mLb.clN_peak_2277	chr2L	21236907	21238296	+	271	NA	promoter-TSS (FBgn0051626)	-promoter-TSS (FBgn0051626)	351	FBgn0261239	FBgn0261239	FBtr0081481						NA
ManzF6HSan_REP2.mLb.clN_peak_3735	chr2R	10271005	10272110	+	271	NA	promoter-TSS (FBgn0033504)	-promoter-TSS (FBgn0033504)	5486	FBgn0033502	FBgn0033502	FBtr0310142						NA
ManzF6HSan_REP2.mLb.clN_peak_10711	chr3R	13983236	13984118	+	271	NA	promoter-TSS (FBgn0264493)	-promoter-TSS (FBgn0264493)	-11877	FBgn0264493	FBgn0264493	FBtr0301633						NA
ManzF6HSan_REP2.mLb.clN_peak_14062	chrX	6343804	6344737	+	269	NA	TTS (FBgn0029866)	-TTS (FBgn0029866)	-2833	FBgn0029867	FBgn0029867	FBtr0070905						NA
ManzF6HSan_REP2.mLb.clN_peak_5856	chr2R	22561398	22562101	+	269	NA	promoter-TSS (FBgn0034737)	-promoter-TSS (FBgn0034737)	316	FBgn0003175	FBgn0003175	FBtr0479816						NA
ManzF6HSan_REP2.mLb.clN_peak_4294	chr2R	13034969	13035785	+	268	NA	Intergenic	Intergenic	11879	FBgn0033788	FBgn0033788	FBtr0345360						NA
ManzF6HSan_REP2.mLb.clN_peak_13836	chrX	4684367	4684789	+	267	NA	intron (FBgn0022768, intron 1 of 2)	-intron (FBgn0022768, intron 1 of 2)	2325	FBgn0022768	FBgn0022768	FBtr0343531						NA
ManzF6HSan_REP2.mLb.clN_peak_7203	chr3L	6904074	6904426	+	267	NA	Intergenic	Intergenic	9714	FBgn0041194	FBgn0041194	FBtr0076945						NA
ManzF6HSan_REP2.mLb.clN_peak_1497	chr2L	12529499	12530036	+	267	NA	intron (FBgn0259176, intron 5 of 7)	-intron (FBgn0259176, intron 5 of 7)	11135	FBgn0259176	FBgn0259176	FBtr0300521						NA
ManzF6HSan_REP2.mLb.clN_peak_13024	chr4	1197815	1199647	+	266	NA	promoter-TSS (FBgn0263112)	-promoter-TSS (FBgn0263112)	-127	FBgn0263112	FBgn0263112	FBtr0307329						NA
ManzF6HSan_REP2.mLb.clN_peak_11796	chr3R	23601200	23602047	+	264	NA	promoter-TSS (FBgn0051143)	-promoter-TSS (FBgn0051143)	-168	FBgn0051143	FBgn0051143	FBtr0084482						NA
ManzF6HSan_REP2.mLb.clN_peak_8143	chr3L	14706451	14707380	+	263	NA	TTS (FBgn0036441)	-TTS (FBgn0036441)	164	FBgn0259175	FBgn0259175	FBtr0333043						NA
ManzF6HSan_REP2.mLb.clN_peak_2889	chr2R	6219472	6221820	+	262	NA	promoter-TSS (FBgn0263144)	-promoter-TSS (FBgn0263144)	-394	FBgn0263144	FBgn0263144	FBtr0346718						NA
ManzF6HSan_REP2.mLb.clN_peak_6337	chr3L	39819	41137	+	261	NA	Intergenic	Intergenic	14273	FBgn0262679	FBgn0262679	FBtr0305596						NA
ManzF6HSan_REP2.mLb.clN_peak_3956	chr2R	11288976	11290224	+	261	NA	TTS (FBgn0033610)	-TTS (FBgn0033610)	172	FBgn0033609	FBgn0033609	FBtr0088178						NA
ManzF6HSan_REP2.mLb.clN_peak_7456	chr3L	8696520	8696981	+	260	NA	Intergenic	Intergenic	4047	FBgn0265719	FBgn0265719	FBtr0340661						NA
ManzF6HSan_REP2.mLb.clN_peak_15944	chrX	19750690	19751214	+	260	NA	TTS (FBgn0031068)	-TTS (FBgn0031068)	182	FBgn0031069	FBgn0031069	FBtr0335157						NA
ManzF6HSan_REP2.mLb.clN_peak_1419	chr2L	11970808	11971587	+	260	NA	promoter-TSS (FBgn0263019)	-promoter-TSS (FBgn0263019)	-103	FBgn0263019	FBgn0263019	FBtr0306899						NA
ManzF6HSan_REP2.mLb.clN_peak_10938	chr3R	15901070	15901687	+	259	NA	promoter-TSS (FBgn0027657)	-promoter-TSS (FBgn0027657)	3265	FBgn0027657	FBgn0027657	FBtr0344381						NA
ManzF6HSan_REP2.mLb.clN_peak_5072	chr2R	17265029	17266289	+	258	NA	exon (FBgn0265487, exon 1 of 4)	-exon (FBgn0265487, exon 1 of 4)	3320	FBgn0267659	FBgn0267659	FBtr0347117						NA
ManzF6HSan_REP2.mLb.clN_peak_6247	chr2R	24767659	24768774	+	257	NA	promoter-TSS (FBgn0027590)	-promoter-TSS (FBgn0027590)	-509	FBgn0027590	FBgn0027590	FBtr0072436						NA
ManzF6HSan_REP2.mLb.clN_peak_12112	chr3R	26041624	26042966	+	257	NA	promoter-TSS (FBgn0001139)	-promoter-TSS (FBgn0001139)	559	FBgn0001139	FBgn0001139	FBtr0339900						NA
ManzF6HSan_REP2.mLb.clN_peak_1087	chr2L	9176032	9176995	+	257	NA	intron (FBgn0041092, intron 1 of 13)	-intron (FBgn0041092, intron 1 of 14)	9735	FBgn0041092	FBgn0041092	FBtr0304974						NA
ManzF6HSan_REP2.mLb.clN_peak_2970	chr2R	6661772	6663895	+	256	NA	promoter-TSS (FBgn0266518)	-promoter-TSS (FBgn0266518)	568	FBgn0284249	FBgn0284249	FBtr0330252						NA
ManzF6HSan_REP2.mLb.clN_peak_8301	chr3L	16164023	16164950	+	256	NA	exon (FBgn0036576, exon 1 of 5)	-exon (FBgn0036576, exon 1 of 5)	5620	FBgn0053796	FBgn0053796	FBtr0091800						NA
ManzF6HSan_REP2.mLb.clN_peak_2132	chr2L	20416170	20417924	+	255	NA	promoter-TSS (FBgn0032859)	-promoter-TSS (FBgn0032859)	-10	FBgn0032859	FBgn0032859	FBtr0346418						NA
ManzF6HSan_REP2.mLb.clN_peak_15736	chrX	18512036	18512633	+	254	NA	promoter-TSS (FBgn0030932)	-promoter-TSS (FBgn0030932)	3	FBgn0030932	FBgn0030932	FBtr0074622						NA
ManzF6HSan_REP2.mLb.clN_peak_5010	chr2R	16856116	16857745	+	254	NA	promoter-TSS (FBgn0263462)	-promoter-TSS (FBgn0263462)	-483	FBgn0263462	FBgn0263462	FBtr0309761						NA
ManzF6HSan_REP2.mLb.clN_peak_1731	chr2L	15264266	15264983	+	254	NA	promoter-TSS (FBgn0045842)	-promoter-TSS (FBgn0045842)	68	FBgn0045842	FBgn0045842	FBtr0415452						NA
ManzF6HSan_REP2.mLb.clN_peak_13600	chrX	3161943	3163241	+	254	NA	intron (FBgn0004647, intron 5 of 8)	-intron (FBgn0004647, intron 5 of 8)	10548	FBgn0028746	FBgn0028746	FBtr0345708						NA
ManzF6HSan_REP2.mLb.clN_peak_1667	chr2L	14354816	14355674	+	251	NA	promoter-TSS (FBgn0015791)	-promoter-TSS (FBgn0015791)	-160	FBgn0261535	FBgn0261535	FBtr0080639						NA
ManzF6HSan_REP2.mLb.clN_peak_15828	chrX	19153022	19154449	+	250	NA	promoter-TSS (FBgn0261461)	-promoter-TSS (FBgn0261461)	13347	FBgn0261461	FBgn0261461	FBtr0339261						NA
ManzF6HSan_REP2.mLb.clN_peak_9097	chr3L	21879128	21880798	+	250	NA	intron (FBgn0262737, intron 1 of 10)	-intron (FBgn0262737, intron 1 of 8)	386	FBgn0262737	FBgn0262737	FBtr0346820						NA
ManzF6HSan_REP2.mLb.clN_peak_8989	chr3L	21239992	21240470	+	250	NA	promoter-TSS (FBgn0004865)	-promoter-TSS (FBgn0004865)	13622	FBgn0004865	FBgn0004865	FBtr0078307						NA
ManzF6HSan_REP2.mLb.clN_peak_15057	chrX	13413043	13413500	+	250	NA	promoter-TSS (FBgn0030486)	-promoter-TSS (FBgn0030486)	29	FBgn0030486	FBgn0030486	FBtr0301559						NA
ManzF6HSan_REP2.mLb.clN_peak_2790	chr2R	5781916	5783087	+	249	NA	exon (FBgn0025693, exon 1 of 10)	-exon (FBgn0025693, exon 1 of 10)	357	FBgn0025693	FBgn0025693	FBtr0086056						NA
ManzF6HSan_REP2.mLb.clN_peak_677	chr2L	5979897	5981116	+	249	NA	promoter-TSS (FBgn0000308)	-promoter-TSS (FBgn0000308)	-405	FBgn0000308	FBgn0000308	FBtr0079236						NA
ManzF6HSan_REP2.mLb.clN_peak_5703	chr2R	21645731	21646975	+	248	NA	exon (FBgn0034644, exon 1 of 8)	-exon (FBgn0034644, exon 1 of 8)	5633	FBgn0050284	FBgn0050284	FBtr0071684						NA
ManzF6HSan_REP2.mLb.clN_peak_8111	chr3L	14409458	14411042	+	248	NA	promoter-TSS (FBgn0003459)	-promoter-TSS (FBgn0003459)	-311	FBgn0003459	FBgn0003459	FBtr0333042						NA
ManzF6HSan_REP2.mLb.clN_peak_14394	chrX	8624702	8625332	+	247	NA	Intergenic	Intergenic	-18713	FBgn0030054	FBgn0030054	FBtr0071228						NA
ManzF6HSan_REP2.mLb.clN_peak_4296	chr2R	13042064	13042444	+	247	NA	Intergenic	Intergenic	5002	FBgn0033788	FBgn0033788	FBtr0345360						NA
ManzF6HSan_REP2.mLb.clN_peak_15929	chrX	19682854	19684109	+	247	NA	promoter-TSS (FBgn0031057)	-promoter-TSS (FBgn0031057)	37	FBgn0043903	FBgn0043903	FBtr0074756						NA
ManzF6HSan_REP2.mLb.clN_peak_4897	chr2R	16129808	16130591	+	246	NA	intron (FBgn0086676, intron 1 of 7)	-intron (FBgn0086676, intron 1 of 7)	5218	FBgn0086676	FBgn0086676	FBtr0089591						NA
ManzF6HSan_REP2.mLb.clN_peak_9631	chr3R	4951702	4952830	+	245	NA	intron (FBgn0004436, intron 1 of 2)	-intron (FBgn0004436, intron 1 of 2)	416	FBgn0004436	FBgn0004436	FBtr0306106						NA
