PeakID (cmd=annotatePeaks.pl AkaaF6Ctrl_REP3.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF6Ctrl_REP3.mLb.clN_peak_17084	chrX	22354410	22354742	+	561	NA	Intergenic	Intergenic	-89651	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_16333	chrX	16216667	16217888	+	546	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-531	FBgn0000459	FBgn0000459	FBtr0074250						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_1643	chr2L	13060044	13060633	+	545	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-198	FBgn0262160	FBgn0262160	FBtr0336617						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_11522	chr3R	16242306	16242925	+	543	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-201	FBgn0040071	FBgn0040071	FBtr0083258						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_6554	chr2R	25267998	25269517	+	541	NA	Intergenic	Intergenic	16830	FBgn0050428	FBgn0050428	FBtr0343515						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17176	chrX	23214309	23215002	+	514	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	203	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_13826	chr4	1198377	1199649	+	512	NA	exon (FBgn0263112, exon 1 of 9)	-exon (FBgn0263112, exon 1 of 9)	155	FBgn0263112	FBgn0263112	FBtr0307329						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_4208	chr2R	11603135	11603744	+	511	NA	intron (FBgn0033636, intron 1 of 15)	-intron (FBgn0033636, intron 1 of 16)	1497	FBgn0033636	FBgn0033636	FBtr0113066						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17179	chrX	23227032	23228782	+	500	NA	Intergenic	Intergenic	-11811	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_1802	chr2L	14490165	14491156	+	494	NA	promoter-TSS (FBgn0005771)	-promoter-TSS (FBgn0005771)	-199	FBgn0005771	FBgn0005771	FBtr0080643						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_7068	chr3L	3059896	3061324	+	487	NA	intron (FBgn0266918, intron 1 of 7)	-intron (FBgn0266918, intron 1 of 7)	5531	FBgn0035393	FBgn0035393	FBtr0072990						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_2786	chr2R	3140707	3141059	+	484	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74384	FBgn0260995	FBgn0260995	FBtr0334939						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_1307	chr2L	9782118	9782983	+	480	NA	exon (FBgn0032147, exon 1 of 4)	-exon (FBgn0032147, exon 1 of 4)	-3696	FBgn0032147	FBgn0032147	FBtr0307204						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_8997	chr3L	18185582	18186499	+	477	NA	promoter-TSS (FBgn0003997)	-promoter-TSS (FBgn0003997)	-399	FBgn0003997	FBgn0003997	FBtr0332862						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_5706	chr2R	20111049	20111804	+	471	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-85	FBgn0287775	FBgn0287775	FBtr0086309						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_8176	chr3L	11552722	11553697	+	459	NA	promoter-TSS (FBgn0259481)	-promoter-TSS (FBgn0259481)	-8787	FBgn0036173	FBgn0036173	FBtr0333215						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_290	chr2L	2130053	2131275	+	455	NA	promoter-TSS (FBgn0004507)	-promoter-TSS (FBgn0004507)	-149	FBgn0004507	FBgn0004507	FBtr0077828						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17201	chrX	23406857	23407574	+	451	NA	Intergenic	Intergenic	115515	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_15215	chrX	8293988	8296004	+	451	NA	intron (FBgn0015519, intron 6 of 11)	-intron (FBgn0015519, intron 6 of 11)	-21190	FBgn0030029	FBgn0030029	FBtr0071178						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_7779	chr3L	8675158	8676102	+	447	NA	promoter-TSS (FBgn0001168)	-promoter-TSS (FBgn0001168)	-129	FBgn0001168	FBgn0001168	FBtr0100153						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_13453	chr3R	31712919	31714053	+	447	NA	promoter-TSS (FBgn0003870)	-promoter-TSS (FBgn0003870)	4211	FBgn0054046	FBgn0054046	FBtr0308935						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_9786	chr3L	24737889	24739135	+	444	NA	intron (FBgn0287186, intron 3 of 5)	-intron (FBgn0287186, intron 4 of 6)	14350	FBgn0287186	FBgn0287186	FBtr0339923						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_8517	chr3L	14550715	14551771	+	444	NA	promoter-TSS (FBgn0036428)	-promoter-TSS (FBgn0036428)	-268	FBgn0036428	FBgn0036428	FBtr0333037						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_16862	chrX	19682915	19684192	+	443	NA	promoter-TSS (FBgn0031057)	-promoter-TSS (FBgn0031057)	-35	FBgn0043903	FBgn0043903	FBtr0074756						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_8502	chr3L	14427033	14427934	+	440	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2982	FBgn0267695	FBgn0267695	FBtr0347205						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_8534	chr3L	14673752	14675424	+	439	NA	promoter-TSS (FBgn0011927)	-promoter-TSS (FBgn0011927)	244	FBgn0011928	FBgn0011928	FBtr0075681						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_3083	chr2R	6171290	6172249	+	438	NA	promoter-TSS (FBgn0050316)	-promoter-TSS (FBgn0050316)	82	FBgn0050316	FBgn0050316	FBtr0085986						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_7524	chr3L	6904023	6904478	+	435	NA	Intergenic	Intergenic	9714	FBgn0041194	FBgn0041194	FBtr0076945						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17174	chrX	23210957	23211274	+	431	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-77	FBgn0085813	FBgn0085813	FBtr0346892						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_6552	chr2R	25262568	25262956	+	430	NA	Intergenic	Intergenic	10835	FBgn0050428	FBgn0050428	FBtr0343515						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_14808	chrX	5524191	5524819	+	428	NA	promoter-TSS (FBgn0086667)	-promoter-TSS (FBgn0086667)	-40	FBgn0086667	FBgn0086667	FBtr0091788						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_5502	chr2R	18652699	18653246	+	425	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-196	FBgn0034371	FBgn0034371	FBtr0086657						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_4473	chr2R	12996200	12997675	+	423	NA	promoter-TSS (FBgn0265623)	-promoter-TSS (FBgn0265623)	436	FBgn0265623	FBgn0265623	FBtr0330613						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_2390	chr2L	20416541	20417899	+	422	NA	promoter-TSS (FBgn0032858)	-promoter-TSS (FBgn0032858)	163	FBgn0032859	FBgn0032859	FBtr0346418						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_13854	chrX	52207	54944	+	420	NA	Intergenic	Intergenic	-68918	FBgn0058469	FBgn0058469	FBtr0307364						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_8147	chr3L	11292068	11292593	+	418	NA	intron (FBgn0036152, intron 1 of 3)	-intron (FBgn0036152, intron 1 of 2)	3589	FBgn0036152	FBgn0036152	FBtr0333389						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_4480	chr2R	13034907	13035809	+	417	NA	Intergenic	Intergenic	11898	FBgn0033788	FBgn0033788	FBtr0345360						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_12771	chr3R	26041631	26042967	+	413	NA	promoter-TSS (FBgn0001139)	-promoter-TSS (FBgn0001139)	563	FBgn0001139	FBgn0001139	FBtr0339900						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_16913	chrX	20158866	20160129	+	412	NA	TTS (FBgn0031091)	-TTS (FBgn0031091)	375	FBgn0031090	FBgn0031090	FBtr0333549						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_16892	chrX	19886837	19887972	+	411	NA	promoter-TSS (FBgn0052529)	-promoter-TSS (FBgn0052529)	2656	FBgn0086782	FBgn0086782	FBtr0074802						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_4689	chr2R	14006756	14007295	+	407	NA	intron (FBgn0002643, intron 2 of 6)	-intron (FBgn0002643, intron 2 of 6)	-2174	FBgn0002643	FBgn0002643	FBtr0087598						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17203	chrX	23413212	23413727	+	405	NA	Intergenic	Intergenic	121769	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_1969	chr2L	16601467	16602015	+	402	NA	promoter-TSS (FBgn0259735)	-promoter-TSS (FBgn0259735)	-86	FBgn0259735	FBgn0259735	FBtr0335497						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_9049	chr3L	18771180	18772192	+	402	NA	TTS (FBgn0267601)	-TTS (FBgn0267601)	-5942	FBgn0001078	FBgn0001078	FBtr0075086						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_1539	chr2L	11970808	11971433	+	399	NA	promoter-TSS (FBgn0263019)	-promoter-TSS (FBgn0263019)	-26	FBgn0263019	FBgn0263019	FBtr0306899						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_15002	chrX	6861457	6861903	+	399	NA	exon (FBgn0267087, exon 1 of 1)	-exon (FBgn0267087, exon 1 of 1)	1341	FBgn0267087	FBgn0267087	FBtr0346094						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_2220	chr2L	19157932	19159170	+	396	NA	promoter-TSS (FBgn0010300)	-promoter-TSS (FBgn0010300)	748	FBgn0266312	FBgn0266312	FBtr0344041						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_16454	chrX	17076582	17078108	+	395	NA	exon (FBgn0030812, exon 2 of 15)	-exon (FBgn0030812, exon 2 of 15)	552	FBgn0030812	FBgn0030812	FBtr0330596						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_6468	chr2R	24767461	24768689	+	393	NA	promoter-TSS (FBgn0027590)	-promoter-TSS (FBgn0027590)	-368	FBgn0027590	FBgn0027590	FBtr0072436						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_9626	chr3L	22406920	22408550	+	392	NA	promoter-TSS (FBgn0267624)	-promoter-TSS (FBgn0267624)	128	FBgn0004449	FBgn0004449	FBtr0330159						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_12336	chr3R	22396331	22398012	+	391	NA	promoter-TSS (FBgn0051166)	-promoter-TSS (FBgn0051166)	90	FBgn0051167	FBgn0051167	FBtr0084232						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_5948	chr2R	21645755	21646990	+	391	NA	exon (FBgn0034644, exon 1 of 8)	-exon (FBgn0034644, exon 1 of 8)	5614	FBgn0050284	FBgn0050284	FBtr0071684						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_486	chr2L	3771099	3772202	+	384	NA	promoter-TSS (FBgn0004893)	-promoter-TSS (FBgn0004893)	-270	FBgn0004893	FBgn0004893	FBtr0307029						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_15185	chrX	8141358	8142446	+	383	NA	TTS (FBgn0030006)	-TTS (FBgn0030006)	377	FBgn0025800	FBgn0025800	FBtr0340159						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_4477	chr2R	13014404	13016271	+	383	NA	Intergenic	Intergenic	18836	FBgn0265623	FBgn0265623	FBtr0330613						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_10196	chr3R	5547173	5547857	+	382	NA	TTS (FBgn0014342)	-TTS (FBgn0014342)	260	FBgn0037336	FBgn0037336	FBtr0078762						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_5286	chr2R	17265044	17266213	+	382	NA	exon (FBgn0265487, exon 1 of 4)	-exon (FBgn0265487, exon 1 of 4)	3289	FBgn0267659	FBgn0267659	FBtr0347117						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_8982	chr3L	18105466	18106842	+	382	NA	promoter-TSS (FBgn0036774)	-promoter-TSS (FBgn0036774)	-5	FBgn0036773	FBgn0036773	FBtr0333698						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_754	chr2L	5907018	5907938	+	382	NA	intron (FBgn0043362, intron 1 of 17)	-intron (FBgn0043362, intron 1 of 17)	309	FBgn0043362	FBgn0043362	FBtr0079144						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_1954	chr2L	16525841	16526651	+	380	NA	intron (FBgn0032587, intron 2 of 2)	-intron (FBgn0032587, intron 2 of 2)	2676	FBgn0086038	FBgn0086038	FBtr0114314						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_16877	chrX	19750690	19751758	+	375	NA	exon (FBgn0031069, exon 1 of 8)	-exon (FBgn0031069, exon 1 of 8)	454	FBgn0031069	FBgn0031069	FBtr0335157						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_8330	chr3L	12692728	12693775	+	375	NA	promoter-TSS (FBgn0014343)	-promoter-TSS (FBgn0014343)	-388	FBgn0014343	FBgn0014343	FBtr0330077						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_10137	chr3R	5231571	5232793	+	374	NA	promoter-TSS (FBgn0037301)	-promoter-TSS (FBgn0037301)	27	FBgn0040208	FBgn0040208	FBtr0334909						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_14645	chrX	4426717	4427217	+	374	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13505	FBgn0000179	FBgn0000179	FBtr0331162						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_14027	chrX	935043	936039	+	373	NA	promoter-TSS (FBgn0040340)	-promoter-TSS (FBgn0040340)	115	FBgn0040340	FBgn0040340	FBtr0332589						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_10866	chr3R	10614279	10614836	+	373	NA	promoter-TSS (FBgn0001235)	-promoter-TSS (FBgn0001235)	-281	FBgn0001235	FBgn0001235	FBtr0100454						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_11524	chr3R	16249502	16250778	+	373	NA	intron (FBgn0040071, intron 1 of 1)	-intron (FBgn0040071, intron 1 of 1)	7324	FBgn0040071	FBgn0040071	FBtr0083258						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_13846	chr4	1276652	1279455	+	370	NA	Intergenic	Intergenic	47216	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_12476	chr3R	23601343	23602080	+	369	NA	promoter-TSS (FBgn0051143)	-promoter-TSS (FBgn0051143)	-256	FBgn0051143	FBgn0051143	FBtr0084482						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_15949	chrX	13563539	13564306	+	369	NA	promoter-TSS (FBgn0086674)	-promoter-TSS (FBgn0086674)	99	FBgn0086674	FBgn0086674	FBtr0330399						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_8535	chr3L	14706386	14706886	+	368	NA	promoter-TSS (FBgn0259175)	-promoter-TSS (FBgn0259175)	-115	FBgn0259175	FBgn0259175	FBtr0333043						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_10405	chr3R	7000598	7001200	+	367	NA	exon (FBgn0267559, exon 1 of 1)	-exon (FBgn0267559, exon 1 of 1)	407	FBgn0267559	FBgn0267559	FBtr0346969						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_16411	chrX	16723450	16723940	+	367	NA	intron (FBgn0052572, intron 2 of 3)	-intron (FBgn0052572, intron 2 of 3)	-2284	FBgn0085354	FBgn0085354	FBtr0339826						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_2533	chr2L	21236859	21238307	+	362	NA	promoter-TSS (FBgn0051626)	-promoter-TSS (FBgn0051626)	333	FBgn0261239	FBgn0261239	FBtr0081481						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_8169	chr3L	11487250	11488061	+	362	NA	exon (FBgn0036165, exon 1 of 4)	-exon (FBgn0036165, exon 1 of 4)	-6216	FBgn0036165	FBgn0036165	FBtr0344910						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_15266	chrX	8624660	8625260	+	362	NA	Intergenic	Intergenic	-18656	FBgn0030054	FBgn0030054	FBtr0071228						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_5684	chr2R	19999707	20001211	+	359	NA	promoter-TSS (FBgn0050212)	-promoter-TSS (FBgn0050212)	-91	FBgn0050212	FBgn0050212	FBtr0086326						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_3094	chr2R	6219466	6221936	+	359	NA	promoter-TSS (FBgn0263144)	-promoter-TSS (FBgn0263144)	-339	FBgn0263144	FBgn0263144	FBtr0346718						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_15980	chrX	13739317	13740449	+	357	NA	TTS (FBgn0030518)	-TTS (FBgn0030518)	101	FBgn0030519	FBgn0030519	FBtr0331719						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_3533	chr2R	8326846	8327802	+	357	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-166	FBgn0261588	FBgn0261588	FBtr0339350						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_14915	chrX	6279041	6279977	+	357	NA	promoter-TSS (FBgn0086558)	-promoter-TSS (FBgn0086558)	138	FBgn0086558	FBgn0086558	FBtr0345892						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_16960	chrX	20656138	20657740	+	356	NA	promoter-TSS (FBgn0031126)	-promoter-TSS (FBgn0031126)	609	FBgn0267022	FBgn0267022	FBtr0345969						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_2979	chr2R	5781898	5783689	+	355	NA	promoter-TSS (FBgn0025693)	-promoter-TSS (FBgn0025693)	65	FBgn0025693	FBgn0025693	FBtr0086056						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_720	chr2L	5724557	5725135	+	354	NA	TTS (FBgn0024191)	-TTS (FBgn0024191)	190	FBgn0031736	FBgn0031736	FBtr0332554						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_8077	chr3L	10897947	10899471	+	354	NA	promoter-TSS (FBgn0036111)	-promoter-TSS (FBgn0036111)	414	FBgn0036111	FBgn0036111	FBtr0076252						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_7368	chr3L	5276703	5278333	+	354	NA	intron (FBgn0052423, intron 1 of 11)	-intron (FBgn0052423, intron 1 of 10)	38933	FBgn0267305	FBgn0267305	FBtr0346561						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_16795	chrX	19360795	19361976	+	352	NA	intron (FBgn0031016, intron 1 of 4)	-intron (FBgn0031016, intron 1 of 5)	8204	FBgn0031016	FBgn0031016	FBtr0309224						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_11210	chr3R	13983225	13984082	+	352	NA	promoter-TSS (FBgn0264493)	-promoter-TSS (FBgn0264493)	-11853	FBgn0264493	FBgn0264493	FBtr0301633						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_5226	chr2R	16856119	16857501	+	350	NA	promoter-TSS (FBgn0263462)	-promoter-TSS (FBgn0263462)	590	FBgn0026533	FBgn0026533	FBtr0332946						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_1584	chr2L	12365957	12366611	+	350	NA	promoter-TSS (FBgn0262475)	-promoter-TSS (FBgn0262475)	9843	FBgn0032424	FBgn0032424	FBtr0080354						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_17193	chrX	23371642	23372224	+	350	NA	Intergenic	Intergenic	80233	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_16019	chrX	13986375	13986854	+	350	NA	promoter-TSS (FBgn0267033)	-promoter-TSS (FBgn0267033)	2217	FBgn0267033	FBgn0267033	FBtr0346006						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_1515	chr2L	11516305	11517354	+	345	NA	promoter-TSS (FBgn0032364)	-promoter-TSS (FBgn0032364)	252	FBgn0032363	FBgn0032363	FBtr0080247						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_8481	chr3L	14273891	14275328	+	345	NA	exon (FBgn0001085, exon 1 of 5)	-exon (FBgn0001085, exon 1 of 5)	266	FBgn0001085	FBgn0001085	FBtr0330102						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_16359	chrX	16372321	16374296	+	345	NA	promoter-TSS (FBgn0004598)	-promoter-TSS (FBgn0004598)	222	FBgn0004598	FBgn0004598	FBtr0074267						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_5303	chr2R	17391583	17392819	+	343	NA	promoter-TSS (FBgn0011879)	-promoter-TSS (FBgn0011879)	-14	FBgn0011879	FBgn0011879	FBtr0086908						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_3174	chr2R	6661772	6663873	+	342	NA	promoter-TSS (FBgn0266518)	-promoter-TSS (FBgn0266518)	557	FBgn0284249	FBgn0284249	FBtr0330252						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_8627	chr3L	15553977	15554814	+	340	NA	exon (FBgn0087035, exon 2 of 8)	-exon (FBgn0087035, exon 2 of 8)	-2428	FBgn0087035	FBgn0087035	FBtr0331933						NA
AkaaF6Ctrl_REP3.mLb.clN_peak_11590	chr3R	16763691	16764402	+	340	NA	intron (FBgn0020556, intron 1 of 2)	-intron (FBgn0020556, intron 1 of 2)	-12712	FBgn0063261	FBgn0063261	FBtr0083346						NA
