PeakID (cmd=annotatePeaks.pl ManzF6Ctrl_REP2.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF6Ctrl_REP2.mLb.clN_peak_19127	chrX	23205188	23206524	+	2313	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	34	FBgn0267515	FBgn0267515	FBtr0346891						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19139	chrX	23270828	23271629	+	2273	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	-70	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19032	chrX	21796902	21797153	+	2028	NA	Intergenic	Intergenic	163591	FBgn0267704	FBgn0267704	FBtr0347227						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19144	chrX	23291076	23292003	+	1624	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-10	FBgn0267523	FBgn0267523	FBtr0346897						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19145	chrX	23326886	23327794	+	1532	NA	Intergenic	Intergenic	35640	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19168	chrX	23537051	23538423	+	1528	NA	Intergenic	Intergenic	246037	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19141	chrX	23278010	23280484	+	1367	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	763	FBgn0267522	FBgn0267522	FBtr0346902						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19044	chrX	22433014	22433195	+	1257	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19161	chrX	23438786	23442081	+	1186	NA	Intergenic	Intergenic	148733	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP2.mLb.clN_peak_11022	chr3L	27126139	27127762	+	1172	NA	Intergenic	Intergenic	-8234	FBgn0267985	FBgn0267985	FBtr0347582						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19128	chrX	23210943	23211288	+	849	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-77	FBgn0085813	FBgn0085813	FBtr0346892						NA
ManzF6Ctrl_REP2.mLb.clN_peak_15451	chr4	1288242	1289090	+	789	NA	Intergenic	Intergenic	57829	FBgn0053653	FBgn0053653	FBtr0333702						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19041	chrX	22382845	22383920	+	768	NA	Intergenic	Intergenic	-60845	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19130	chrX	23214280	23215010	+	741	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	193	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19133	chrX	23227029	23228782	+	738	NA	Intergenic	Intergenic	-11813	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19142	chrX	23281014	23281365	+	631	NA	promoter-TSS (FBgn0250731)	-promoter-TSS (FBgn0250731)	-912	FBgn0250731	FBgn0250731	FBtr0346901						NA
ManzF6Ctrl_REP2.mLb.clN_peak_8683	chr3L	8723827	8726539	+	626	NA	TTS (FBgn0264696)	-TTS (FBgn0264696)	591	FBgn0264696	FBgn0264696	FBtr0333890						NA
ManzF6Ctrl_REP2.mLb.clN_peak_3069	chr2R	3140707	3141061	+	622	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74385	FBgn0260995	FBgn0260995	FBtr0334939						NA
ManzF6Ctrl_REP2.mLb.clN_peak_16541	chrX	5754636	5756151	+	619	NA	promoter-TSS (FBgn0029801)	-promoter-TSS (FBgn0029801)	-181	FBgn0029801	FBgn0029801	FBtr0345789						NA
ManzF6Ctrl_REP2.mLb.clN_peak_16975	chrX	8293988	8296009	+	581	NA	intron (FBgn0015519, intron 6 of 11)	-intron (FBgn0015519, intron 6 of 11)	-21192	FBgn0030029	FBgn0030029	FBtr0071178						NA
ManzF6Ctrl_REP2.mLb.clN_peak_1780	chr2L	13060041	13060634	+	549	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-197	FBgn0262160	FBgn0262160	FBtr0336617						NA
ManzF6Ctrl_REP2.mLb.clN_peak_15449	chr4	1278816	1279548	+	541	NA	Intergenic	Intergenic	48345	FBgn0053653	FBgn0053653	FBtr0333702						NA
ManzF6Ctrl_REP2.mLb.clN_peak_6411	chr2R	20111055	20111728	+	529	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-120	FBgn0287775	FBgn0287775	FBtr0086309						NA
ManzF6Ctrl_REP2.mLb.clN_peak_10960	chr3L	24737934	24739138	+	517	NA	intron (FBgn0287186, intron 3 of 5)	-intron (FBgn0287186, intron 4 of 6)	14374	FBgn0287186	FBgn0287186	FBtr0339923						NA
ManzF6Ctrl_REP2.mLb.clN_peak_3469	chr2R	6480491	6483098	+	513	NA	Intergenic	Intergenic	19978	FBgn0267744	FBgn0267744	FBtr0347304						NA
ManzF6Ctrl_REP2.mLb.clN_peak_6188	chr2R	18652699	18653261	+	503	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-204	FBgn0034371	FBgn0034371	FBtr0086657						NA
ManzF6Ctrl_REP2.mLb.clN_peak_8666	chr3L	8675057	8676098	+	494	NA	promoter-TSS (FBgn0001168)	-promoter-TSS (FBgn0001168)	-182	FBgn0001168	FBgn0001168	FBtr0100153						NA
ManzF6Ctrl_REP2.mLb.clN_peak_12883	chr3R	16242297	16242927	+	489	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-204	FBgn0040071	FBgn0040071	FBtr0083258						NA
ManzF6Ctrl_REP2.mLb.clN_peak_18201	chrX	16216575	16217916	+	481	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-499	FBgn0000459	FBgn0000459	FBtr0074250						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19156	chrX	23406857	23407579	+	479	NA	Intergenic	Intergenic	115518	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP2.mLb.clN_peak_2109	chr2L	16525839	16526658	+	469	NA	intron (FBgn0032587, intron 2 of 2)	-intron (FBgn0032587, intron 2 of 2)	2674	FBgn0086038	FBgn0086038	FBtr0114314						NA
ManzF6Ctrl_REP2.mLb.clN_peak_1388	chr2L	9782043	9782953	+	461	NA	exon (FBgn0032147, exon 1 of 4)	-exon (FBgn0032147, exon 1 of 4)	-3748	FBgn0032147	FBgn0032147	FBtr0307204						NA
ManzF6Ctrl_REP2.mLb.clN_peak_1951	chr2L	14490161	14491101	+	458	NA	promoter-TSS (FBgn0005771)	-promoter-TSS (FBgn0005771)	-228	FBgn0005771	FBgn0005771	FBtr0080643						NA
ManzF6Ctrl_REP2.mLb.clN_peak_9461	chr3L	14427028	14427796	+	455	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2911	FBgn0267695	FBgn0267695	FBtr0347205						NA
ManzF6Ctrl_REP2.mLb.clN_peak_2957	chr2R	870293	870588	+	451	NA	Intergenic	Intergenic	15626	FBgn0284080	FBgn0284080	FBtr0452096						NA
ManzF6Ctrl_REP2.mLb.clN_peak_12885	chr3R	16249506	16250816	+	450	NA	intron (FBgn0040071, intron 1 of 1)	-intron (FBgn0040071, intron 1 of 1)	7345	FBgn0040071	FBgn0040071	FBtr0083258						NA
ManzF6Ctrl_REP2.mLb.clN_peak_9075	chr3L	11552859	11553696	+	444	NA	promoter-TSS (FBgn0259481)	-promoter-TSS (FBgn0259481)	-8719	FBgn0036173	FBgn0036173	FBtr0333215						NA
ManzF6Ctrl_REP2.mLb.clN_peak_15427	chr4	1197880	1199648	+	443	NA	promoter-TSS (FBgn0263112)	-promoter-TSS (FBgn0263112)	-94	FBgn0263112	FBgn0263112	FBtr0307329						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19132	chrX	23221303	23223641	+	436	NA	Intergenic	Intergenic	8020	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF6Ctrl_REP2.mLb.clN_peak_17198	chrX	9693802	9694304	+	436	NA	promoter-TSS (FBgn0000233)	-promoter-TSS (FBgn0000233)	-133	FBgn0000233	FBgn0000233	FBtr0071379						NA
ManzF6Ctrl_REP2.mLb.clN_peak_5028	chr2R	12996136	12997709	+	435	NA	promoter-TSS (FBgn0265623)	-promoter-TSS (FBgn0265623)	421	FBgn0265623	FBgn0265623	FBtr0330613						NA
ManzF6Ctrl_REP2.mLb.clN_peak_3932	chr2R	8326821	8327784	+	429	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-188	FBgn0261588	FBgn0261588	FBtr0339350						NA
ManzF6Ctrl_REP2.mLb.clN_peak_16507	chrX	5524191	5524814	+	422	NA	promoter-TSS (FBgn0086667)	-promoter-TSS (FBgn0086667)	-37	FBgn0086667	FBgn0086667	FBtr0091788						NA
ManzF6Ctrl_REP2.mLb.clN_peak_1126	chr2L	7984106	7984592	+	419	NA	promoter-TSS (FBgn0031968)	-promoter-TSS (FBgn0031968)	-934	FBgn0031968	FBgn0031968	FBtr0306336						NA
ManzF6Ctrl_REP2.mLb.clN_peak_7677	chr3L	1586381	1587121	+	418	NA	promoter-TSS (FBgn0035237)	-promoter-TSS (FBgn0035237)	57	FBgn0035237	FBgn0035237	FBtr0347066						NA
ManzF6Ctrl_REP2.mLb.clN_peak_4447	chr2R	10437898	10438995	+	418	NA	promoter-TSS (FBgn0001122)	-promoter-TSS (FBgn0001122)	-1064	FBgn0033523	FBgn0033523	FBtr0330615						NA
ManzF6Ctrl_REP2.mLb.clN_peak_10974	chr3L	25133255	25134198	+	416	NA	Intergenic	Intergenic	12977	FBgn0260008	FBgn0260008	FBtr0343636						NA
ManzF6Ctrl_REP2.mLb.clN_peak_5273	chr2R	14006745	14007309	+	415	NA	intron (FBgn0002643, intron 2 of 6)	-intron (FBgn0002643, intron 2 of 6)	-2172	FBgn0002643	FBgn0002643	FBtr0087598						NA
ManzF6Ctrl_REP2.mLb.clN_peak_5035	chr2R	13014422	13016243	+	414	NA	Intergenic	Intergenic	18831	FBgn0265623	FBgn0265623	FBtr0330613						NA
ManzF6Ctrl_REP2.mLb.clN_peak_15024	chr3R	31712912	31714133	+	412	NA	promoter-TSS (FBgn0003870)	-promoter-TSS (FBgn0003870)	4247	FBgn0054046	FBgn0054046	FBtr0308935						NA
ManzF6Ctrl_REP2.mLb.clN_peak_5038	chr2R	13034964	13035836	+	411	NA	Intergenic	Intergenic	11856	FBgn0033788	FBgn0033788	FBtr0345360						NA
ManzF6Ctrl_REP2.mLb.clN_peak_14223	chr3R	26041641	26042972	+	409	NA	promoter-TSS (FBgn0001139)	-promoter-TSS (FBgn0001139)	570	FBgn0001139	FBgn0001139	FBtr0339900						NA
ManzF6Ctrl_REP2.mLb.clN_peak_9490	chr3L	14673663	14675238	+	405	NA	promoter-TSS (FBgn0011927)	-promoter-TSS (FBgn0011927)	106	FBgn0011928	FBgn0011928	FBtr0075681						NA
ManzF6Ctrl_REP2.mLb.clN_peak_5958	chr2R	17391579	17392860	+	404	NA	promoter-TSS (FBgn0011879)	-promoter-TSS (FBgn0011879)	4	FBgn0011879	FBgn0011879	FBtr0086908						NA
ManzF6Ctrl_REP2.mLb.clN_peak_17033	chrX	8624733	8625212	+	404	NA	Intergenic	Intergenic	-18668	FBgn0030054	FBgn0030054	FBtr0071228						NA
ManzF6Ctrl_REP2.mLb.clN_peak_2369	chr2L	19157926	19159171	+	403	NA	promoter-TSS (FBgn0010300)	-promoter-TSS (FBgn0010300)	751	FBgn0266312	FBgn0266312	FBtr0344041						NA
ManzF6Ctrl_REP2.mLb.clN_peak_12723	chr3R	15130780	15132053	+	401	NA	intron (FBgn0261859, intron 1 of 9)	-intron (FBgn0261859, intron 1 of 9)	510	FBgn0261859	FBgn0261859	FBtr0303486						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19158	chrX	23413217	23413719	+	399	NA	Intergenic	Intergenic	121768	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP2.mLb.clN_peak_7060	chr2R	23839808	23840434	+	396	NA	promoter-TSS (FBgn0086659)	-promoter-TSS (FBgn0086659)	-57	FBgn0086659	FBgn0086659	FBtr0091917						NA
ManzF6Ctrl_REP2.mLb.clN_peak_7360	chr3L	39909	41081	+	394	NA	Intergenic	Intergenic	14256	FBgn0262679	FBgn0262679	FBtr0305596						NA
ManzF6Ctrl_REP2.mLb.clN_peak_1650	chr2L	11970773	11971440	+	393	NA	promoter-TSS (FBgn0263019)	-promoter-TSS (FBgn0263019)	-12	FBgn0263019	FBgn0263019	FBtr0306899						NA
ManzF6Ctrl_REP2.mLb.clN_peak_11660	chr3R	7000584	7001265	+	391	NA	exon (FBgn0267559, exon 1 of 1)	-exon (FBgn0267559, exon 1 of 1)	432	FBgn0267559	FBgn0267559	FBtr0346969						NA
ManzF6Ctrl_REP2.mLb.clN_peak_7028	chr2R	23666583	23667441	+	387	NA	promoter-TSS (FBgn0266377)	-promoter-TSS (FBgn0266377)	1718	FBgn0266377	FBgn0266377	FBtr0344181						NA
ManzF6Ctrl_REP2.mLb.clN_peak_18834	chrX	19886856	19888019	+	386	NA	promoter-TSS (FBgn0052529)	-promoter-TSS (FBgn0052529)	2623	FBgn0086782	FBgn0086782	FBtr0074802						NA
ManzF6Ctrl_REP2.mLb.clN_peak_12591	chr3R	13983236	13984115	+	384	NA	promoter-TSS (FBgn0264493)	-promoter-TSS (FBgn0264493)	-11875	FBgn0264493	FBgn0264493	FBtr0301633						NA
ManzF6Ctrl_REP2.mLb.clN_peak_3292	chr2R	5781847	5783174	+	382	NA	exon (FBgn0025693, exon 1 of 10)	-exon (FBgn0025693, exon 1 of 10)	348	FBgn0025693	FBgn0025693	FBtr0086056						NA
ManzF6Ctrl_REP2.mLb.clN_peak_18846	chrX	20158779	20160144	+	381	NA	TTS (FBgn0031091)	-TTS (FBgn0031091)	411	FBgn0031090	FBgn0031090	FBtr0333549						NA
ManzF6Ctrl_REP2.mLb.clN_peak_15458	chrX	52231	54942	+	381	NA	Intergenic	Intergenic	-68907	FBgn0058469	FBgn0058469	FBtr0307364						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19038	chrX	22354413	22354718	+	381	NA	Intergenic	Intergenic	-89662	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF6Ctrl_REP2.mLb.clN_peak_7897	chr3L	3059480	3061324	+	380	NA	intron (FBgn0266918, intron 1 of 7)	-intron (FBgn0266918, intron 1 of 7)	5323	FBgn0035393	FBgn0035393	FBtr0072990						NA
ManzF6Ctrl_REP2.mLb.clN_peak_18905	chrX	20656133	20657756	+	379	NA	promoter-TSS (FBgn0031126)	-promoter-TSS (FBgn0031126)	604	FBgn0267022	FBgn0267022	FBtr0345969						NA
ManzF6Ctrl_REP2.mLb.clN_peak_7902	chr3L	3095448	3096900	+	375	NA	promoter-TSS (FBgn0052287)	-promoter-TSS (FBgn0052287)	183	FBgn0052289	FBgn0052289	FBtr0073019						NA
ManzF6Ctrl_REP2.mLb.clN_peak_16322	chrX	4426698	4427192	+	375	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13483	FBgn0000179	FBgn0000179	FBtr0331162						NA
ManzF6Ctrl_REP2.mLb.clN_peak_9305	chr3L	13044367	13044987	+	374	NA	promoter-TSS (FBgn0036341)	-promoter-TSS (FBgn0036341)	39	FBgn0036341	FBgn0036341	FBtr0332076						NA
ManzF6Ctrl_REP2.mLb.clN_peak_9925	chr3L	17486899	17487735	+	371	NA	promoter-TSS (FBgn0036732)	-promoter-TSS (FBgn0036732)	-317	FBgn0036732	FBgn0036732	FBtr0345118						NA
ManzF6Ctrl_REP2.mLb.clN_peak_6650	chr2R	21645741	21646962	+	371	NA	exon (FBgn0034644, exon 1 of 8)	-exon (FBgn0034644, exon 1 of 8)	5635	FBgn0050284	FBgn0050284	FBtr0071684						NA
ManzF6Ctrl_REP2.mLb.clN_peak_7249	chr2R	24767461	24768867	+	371	NA	promoter-TSS (FBgn0027590)	-promoter-TSS (FBgn0027590)	-457	FBgn0027590	FBgn0027590	FBtr0072436						NA
ManzF6Ctrl_REP2.mLb.clN_peak_6395	chr2R	19999878	20001254	+	370	NA	promoter-TSS (FBgn0050212)	-promoter-TSS (FBgn0050212)	-198	FBgn0050212	FBgn0050212	FBtr0086326						NA
ManzF6Ctrl_REP2.mLb.clN_peak_9680	chr3L	16164001	16164959	+	369	NA	exon (FBgn0036576, exon 1 of 5)	-exon (FBgn0036576, exon 1 of 5)	5626	FBgn0053796	FBgn0053796	FBtr0091800						NA
ManzF6Ctrl_REP2.mLb.clN_peak_18334	chrX	17076578	17078259	+	368	NA	exon (FBgn0030812, exon 2 of 15)	-exon (FBgn0030812, exon 2 of 15)	479	FBgn0030812	FBgn0030812	FBtr0330596						NA
ManzF6Ctrl_REP2.mLb.clN_peak_1298	chr2L	9176064	9176963	+	366	NA	intron (FBgn0041092, intron 1 of 13)	-intron (FBgn0041092, intron 1 of 14)	9735	FBgn0041092	FBgn0041092	FBtr0304974						NA
ManzF6Ctrl_REP2.mLb.clN_peak_1737	chr2L	12529495	12530083	+	366	NA	intron (FBgn0259176, intron 5 of 7)	-intron (FBgn0259176, intron 5 of 7)	11113	FBgn0259176	FBgn0259176	FBtr0300521						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19148	chrX	23371659	23372210	+	365	NA	Intergenic	Intergenic	80234	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP2.mLb.clN_peak_9491	chr3L	14706417	14706884	+	364	NA	promoter-TSS (FBgn0259175)	-promoter-TSS (FBgn0259175)	-101	FBgn0259175	FBgn0259175	FBtr0333043						NA
ManzF6Ctrl_REP2.mLb.clN_peak_13122	chr3R	18396875	18397760	+	361	NA	promoter-TSS (FBgn0028670)	-promoter-TSS (FBgn0028670)	322	FBgn0264751	FBgn0264751	FBtr0334145						NA
ManzF6Ctrl_REP2.mLb.clN_peak_4400	chr2R	10270975	10272085	+	359	NA	promoter-TSS (FBgn0033504)	-promoter-TSS (FBgn0033504)	5459	FBgn0033502	FBgn0033502	FBtr0310142						NA
ManzF6Ctrl_REP2.mLb.clN_peak_2726	chr2L	21250438	21251188	+	357	NA	intron (FBgn0261239, intron 2 of 7)	-intron (FBgn0261239, intron 2 of 4)	-10355	FBgn0021856	FBgn0021856	FBtr0330677						NA
ManzF6Ctrl_REP2.mLb.clN_peak_3155	chr2R	4744170	4745392	+	357	NA	exon (FBgn0039994, exon 1 of 9)	-exon (FBgn0039994, exon 1 of 9)	-4408	FBgn0039994	FBgn0039994	FBtr0345008						NA
ManzF6Ctrl_REP2.mLb.clN_peak_11523	chr3R	6007294	6008698	+	357	NA	promoter-TSS (FBgn0003261)	-promoter-TSS (FBgn0003261)	583	FBgn0003261	FBgn0003261	FBtr0309322						NA
ManzF6Ctrl_REP2.mLb.clN_peak_16943	chrX	8141358	8142352	+	357	NA	TTS (FBgn0030006)	-TTS (FBgn0030006)	424	FBgn0025800	FBgn0025800	FBtr0340159						NA
ManzF6Ctrl_REP2.mLb.clN_peak_300	chr2L	2130054	2131255	+	356	NA	promoter-TSS (FBgn0004507)	-promoter-TSS (FBgn0004507)	-159	FBgn0004507	FBgn0004507	FBtr0077828						NA
ManzF6Ctrl_REP2.mLb.clN_peak_3427	chr2R	6219476	6221886	+	356	NA	promoter-TSS (FBgn0263144)	-promoter-TSS (FBgn0263144)	-359	FBgn0263144	FBgn0263144	FBtr0346718						NA
ManzF6Ctrl_REP2.mLb.clN_peak_9065	chr3L	11487250	11488123	+	355	NA	exon (FBgn0036165, exon 1 of 4)	-exon (FBgn0036165, exon 1 of 4)	-6185	FBgn0036165	FBgn0036165	FBtr0344910						NA
ManzF6Ctrl_REP2.mLb.clN_peak_12438	chr3R	12467794	12468018	+	355	NA	promoter-TSS (FBgn0013277)	-promoter-TSS (FBgn0013277)	-130	FBgn0013277	FBgn0013277	FBtr0082679						NA
ManzF6Ctrl_REP2.mLb.clN_peak_4621	chr2R	11202314	11203958	+	355	NA	intron (FBgn0003396, intron 1 of 6)	-intron (FBgn0003396, intron 2 of 7)	16105	FBgn0033582	FBgn0033582	FBtr0339485						NA
ManzF6Ctrl_REP2.mLb.clN_peak_10047	chr3L	18185081	18186492	+	353	NA	promoter-TSS (FBgn0003997)	-promoter-TSS (FBgn0003997)	-145	FBgn0003997	FBgn0003997	FBtr0332862						NA
ManzF6Ctrl_REP2.mLb.clN_peak_807	chr2L	5907013	5907903	+	352	NA	intron (FBgn0043362, intron 1 of 17)	-intron (FBgn0043362, intron 1 of 17)	289	FBgn0043362	FBgn0043362	FBtr0079144						NA
ManzF6Ctrl_REP2.mLb.clN_peak_18800	chrX	19682196	19684189	+	350	NA	promoter-TSS (FBgn0031057)	-promoter-TSS (FBgn0031057)	326	FBgn0043903	FBgn0043903	FBtr0074756						NA
ManzF6Ctrl_REP2.mLb.clN_peak_6322	chr2R	19414304	19415565	+	349	NA	promoter-TSS (FBgn0050225)	-promoter-TSS (FBgn0050225)	89	FBgn0050225	FBgn0050225	FBtr0086527						NA
ManzF6Ctrl_REP2.mLb.clN_peak_6362	chr2R	19668875	19669916	+	347	NA	promoter-TSS (FBgn0015949)	-promoter-TSS (FBgn0015949)	437	FBgn0015949	FBgn0015949	FBtr0111010						NA
ManzF6Ctrl_REP2.mLb.clN_peak_4640	chr2R	11288971	11290158	+	346	NA	TTS (FBgn0033610)	-TTS (FBgn0033610)	208	FBgn0033609	FBgn0033609	FBtr0088178						NA
ManzF6Ctrl_REP2.mLb.clN_peak_10370	chr3L	20401001	20401886	+	345	NA	exon (FBgn0028978, exon 1 of 2)	-exon (FBgn0028978, exon 1 of 2)	166	FBgn0028978	FBgn0028978	FBtr0078235						NA
ManzF6Ctrl_REP2.mLb.clN_peak_18728	chrX	19360777	19362009	+	343	NA	intron (FBgn0031016, intron 1 of 4)	-intron (FBgn0031016, intron 1 of 5)	8212	FBgn0031016	FBgn0031016	FBtr0309224						NA
ManzF6Ctrl_REP2.mLb.clN_peak_13313	chr3R	19836693	19837142	+	343	NA	promoter-TSS (FBgn0014135)	-promoter-TSS (FBgn0014135)	-100	FBgn0014135	FBgn0014135	FBtr0344549						NA
ManzF6Ctrl_REP2.mLb.clN_peak_3412	chr2R	6171155	6172011	+	342	NA	promoter-TSS (FBgn0050316)	-promoter-TSS (FBgn0050316)	-15	FBgn0011890	FBgn0011890	FBtr0086007						NA
ManzF6Ctrl_REP2.mLb.clN_peak_2843	chr2L	22024317	22024834	+	342	NA	exon (FBgn0028979, exon 3 of 3)	-exon (FBgn0028979, exon 3 of 3)	5367	FBgn0053987	FBgn0053987	FBtr0100032						NA
ManzF6Ctrl_REP2.mLb.clN_peak_5025	chr2R	12979583	12981494	+	341	NA	exon (FBgn0005624, exon 1 of 5)	-exon (FBgn0005624, exon 1 of 5)	456	FBgn0005624	FBgn0005624	FBtr0345375						NA
ManzF6Ctrl_REP2.mLb.clN_peak_10094	chr3L	18771122	18772289	+	340	NA	TTS (FBgn0267601)	-TTS (FBgn0267601)	-5961	FBgn0001078	FBgn0001078	FBtr0075086						NA
ManzF6Ctrl_REP2.mLb.clN_peak_8975	chr3L	10897817	10899471	+	340	NA	promoter-TSS (FBgn0036111)	-promoter-TSS (FBgn0036111)	479	FBgn0036111	FBgn0036111	FBtr0076252						NA
ManzF6Ctrl_REP2.mLb.clN_peak_16101	chrX	3161997	3163233	+	339	NA	intron (FBgn0004647, intron 5 of 8)	-intron (FBgn0004647, intron 5 of 8)	10525	FBgn0028746	FBgn0028746	FBtr0345708						NA
ManzF6Ctrl_REP2.mLb.clN_peak_7427	chr3L	318454	320203	+	339	NA	exon (FBgn0004373, exon 1 of 12)	-exon (FBgn0004373, exon 1 of 12)	556	FBgn0004373	FBgn0004373	FBtr0332841						NA
ManzF6Ctrl_REP2.mLb.clN_peak_19152	chrX	23390052	23390992	+	339	NA	Intergenic	Intergenic	98822	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP2.mLb.clN_peak_13685	chr3R	22395956	22397844	+	336	NA	promoter-TSS (FBgn0051166)	-promoter-TSS (FBgn0051166)	-20	FBgn0051162	FBgn0051162	FBtr0084233						NA
ManzF6Ctrl_REP2.mLb.clN_peak_11300	chr3R	4951702	4952789	+	336	NA	intron (FBgn0004436, intron 1 of 2)	-intron (FBgn0004436, intron 1 of 2)	437	FBgn0004436	FBgn0004436	FBtr0306106						NA
