PeakID (cmd=annotatePeaks.pl AkaaF6HSan_REP1.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF6HSan_REP1.mLb.clN_peak_13906	chrX	22433014	22433195	+	1284	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6HSan_REP1.mLb.clN_peak_14011	chrX	23270847	23271627	+	1147	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	-79	FBgn0267520	FBgn0267520	FBtr0346903						NA
AkaaF6HSan_REP1.mLb.clN_peak_14015	chrX	23291076	23292001	+	1010	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-11	FBgn0267523	FBgn0267523	FBtr0346897						NA
AkaaF6HSan_REP1.mLb.clN_peak_11248	chr4	1288255	1289093	+	968	NA	Intergenic	Intergenic	57837	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF6HSan_REP1.mLb.clN_peak_14039	chrX	23537051	23538419	+	935	NA	Intergenic	Intergenic	246035	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP1.mLb.clN_peak_14032	chrX	23438810	23442076	+	727	NA	Intergenic	Intergenic	148743	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP1.mLb.clN_peak_7933	chr3L	27126147	27127517	+	726	NA	Intergenic	Intergenic	-8352	FBgn0267985	FBgn0267985	FBtr0347582						NA
AkaaF6HSan_REP1.mLb.clN_peak_14013	chrX	23278010	23281367	+	712	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	322	FBgn0267522	FBgn0267522	FBtr0346902						NA
AkaaF6HSan_REP1.mLb.clN_peak_13904	chrX	22382690	22383872	+	557	NA	Intergenic	Intergenic	-60946	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6HSan_REP1.mLb.clN_peak_12131	chrX	5754619	5756092	+	553	NA	promoter-TSS (FBgn0029801)	-promoter-TSS (FBgn0029801)	-219	FBgn0029801	FBgn0029801	FBtr0345789						NA
AkaaF6HSan_REP1.mLb.clN_peak_13901	chrX	22354410	22354795	+	479	NA	Intergenic	Intergenic	-89625	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6HSan_REP1.mLb.clN_peak_6146	chr3L	8724899	8726617	+	466	NA	promoter-TSS (FBgn0264696)	-promoter-TSS (FBgn0264696)	16	FBgn0264696	FBgn0264696	FBtr0333890						NA
AkaaF6HSan_REP1.mLb.clN_peak_1389	chr2L	11970787	11971426	+	465	NA	promoter-TSS (FBgn0263019)	-promoter-TSS (FBgn0263019)	-12	FBgn0263019	FBgn0263019	FBtr0306899						NA
AkaaF6HSan_REP1.mLb.clN_peak_13898	chrX	21939354	21939679	+	429	NA	Intergenic	Intergenic	-203542	FBgn0085521	FBgn0085521	FBtr0346695						NA
AkaaF6HSan_REP1.mLb.clN_peak_1486	chr2L	13060075	13060634	+	426	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-214	FBgn0262160	FBgn0262160	FBtr0336617						NA
AkaaF6HSan_REP1.mLb.clN_peak_4558	chr2R	20111044	20111791	+	407	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-94	FBgn0287775	FBgn0287775	FBtr0086309						NA
AkaaF6HSan_REP1.mLb.clN_peak_4536	chr2R	19999853	20001121	+	404	NA	promoter-TSS (FBgn0050212)	-promoter-TSS (FBgn0050212)	-119	FBgn0050212	FBgn0050212	FBtr0086326						NA
AkaaF6HSan_REP1.mLb.clN_peak_11949	chrX	4426739	4427180	+	402	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13497	FBgn0000179	FBgn0000179	FBtr0331162						NA
AkaaF6HSan_REP1.mLb.clN_peak_11233	chr4	1198377	1199629	+	393	NA	exon (FBgn0263112, exon 1 of 9)	-exon (FBgn0263112, exon 1 of 9)	145	FBgn0263112	FBgn0263112	FBtr0307329						NA
AkaaF6HSan_REP1.mLb.clN_peak_6768	chr3L	14673715	14675154	+	388	NA	promoter-TSS (FBgn0011928)	-promoter-TSS (FBgn0011928)	90	FBgn0011928	FBgn0011928	FBtr0075681						NA
AkaaF6HSan_REP1.mLb.clN_peak_9294	chr3R	16242308	16242892	+	384	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-216	FBgn0040071	FBgn0040071	FBtr0083258						NA
AkaaF6HSan_REP1.mLb.clN_peak_2988	chr2R	8326836	8327616	+	383	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-264	FBgn0261588	FBgn0261588	FBtr0339350						NA
AkaaF6HSan_REP1.mLb.clN_peak_14002	chrX	23214322	23215001	+	383	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	209	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF6HSan_REP1.mLb.clN_peak_13332	chrX	16216736	16217817	+	377	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-530	FBgn0000459	FBgn0000459	FBtr0074250						NA
AkaaF6HSan_REP1.mLb.clN_peak_12100	chrX	5524195	5524849	+	376	NA	promoter-TSS (FBgn0086667)	-promoter-TSS (FBgn0086667)	-57	FBgn0086667	FBgn0086667	FBtr0091788						NA
AkaaF6HSan_REP1.mLb.clN_peak_9055	chr3R	13983233	13984123	+	366	NA	promoter-TSS (FBgn0264493)	-promoter-TSS (FBgn0264493)	-11878	FBgn0264493	FBgn0264493	FBtr0301633						NA
AkaaF6HSan_REP1.mLb.clN_peak_14000	chrX	23210956	23211281	+	361	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-74	FBgn0085813	FBgn0085813	FBtr0346892						NA
AkaaF6HSan_REP1.mLb.clN_peak_11252	chr4	1318327	1319625	+	351	NA	Intergenic	Intergenic	88139	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF6HSan_REP1.mLb.clN_peak_5145	chr2R	24767499	24768650	+	351	NA	promoter-TSS (FBgn0027590)	-promoter-TSS (FBgn0027590)	-367	FBgn0027590	FBgn0027590	FBtr0072436						NA
AkaaF6HSan_REP1.mLb.clN_peak_6754	chr3L	14550685	14551619	+	343	NA	promoter-TSS (FBgn0036428)	-promoter-TSS (FBgn0036428)	-177	FBgn0036428	FBgn0036428	FBtr0333037						NA
AkaaF6HSan_REP1.mLb.clN_peak_242	chr2L	2130144	2131122	+	342	NA	promoter-TSS (FBgn0004507)	-promoter-TSS (FBgn0004507)	-180	FBgn0004507	FBgn0004507	FBtr0077828						NA
AkaaF6HSan_REP1.mLb.clN_peak_1631	chr2L	14490166	14491124	+	338	NA	promoter-TSS (FBgn0005771)	-promoter-TSS (FBgn0005771)	-214	FBgn0005771	FBgn0005771	FBtr0080643						NA
AkaaF6HSan_REP1.mLb.clN_peak_5222	chr2R	25262570	25262949	+	338	NA	Intergenic	Intergenic	10832	FBgn0050428	FBgn0050428	FBtr0343515						NA
AkaaF6HSan_REP1.mLb.clN_peak_6589	chr3L	12692907	12693719	+	337	NA	promoter-TSS (FBgn0014343)	-promoter-TSS (FBgn0014343)	-326	FBgn0014343	FBgn0014343	FBtr0330077						NA
AkaaF6HSan_REP1.mLb.clN_peak_9248	chr3R	15901043	15901734	+	336	NA	promoter-TSS (FBgn0027657)	-promoter-TSS (FBgn0027657)	3255	FBgn0027657	FBgn0027657	FBtr0344381						NA
AkaaF6HSan_REP1.mLb.clN_peak_4357	chr2R	18652704	18653218	+	336	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-185	FBgn0034371	FBgn0034371	FBtr0086657						NA
AkaaF6HSan_REP1.mLb.clN_peak_12433	chrX	8141270	8142350	+	333	NA	TTS (FBgn0030006)	-TTS (FBgn0030006)	469	FBgn0025800	FBgn0025800	FBtr0340159						NA
AkaaF6HSan_REP1.mLb.clN_peak_6133	chr3L	8675183	8676210	+	332	NA	promoter-TSS (FBgn0001168)	-promoter-TSS (FBgn0001168)	-63	FBgn0001168	FBgn0001168	FBtr0100153						NA
AkaaF6HSan_REP1.mLb.clN_peak_9347	chr3R	16763808	16764353	+	331	NA	intron (FBgn0020556, intron 1 of 2)	-intron (FBgn0020556, intron 1 of 2)	-12746	FBgn0063261	FBgn0063261	FBtr0083346						NA
AkaaF6HSan_REP1.mLb.clN_peak_8942	chr3R	12467795	12468026	+	330	NA	promoter-TSS (FBgn0013277)	-promoter-TSS (FBgn0013277)	-134	FBgn0013277	FBgn0013277	FBtr0082679						NA
AkaaF6HSan_REP1.mLb.clN_peak_10315	chr3R	26041631	26042919	+	328	NA	promoter-TSS (FBgn0001139)	-promoter-TSS (FBgn0001139)	539	FBgn0001139	FBgn0001139	FBtr0339900						NA
AkaaF6HSan_REP1.mLb.clN_peak_1981	chr2L	19157938	19159001	+	327	NA	promoter-TSS (FBgn0010300)	-promoter-TSS (FBgn0010300)	830	FBgn0266312	FBgn0266312	FBtr0344041						NA
AkaaF6HSan_REP1.mLb.clN_peak_2706	chr2R	6480492	6481817	+	324	NA	Intergenic	Intergenic	20618	FBgn0267744	FBgn0267744	FBtr0347304						NA
AkaaF6HSan_REP1.mLb.clN_peak_6484	chr3L	11552897	11553656	+	324	NA	promoter-TSS (FBgn0259481)	-promoter-TSS (FBgn0259481)	-8720	FBgn0036173	FBgn0036173	FBtr0333215						NA
AkaaF6HSan_REP1.mLb.clN_peak_7748	chr3L	22407523	22408504	+	323	NA	promoter-TSS (FBgn0004449)	-promoter-TSS (FBgn0004449)	-150	FBgn0004449	FBgn0004449	FBtr0330159						NA
AkaaF6HSan_REP1.mLb.clN_peak_13759	chrX	20158918	20160129	+	322	NA	TTS (FBgn0031091)	-TTS (FBgn0031091)	349	FBgn0031090	FBgn0031090	FBtr0333549						NA
AkaaF6HSan_REP1.mLb.clN_peak_3638	chr2R	12996218	12997562	+	321	NA	promoter-TSS (FBgn0265623)	-promoter-TSS (FBgn0265623)	389	FBgn0265623	FBgn0265623	FBtr0330613						NA
AkaaF6HSan_REP1.mLb.clN_peak_3433	chr2R	11603118	11603742	+	321	NA	intron (FBgn0033636, intron 1 of 15)	-intron (FBgn0033636, intron 1 of 16)	1506	FBgn0033636	FBgn0033636	FBtr0113066						NA
AkaaF6HSan_REP1.mLb.clN_peak_422	chr2L	3771063	3772170	+	321	NA	promoter-TSS (FBgn0004893)	-promoter-TSS (FBgn0004893)	-304	FBgn0004893	FBgn0004893	FBtr0307029						NA
AkaaF6HSan_REP1.mLb.clN_peak_4509	chr2R	19668930	19669909	+	320	NA	promoter-TSS (FBgn0015949)	-promoter-TSS (FBgn0015949)	413	FBgn0015949	FBgn0015949	FBtr0111010						NA
AkaaF6HSan_REP1.mLb.clN_peak_13750	chrX	19886879	19888002	+	319	NA	promoter-TSS (FBgn0052529)	-promoter-TSS (FBgn0052529)	2620	FBgn0086782	FBgn0086782	FBtr0074802						NA
AkaaF6HSan_REP1.mLb.clN_peak_2598	chr2R	5781910	5783036	+	319	NA	exon (FBgn0025693, exon 1 of 10)	-exon (FBgn0025693, exon 1 of 10)	385	FBgn0025693	FBgn0025693	FBtr0086056						NA
AkaaF6HSan_REP1.mLb.clN_peak_3643	chr2R	13034917	13035850	+	319	NA	Intergenic	Intergenic	11873	FBgn0033788	FBgn0033788	FBtr0345360						NA
AkaaF6HSan_REP1.mLb.clN_peak_2516	chr2R	4744194	4745417	+	318	NA	exon (FBgn0039994, exon 1 of 9)	-exon (FBgn0039994, exon 1 of 9)	-4384	FBgn0039994	FBgn0039994	FBtr0345008						NA
AkaaF6HSan_REP1.mLb.clN_peak_14005	chrX	23227055	23228782	+	318	NA	Intergenic	Intergenic	-11800	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF6HSan_REP1.mLb.clN_peak_9296	chr3R	16249568	16250789	+	318	NA	intron (FBgn0040071, intron 1 of 1)	-intron (FBgn0040071, intron 1 of 1)	7362	FBgn0040071	FBgn0040071	FBtr0083258						NA
AkaaF6HSan_REP1.mLb.clN_peak_13728	chrX	19682809	19684251	+	317	NA	promoter-TSS (FBgn0031057)	-promoter-TSS (FBgn0031057)	-12	FBgn0043903	FBgn0043903	FBtr0074756						NA
AkaaF6HSan_REP1.mLb.clN_peak_8756	chr3R	10614285	10614745	+	317	NA	promoter-TSS (FBgn0001235)	-promoter-TSS (FBgn0001235)	-239	FBgn0001235	FBgn0001235	FBtr0100454						NA
AkaaF6HSan_REP1.mLb.clN_peak_2451	chr2R	3140717	3141058	+	317	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74388	FBgn0260995	FBgn0260995	FBtr0334939						NA
AkaaF6HSan_REP1.mLb.clN_peak_2319	chr2L	21899034	21899990	+	313	NA	Intergenic	Intergenic	-1223	FBgn0032965	FBgn0032965	FBtr0085950						NA
AkaaF6HSan_REP1.mLb.clN_peak_6738	chr3L	14427047	14427862	+	313	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2953	FBgn0267695	FBgn0267695	FBtr0347205						NA
AkaaF6HSan_REP1.mLb.clN_peak_1142	chr2L	9781981	9782882	+	313	NA	promoter-TSS (FBgn0032147)	-promoter-TSS (FBgn0032147)	-3815	FBgn0032147	FBgn0032147	FBtr0307204						NA
AkaaF6HSan_REP1.mLb.clN_peak_10915	chr3R	31688811	31689814	+	312	NA	promoter-TSS (FBgn0267124)	-promoter-TSS (FBgn0267124)	566	FBgn0267125	FBgn0267125	FBtr0346220						NA
AkaaF6HSan_REP1.mLb.clN_peak_2106	chr2L	20416477	20417887	+	311	NA	promoter-TSS (FBgn0032859)	-promoter-TSS (FBgn0032859)	125	FBgn0032859	FBgn0032859	FBtr0346418						NA
AkaaF6HSan_REP1.mLb.clN_peak_8646	chr3R	9550575	9552046	+	311	NA	promoter-TSS (FBgn0037707)	-promoter-TSS (FBgn0037707)	28	FBgn0037705	FBgn0037705	FBtr0082117						NA
AkaaF6HSan_REP1.mLb.clN_peak_7166	chr3L	18105481	18106789	+	308	NA	promoter-TSS (FBgn0036774)	-promoter-TSS (FBgn0036774)	14	FBgn0036773	FBgn0036773	FBtr0333698						NA
AkaaF6HSan_REP1.mLb.clN_peak_13032	chrX	13563525	13564263	+	307	NA	promoter-TSS (FBgn0086674)	-promoter-TSS (FBgn0086674)	71	FBgn0086674	FBgn0086674	FBtr0330399						NA
AkaaF6HSan_REP1.mLb.clN_peak_9688	chr3R	20252474	20254239	+	306	NA	exon (FBgn0262582, exon 1 of 18)	-exon (FBgn0262582, exon 1 of 18)	-14265	FBgn0267710	FBgn0267710	FBtr0347250						NA
AkaaF6HSan_REP1.mLb.clN_peak_5224	chr2R	25267976	25269370	+	306	NA	Intergenic	Intergenic	16746	FBgn0050428	FBgn0050428	FBtr0343515						NA
AkaaF6HSan_REP1.mLb.clN_peak_3872	chr2R	14644749	14645745	+	305	NA	promoter-TSS (FBgn0033951)	-promoter-TSS (FBgn0033951)	-23	FBgn0033951	FBgn0033951	FBtr0339980						NA
AkaaF6HSan_REP1.mLb.clN_peak_3990	chr2R	15675469	15676784	+	305	NA	promoter-TSS (FBgn0023441)	-promoter-TSS (FBgn0023441)	-315	FBgn0266636	FBgn0266636	FBtr0344930						NA
AkaaF6HSan_REP1.mLb.clN_peak_12457	chrX	8294031	8296011	+	304	NA	intron (FBgn0015519, intron 6 of 11)	-intron (FBgn0015519, intron 6 of 11)	-21215	FBgn0030029	FBgn0030029	FBtr0071178						NA
AkaaF6HSan_REP1.mLb.clN_peak_5811	chr3L	5365395	5366846	+	304	NA	promoter-TSS (FBgn0260856)	-promoter-TSS (FBgn0260856)	62	FBgn0035601	FBgn0035601	FBtr0077155						NA
AkaaF6HSan_REP1.mLb.clN_peak_5597	chr3L	3095635	3097547	+	302	NA	promoter-TSS (FBgn0052285)	-promoter-TSS (FBgn0052285)	-13	FBgn0052285	FBgn0052285	FBtr0073021						NA
AkaaF6HSan_REP1.mLb.clN_peak_9958	chr3R	22396147	22398053	+	301	NA	promoter-TSS (FBgn0051166)	-promoter-TSS (FBgn0051166)	161	FBgn0051167	FBgn0051167	FBtr0084232						NA
AkaaF6HSan_REP1.mLb.clN_peak_2579	chr2R	5701932	5702665	+	301	NA	promoter-TSS (FBgn0259978)	-promoter-TSS (FBgn0259978)	186	FBgn0259978	FBgn0259978	FBtr0307532						NA
AkaaF6HSan_REP1.mLb.clN_peak_10083	chr3R	23601345	23602080	+	301	NA	promoter-TSS (FBgn0051143)	-promoter-TSS (FBgn0051143)	-257	FBgn0051143	FBgn0051143	FBtr0084482						NA
AkaaF6HSan_REP1.mLb.clN_peak_7180	chr3L	18185645	18186486	+	299	NA	promoter-TSS (FBgn0003997)	-promoter-TSS (FBgn0003997)	-424	FBgn0003997	FBgn0003997	FBtr0332862						NA
AkaaF6HSan_REP1.mLb.clN_peak_1781	chr2L	16525840	16526508	+	298	NA	intron (FBgn0032587, intron 2 of 2)	-intron (FBgn0032587, intron 2 of 2)	2748	FBgn0086038	FBgn0086038	FBtr0114314						NA
AkaaF6HSan_REP1.mLb.clN_peak_11411	chrX	934905	936059	+	298	NA	promoter-TSS (FBgn0040340)	-promoter-TSS (FBgn0040340)	56	FBgn0040340	FBgn0040340	FBtr0332589						NA
AkaaF6HSan_REP1.mLb.clN_peak_10458	chr3R	27635834	27636946	+	297	NA	promoter-TSS (FBgn0039532)	-promoter-TSS (FBgn0039532)	-330	FBgn0039531	FBgn0039531	FBtr0344340						NA
AkaaF6HSan_REP1.mLb.clN_peak_8112	chr3R	4820459	4821618	+	296	NA	exon (FBgn0037282, exon 1 of 3)	-exon (FBgn0037282, exon 1 of 3)	394	FBgn0037282	FBgn0037282	FBtr0334901						NA
AkaaF6HSan_REP1.mLb.clN_peak_5592	chr3L	3059473	3061316	+	295	NA	intron (FBgn0266918, intron 1 of 7)	-intron (FBgn0266918, intron 1 of 7)	5315	FBgn0035393	FBgn0035393	FBtr0072990						NA
AkaaF6HSan_REP1.mLb.clN_peak_6927	chr3L	16164155	16165526	+	295	NA	promoter-TSS (FBgn0036576)	-promoter-TSS (FBgn0036576)	5266	FBgn0053796	FBgn0053796	FBtr0091800						NA
AkaaF6HSan_REP1.mLb.clN_peak_1793	chr2L	16601477	16602605	+	294	NA	exon (FBgn0259735, exon 1 of 6)	-exon (FBgn0259735, exon 1 of 6)	214	FBgn0259735	FBgn0259735	FBtr0335497						NA
AkaaF6HSan_REP1.mLb.clN_peak_7513	chr3L	21014438	21014936	+	292	NA	intron (FBgn0003415, intron 2 of 12)	-intron (FBgn0003415, intron 2 of 12)	-8167	FBgn0263486	FBgn0263486	FBtr0309785						NA
AkaaF6HSan_REP1.mLb.clN_peak_5802	chr3L	5184279	5185260	+	292	NA	promoter-TSS (FBgn0052423)	-promoter-TSS (FBgn0052423)	28	FBgn0052423	FBgn0052423	FBtr0308859						NA
AkaaF6HSan_REP1.mLb.clN_peak_9756	chr3R	20890461	20892102	+	291	NA	promoter-TSS (FBgn0051333)	-promoter-TSS (FBgn0051333)	159	FBgn0051334	FBgn0051334	FBtr0083976						NA
AkaaF6HSan_REP1.mLb.clN_peak_2334	chr2L	22024322	22024872	+	289	NA	exon (FBgn0028979, exon 3 of 3)	-exon (FBgn0028979, exon 3 of 3)	5389	FBgn0053987	FBgn0053987	FBtr0100032						NA
AkaaF6HSan_REP1.mLb.clN_peak_13501	chrX	17767971	17769271	+	289	NA	promoter-TSS (FBgn0024184)	-promoter-TSS (FBgn0024184)	52	FBgn0024184	FBgn0024184	FBtr0340627						NA
AkaaF6HSan_REP1.mLb.clN_peak_7223	chr3L	18771122	18772200	+	288	NA	TTS (FBgn0267601)	-TTS (FBgn0267601)	-5917	FBgn0001078	FBgn0001078	FBtr0075086						NA
AkaaF6HSan_REP1.mLb.clN_peak_4173	chr2R	17265019	17265856	+	286	NA	promoter-TSS (FBgn0265487)	-promoter-TSS (FBgn0265487)	3098	FBgn0267659	FBgn0267659	FBtr0347117						NA
AkaaF6HSan_REP1.mLb.clN_peak_7894	chr3L	24737889	24739135	+	286	NA	intron (FBgn0287186, intron 3 of 5)	-intron (FBgn0287186, intron 4 of 6)	14350	FBgn0287186	FBgn0287186	FBtr0339923						NA
AkaaF6HSan_REP1.mLb.clN_peak_6389	chr3L	10897932	10899452	+	286	NA	promoter-TSS (FBgn0036111)	-promoter-TSS (FBgn0036111)	431	FBgn0036111	FBgn0036111	FBtr0076252						NA
AkaaF6HSan_REP1.mLb.clN_peak_11245	chr4	1277721	1279429	+	285	NA	Intergenic	Intergenic	47738	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF6HSan_REP1.mLb.clN_peak_2107	chr2L	20428564	20429552	+	284	NA	promoter-TSS (FBgn0263355)	-promoter-TSS (FBgn0263355)	33	FBgn0263355	FBgn0263355	FBtr0330204						NA
AkaaF6HSan_REP1.mLb.clN_peak_13731	chrX	19696988	19697731	+	283	NA	intron (FBgn0010341, intron 1 of 2)	-intron (FBgn0010341, intron 1 of 2)	268	FBgn0010341	FBgn0010341	FBtr0309215						NA
AkaaF6HSan_REP1.mLb.clN_peak_3267	chr2R	10437898	10438539	+	282	NA	promoter-TSS (FBgn0001122)	-promoter-TSS (FBgn0001122)	-836	FBgn0033523	FBgn0033523	FBtr0330615						NA
AkaaF6HSan_REP1.mLb.clN_peak_9555	chr3R	19147470	19148223	+	282	NA	promoter-TSS (FBgn0261285)	-promoter-TSS (FBgn0261285)	64	FBgn0261285	FBgn0261285	FBtr0347007						NA
AkaaF6HSan_REP1.mLb.clN_peak_8032	chr3R	4378735	4379351	+	281	NA	promoter-TSS (FBgn0037239)	-promoter-TSS (FBgn0037239)	-264	FBgn0037239	FBgn0037239	FBtr0078916						NA
AkaaF6HSan_REP1.mLb.clN_peak_10437	chr3R	27263461	27264173	+	281	NA	TTS (FBgn0039503)	-TTS (FBgn0039503)	238	FBgn0010328	FBgn0010328	FBtr0334731						NA
AkaaF6HSan_REP1.mLb.clN_peak_2740	chr2R	6661877	6663974	+	280	NA	promoter-TSS (FBgn0266518)	-promoter-TSS (FBgn0266518)	660	FBgn0284249	FBgn0284249	FBtr0330252						NA
AkaaF6HSan_REP1.mLb.clN_peak_2663	chr2R	6120173	6121025	+	280	NA	intron (FBgn0000546, intron 4 of 7)	-intron (FBgn0000546, intron 3 of 6)	11242	FBgn0000546	FBgn0000546	FBtr0086008						NA
AkaaF6HSan_REP1.mLb.clN_peak_1359	chr2L	11516357	11517361	+	280	NA	promoter-TSS (FBgn0032364)	-promoter-TSS (FBgn0032364)	222	FBgn0032363	FBgn0032363	FBtr0080247						NA
AkaaF6HSan_REP1.mLb.clN_peak_9168	chr3R	15130991	15132052	+	279	NA	intron (FBgn0261859, intron 1 of 9)	-intron (FBgn0261859, intron 1 of 9)	405	FBgn0261859	FBgn0261859	FBtr0303486						NA
AkaaF6HSan_REP1.mLb.clN_peak_4894	chr2R	22998638	22999248	+	277	NA	promoter-TSS (FBgn0034808)	-promoter-TSS (FBgn0034808)	-59	FBgn0034808	FBgn0034808	FBtr0071988						NA
AkaaF6HSan_REP1.mLb.clN_peak_14027	chrX	23406867	23407587	+	277	NA	Intergenic	Intergenic	115527	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP1.mLb.clN_peak_12823	chrX	11389620	11390380	+	277	NA	promoter-TSS (FBgn0001624)	-promoter-TSS (FBgn0001624)	-19947	FBgn0030296	FBgn0030296	FBtr0309222						NA
AkaaF6HSan_REP1.mLb.clN_peak_4977	chr2R	23666767	23667624	+	276	NA	promoter-TSS (FBgn0266377)	-promoter-TSS (FBgn0266377)	1901	FBgn0266377	FBgn0266377	FBtr0344181						NA
AkaaF6HSan_REP1.mLb.clN_peak_9355	chr3R	16948623	16948856	+	275	NA	intron (FBgn0000015, intron 1 of 6)	-intron (FBgn0000015, intron 1 of 6)	-3168	FBgn0278597	FBgn0278597	FBtr0415462						NA
AkaaF6HSan_REP1.mLb.clN_peak_13235	chrX	15332973	15334148	+	274	NA	promoter-TSS (FBgn0026428)	-promoter-TSS (FBgn0026428)	250	FBgn0026428	FBgn0026428	FBtr0330405						NA
AkaaF6HSan_REP1.mLb.clN_peak_1008	chr2L	8717431	8718428	+	274	NA	intron (FBgn0003209, intron 1 of 8)	-intron (FBgn0003209, intron 1 of 8)	12357	FBgn0032061	FBgn0032061	FBtr0339543						NA
AkaaF6HSan_REP1.mLb.clN_peak_1595	chr2L	14094689	14094905	+	273	NA	TTS (FBgn0028875)	-TTS (FBgn0028875)	-9293	FBgn0283651	FBgn0283651	FBtr0445730						NA
AkaaF6HSan_REP1.mLb.clN_peak_4198	chr2R	17391650	17392819	+	273	NA	promoter-TSS (FBgn0011879)	-promoter-TSS (FBgn0011879)	19	FBgn0011879	FBgn0011879	FBtr0086908						NA
