PeakID (cmd=annotatePeaks.pl ManzF6Ctrl_REP3.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF6Ctrl_REP3.mLb.clN_peak_21120	chrX	21939335	21939683	+	2011	NA	Intergenic	Intergenic	-203549	FBgn0085521	FBgn0085521	FBtr0346695						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21248	chrX	23270849	23271604	+	1834	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	-68	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21129	chrX	22433014	22433195	+	1821	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21118	chrX	21796822	21797155	+	1551	NA	Intergenic	Intergenic	163552	FBgn0267704	FBgn0267704	FBtr0347227						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21253	chrX	23291071	23292001	+	1363	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-13	FBgn0267523	FBgn0267523	FBtr0346897						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21242	chrX	23228404	23228791	+	1245	NA	Intergenic	Intergenic	-11121	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21237	chrX	23214871	23215015	+	1189	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	491	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21250	chrX	23278009	23280482	+	1185	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	765	FBgn0267522	FBgn0267522	FBtr0346902						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21287	chrX	23537051	23538419	+	1128	NA	Intergenic	Intergenic	246035	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21279	chrX	23438814	23442091	+	1064	NA	Intergenic	Intergenic	148752	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP3.mLb.clN_peak_12056	chr3L	27126137	27127609	+	897	NA	Intergenic	Intergenic	-8311	FBgn0267985	FBgn0267985	FBtr0347582						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21126	chrX	22382699	22383920	+	847	NA	Intergenic	Intergenic	-60918	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21255	chrX	23326876	23328990	+	840	NA	Intergenic	Intergenic	36233	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21234	chrX	23210941	23211282	+	784	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-81	FBgn0085813	FBgn0085813	FBtr0346892						NA
ManzF6Ctrl_REP3.mLb.clN_peak_3189	chr2R	870293	870589	+	702	NA	Intergenic	Intergenic	15627	FBgn0284080	FBgn0284080	FBtr0452096						NA
ManzF6Ctrl_REP3.mLb.clN_peak_9540	chr3L	8724996	8725918	+	668	NA	TTS (FBgn0264696)	-TTS (FBgn0264696)	317	FBgn0264696	FBgn0264696	FBtr0333890						NA
ManzF6Ctrl_REP3.mLb.clN_peak_3706	chr2R	6480492	6481812	+	668	NA	Intergenic	Intergenic	20620	FBgn0267744	FBgn0267744	FBtr0347304						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21123	chrX	22354405	22354728	+	631	NA	Intergenic	Intergenic	-89661	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF6Ctrl_REP3.mLb.clN_peak_17143	chr4	1288257	1289090	+	631	NA	Intergenic	Intergenic	57836	FBgn0053653	FBgn0053653	FBtr0333702						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21272	chrX	23406859	23407586	+	607	NA	Intergenic	Intergenic	115522	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP3.mLb.clN_peak_12108	chr3R	27432	27840	+	542	NA	Intergenic	Intergenic	-539440	FBgn0267431	FBgn0267431	FBtr0392909						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21251	chrX	23281015	23281366	+	538	NA	promoter-TSS (FBgn0250731)	-promoter-TSS (FBgn0250731)	-913	FBgn0250731	FBgn0250731	FBtr0346901						NA
ManzF6Ctrl_REP3.mLb.clN_peak_8063	chr2R	25268740	25269515	+	498	NA	Intergenic	Intergenic	17200	FBgn0050428	FBgn0050428	FBtr0343515						NA
ManzF6Ctrl_REP3.mLb.clN_peak_5411	chr2R	13015561	13016258	+	493	NA	Intergenic	Intergenic	19408	FBgn0265623	FBgn0265623	FBtr0330613						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21249	chrX	23274049	23274341	+	477	NA	Intergenic	Intergenic	-3037	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF6Ctrl_REP3.mLb.clN_peak_6936	chr2R	20111055	20111594	+	471	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-187	FBgn0287775	FBgn0287775	FBtr0086309						NA
ManzF6Ctrl_REP3.mLb.clN_peak_3289	chr2R	3140718	3141061	+	453	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74390	FBgn0260995	FBgn0260995	FBtr0334939						NA
ManzF6Ctrl_REP3.mLb.clN_peak_18799	chrX	8294028	8295988	+	445	NA	intron (FBgn0015519, intron 6 of 11)	-intron (FBgn0015519, intron 6 of 11)	-21202	FBgn0030029	FBgn0030029	FBtr0071178						NA
ManzF6Ctrl_REP3.mLb.clN_peak_12013	chr3L	25133229	25134580	+	434	NA	Intergenic	Intergenic	13155	FBgn0260008	FBgn0260008	FBtr0343636						NA
ManzF6Ctrl_REP3.mLb.clN_peak_3657	chr2R	6171352	6171863	+	433	NA	promoter-TSS (FBgn0050316)	-promoter-TSS (FBgn0050316)	-39	FBgn0011890	FBgn0011890	FBtr0086007						NA
ManzF6Ctrl_REP3.mLb.clN_peak_1968	chr2L	13060067	13060694	+	420	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-240	FBgn0262160	FBgn0262160	FBtr0336617						NA
ManzF6Ctrl_REP3.mLb.clN_peak_18328	chrX	5754634	5756178	+	415	NA	promoter-TSS (FBgn0029801)	-promoter-TSS (FBgn0029801)	-168	FBgn0029801	FBgn0029801	FBtr0345789						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21239	chrX	23221033	23223639	+	413	NA	Intergenic	Intergenic	7884	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF6Ctrl_REP3.mLb.clN_peak_14276	chr3R	16242292	16242885	+	407	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-228	FBgn0040071	FBgn0040071	FBtr0083258						NA
ManzF6Ctrl_REP3.mLb.clN_peak_11997	chr3L	24737902	24739199	+	398	NA	intron (FBgn0287186, intron 3 of 5)	-intron (FBgn0287186, intron 4 of 6)	14388	FBgn0287186	FBgn0287186	FBtr0339923						NA
ManzF6Ctrl_REP3.mLb.clN_peak_17140	chr4	1278562	1279554	+	397	NA	Intergenic	Intergenic	48221	FBgn0053653	FBgn0053653	FBtr0333702						NA
ManzF6Ctrl_REP3.mLb.clN_peak_19006	chrX	9515558	9515749	+	378	NA	intron (FBgn0267253, intron 1 of 2)	-intron (FBgn0267253, intron 1 of 2)	4129	FBgn0054028	FBgn0054028	FBtr0100083						NA
ManzF6Ctrl_REP3.mLb.clN_peak_6660	chr2R	18652703	18653209	+	378	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-180	FBgn0034371	FBgn0034371	FBtr0086657						NA
ManzF6Ctrl_REP3.mLb.clN_peak_1386	chr2L	8717345	8718383	+	373	NA	intron (FBgn0003209, intron 1 of 8)	-intron (FBgn0003209, intron 1 of 8)	12292	FBgn0032061	FBgn0032061	FBtr0339543						NA
ManzF6Ctrl_REP3.mLb.clN_peak_2354	chr2L	16525896	16526529	+	368	NA	intron (FBgn0032587, intron 2 of 2)	-intron (FBgn0032587, intron 2 of 2)	2710	FBgn0086038	FBgn0086038	FBtr0114314						NA
ManzF6Ctrl_REP3.mLb.clN_peak_20135	chrX	16216581	16217922	+	351	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-505	FBgn0000459	FBgn0000459	FBtr0074250						NA
ManzF6Ctrl_REP3.mLb.clN_peak_2187	chr2L	14490161	14491149	+	347	NA	promoter-TSS (FBgn0005771)	-promoter-TSS (FBgn0005771)	-204	FBgn0005771	FBgn0005771	FBtr0080643						NA
ManzF6Ctrl_REP3.mLb.clN_peak_15426	chr3R	23601338	23601853	+	347	NA	promoter-TSS (FBgn0051143)	-promoter-TSS (FBgn0051143)	-140	FBgn0051143	FBgn0051143	FBtr0084482						NA
ManzF6Ctrl_REP3.mLb.clN_peak_5044	chr2R	11603134	11603742	+	346	NA	intron (FBgn0033636, intron 1 of 15)	-intron (FBgn0033636, intron 1 of 16)	1498	FBgn0033636	FBgn0033636	FBtr0113066						NA
ManzF6Ctrl_REP3.mLb.clN_peak_10385	chr3L	14427028	14427754	+	334	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2890	FBgn0267695	FBgn0267695	FBtr0347205						NA
ManzF6Ctrl_REP3.mLb.clN_peak_9997	chr3L	11552934	11553691	+	333	NA	promoter-TSS (FBgn0259481)	-promoter-TSS (FBgn0259481)	-8684	FBgn0036173	FBgn0036173	FBtr0333215						NA
ManzF6Ctrl_REP3.mLb.clN_peak_11993	chr3L	24629525	24629733	+	331	NA	Intergenic	Intergenic	76519	FBgn0085810	FBgn0085810	FBtr0114264						NA
ManzF6Ctrl_REP3.mLb.clN_peak_630	chr2L	4371758	4372057	+	330	NA	promoter-TSS (FBgn0026319)	-promoter-TSS (FBgn0026319)	-604	FBgn0266903	FBgn0266903	FBtr0445833						NA
ManzF6Ctrl_REP3.mLb.clN_peak_2624	chr2L	19157961	19158999	+	330	NA	promoter-TSS (FBgn0010300)	-promoter-TSS (FBgn0010300)	819	FBgn0266312	FBgn0266312	FBtr0344041						NA
ManzF6Ctrl_REP3.mLb.clN_peak_10244	chr3L	13227604	13229027	+	327	NA	promoter-TSS (FBgn0023095)	-promoter-TSS (FBgn0023095)	-377	FBgn0023095	FBgn0023095	FBtr0346864						NA
ManzF6Ctrl_REP3.mLb.clN_peak_8428	chr3L	1586375	1586980	+	325	NA	promoter-TSS (FBgn0035237)	-promoter-TSS (FBgn0035237)	-17	FBgn0035237	FBgn0035237	FBtr0347066						NA
ManzF6Ctrl_REP3.mLb.clN_peak_13680	chr3R	12467798	12467999	+	322	NA	promoter-TSS (FBgn0013277)	-promoter-TSS (FBgn0013277)	-122	FBgn0013277	FBgn0013277	FBtr0082679						NA
ManzF6Ctrl_REP3.mLb.clN_peak_18286	chrX	5524154	5524854	+	319	NA	promoter-TSS (FBgn0086667)	-promoter-TSS (FBgn0086667)	-39	FBgn0086667	FBgn0086667	FBtr0091788						NA
ManzF6Ctrl_REP3.mLb.clN_peak_18072	chrX	4426731	4427194	+	316	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13500	FBgn0000179	FBgn0000179	FBtr0331162						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21275	chrX	23413218	23413675	+	313	NA	Intergenic	Intergenic	121746	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP3.mLb.clN_peak_3641	chr2R	6120346	6120975	+	313	NA	intron (FBgn0000546, intron 4 of 7)	-intron (FBgn0000546, intron 3 of 6)	11181	FBgn0000546	FBgn0000546	FBtr0086008						NA
ManzF6Ctrl_REP3.mLb.clN_peak_8248	chr3L	769184	769623	+	313	NA	promoter-TSS (FBgn0052480)	-promoter-TSS (FBgn0052480)	-100	FBgn0052480	FBgn0052480	FBtr0072579						NA
ManzF6Ctrl_REP3.mLb.clN_peak_1540	chr2L	9782046	9783066	+	311	NA	exon (FBgn0032147, exon 1 of 4)	-exon (FBgn0032147, exon 1 of 4)	-3690	FBgn0032147	FBgn0032147	FBtr0307204						NA
ManzF6Ctrl_REP3.mLb.clN_peak_20867	chrX	19886837	19887972	+	311	NA	promoter-TSS (FBgn0052529)	-promoter-TSS (FBgn0052529)	2656	FBgn0086782	FBgn0086782	FBtr0074802						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21268	chrX	23390031	23390921	+	310	NA	Intergenic	Intergenic	98776	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP3.mLb.clN_peak_12050	chr3L	27076055	27077462	+	309	NA	Intergenic	Intergenic	7148	FBgn0063670	FBgn0063670	FBtr0333872						NA
ManzF6Ctrl_REP3.mLb.clN_peak_7959	chr2R	24767479	24768620	+	308	NA	promoter-TSS (FBgn0027590)	-promoter-TSS (FBgn0027590)	-342	FBgn0027590	FBgn0027590	FBtr0072436						NA
ManzF6Ctrl_REP3.mLb.clN_peak_10419	chr3L	14673715	14675308	+	308	NA	promoter-TSS (FBgn0011927)	-promoter-TSS (FBgn0011927)	167	FBgn0011928	FBgn0011928	FBtr0075681						NA
ManzF6Ctrl_REP3.mLb.clN_peak_14342	chr3R	16702810	16703246	+	307	NA	intron (FBgn0003944, intron 1 of 1)	-intron (FBgn0003944, intron 3 of 3)	31398	FBgn0003944	FBgn0003944	FBtr0083352						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21182	chrX	22854567	22856248	+	306	NA	promoter-TSS (FBgn0000719)	-promoter-TSS (FBgn0000719)	-213	FBgn0000719	FBgn0000719	FBtr0333181						NA
ManzF6Ctrl_REP3.mLb.clN_peak_13401	chr3R	10614250	10614773	+	304	NA	promoter-TSS (FBgn0001235)	-promoter-TSS (FBgn0001235)	-235	FBgn0001235	FBgn0001235	FBtr0100454						NA
ManzF6Ctrl_REP3.mLb.clN_peak_5658	chr2R	14006758	14007293	+	301	NA	intron (FBgn0002643, intron 2 of 6)	-intron (FBgn0002643, intron 2 of 6)	-2174	FBgn0002643	FBgn0002643	FBtr0087598						NA
ManzF6Ctrl_REP3.mLb.clN_peak_9521	chr3L	8674899	8676089	+	296	NA	promoter-TSS (FBgn0001168)	-promoter-TSS (FBgn0001168)	-265	FBgn0001168	FBgn0001168	FBtr0100153						NA
ManzF6Ctrl_REP3.mLb.clN_peak_5405	chr2R	12996208	12997693	+	295	NA	promoter-TSS (FBgn0265623)	-promoter-TSS (FBgn0265623)	449	FBgn0265623	FBgn0265623	FBtr0330613						NA
ManzF6Ctrl_REP3.mLb.clN_peak_2817	chr2L	20428468	20429475	+	294	NA	promoter-TSS (FBgn0263355)	-promoter-TSS (FBgn0263355)	-54	FBgn0263355	FBgn0263355	FBtr0330204						NA
ManzF6Ctrl_REP3.mLb.clN_peak_11017	chr3L	18618205	18618521	+	293	NA	promoter-TSS (FBgn0052200)	-promoter-TSS (FBgn0052200)	-27	FBgn0052200	FBgn0052200	FBtr0075107						NA
ManzF6Ctrl_REP3.mLb.clN_peak_18636	chrX	7307388	7308252	+	292	NA	promoter-TSS (FBgn0024250)	-promoter-TSS (FBgn0024250)	-119	FBgn0024250	FBgn0024250	FBtr0071048						NA
ManzF6Ctrl_REP3.mLb.clN_peak_16690	chr3R	31712911	31714135	+	288	NA	promoter-TSS (FBgn0003870)	-promoter-TSS (FBgn0003870)	4248	FBgn0054046	FBgn0054046	FBtr0308935						NA
ManzF6Ctrl_REP3.mLb.clN_peak_4204	chr2R	8326827	8327616	+	287	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-269	FBgn0261588	FBgn0261588	FBtr0339350						NA
ManzF6Ctrl_REP3.mLb.clN_peak_18446	chrX	6343836	6344798	+	285	NA	TTS (FBgn0029866)	-TTS (FBgn0029866)	-2786	FBgn0029867	FBgn0029867	FBtr0070905						NA
ManzF6Ctrl_REP3.mLb.clN_peak_17150	chrX	52214	54939	+	285	NA	Intergenic	Intergenic	-68917	FBgn0058469	FBgn0058469	FBtr0307364						NA
ManzF6Ctrl_REP3.mLb.clN_peak_5415	chr2R	13034925	13035781	+	284	NA	Intergenic	Intergenic	11903	FBgn0033788	FBgn0033788	FBtr0345360						NA
ManzF6Ctrl_REP3.mLb.clN_peak_10997	chr3L	18185582	18186435	+	280	NA	promoter-TSS (FBgn0003997)	-promoter-TSS (FBgn0003997)	-367	FBgn0003997	FBgn0003997	FBtr0332862						NA
ManzF6Ctrl_REP3.mLb.clN_peak_7751	chr2R	23839833	23840428	+	280	NA	promoter-TSS (FBgn0086659)	-promoter-TSS (FBgn0086659)	-66	FBgn0086659	FBgn0086659	FBtr0091917						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21265	chrX	23384351	23384771	+	278	NA	Intergenic	Intergenic	92861	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6Ctrl_REP3.mLb.clN_peak_7568	chr2R	22998137	22999416	+	278	NA	exon (FBgn0034808, exon 1 of 6)	-exon (FBgn0034808, exon 1 of 6)	108	FBgn0034808	FBgn0034808	FBtr0071988						NA
ManzF6Ctrl_REP3.mLb.clN_peak_20439	chrX	17767997	17769479	+	277	NA	exon (FBgn0024184, exon 1 of 4)	-exon (FBgn0024184, exon 1 of 4)	169	FBgn0024184	FBgn0024184	FBtr0340627						NA
ManzF6Ctrl_REP3.mLb.clN_peak_19885	chrX	14832530	14832973	+	275	NA	promoter-TSS (FBgn0030581)	-promoter-TSS (FBgn0030581)	104	FBgn0030582	FBgn0030582	FBtr0073947						NA
ManzF6Ctrl_REP3.mLb.clN_peak_11042	chr3L	18765439	18766138	+	271	NA	promoter-TSS (FBgn0001078)	-promoter-TSS (FBgn0001078)	-44	FBgn0001078	FBgn0001078	FBtr0075086						NA
ManzF6Ctrl_REP3.mLb.clN_peak_7045	chr2R	20780219	20780637	+	271	NA	promoter-TSS (FBgn0263850)	-promoter-TSS (FBgn0263850)	-941	FBgn0263850	FBgn0263850	FBtr0321315						NA
ManzF6Ctrl_REP3.mLb.clN_peak_16476	chr3R	30449424	30450877	+	270	NA	intron (FBgn0028646, intron 1 of 10)	-intron (FBgn0028646, intron 1 of 9)	256	FBgn0028646	FBgn0028646	FBtr0306586						NA
ManzF6Ctrl_REP3.mLb.clN_peak_3089	chr2L	22024317	22024830	+	269	NA	exon (FBgn0028979, exon 3 of 3)	-exon (FBgn0028979, exon 3 of 3)	5365	FBgn0028979	FBgn0028979	FBtr0335391						NA
ManzF6Ctrl_REP3.mLb.clN_peak_14805	chr3R	19836736	19837150	+	269	NA	promoter-TSS (FBgn0014135)	-promoter-TSS (FBgn0014135)	-126	FBgn0014135	FBgn0014135	FBtr0344549						NA
ManzF6Ctrl_REP3.mLb.clN_peak_10775	chr3L	16890642	16891410	+	269	NA	promoter-TSS (FBgn0261565)	-promoter-TSS (FBgn0261565)	3920	FBgn0261565	FBgn0261565	FBtr0479915						NA
ManzF6Ctrl_REP3.mLb.clN_peak_8070	chr3L	39973	40776	+	269	NA	Intergenic	Intergenic	14377	FBgn0262679	FBgn0262679	FBtr0305596						NA
ManzF6Ctrl_REP3.mLb.clN_peak_4765	chr2R	10437903	10438500	+	268	NA	promoter-TSS (FBgn0001122)	-promoter-TSS (FBgn0001122)	-819	FBgn0033523	FBgn0033523	FBtr0330615						NA
ManzF6Ctrl_REP3.mLb.clN_peak_1922	chr2L	12529507	12530031	+	267	NA	intron (FBgn0259176, intron 5 of 7)	-intron (FBgn0259176, intron 5 of 7)	11133	FBgn0259176	FBgn0259176	FBtr0300521						NA
ManzF6Ctrl_REP3.mLb.clN_peak_6826	chr2R	19414413	19415516	+	265	NA	promoter-TSS (FBgn0050326)	-promoter-TSS (FBgn0050326)	119	FBgn0050225	FBgn0050225	FBtr0086527						NA
ManzF6Ctrl_REP3.mLb.clN_peak_3180	chr2L	23332114	23332757	+	265	NA	Intergenic	Intergenic	-8243	FBgn0260435	FBgn0260435	FBtr0302459						NA
ManzF6Ctrl_REP3.mLb.clN_peak_16847	chr4	359819	360921	+	264	NA	intron (FBgn0039904, intron 1 of 13)	-intron (FBgn0039904, intron 1 of 12)	432	FBgn0039904	FBgn0039904	FBtr0345284						NA
ManzF6Ctrl_REP3.mLb.clN_peak_874	chr2L	5979963	5981086	+	263	NA	promoter-TSS (FBgn0000308)	-promoter-TSS (FBgn0000308)	-423	FBgn0000308	FBgn0000308	FBtr0079236						NA
ManzF6Ctrl_REP3.mLb.clN_peak_15098	chr3R	21604648	21605936	+	263	NA	intron (FBgn0283499, intron 1 of 12)	-intron (FBgn0283499, intron 1 of 12)	10448	FBgn0264826	FBgn0264826	FBtr0334680						NA
ManzF6Ctrl_REP3.mLb.clN_peak_14278	chr3R	16249567	16250792	+	263	NA	intron (FBgn0040071, intron 1 of 1)	-intron (FBgn0040071, intron 1 of 1)	7363	FBgn0040071	FBgn0040071	FBtr0083258						NA
ManzF6Ctrl_REP3.mLb.clN_peak_1241	chr2L	7984100	7984585	+	263	NA	promoter-TSS (FBgn0031968)	-promoter-TSS (FBgn0031968)	-941	FBgn0031968	FBgn0031968	FBtr0306336						NA
ManzF6Ctrl_REP3.mLb.clN_peak_10974	chr3L	18063247	18063614	+	262	NA	intron (FBgn0000568, intron 1 of 7)	-intron (FBgn0000568, intron 1 of 7)	6720	FBgn0264748	FBgn0264748	FBtr0334132						NA
ManzF6Ctrl_REP3.mLb.clN_peak_10230	chr3L	13113889	13114445	+	261	NA	promoter-TSS (FBgn0010452)	-promoter-TSS (FBgn0010452)	-104	FBgn0010452	FBgn0010452	FBtr0330075						NA
ManzF6Ctrl_REP3.mLb.clN_peak_9214	chr3L	6904026	6904459	+	261	NA	Intergenic	Intergenic	9722	FBgn0041194	FBgn0041194	FBtr0076945						NA
ManzF6Ctrl_REP3.mLb.clN_peak_11922	chr3L	23115840	23117457	+	261	NA	Intergenic	Intergenic	-9377	FBgn0053217	FBgn0053217	FBtr0070045						NA
ManzF6Ctrl_REP3.mLb.clN_peak_3538	chr2R	5781847	5783003	+	260	NA	exon (FBgn0025693, exon 1 of 10)	-exon (FBgn0025693, exon 1 of 10)	433	FBgn0025693	FBgn0025693	FBtr0086056						NA
ManzF6Ctrl_REP3.mLb.clN_peak_10356	chr3L	14274019	14274624	+	260	NA	promoter-TSS (FBgn0001085)	-promoter-TSS (FBgn0001085)	-22	FBgn0001085	FBgn0001085	FBtr0330102						NA
ManzF6Ctrl_REP3.mLb.clN_peak_19038	chrX	9693809	9694308	+	260	NA	promoter-TSS (FBgn0000233)	-promoter-TSS (FBgn0000233)	-128	FBgn0000233	FBgn0000233	FBtr0071379						NA
ManzF6Ctrl_REP3.mLb.clN_peak_12853	chr3R	7473554	7476044	+	259	NA	exon (FBgn0065099, exon 1 of 1)	-exon (FBgn0065099, exon 1 of 1)	197	FBgn0065099	FBgn0065099	FBtr0091929						NA
ManzF6Ctrl_REP3.mLb.clN_peak_6393	chr2R	17391650	17392818	+	259	NA	promoter-TSS (FBgn0011879)	-promoter-TSS (FBgn0011879)	19	FBgn0011879	FBgn0011879	FBtr0086908						NA
ManzF6Ctrl_REP3.mLb.clN_peak_18134	chrX	4684355	4684883	+	259	NA	intron (FBgn0022768, intron 1 of 2)	-intron (FBgn0022768, intron 1 of 2)	2284	FBgn0022768	FBgn0022768	FBtr0343531						NA
ManzF6Ctrl_REP3.mLb.clN_peak_1894	chr2L	12365957	12366523	+	258	NA	promoter-TSS (FBgn0262475)	-promoter-TSS (FBgn0262475)	9799	FBgn0032424	FBgn0032424	FBtr0080354						NA
ManzF6Ctrl_REP3.mLb.clN_peak_2131	chr2L	14094672	14094885	+	257	NA	TTS (FBgn0028875)	-TTS (FBgn0028875)	-9312	FBgn0283651	FBgn0283651	FBtr0445730						NA
ManzF6Ctrl_REP3.mLb.clN_peak_1843	chr2L	11970809	11971438	+	257	NA	promoter-TSS (FBgn0263019)	-promoter-TSS (FBgn0263019)	-29	FBgn0263019	FBgn0263019	FBtr0306899						NA
ManzF6Ctrl_REP3.mLb.clN_peak_20115	chrX	16091435	16092047	+	257	NA	promoter-TSS (FBgn0028397)	-promoter-TSS (FBgn0028397)	-4352	FBgn0028397	FBgn0028397	FBtr0301652						NA
ManzF6Ctrl_REP3.mLb.clN_peak_21037	chrX	21280782	21282041	+	256	NA	promoter-TSS (FBgn0052521)	-promoter-TSS (FBgn0052521)	-258	FBgn0052521	FBgn0052521	FBtr0310654						NA
ManzF6Ctrl_REP3.mLb.clN_peak_17359	chrX	908630	909791	+	255	NA	promoter-TSS (FBgn0264449)	-promoter-TSS (FBgn0264449)	14726	FBgn0029539	FBgn0029539	FBtr0310165						NA
