PeakID (cmd=annotatePeaks.pl AkaaF3Heat_REP2.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF3Heat_REP2.mLb.clN_peak_6886	chr3L	24629520	24629728	+	426	NA	Intergenic	Intergenic	76514	FBgn0085810	FBgn0085810	FBtr0114264						NA
AkaaF3Heat_REP2.mLb.clN_peak_12413	chrX	23278938	23280458	+	395	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	312	FBgn0267522	FBgn0267522	FBtr0346902						NA
AkaaF3Heat_REP2.mLb.clN_peak_11235	chrX	12437699	12437912	+	394	NA	intron (FBgn0287828, intron 7 of 15)	-intron (FBgn0287828, intron 7 of 15)	-3679	FBgn0287828	FBgn0287828	FBtr0340086						NA
AkaaF3Heat_REP2.mLb.clN_peak_12441	chrX	23441206	23442066	+	380	NA	Intergenic	Intergenic	149936	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP2.mLb.clN_peak_10960	chrX	9515553	9515751	+	333	NA	intron (FBgn0267253, intron 1 of 2)	-intron (FBgn0267253, intron 1 of 2)	4128	FBgn0054028	FBgn0054028	FBtr0100083						NA
AkaaF3Heat_REP2.mLb.clN_peak_10893	chrX	8650812	8651165	+	323	NA	promoter-TSS (FBgn0004102)	-promoter-TSS (FBgn0004102)	-307	FBgn0004102	FBgn0004102	FBtr0331738						NA
AkaaF3Heat_REP2.mLb.clN_peak_12440	chrX	23438862	23440426	+	307	NA	Intergenic	Intergenic	147944	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP2.mLb.clN_peak_12258	chrX	22354410	22354775	+	307	NA	Intergenic	Intergenic	-89635	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF3Heat_REP2.mLb.clN_peak_12449	chrX	23537604	23538327	+	297	NA	Intergenic	Intergenic	246265	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP2.mLb.clN_peak_7433	chr3R	7474538	7475113	+	289	NA	exon (FBgn0065099, exon 1 of 1)	-exon (FBgn0065099, exon 1 of 1)	171	FBgn0065099	FBgn0065099	FBtr0091929						NA
AkaaF3Heat_REP2.mLb.clN_peak_8295	chr3R	16702811	16703223	+	284	NA	intron (FBgn0003944, intron 1 of 1)	-intron (FBgn0003944, intron 3 of 3)	31409	FBgn0003944	FBgn0003944	FBtr0083352						NA
AkaaF3Heat_REP2.mLb.clN_peak_1130	chr2L	13060077	13060610	+	272	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-203	FBgn0262160	FBgn0262160	FBtr0336617						NA
AkaaF3Heat_REP2.mLb.clN_peak_12346	chrX	22854976	22855532	+	269	NA	promoter-TSS (FBgn0000719)	-promoter-TSS (FBgn0000719)	-60	FBgn0000719	FBgn0000719	FBtr0333181						NA
AkaaF3Heat_REP2.mLb.clN_peak_12416	chrX	23291078	23291999	+	268	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-11	FBgn0267523	FBgn0267523	FBtr0346897						NA
AkaaF3Heat_REP2.mLb.clN_peak_7079	chr3R	4852375	4852978	+	265	NA	promoter-TSS (FBgn0003002)	-promoter-TSS (FBgn0003002)	-137	FBgn0003002	FBgn0003002	FBtr0479794						NA
AkaaF3Heat_REP2.mLb.clN_peak_6904	chr3L	25133952	25134137	+	264	NA	Intergenic	Intergenic	13295	FBgn0260008	FBgn0260008	FBtr0343636						NA
AkaaF3Heat_REP2.mLb.clN_peak_2012	chr2L	22024398	22024829	+	263	NA	exon (FBgn0028979, exon 3 of 3)	-exon (FBgn0028979, exon 3 of 3)	5405	FBgn0028979	FBgn0028979	FBtr0335391						NA
AkaaF3Heat_REP2.mLb.clN_peak_7078	chr3R	4835384	4835575	+	258	NA	Intergenic	Intergenic	-4182	FBgn0037284	FBgn0037284	FBtr0078873						NA
AkaaF3Heat_REP2.mLb.clN_peak_12404	chrX	23228409	23228782	+	244	NA	Intergenic	Intergenic	-11123	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF3Heat_REP2.mLb.clN_peak_10977	chrX	9693788	9694162	+	244	NA	promoter-TSS (FBgn0000233)	-promoter-TSS (FBgn0000233)	-211	FBgn0000233	FBgn0000233	FBtr0071379						NA
AkaaF3Heat_REP2.mLb.clN_peak_6937	chr3R	27426	27854	+	240	NA	Intergenic	Intergenic	-539436	FBgn0267431	FBgn0267431	FBtr0392909						NA
AkaaF3Heat_REP2.mLb.clN_peak_5352	chr3L	8725187	8725681	+	230	NA	TTS (FBgn0264696)	-TTS (FBgn0264696)	340	FBgn0264696	FBgn0264696	FBtr0333890						NA
AkaaF3Heat_REP2.mLb.clN_peak_6888	chr3L	24723766	24724166	+	223	NA	promoter-TSS (FBgn0287186)	-promoter-TSS (FBgn0287186)	-196	FBgn0287186	FBgn0287186	FBtr0339923						NA
AkaaF3Heat_REP2.mLb.clN_peak_7758	chr3R	10889287	10889511	+	222	NA	promoter-TSS (FBgn0042094)	-promoter-TSS (FBgn0042094)	-118	FBgn0042094	FBgn0042094	FBtr0339378						NA
AkaaF3Heat_REP2.mLb.clN_peak_157	chr2L	1420348	1420737	+	218	NA	promoter-TSS (FBgn0002543)	-promoter-TSS (FBgn0002543)	-89	FBgn0002543	FBgn0002543	FBtr0329985						NA
AkaaF3Heat_REP2.mLb.clN_peak_5703	chr3L	12609331	12609621	+	218	NA	promoter-TSS (FBgn0015919)	-promoter-TSS (FBgn0015919)	-155	FBgn0015919	FBgn0015919	FBtr0075909						NA
AkaaF3Heat_REP2.mLb.clN_peak_2571	chr2R	8326860	8327542	+	217	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-289	FBgn0261588	FBgn0261588	FBtr0339350						NA
AkaaF3Heat_REP2.mLb.clN_peak_12412	chrX	23278010	23278501	+	216	NA	exon (FBgn0267516, exon 1 of 1)	-exon (FBgn0267516, exon 1 of 1)	1755	FBgn0267522	FBgn0267522	FBtr0346902						NA
AkaaF3Heat_REP2.mLb.clN_peak_9578	chr3R	30912437	30912745	+	214	NA	promoter-TSS (FBgn0020912)	-promoter-TSS (FBgn0020912)	-163	FBgn0020912	FBgn0020912	FBtr0330094						NA
AkaaF3Heat_REP2.mLb.clN_peak_8297	chr3R	16763793	16764363	+	214	NA	intron (FBgn0020556, intron 1 of 2)	-intron (FBgn0020556, intron 1 of 2)	-12744	FBgn0063261	FBgn0063261	FBtr0083346						NA
AkaaF3Heat_REP2.mLb.clN_peak_3976	chr2R	20903534	20903862	+	213	NA	promoter-TSS (FBgn0015524)	-promoter-TSS (FBgn0015524)	-284	FBgn0015524	FBgn0015524	FBtr0474157						NA
AkaaF3Heat_REP2.mLb.clN_peak_8572	chr3R	19836647	19837060	+	211	NA	promoter-TSS (FBgn0014135)	-promoter-TSS (FBgn0014135)	-36	FBgn0014135	FBgn0014135	FBtr0344549						NA
AkaaF3Heat_REP2.mLb.clN_peak_3700	chr2R	18652755	18653135	+	210	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-169	FBgn0034371	FBgn0034371	FBtr0086657						NA
AkaaF3Heat_REP2.mLb.clN_peak_2187	chr2R	5726420	5727147	+	208	NA	promoter-TSS (FBgn0267978)	-promoter-TSS (FBgn0267978)	742	FBgn0267978	FBgn0267978	FBtr0335274						NA
AkaaF3Heat_REP2.mLb.clN_peak_6922	chr3L	27126142	27127516	+	205	NA	Intergenic	Intergenic	-8355	FBgn0267985	FBgn0267985	FBtr0347582						NA
AkaaF3Heat_REP2.mLb.clN_peak_11759	chrX	17768117	17768570	+	204	NA	promoter-TSS (FBgn0024184)	-promoter-TSS (FBgn0024184)	-226	FBgn0024184	FBgn0024184	FBtr0340627						NA
AkaaF3Heat_REP2.mLb.clN_peak_8306	chr3R	16948625	16948856	+	203	NA	intron (FBgn0000015, intron 1 of 6)	-intron (FBgn0000015, intron 1 of 6)	-3167	FBgn0278597	FBgn0278597	FBtr0415462						NA
AkaaF3Heat_REP2.mLb.clN_peak_12430	chrX	23390044	23390941	+	203	NA	Intergenic	Intergenic	98792	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP2.mLb.clN_peak_7892	chr3R	12280750	12281109	+	202	NA	promoter-TSS (FBgn0003651)	-promoter-TSS (FBgn0003651)	-223	FBgn0003651	FBgn0003651	FBtr0479795						NA
AkaaF3Heat_REP2.mLb.clN_peak_10467	chrX	4426699	4427127	+	202	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13451	FBgn0000179	FBgn0000179	FBtr0331162						NA
AkaaF3Heat_REP2.mLb.clN_peak_1808	chr2L	20148462	20148756	+	202	NA	Intergenic	Intergenic	-13686	FBgn0032853	FBgn0032853	FBtr0345683						NA
AkaaF3Heat_REP2.mLb.clN_peak_2809	chr2R	10302726	10303215	+	202	NA	promoter-TSS (FBgn0033504)	-promoter-TSS (FBgn0033504)	6824	FBgn0028426	FBgn0028426	FBtr0088360						NA
AkaaF3Heat_REP2.mLb.clN_peak_7909	chr3R	12467798	12468197	+	201	NA	promoter-TSS (FBgn0013277)	-promoter-TSS (FBgn0013277)	-221	FBgn0013277	FBgn0013277	FBtr0082679						NA
AkaaF3Heat_REP2.mLb.clN_peak_7370	chr3R	7000690	7001195	+	201	NA	exon (FBgn0267559, exon 1 of 1)	-exon (FBgn0267559, exon 1 of 1)	450	FBgn0267559	FBgn0267559	FBtr0346969						NA
AkaaF3Heat_REP2.mLb.clN_peak_12195	chrX	21280878	21281488	+	199	NA	promoter-TSS (FBgn0052521)	-promoter-TSS (FBgn0052521)	-30	FBgn0052521	FBgn0052521	FBtr0310654						NA
AkaaF3Heat_REP2.mLb.clN_peak_10902	chrX	8805773	8806119	+	199	NA	promoter-TSS (FBgn0026411)	-promoter-TSS (FBgn0026411)	-20593	FBgn0026411	FBgn0026411	FBtr0071279						NA
AkaaF3Heat_REP2.mLb.clN_peak_6918	chr3L	27071938	27072262	+	198	NA	Intergenic	Intergenic	11806	FBgn0063670	FBgn0063670	FBtr0333872						NA
AkaaF3Heat_REP2.mLb.clN_peak_1367	chr2L	15333495	15333937	+	198	NA	promoter-TSS (FBgn0287768)	-promoter-TSS (FBgn0287768)	-150	FBgn0287768	FBgn0287768	FBtr0080734						NA
AkaaF3Heat_REP2.mLb.clN_peak_6761	chr3L	22460746	22461379	+	194	NA	promoter-TSS (FBgn0037163)	-promoter-TSS (FBgn0037163)	69	FBgn0037163	FBgn0037163	FBtr0078508						NA
AkaaF3Heat_REP2.mLb.clN_peak_12411	chrX	23273960	23274362	+	193	NA	Intergenic	Intergenic	-3003	FBgn0267520	FBgn0267520	FBtr0346903						NA
AkaaF3Heat_REP2.mLb.clN_peak_8024	chr3R	13875007	13875389	+	191	NA	promoter-TSS (FBgn0008646)	-promoter-TSS (FBgn0008646)	-282	FBgn0008646	FBgn0008646	FBtr0082880						NA
AkaaF3Heat_REP2.mLb.clN_peak_499	chr2L	5403562	5403965	+	191	NA	promoter-TSS (FBgn0016660)	-promoter-TSS (FBgn0016660)	-870	FBgn0016660	FBgn0016660	FBtr0343225						NA
AkaaF3Heat_REP2.mLb.clN_peak_12253	chrX	21796912	21797151	+	190	NA	Intergenic	Intergenic	163595	FBgn0267704	FBgn0267704	FBtr0347227						NA
AkaaF3Heat_REP2.mLb.clN_peak_850	chr2L	9176081	9176546	+	188	NA	promoter-TSS (FBgn0041092)	-promoter-TSS (FBgn0041092)	9535	FBgn0041092	FBgn0041092	FBtr0304974						NA
AkaaF3Heat_REP2.mLb.clN_peak_3879	chr2R	20111055	20111542	+	188	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-213	FBgn0287775	FBgn0287775	FBtr0086309						NA
AkaaF3Heat_REP2.mLb.clN_peak_12433	chrX	23405610	23407564	+	187	NA	Intergenic	Intergenic	114887	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP2.mLb.clN_peak_12286	chrX	22539849	22540485	+	186	NA	promoter-TSS (FBgn0031195)	-promoter-TSS (FBgn0031195)	216	FBgn0031194	FBgn0031194	FBtr0333716						NA
AkaaF3Heat_REP2.mLb.clN_peak_8026	chr3R	13901545	13901900	+	185	NA	promoter-TSS (FBgn0000576)	-promoter-TSS (FBgn0000576)	-131	FBgn0000576	FBgn0000576	FBtr0082863						NA
AkaaF3Heat_REP2.mLb.clN_peak_7732	chr3R	10614305	10614678	+	185	NA	promoter-TSS (FBgn0001235)	-promoter-TSS (FBgn0001235)	-215	FBgn0001235	FBgn0001235	FBtr0100454						NA
AkaaF3Heat_REP2.mLb.clN_peak_9820	chr4	704403	704631	+	182	NA	promoter-TSS (FBgn0005558)	-promoter-TSS (FBgn0005558)	-134	FBgn0005558	FBgn0005558	FBtr0100396						NA
AkaaF3Heat_REP2.mLb.clN_peak_2553	chr2R	8237166	8237994	+	181	NA	promoter-TSS (FBgn0013726)	-promoter-TSS (FBgn0013726)	-273	FBgn0013726	FBgn0013726	FBtr0088793						NA
AkaaF3Heat_REP2.mLb.clN_peak_7780	chr3R	11156763	11157318	+	181	NA	promoter-TSS (FBgn0040259)	-promoter-TSS (FBgn0040259)	-58	FBgn0040259	FBgn0040259	FBtr0082338						NA
AkaaF3Heat_REP2.mLb.clN_peak_9178	chr3R	27069898	27070362	+	180	NA	promoter-TSS (FBgn0003495)	-promoter-TSS (FBgn0003495)	-60	FBgn0003495	FBgn0003495	FBtr0114372						NA
AkaaF3Heat_REP2.mLb.clN_peak_6483	chr3L	20401600	20401813	+	180	NA	promoter-TSS (FBgn0028978)	-promoter-TSS (FBgn0028978)	-97	FBgn0028978	FBgn0028978	FBtr0078235						NA
AkaaF3Heat_REP2.mLb.clN_peak_9896	chr4	1288318	1289090	+	179	NA	Intergenic	Intergenic	57867	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF3Heat_REP2.mLb.clN_peak_12435	chrX	23413217	23413730	+	178	NA	Intergenic	Intergenic	121773	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP2.mLb.clN_peak_7512	chr3R	8181462	8181975	+	177	NA	promoter-TSS (FBgn0001138)	-promoter-TSS (FBgn0001138)	-274	FBgn0001138	FBgn0001138	FBtr0330188						NA
AkaaF3Heat_REP2.mLb.clN_peak_6514	chr3L	20621620	20622164	+	176	NA	Intergenic	Intergenic	-1233	FBgn0001323	FBgn0001323	FBtr0346815						NA
AkaaF3Heat_REP2.mLb.clN_peak_2303	chr2R	6480502	6481736	+	175	NA	Intergenic	Intergenic	20653	FBgn0267744	FBgn0267744	FBtr0347304						NA
AkaaF3Heat_REP2.mLb.clN_peak_11829	chrX	18312562	18312992	+	175	NA	promoter-TSS (FBgn0267169)	-promoter-TSS (FBgn0267169)	-851	FBgn0267169	FBgn0267169	FBtr0346289						NA
AkaaF3Heat_REP2.mLb.clN_peak_336	chr2L	3580618	3581146	+	173	NA	promoter-TSS (FBgn0004892)	-promoter-TSS (FBgn0004892)	-113	FBgn0004892	FBgn0004892	FBtr0077558						NA
AkaaF3Heat_REP2.mLb.clN_peak_8568	chr3R	19802563	19802837	+	172	NA	promoter-TSS (FBgn0051471)	-promoter-TSS (FBgn0051471)	10	FBgn0051471	FBgn0051471	FBtr0083794						NA
AkaaF3Heat_REP2.mLb.clN_peak_8383	chr3R	17717112	17717414	+	171	NA	intron (FBgn0261885, intron 1 of 14)	-intron (FBgn0261885, intron 1 of 15)	1087	FBgn0261885	FBgn0261885	FBtr0335024						NA
AkaaF3Heat_REP2.mLb.clN_peak_6915	chr3L	27007630	27008415	+	171	NA	Intergenic	Intergenic	75884	FBgn0063670	FBgn0063670	FBtr0333872						NA
AkaaF3Heat_REP2.mLb.clN_peak_2950	chr2R	11475511	11475917	+	170	NA	promoter-TSS (FBgn0001269)	-promoter-TSS (FBgn0001269)	6	FBgn0001269	FBgn0001269	FBtr0345673						NA
AkaaF3Heat_REP2.mLb.clN_peak_6186	chr3L	17590506	17591046	+	169	NA	intron (FBgn0000567, intron 5 of 7)	-intron (FBgn0000567, intron 5 of 7)	-24614	FBgn0086080	FBgn0086080	FBtr0114356						NA
AkaaF3Heat_REP2.mLb.clN_peak_1761	chr2L	19735588	19736596	+	168	NA	promoter-TSS (FBgn0032816)	-promoter-TSS (FBgn0032816)	48	FBgn0032816	FBgn0032816	FBtr0081289						NA
AkaaF3Heat_REP2.mLb.clN_peak_2619	chr2R	8649399	8649617	+	168	NA	promoter-TSS (FBgn0003892)	-promoter-TSS (FBgn0003892)	-141	FBgn0003892	FBgn0003892	FBtr0089427						NA
AkaaF3Heat_REP2.mLb.clN_peak_4284	chr2R	23580565	23581040	+	168	NA	promoter-TSS (FBgn0015903)	-promoter-TSS (FBgn0015903)	-15790	FBgn0015903	FBgn0015903	FBtr0332926						NA
AkaaF3Heat_REP2.mLb.clN_peak_3126	chr2R	13015580	13016060	+	167	NA	Intergenic	Intergenic	19319	FBgn0265623	FBgn0265623	FBtr0330613						NA
AkaaF3Heat_REP2.mLb.clN_peak_9864	chr4	989465	989758	+	167	NA	promoter-TSS (FBgn0019650)	-promoter-TSS (FBgn0019650)	-114	FBgn0019650	FBgn0019650	FBtr0479793						NA
AkaaF3Heat_REP2.mLb.clN_peak_7357	chr3R	6818745	6819399	+	167	NA	promoter-TSS (FBgn0026162)	-promoter-TSS (FBgn0026162)	-822	FBgn0026162	FBgn0026162	FBtr0081622						NA
AkaaF3Heat_REP2.mLb.clN_peak_1363	chr2L	15264443	15264879	+	166	NA	promoter-TSS (FBgn0045842)	-promoter-TSS (FBgn0045842)	31	FBgn0045842	FBgn0045842	FBtr0415452						NA
AkaaF3Heat_REP2.mLb.clN_peak_1342	chr2L	15057011	15057274	+	166	NA	intron (FBgn0000317, intron 1 of 11)	-intron (FBgn0000317, intron 1 of 11)	720	FBgn0000317	FBgn0000317	FBtr0343686						NA
AkaaF3Heat_REP2.mLb.clN_peak_10181	chrX	2050075	2050560	+	164	NA	promoter-TSS (FBgn0025631)	-promoter-TSS (FBgn0025631)	-1922	FBgn0025631	FBgn0025631	FBtr0303045						NA
AkaaF3Heat_REP2.mLb.clN_peak_181	chr2L	1669532	1669985	+	163	NA	intron (FBgn0086758, intron 1 of 5)	-intron (FBgn0086758, intron 2 of 6)	18500	FBgn0086758	FBgn0086758	FBtr0303934						NA
AkaaF3Heat_REP2.mLb.clN_peak_10056	chrX	1134138	1135453	+	163	NA	exon (FBgn0040397, exon 1 of 5)	-exon (FBgn0040397, exon 1 of 5)	101	FBgn0040397	FBgn0040397	FBtr0331340						NA
AkaaF3Heat_REP2.mLb.clN_peak_5836	chr3L	14177558	14178169	+	163	NA	promoter-TSS (FBgn0000411)	-promoter-TSS (FBgn0000411)	757	FBgn0000411	FBgn0000411	FBtr0333036						NA
AkaaF3Heat_REP2.mLb.clN_peak_10891	chrX	8624864	8625180	+	162	NA	Intergenic	Intergenic	-18718	FBgn0030054	FBgn0030054	FBtr0071228						NA
AkaaF3Heat_REP2.mLb.clN_peak_2011	chr2L	22018873	22019433	+	162	NA	promoter-TSS (FBgn0028979)	-promoter-TSS (FBgn0028979)	-55	FBgn0053987	FBgn0053987	FBtr0100032						NA
AkaaF3Heat_REP2.mLb.clN_peak_185	chr2L	1737297	1737551	+	162	NA	promoter-TSS (FBgn0264494)	-promoter-TSS (FBgn0264494)	-43	FBgn0264494	FBgn0264494	FBtr0077886						NA
AkaaF3Heat_REP2.mLb.clN_peak_5869	chr3L	14427114	14427667	+	161	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2889	FBgn0267695	FBgn0267695	FBtr0347205						NA
AkaaF3Heat_REP2.mLb.clN_peak_10757	chrX	7307446	7308247	+	160	NA	promoter-TSS (FBgn0024250)	-promoter-TSS (FBgn0024250)	-93	FBgn0024250	FBgn0024250	FBtr0071048						NA
AkaaF3Heat_REP2.mLb.clN_peak_7731	chr3R	10535825	10536022	+	160	NA	intron (FBgn0001235, intron 8 of 13)	-intron (FBgn0001235, intron 8 of 13)	-45707	FBgn0267136	FBgn0267136	FBtr0346258						NA
AkaaF3Heat_REP2.mLb.clN_peak_4943	chr3L	4071656	4071920	+	159	NA	promoter-TSS (FBgn0024179)	-promoter-TSS (FBgn0024179)	-71	FBgn0024179	FBgn0024179	FBtr0330072						NA
AkaaF3Heat_REP2.mLb.clN_peak_12031	chrX	19886771	19887946	+	158	NA	promoter-TSS (FBgn0052529)	-promoter-TSS (FBgn0052529)	2702	FBgn0086782	FBgn0086782	FBtr0074802						NA
AkaaF3Heat_REP2.mLb.clN_peak_6754	chr3L	22407615	22408479	+	158	NA	promoter-TSS (FBgn0004449)	-promoter-TSS (FBgn0004449)	-184	FBgn0004449	FBgn0004449	FBtr0330159						NA
AkaaF3Heat_REP2.mLb.clN_peak_6821	chr3L	22773372	22774110	+	157	NA	promoter-TSS (FBgn0052451)	-promoter-TSS (FBgn0052451)	205	FBgn0052451	FBgn0052451	FBtr0078533						NA
AkaaF3Heat_REP2.mLb.clN_peak_9683	chr3R	31689055	31689683	+	157	NA	promoter-TSS (FBgn0267124)	-promoter-TSS (FBgn0267124)	509	FBgn0267125	FBgn0267125	FBtr0346220						NA
AkaaF3Heat_REP2.mLb.clN_peak_1675	chr2L	18936178	18936405	+	157	NA	intron (FBgn0032723, intron 6 of 10)	-intron (FBgn0032723, intron 6 of 10)	7669	FBgn0032723	FBgn0032723	FBtr0342929						NA
AkaaF3Heat_REP2.mLb.clN_peak_11612	chrX	16216793	16217748	+	156	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-524	FBgn0000459	FBgn0000459	FBtr0074250						NA
AkaaF3Heat_REP2.mLb.clN_peak_4814	chr3L	2821075	2821368	+	155	NA	promoter-TSS (FBgn0263392)	-promoter-TSS (FBgn0263392)	38966	FBgn0035375	FBgn0035375	FBtr0333442						NA
AkaaF3Heat_REP2.mLb.clN_peak_5794	chr3L	13666777	13668000	+	155	NA	promoter-TSS (FBgn0264001)	-promoter-TSS (FBgn0264001)	68158	FBgn0266595	FBgn0266595	FBtr0344818						NA
AkaaF3Heat_REP2.mLb.clN_peak_2965	chr2R	11603209	11603739	+	155	NA	intron (FBgn0033636, intron 1 of 15)	-intron (FBgn0033636, intron 1 of 16)	1462	FBgn0033636	FBgn0033636	FBtr0113066						NA
AkaaF3Heat_REP2.mLb.clN_peak_2780	chr2R	10100847	10101064	+	154	NA	promoter-TSS (FBgn0004907)	-promoter-TSS (FBgn0004907)	-1365	FBgn0033485	FBgn0033485	FBtr0088425						NA
AkaaF3Heat_REP2.mLb.clN_peak_7816	chr3R	11569052	11569294	+	154	NA	promoter-TSS (FBgn0263316)	-promoter-TSS (FBgn0263316)	-77	FBgn0263316	FBgn0263316	FBtr0302027						NA
AkaaF3Heat_REP2.mLb.clN_peak_8301	chr3R	16830016	16830330	+	154	NA	promoter-TSS (FBgn0000014)	-promoter-TSS (FBgn0000014)	-124	FBgn0000014	FBgn0000014	FBtr0306337						NA
AkaaF3Heat_REP2.mLb.clN_peak_5742	chr3L	13113931	13114466	+	153	NA	promoter-TSS (FBgn0010452)	-promoter-TSS (FBgn0010452)	-73	FBgn0010452	FBgn0010452	FBtr0330075						NA
AkaaF3Heat_REP2.mLb.clN_peak_11966	chrX	19360913	19361571	+	153	NA	intron (FBgn0031016, intron 1 of 4)	-intron (FBgn0031016, intron 1 of 5)	8061	FBgn0031016	FBgn0031016	FBtr0309224						NA
