PeakID (cmd=annotatePeaks.pl ManzF6HSan_REP1.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF6HSan_REP1.mLb.clN_peak_16002	chrX	5754542	5756108	+	677	NA	promoter-TSS (FBgn0029801)	-promoter-TSS (FBgn0029801)	-249	FBgn0029801	FBgn0029801	FBtr0345789						NA
ManzF6HSan_REP1.mLb.clN_peak_18411	chrX	23210946	23211283	+	669	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-78	FBgn0085813	FBgn0085813	FBtr0346892						NA
ManzF6HSan_REP1.mLb.clN_peak_3357	chr2R	6480494	6481812	+	667	NA	Intergenic	Intergenic	20619	FBgn0267744	FBgn0267744	FBtr0347304						NA
ManzF6HSan_REP1.mLb.clN_peak_4582	chr2R	11603190	11603742	+	628	NA	intron (FBgn0033636, intron 1 of 15)	-intron (FBgn0033636, intron 1 of 16)	1470	FBgn0033636	FBgn0033636	FBtr0113066						NA
ManzF6HSan_REP1.mLb.clN_peak_12469	chr3R	16242294	16242925	+	593	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-207	FBgn0040071	FBgn0040071	FBtr0083258						NA
ManzF6HSan_REP1.mLb.clN_peak_1712	chr2L	13060020	13060634	+	588	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-187	FBgn0262160	FBgn0262160	FBtr0336617						NA
ManzF6HSan_REP1.mLb.clN_peak_7065	chr2R	25268736	25269507	+	582	NA	Intergenic	Intergenic	17194	FBgn0050428	FBgn0050428	FBtr0343515						NA
ManzF6HSan_REP1.mLb.clN_peak_14990	chr4	1278766	1279498	+	560	NA	Intergenic	Intergenic	48295	FBgn0053653	FBgn0053653	FBtr0333702						NA
ManzF6HSan_REP1.mLb.clN_peak_18425	chrX	23281041	23281368	+	548	NA	promoter-TSS (FBgn0250731)	-promoter-TSS (FBgn0250731)	-927	FBgn0250731	FBgn0250731	FBtr0346901						NA
ManzF6HSan_REP1.mLb.clN_peak_17516	chrX	16216704	16217822	+	539	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-517	FBgn0000459	FBgn0000459	FBtr0074250						NA
ManzF6HSan_REP1.mLb.clN_peak_5947	chr2R	18652707	18653181	+	536	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-168	FBgn0034371	FBgn0034371	FBtr0086657						NA
ManzF6HSan_REP1.mLb.clN_peak_18416	chrX	23227039	23228782	+	526	NA	Intergenic	Intergenic	-11808	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF6HSan_REP1.mLb.clN_peak_18442	chrX	23406980	23407587	+	523	NA	Intergenic	Intergenic	115583	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP1.mLb.clN_peak_8363	chr3L	8724992	8726617	+	522	NA	promoter-TSS (FBgn0000357)	-promoter-TSS (FBgn0000357)	-30	FBgn0264696	FBgn0264696	FBtr0333890						NA
ManzF6HSan_REP1.mLb.clN_peak_18413	chrX	23214284	23215003	+	506	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	191	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF6HSan_REP1.mLb.clN_peak_6172	chr2R	20111081	20111799	+	500	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-71	FBgn0287775	FBgn0287775	FBtr0086309						NA
ManzF6HSan_REP1.mLb.clN_peak_1889	chr2L	14490132	14491156	+	499	NA	promoter-TSS (FBgn0005771)	-promoter-TSS (FBgn0005771)	-215	FBgn0005771	FBgn0005771	FBtr0080643						NA
ManzF6HSan_REP1.mLb.clN_peak_8728	chr3L	11552733	11553691	+	483	NA	promoter-TSS (FBgn0259481)	-promoter-TSS (FBgn0259481)	-8784	FBgn0036173	FBgn0036173	FBtr0333215						NA
ManzF6HSan_REP1.mLb.clN_peak_15815	chrX	4426704	4427194	+	475	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13487	FBgn0000179	FBgn0000179	FBtr0331162						NA
ManzF6HSan_REP1.mLb.clN_peak_10495	chr3L	24737934	24739135	+	468	NA	intron (FBgn0287186, intron 3 of 5)	-intron (FBgn0287186, intron 4 of 6)	14372	FBgn0287186	FBgn0287186	FBtr0339923						NA
ManzF6HSan_REP1.mLb.clN_peak_7374	chr3L	1586374	1587427	+	465	NA	exon (FBgn0035237, exon 1 of 5)	-exon (FBgn0035237, exon 1 of 5)	206	FBgn0035237	FBgn0035237	FBtr0347066						NA
ManzF6HSan_REP1.mLb.clN_peak_16612	chrX	9693783	9694304	+	461	NA	promoter-TSS (FBgn0000233)	-promoter-TSS (FBgn0000233)	-143	FBgn0000233	FBgn0000233	FBtr0071379						NA
ManzF6HSan_REP1.mLb.clN_peak_2954	chr2R	3140708	3141052	+	459	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74381	FBgn0260995	FBgn0260995	FBtr0334939						NA
ManzF6HSan_REP1.mLb.clN_peak_9090	chr3L	14427017	14427788	+	455	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2901	FBgn0267695	FBgn0267695	FBtr0347205						NA
ManzF6HSan_REP1.mLb.clN_peak_7599	chr3L	3059858	3061324	+	450	NA	intron (FBgn0266918, intron 1 of 7)	-intron (FBgn0266918, intron 1 of 7)	5512	FBgn0035393	FBgn0035393	FBtr0072990						NA
ManzF6HSan_REP1.mLb.clN_peak_10510	chr3L	25133290	25134213	+	450	NA	Intergenic	Intergenic	13002	FBgn0260008	FBgn0260008	FBtr0343636						NA
ManzF6HSan_REP1.mLb.clN_peak_2290	chr2L	19157919	19159087	+	447	NA	promoter-TSS (FBgn0010300)	-promoter-TSS (FBgn0010300)	796	FBgn0266312	FBgn0266312	FBtr0344041						NA
ManzF6HSan_REP1.mLb.clN_peak_12471	chr3R	16249543	16250808	+	446	NA	intron (FBgn0040071, intron 1 of 1)	-intron (FBgn0040071, intron 1 of 1)	7359	FBgn0040071	FBgn0040071	FBtr0083258						NA
ManzF6HSan_REP1.mLb.clN_peak_4882	chr2R	12996207	12997675	+	440	NA	promoter-TSS (FBgn0265623)	-promoter-TSS (FBgn0265623)	440	FBgn0265623	FBgn0265623	FBtr0330613						NA
ManzF6HSan_REP1.mLb.clN_peak_14573	chr3R	31712911	31714082	+	438	NA	promoter-TSS (FBgn0003870)	-promoter-TSS (FBgn0003870)	4221	FBgn0054046	FBgn0054046	FBtr0308935						NA
ManzF6HSan_REP1.mLb.clN_peak_5092	chr2R	14006749	14007293	+	437	NA	intron (FBgn0002643, intron 2 of 6)	-intron (FBgn0002643, intron 2 of 6)	-2178	FBgn0002643	FBgn0002643	FBtr0087598						NA
ManzF6HSan_REP1.mLb.clN_peak_16395	chrX	8294005	8295994	+	435	NA	intron (FBgn0015519, intron 6 of 11)	-intron (FBgn0015519, intron 6 of 11)	-21193	FBgn0030029	FBgn0030029	FBtr0071178						NA
ManzF6HSan_REP1.mLb.clN_peak_3815	chr2R	8326846	8327619	+	430	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-258	FBgn0261588	FBgn0261588	FBtr0339350						NA
ManzF6HSan_REP1.mLb.clN_peak_1321	chr2L	9782046	9782935	+	426	NA	exon (FBgn0032147, exon 1 of 4)	-exon (FBgn0032147, exon 1 of 4)	-3756	FBgn0032147	FBgn0032147	FBtr0307204						NA
ManzF6HSan_REP1.mLb.clN_peak_16360	chrX	8141358	8142357	+	424	NA	TTS (FBgn0030006)	-TTS (FBgn0030006)	422	FBgn0025800	FBgn0025800	FBtr0340159						NA
ManzF6HSan_REP1.mLb.clN_peak_9127	chr3L	14673715	14675300	+	420	NA	promoter-TSS (FBgn0011927)	-promoter-TSS (FBgn0011927)	163	FBgn0011928	FBgn0011928	FBtr0075681						NA
ManzF6HSan_REP1.mLb.clN_peak_14967	chr4	1198355	1199621	+	417	NA	exon (FBgn0263112, exon 1 of 9)	-exon (FBgn0263112, exon 1 of 9)	130	FBgn0263112	FBgn0263112	FBtr0307329						NA
ManzF6HSan_REP1.mLb.clN_peak_12539	chr3R	16763693	16764372	+	409	NA	intron (FBgn0020556, intron 1 of 2)	-intron (FBgn0020556, intron 1 of 2)	-12698	FBgn0063261	FBgn0063261	FBtr0083346						NA
ManzF6HSan_REP1.mLb.clN_peak_18337	chrX	22354413	22354700	+	405	NA	Intergenic	Intergenic	-89671	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF6HSan_REP1.mLb.clN_peak_12149	chr3R	13983174	13984180	+	404	NA	promoter-TSS (FBgn0264493)	-promoter-TSS (FBgn0264493)	-11877	FBgn0264493	FBgn0264493	FBtr0301633						NA
ManzF6HSan_REP1.mLb.clN_peak_18135	chrX	20158925	20160137	+	401	NA	TTS (FBgn0031091)	-TTS (FBgn0031091)	341	FBgn0031090	FBgn0031090	FBtr0333549						NA
ManzF6HSan_REP1.mLb.clN_peak_4879	chr2R	12979639	12981412	+	397	NA	exon (FBgn0005624, exon 1 of 5)	-exon (FBgn0005624, exon 1 of 5)	469	FBgn0005624	FBgn0005624	FBtr0345375						NA
ManzF6HSan_REP1.mLb.clN_peak_8895	chr3L	12692906	12693770	+	396	NA	promoter-TSS (FBgn0014343)	-promoter-TSS (FBgn0014343)	-301	FBgn0014343	FBgn0014343	FBtr0330077						NA
ManzF6HSan_REP1.mLb.clN_peak_12536	chr3R	16702738	16703366	+	395	NA	intron (FBgn0003944, intron 1 of 1)	-intron (FBgn0003944, intron 3 of 3)	31374	FBgn0003944	FBgn0003944	FBtr0083352						NA
ManzF6HSan_REP1.mLb.clN_peak_8346	chr3L	8675156	8676074	+	395	NA	promoter-TSS (FBgn0001168)	-promoter-TSS (FBgn0001168)	-144	FBgn0001168	FBgn0001168	FBtr0100153						NA
ManzF6HSan_REP1.mLb.clN_peak_6798	chr2R	23839831	23840554	+	393	NA	promoter-TSS (FBgn0086659)	-promoter-TSS (FBgn0086659)	-128	FBgn0086659	FBgn0086659	FBtr0091917						NA
ManzF6HSan_REP1.mLb.clN_peak_7605	chr3L	3095455	3096899	+	393	NA	promoter-TSS (FBgn0052287)	-promoter-TSS (FBgn0052287)	186	FBgn0052289	FBgn0052289	FBtr0073019						NA
ManzF6HSan_REP1.mLb.clN_peak_6968	chr2R	24767505	24768720	+	392	NA	promoter-TSS (FBgn0027590)	-promoter-TSS (FBgn0027590)	-405	FBgn0027590	FBgn0027590	FBtr0072436						NA
ManzF6HSan_REP1.mLb.clN_peak_5727	chr2R	17391501	17392869	+	384	NA	promoter-TSS (FBgn0011879)	-promoter-TSS (FBgn0011879)	-30	FBgn0011879	FBgn0011879	FBtr0086908						NA
ManzF6HSan_REP1.mLb.clN_peak_14569	chr3R	31688968	31690744	+	383	NA	promoter-TSS (FBgn0267125)	-promoter-TSS (FBgn0267125)	22	FBgn0267125	FBgn0267125	FBtr0346220						NA
ManzF6HSan_REP1.mLb.clN_peak_13444	chr3R	23601345	23602078	+	382	NA	promoter-TSS (FBgn0051143)	-promoter-TSS (FBgn0051143)	-256	FBgn0051143	FBgn0051143	FBtr0084482						NA
ManzF6HSan_REP1.mLb.clN_peak_13168	chr3R	21604678	21605974	+	382	NA	intron (FBgn0283499, intron 1 of 12)	-intron (FBgn0283499, intron 1 of 12)	10414	FBgn0264826	FBgn0264826	FBtr0334680						NA
ManzF6HSan_REP1.mLb.clN_peak_2843	chr2R	870293	870589	+	381	NA	Intergenic	Intergenic	15627	FBgn0284080	FBgn0284080	FBtr0452096						NA
ManzF6HSan_REP1.mLb.clN_peak_15617	chrX	3161984	3163418	+	381	NA	intron (FBgn0004647, intron 5 of 8)	-intron (FBgn0004647, intron 5 of 8)	10439	FBgn0028746	FBgn0028746	FBtr0345708						NA
ManzF6HSan_REP1.mLb.clN_peak_3409	chr2R	6661742	6663878	+	379	NA	promoter-TSS (FBgn0266518)	-promoter-TSS (FBgn0266518)	545	FBgn0284249	FBgn0284249	FBtr0330252						NA
ManzF6HSan_REP1.mLb.clN_peak_18021	chrX	19360780	19361653	+	379	NA	intron (FBgn0031016, intron 1 of 4)	-intron (FBgn0031016, intron 1 of 5)	8035	FBgn0031016	FBgn0031016	FBtr0309224						NA
ManzF6HSan_REP1.mLb.clN_peak_18191	chrX	20656134	20657741	+	377	NA	promoter-TSS (FBgn0031126)	-promoter-TSS (FBgn0031126)	611	FBgn0267022	FBgn0267022	FBtr0345969						NA
ManzF6HSan_REP1.mLb.clN_peak_2463	chr2L	20428774	20429482	+	377	NA	exon (FBgn0263355, exon 1 of 5)	-exon (FBgn0263355, exon 1 of 5)	103	FBgn0263355	FBgn0263355	FBtr0330204						NA
ManzF6HSan_REP1.mLb.clN_peak_14997	chrX	52671	54939	+	376	NA	Intergenic	Intergenic	-68688	FBgn0058469	FBgn0058469	FBtr0307364						NA
ManzF6HSan_REP1.mLb.clN_peak_15972	chrX	5524138	5524819	+	374	NA	promoter-TSS (FBgn0086667)	-promoter-TSS (FBgn0086667)	-13	FBgn0086667	FBgn0086667	FBtr0091788						NA
ManzF6HSan_REP1.mLb.clN_peak_6455	chr2R	21871594	21872167	+	373	NA	promoter-TSS (FBgn0085397)	-promoter-TSS (FBgn0085397)	-150	FBgn0085397	FBgn0085397	FBtr0479817						NA
ManzF6HSan_REP1.mLb.clN_peak_18114	chrX	19886856	19887972	+	372	NA	promoter-TSS (FBgn0052529)	-promoter-TSS (FBgn0052529)	2646	FBgn0086782	FBgn0086782	FBtr0074802						NA
ManzF6HSan_REP1.mLb.clN_peak_4891	chr2R	13034907	13035780	+	368	NA	Intergenic	Intergenic	11913	FBgn0033788	FBgn0033788	FBtr0345360						NA
ManzF6HSan_REP1.mLb.clN_peak_2023	chr2L	16525881	16526666	+	367	NA	intron (FBgn0032587, intron 2 of 2)	-intron (FBgn0032587, intron 2 of 2)	2649	FBgn0086038	FBgn0086038	FBtr0114314						NA
ManzF6HSan_REP1.mLb.clN_peak_2732	chr2L	22024317	22024831	+	367	NA	exon (FBgn0028979, exon 3 of 3)	-exon (FBgn0028979, exon 3 of 3)	5366	FBgn0028979	FBgn0028979	FBtr0335391						NA
ManzF6HSan_REP1.mLb.clN_peak_6159	chr2R	19999775	20001152	+	367	NA	promoter-TSS (FBgn0050212)	-promoter-TSS (FBgn0050212)	-95	FBgn0050212	FBgn0050212	FBtr0086326						NA
ManzF6HSan_REP1.mLb.clN_peak_13803	chr3R	26041624	26043030	+	366	NA	promoter-TSS (FBgn0001139)	-promoter-TSS (FBgn0001139)	591	FBgn0001139	FBgn0001139	FBtr0339900						NA
ManzF6HSan_REP1.mLb.clN_peak_4888	chr2R	13014360	13016208	+	366	NA	Intergenic	Intergenic	18783	FBgn0265623	FBgn0265623	FBtr0330613						NA
ManzF6HSan_REP1.mLb.clN_peak_884	chr2L	6786609	6788060	+	365	NA	promoter-TSS (FBgn0015776)	-promoter-TSS (FBgn0015776)	-473	FBgn0015776	FBgn0015776	FBtr0332370						NA
ManzF6HSan_REP1.mLb.clN_peak_2459	chr2L	20416535	20417915	+	362	NA	promoter-TSS (FBgn0032858)	-promoter-TSS (FBgn0032858)	168	FBgn0032859	FBgn0032859	FBtr0346418						NA
ManzF6HSan_REP1.mLb.clN_peak_291	chr2L	2130097	2131239	+	362	NA	promoter-TSS (FBgn0004507)	-promoter-TSS (FBgn0004507)	-145	FBgn0004507	FBgn0004507	FBtr0077828						NA
ManzF6HSan_REP1.mLb.clN_peak_4513	chr2R	11288955	11290047	+	361	NA	TTS (FBgn0033610)	-TTS (FBgn0033610)	271	FBgn0033609	FBgn0033609	FBtr0088178						NA
ManzF6HSan_REP1.mLb.clN_peak_16097	chrX	6343812	6344799	+	359	NA	TTS (FBgn0029866)	-TTS (FBgn0029866)	-2798	FBgn0029867	FBgn0029867	FBtr0070905						NA
ManzF6HSan_REP1.mLb.clN_peak_18415	chrX	23221299	23223641	+	359	NA	Intergenic	Intergenic	8018	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF6HSan_REP1.mLb.clN_peak_15866	chrX	4684359	4684810	+	357	NA	intron (FBgn0022768, intron 1 of 2)	-intron (FBgn0022768, intron 1 of 2)	2319	FBgn0022768	FBgn0022768	FBtr0343531						NA
ManzF6HSan_REP1.mLb.clN_peak_3199	chr2R	5781898	5783179	+	356	NA	exon (FBgn0025693, exon 1 of 10)	-exon (FBgn0025693, exon 1 of 10)	320	FBgn0025693	FBgn0025693	FBtr0086056						NA
ManzF6HSan_REP1.mLb.clN_peak_13296	chr3R	22396452	22398014	+	355	NA	promoter-TSS (FBgn0051166)	-promoter-TSS (FBgn0051166)	28	FBgn0051167	FBgn0051167	FBtr0084232						NA
ManzF6HSan_REP1.mLb.clN_peak_6673	chr2R	23071803	23072893	+	352	NA	promoter-TSS (FBgn0050202)	-promoter-TSS (FBgn0050202)	-233	FBgn0050202	FBgn0050202	FBtr0071962						NA
ManzF6HSan_REP1.mLb.clN_peak_10827	chr3R	4951696	4952781	+	351	NA	intron (FBgn0004436, intron 1 of 2)	-intron (FBgn0004436, intron 1 of 2)	444	FBgn0004436	FBgn0004436	FBtr0306106						NA
ManzF6HSan_REP1.mLb.clN_peak_15189	chrX	935105	936041	+	350	NA	promoter-TSS (FBgn0040340)	-promoter-TSS (FBgn0040340)	147	FBgn0040340	FBgn0040340	FBtr0332589						NA
ManzF6HSan_REP1.mLb.clN_peak_8719	chr3L	11487284	11488066	+	350	NA	exon (FBgn0036165, exon 1 of 4)	-exon (FBgn0036165, exon 1 of 4)	-6196	FBgn0036165	FBgn0036165	FBtr0344910						NA
ManzF6HSan_REP1.mLb.clN_peak_7073	chr3L	39933	40779	+	347	NA	Intergenic	Intergenic	14395	FBgn0262679	FBgn0262679	FBtr0305596						NA
ManzF6HSan_REP1.mLb.clN_peak_2718	chr2L	21899039	21899800	+	347	NA	Intergenic	Intergenic	-1130	FBgn0032965	FBgn0032965	FBtr0085950						NA
ManzF6HSan_REP1.mLb.clN_peak_3321	chr2R	6219472	6221886	+	346	NA	promoter-TSS (FBgn0263144)	-promoter-TSS (FBgn0263144)	-361	FBgn0263144	FBgn0263144	FBtr0346718						NA
ManzF6HSan_REP1.mLb.clN_peak_6653	chr2R	22998029	22999282	+	345	NA	intron (FBgn0034808, intron 1 of 5)	-intron (FBgn0034808, intron 1 of 5)	229	FBgn0034808	FBgn0034808	FBtr0071988						NA
ManzF6HSan_REP1.mLb.clN_peak_18423	chrX	23274075	23274318	+	344	NA	Intergenic	Intergenic	-3038	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF6HSan_REP1.mLb.clN_peak_705	chr2L	5403494	5404194	+	343	NA	promoter-TSS (FBgn0016660)	-promoter-TSS (FBgn0016660)	-789	FBgn0016660	FBgn0016660	FBtr0343225						NA
ManzF6HSan_REP1.mLb.clN_peak_10978	chr3R	5547175	5547951	+	342	NA	TTS (FBgn0014342)	-TTS (FBgn0014342)	212	FBgn0037336	FBgn0037336	FBtr0078762						NA
ManzF6HSan_REP1.mLb.clN_peak_9636	chr3L	18185584	18186492	+	340	NA	promoter-TSS (FBgn0003997)	-promoter-TSS (FBgn0003997)	-397	FBgn0003997	FBgn0003997	FBtr0332862						NA
ManzF6HSan_REP1.mLb.clN_peak_17599	chrX	16723448	16723935	+	336	NA	intron (FBgn0052572, intron 2 of 3)	-intron (FBgn0052572, intron 2 of 3)	-2280	FBgn0085354	FBgn0085354	FBtr0339826						NA
ManzF6HSan_REP1.mLb.clN_peak_1587	chr2L	11970774	11971572	+	335	NA	promoter-TSS (FBgn0263019)	-promoter-TSS (FBgn0263019)	-79	FBgn0263019	FBgn0263019	FBtr0306899						NA
ManzF6HSan_REP1.mLb.clN_peak_12404	chr3R	15900934	15901732	+	334	NA	promoter-TSS (FBgn0027657)	-promoter-TSS (FBgn0027657)	3310	FBgn0027657	FBgn0027657	FBtr0344381						NA
ManzF6HSan_REP1.mLb.clN_peak_17167	chrX	13739317	13740400	+	333	NA	promoter-TSS (FBgn0030519)	-promoter-TSS (FBgn0030519)	76	FBgn0030519	FBgn0030519	FBtr0331719						NA
ManzF6HSan_REP1.mLb.clN_peak_15448	chrX	2123106	2124605	+	333	NA	promoter-TSS (FBgn0004860)	-promoter-TSS (FBgn0004860)	-569	FBgn0004860	FBgn0004860	FBtr0112843						NA
ManzF6HSan_REP1.mLb.clN_peak_485	chr2L	3580451	3581153	+	332	NA	promoter-TSS (FBgn0004892)	-promoter-TSS (FBgn0004892)	-33	FBgn0004892	FBgn0004892	FBtr0077558						NA
ManzF6HSan_REP1.mLb.clN_peak_1993	chr2L	16284335	16285124	+	331	NA	intron (FBgn0001994, intron 1 of 2)	-intron (FBgn0001994, intron 1 of 2)	3001	FBgn0001994	FBgn0001994	FBtr0343814						NA
ManzF6HSan_REP1.mLb.clN_peak_14348	chr3R	30449599	30450899	+	331	NA	exon (FBgn0028646, exon 1 of 10)	-exon (FBgn0028646, exon 1 of 10)	157	FBgn0028646	FBgn0028646	FBtr0306586						NA
ManzF6HSan_REP1.mLb.clN_peak_3293	chr2R	6120256	6121202	+	331	NA	intron (FBgn0000546, intron 4 of 7)	-intron (FBgn0000546, intron 3 of 6)	11112	FBgn0000546	FBgn0000546	FBtr0086008						NA
ManzF6HSan_REP1.mLb.clN_peak_1956	chr2L	15264080	15264986	+	331	NA	promoter-TSS (FBgn0045842)	-promoter-TSS (FBgn0045842)	159	FBgn0045842	FBgn0045842	FBtr0415452						NA
ManzF6HSan_REP1.mLb.clN_peak_1842	chr2L	14094672	14094889	+	330	NA	TTS (FBgn0028875)	-TTS (FBgn0028875)	-9310	FBgn0283651	FBgn0283651	FBtr0445730						NA
ManzF6HSan_REP1.mLb.clN_peak_8958	chr3L	13227551	13229046	+	330	NA	promoter-TSS (FBgn0023095)	-promoter-TSS (FBgn0023095)	-394	FBgn0023095	FBgn0023095	FBtr0346864						NA
ManzF6HSan_REP1.mLb.clN_peak_10189	chr3L	21879245	21880822	+	328	NA	intron (FBgn0262737, intron 1 of 10)	-intron (FBgn0262737, intron 1 of 8)	456	FBgn0262737	FBgn0262737	FBtr0346820						NA
ManzF6HSan_REP1.mLb.clN_peak_16252	chrX	7299720	7301337	+	326	NA	intron (FBgn0029941, intron 2 of 6)	-intron (FBgn0029941, intron 2 of 6)	-7411	FBgn0024250	FBgn0024250	FBtr0071048						NA
ManzF6HSan_REP1.mLb.clN_peak_12611	chr3R	17619534	17620328	+	326	NA	promoter-TSS (FBgn0011945)	-promoter-TSS (FBgn0011945)	-30	FBgn0011945	FBgn0011945	FBtr0083469						NA
