PeakID (cmd=annotatePeaks.pl AkaaF3Ctrl_REP3.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF3Ctrl_REP3.mLb.clN_peak_14028	chr3R	31712916	31714067	+	337	NA	promoter-TSS (FBgn0003870)	-promoter-TSS (FBgn0003870)	4216	FBgn0054046	FBgn0054046	FBtr0308935						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_15776	chrX	8650827	8651556	+	337	NA	promoter-TSS (FBgn0004102)	-promoter-TSS (FBgn0004102)	-510	FBgn0004102	FBgn0004102	FBtr0331738						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_7065	chr3L	1586386	1586946	+	333	NA	promoter-TSS (FBgn0035237)	-promoter-TSS (FBgn0035237)	-28	FBgn0035237	FBgn0035237	FBtr0347066						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_16894	chrX	16723450	16723913	+	330	NA	intron (FBgn0052572, intron 2 of 3)	-intron (FBgn0052572, intron 2 of 3)	-2270	FBgn0085354	FBgn0085354	FBtr0339826						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_6494	chr2R	23666787	23667413	+	329	NA	promoter-TSS (FBgn0266377)	-promoter-TSS (FBgn0266377)	1806	FBgn0266377	FBgn0266377	FBtr0344181						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_3519	chr2R	8326850	8327697	+	327	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-217	FBgn0261588	FBgn0261588	FBtr0339350						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_10140	chr3R	27431	27838	+	324	NA	Intergenic	Intergenic	-539442	FBgn0267431	FBgn0267431	FBtr0392909						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_11928	chr3R	16224226	16224990	+	324	NA	TTS (FBgn0267203)	-TTS (FBgn0267203)	1213	FBgn0267203	FBgn0267203	FBtr0346358						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_15725	chrX	8294033	8296004	+	323	NA	intron (FBgn0015519, intron 6 of 11)	-intron (FBgn0015519, intron 6 of 11)	-21212	FBgn0030029	FBgn0030029	FBtr0071178						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_14375	chr4	1278557	1279448	+	322	NA	Intergenic	Intergenic	48165	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_15357	chrX	5754935	5756423	+	321	NA	promoter-TSS (FBgn0029801)	-promoter-TSS (FBgn0029801)	105	FBgn0029801	FBgn0029801	FBtr0345789						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_9586	chr3L	20730202	20730665	+	320	NA	promoter-TSS (FBgn0037016)	-promoter-TSS (FBgn0037016)	-158	FBgn0037016	FBgn0037016	FBtr0078245						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_1688	chr2L	14094672	14094905	+	319	NA	TTS (FBgn0028875)	-TTS (FBgn0028875)	-9302	FBgn0283651	FBgn0283651	FBtr0445730						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_8596	chr3L	13113924	13114548	+	318	NA	promoter-TSS (FBgn0010452)	-promoter-TSS (FBgn0010452)	-35	FBgn0010452	FBgn0010452	FBtr0330075						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_4155	chr2R	11196926	11197567	+	318	NA	intron (FBgn0003396, intron 2 of 7)	-intron (FBgn0003396, intron 2 of 7)	21995	FBgn0033582	FBgn0033582	FBtr0339485						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_15579	chrX	7307421	7308247	+	318	NA	promoter-TSS (FBgn0024250)	-promoter-TSS (FBgn0024250)	-105	FBgn0024250	FBgn0024250	FBtr0071048						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17127	chrX	18404246	18405252	+	317	NA	promoter-TSS (FBgn0052549)	-promoter-TSS (FBgn0052549)	-4684	FBgn0085357	FBgn0085357	FBtr0112530						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_15530	chrX	6998399	6999021	+	316	NA	promoter-TSS (FBgn0027108)	-promoter-TSS (FBgn0027108)	38	FBgn0027108	FBgn0027108	FBtr0071006						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17674	chrX	22854955	22855528	+	316	NA	promoter-TSS (FBgn0000719)	-promoter-TSS (FBgn0000719)	-47	FBgn0000719	FBgn0000719	FBtr0333181						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_3953	chr2R	10302728	10303319	+	315	NA	promoter-TSS (FBgn0033504)	-promoter-TSS (FBgn0033504)	6771	FBgn0028426	FBgn0028426	FBtr0088360						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_10927	chr3R	8477540	8477891	+	314	NA	promoter-TSS (FBgn0266801)	-promoter-TSS (FBgn0266801)	-98	FBgn0266801	FBgn0266801	FBtr0346729						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_16764	chrX	15811694	15812518	+	312	NA	promoter-TSS (FBgn0003345)	-promoter-TSS (FBgn0003345)	-221	FBgn0003345	FBgn0003345	FBtr0479844						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_11043	chr3R	9226332	9227414	+	312	NA	promoter-TSS (FBgn0003165)	-promoter-TSS (FBgn0003165)	-1260	FBgn0266706	FBgn0266706	FBtr0345157						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_11998	chr3R	16763754	16764371	+	312	NA	intron (FBgn0020556, intron 1 of 2)	-intron (FBgn0020556, intron 1 of 2)	-12728	FBgn0063261	FBgn0063261	FBtr0083346						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17755	chrX	23405696	23407589	+	311	NA	Intergenic	Intergenic	114942	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_6352	chr2R	22998574	22999136	+	310	NA	promoter-TSS (FBgn0034808)	-promoter-TSS (FBgn0034808)	29	FBgn0034808	FBgn0034808	FBtr0071988						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17238	chrX	19153124	19154251	+	309	NA	promoter-TSS (FBgn0261461)	-promoter-TSS (FBgn0261461)	13395	FBgn0261461	FBgn0261461	FBtr0339261						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_1919	chr2L	16525901	16526505	+	309	NA	intron (FBgn0032587, intron 2 of 2)	-intron (FBgn0032587, intron 2 of 2)	2719	FBgn0086038	FBgn0086038	FBtr0114314						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_15332	chrX	5560472	5560928	+	308	NA	promoter-TSS (FBgn0263512)	-promoter-TSS (FBgn0263512)	-517	FBgn0263512	FBgn0263512	FBtr0343015						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_6786	chr2R	25268743	25269370	+	308	NA	Intergenic	Intergenic	17129	FBgn0050428	FBgn0050428	FBtr0343515						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_9293	chr3L	18765693	18766140	+	308	NA	promoter-TSS (FBgn0001078)	-promoter-TSS (FBgn0001078)	-172	FBgn0001078	FBgn0001078	FBtr0075086						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_431	chr2L	3580658	3581148	+	303	NA	promoter-TSS (FBgn0004892)	-promoter-TSS (FBgn0004892)	-134	FBgn0004892	FBgn0004892	FBtr0077558						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_10720	chr3R	7000603	7001248	+	301	NA	exon (FBgn0267559, exon 1 of 1)	-exon (FBgn0267559, exon 1 of 1)	433	FBgn0267559	FBgn0267559	FBtr0346969						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_8742	chr3L	14550705	14551491	+	300	NA	promoter-TSS (FBgn0036428)	-promoter-TSS (FBgn0036428)	-123	FBgn0036428	FBgn0036428	FBtr0333037						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_11223	chr3R	10535787	10536022	+	300	NA	intron (FBgn0001235, intron 8 of 13)	-intron (FBgn0001235, intron 8 of 13)	-45688	FBgn0267136	FBgn0267136	FBtr0346258						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_4027	chr2R	10583068	10583800	+	298	NA	promoter-TSS (FBgn0263102)	-promoter-TSS (FBgn0263102)	-252	FBgn0263102	FBgn0263102	FBtr0479799						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_12359	chr3R	19568818	19569238	+	297	NA	promoter-TSS (FBgn0260003)	-promoter-TSS (FBgn0260003)	-17168	FBgn0065080	FBgn0065080	FBtr0091611						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17361	chrX	19886889	19887946	+	296	NA	promoter-TSS (FBgn0052529)	-promoter-TSS (FBgn0052529)	2643	FBgn0086782	FBgn0086782	FBtr0074802						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_6294	chr2R	22678096	22678703	+	295	NA	Intergenic	Intergenic	-4704	FBgn0265982	FBgn0265982	FBtr0343004						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_1454	chr2L	11970808	11971423	+	294	NA	promoter-TSS (FBgn0263019)	-promoter-TSS (FBgn0263019)	-21	FBgn0263019	FBgn0263019	FBtr0306899						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_9141	chr3L	17590420	17591069	+	293	NA	intron (FBgn0000567, intron 5 of 7)	-intron (FBgn0000567, intron 5 of 7)	-24582	FBgn0086080	FBgn0086080	FBtr0114356						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_12134	chr3R	17943786	17944538	+	293	NA	promoter-TSS (FBgn0263995)	-promoter-TSS (FBgn0263995)	56	FBgn0263995	FBgn0263995	FBtr0330271						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_16512	chrX	13986412	13986849	+	290	NA	promoter-TSS (FBgn0267033)	-promoter-TSS (FBgn0267033)	2201	FBgn0267033	FBgn0267033	FBtr0346006						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17107	chrX	18282249	18282765	+	289	NA	intron (FBgn0053542, intron 3 of 3)	-intron (FBgn0053542, intron 3 of 3)	5274	FBgn0053542	FBgn0053542	FBtr0113465						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_12320	chr3R	19321733	19322315	+	285	NA	intron (FBgn0000463, intron 1 of 5)	-intron (FBgn0000463, intron 1 of 5)	4193	FBgn0000463	FBgn0000463	FBtr0304658						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_8759	chr3L	14706400	14706885	+	284	NA	promoter-TSS (FBgn0259175)	-promoter-TSS (FBgn0259175)	-109	FBgn0259175	FBgn0259175	FBtr0333043						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_7253	chr3L	2820975	2821384	+	284	NA	promoter-TSS (FBgn0263392)	-promoter-TSS (FBgn0263392)	38924	FBgn0035375	FBgn0035375	FBtr0333442						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_217	chr2L	1669717	1669985	+	284	NA	intron (FBgn0086758, intron 1 of 5)	-intron (FBgn0086758, intron 2 of 6)	18593	FBgn0086758	FBgn0086758	FBtr0303934						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_1725	chr2L	14409434	14409911	+	283	NA	promoter-TSS (FBgn0004858)	-promoter-TSS (FBgn0004858)	-83	FBgn0265946	FBgn0265946	FBtr0342910						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_635	chr2L	5403481	5404050	+	283	NA	promoter-TSS (FBgn0016660)	-promoter-TSS (FBgn0016660)	-868	FBgn0016660	FBgn0016660	FBtr0343225						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17758	chrX	23413215	23413631	+	282	NA	Intergenic	Intergenic	121723	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_9052	chr3L	16890855	16891278	+	282	NA	promoter-TSS (FBgn0261565)	-promoter-TSS (FBgn0261565)	3960	FBgn0261565	FBgn0261565	FBtr0479915						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_3055	chr2R	6171433	6171907	+	280	NA	promoter-TSS (FBgn0050316)	-promoter-TSS (FBgn0050316)	-17	FBgn0050316	FBgn0050316	FBtr0085986						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_12414	chr3R	19836597	19837097	+	279	NA	promoter-TSS (FBgn0014135)	-promoter-TSS (FBgn0014135)	-30	FBgn0014135	FBgn0014135	FBtr0344549						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_17333	chrX	19683003	19684015	+	278	NA	promoter-TSS (FBgn0031057)	-promoter-TSS (FBgn0031057)	9	FBgn0043903	FBgn0043903	FBtr0074756						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_14791	chrX	2049114	2050607	+	278	NA	exon (FBgn0025631, exon 1 of 5)	-exon (FBgn0025631, exon 1 of 5)	-1465	FBgn0025631	FBgn0025631	FBtr0303045						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_899	chr2L	7418229	7418670	+	278	NA	TTS (FBgn0028387)	-TTS (FBgn0028387)	-5371	FBgn0264439	FBgn0264439	FBtr0332525						NA
AkaaF3Ctrl_REP3.mLb.clN_peak_11621	chr3R	13874926	13875389	+	277	NA	promoter-TSS (FBgn0008646)	-promoter-TSS (FBgn0008646)	-241	FBgn0008646	FBgn0008646	FBtr0082880						NA
