PeakID (cmd=annotatePeaks.pl AkaaF3Heat_REP3.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF3Heat_REP3.mLb.clN_peak_13999	chrX	23432803	23433720	+	675	NA	Intergenic	Intergenic	141561	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP3.mLb.clN_peak_13960	chrX	23215745	23217169	+	625	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2005	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF3Heat_REP3.mLb.clN_peak_13970	chrX	23270867	23271469	+	607	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	-10	FBgn0267520	FBgn0267520	FBtr0346903						NA
AkaaF3Heat_REP3.mLb.clN_peak_13957	chrX	23205274	23206523	+	462	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	76	FBgn0267515	FBgn0267515	FBtr0346891						NA
AkaaF3Heat_REP3.mLb.clN_peak_13811	chrX	22383020	22383852	+	431	NA	Intergenic	Intergenic	-60791	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF3Heat_REP3.mLb.clN_peak_14008	chrX	23537606	23538149	+	417	NA	Intergenic	Intergenic	246177	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP3.mLb.clN_peak_6112	chr3L	8725138	8725729	+	369	NA	TTS (FBgn0264696)	-TTS (FBgn0264696)	341	FBgn0264696	FBgn0264696	FBtr0333890						NA
AkaaF3Heat_REP3.mLb.clN_peak_8069	chr3R	4852380	4852783	+	357	NA	promoter-TSS (FBgn0003002)	-promoter-TSS (FBgn0003002)	-232	FBgn0003002	FBgn0003002	FBtr0479794						NA
AkaaF3Heat_REP3.mLb.clN_peak_13808	chrX	22354410	22354668	+	355	NA	Intergenic	Intergenic	-89688	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF3Heat_REP3.mLb.clN_peak_7869	chr3L	24629520	24629723	+	351	NA	Intergenic	Intergenic	76511	FBgn0085810	FBgn0085810	FBtr0114264						NA
AkaaF3Heat_REP3.mLb.clN_peak_13972	chrX	23278010	23280458	+	345	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	776	FBgn0267522	FBgn0267522	FBtr0346902						NA
AkaaF3Heat_REP3.mLb.clN_peak_2379	chr2R	870288	870589	+	333	NA	Intergenic	Intergenic	15624	FBgn0284080	FBgn0284080	FBtr0452096						NA
AkaaF3Heat_REP3.mLb.clN_peak_13903	chrX	22855031	22855532	+	321	NA	promoter-TSS (FBgn0000719)	-promoter-TSS (FBgn0000719)	-87	FBgn0000719	FBgn0000719	FBtr0333181						NA
AkaaF3Heat_REP3.mLb.clN_peak_14000	chrX	23438849	23442052	+	321	NA	Intergenic	Intergenic	148750	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP3.mLb.clN_peak_13975	chrX	23291024	23291999	+	309	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-38	FBgn0267523	FBgn0267523	FBtr0346897						NA
AkaaF3Heat_REP3.mLb.clN_peak_12681	chrX	12437312	12437919	+	307	NA	intron (FBgn0287828, intron 7 of 15)	-intron (FBgn0287828, intron 7 of 15)	-3869	FBgn0287828	FBgn0287828	FBtr0340086						NA
AkaaF3Heat_REP3.mLb.clN_peak_1319	chr2L	13060107	13060598	+	306	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-212	FBgn0262160	FBgn0262160	FBtr0336617						NA
AkaaF3Heat_REP3.mLb.clN_peak_13964	chrX	23228427	23228782	+	299	NA	Intergenic	Intergenic	-11114	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF3Heat_REP3.mLb.clN_peak_7931	chr3R	27430	27838	+	283	NA	Intergenic	Intergenic	-539442	FBgn0267431	FBgn0267431	FBtr0392909						NA
AkaaF3Heat_REP3.mLb.clN_peak_1595	chr2L	15333511	15333903	+	279	NA	promoter-TSS (FBgn0287768)	-promoter-TSS (FBgn0287768)	-159	FBgn0287768	FBgn0287768	FBtr0080734						NA
AkaaF3Heat_REP3.mLb.clN_peak_13992	chrX	23406975	23407587	+	279	NA	Intergenic	Intergenic	115581	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP3.mLb.clN_peak_6556	chr3L	12609334	12609612	+	278	NA	promoter-TSS (FBgn0015919)	-promoter-TSS (FBgn0015919)	-158	FBgn0015919	FBgn0015919	FBtr0075909						NA
AkaaF3Heat_REP3.mLb.clN_peak_9412	chr3R	16763808	16764358	+	273	NA	intron (FBgn0020556, intron 1 of 2)	-intron (FBgn0020556, intron 1 of 2)	-12749	FBgn0063261	FBgn0063261	FBtr0083346						NA
AkaaF3Heat_REP3.mLb.clN_peak_12297	chrX	8650830	8651593	+	263	NA	promoter-TSS (FBgn0004102)	-promoter-TSS (FBgn0004102)	-530	FBgn0004102	FBgn0004102	FBtr0331738						NA
AkaaF3Heat_REP3.mLb.clN_peak_12372	chrX	9515550	9515751	+	262	NA	intron (FBgn0267253, intron 1 of 2)	-intron (FBgn0267253, intron 1 of 2)	4126	FBgn0054028	FBgn0054028	FBtr0100083						NA
AkaaF3Heat_REP3.mLb.clN_peak_13739	chrX	21281012	21281857	+	256	NA	promoter-TSS (FBgn0052521)	-promoter-TSS (FBgn0052521)	-281	FBgn0052521	FBgn0052521	FBtr0310654						NA
AkaaF3Heat_REP3.mLb.clN_peak_7909	chr3L	27126185	27127487	+	255	NA	Intergenic	Intergenic	-8348	FBgn0267985	FBgn0267985	FBtr0347582						NA
AkaaF3Heat_REP3.mLb.clN_peak_12307	chrX	8805818	8806118	+	255	NA	promoter-TSS (FBgn0026411)	-promoter-TSS (FBgn0026411)	-20615	FBgn0026411	FBgn0026411	FBtr0071279						NA
AkaaF3Heat_REP3.mLb.clN_peak_9739	chr3R	19836780	19837088	+	251	NA	promoter-TSS (FBgn0014135)	-promoter-TSS (FBgn0014135)	-117	FBgn0014135	FBgn0014135	FBtr0344549						NA
AkaaF3Heat_REP3.mLb.clN_peak_8436	chr3R	7474551	7475134	+	248	NA	exon (FBgn0065099, exon 1 of 1)	-exon (FBgn0065099, exon 1 of 1)	154	FBgn0065099	FBgn0065099	FBtr0091929						NA
AkaaF3Heat_REP3.mLb.clN_peak_13804	chrX	21939536	21939679	+	243	NA	Intergenic	Intergenic	-203451	FBgn0085521	FBgn0085521	FBtr0346695						NA
AkaaF3Heat_REP3.mLb.clN_peak_13273	chrX	17768149	17768497	+	237	NA	promoter-TSS (FBgn0024184)	-promoter-TSS (FBgn0024184)	-246	FBgn0024184	FBgn0024184	FBtr0340627						NA
AkaaF3Heat_REP3.mLb.clN_peak_9409	chr3R	16702815	16703224	+	234	NA	intron (FBgn0003944, intron 1 of 1)	-intron (FBgn0003944, intron 3 of 3)	31407	FBgn0003944	FBgn0003944	FBtr0083352						NA
AkaaF3Heat_REP3.mLb.clN_peak_7871	chr3L	24723745	24724231	+	230	NA	promoter-TSS (FBgn0287186)	-promoter-TSS (FBgn0287186)	-174	FBgn0287186	FBgn0287186	FBtr0339923						NA
AkaaF3Heat_REP3.mLb.clN_peak_2320	chr2L	22024327	22024826	+	222	NA	exon (FBgn0028979, exon 3 of 3)	-exon (FBgn0028979, exon 3 of 3)	5368	FBgn0053987	FBgn0053987	FBtr0100032						NA
AkaaF3Heat_REP3.mLb.clN_peak_620	chr2L	5828920	5829254	+	221	NA	intron (FBgn0085410, intron 1 of 8)	-intron (FBgn0085410, intron 1 of 9)	5083	FBgn0085410	FBgn0085410	FBtr0342612						NA
AkaaF3Heat_REP3.mLb.clN_peak_7880	chr3L	25133929	25134195	+	220	NA	Intergenic	Intergenic	13313	FBgn0260008	FBgn0260008	FBtr0343636						NA
AkaaF3Heat_REP3.mLb.clN_peak_2096	chr2L	20148429	20148665	+	218	NA	Intergenic	Intergenic	-13624	FBgn0032853	FBgn0032853	FBtr0345683						NA
AkaaF3Heat_REP3.mLb.clN_peak_2518	chr2R	5726848	5727167	+	218	NA	promoter-TSS (FBgn0267978)	-promoter-TSS (FBgn0267978)	518	FBgn0267978	FBgn0267978	FBtr0335274						NA
AkaaF3Heat_REP3.mLb.clN_peak_8068	chr3R	4835376	4835576	+	215	NA	Intergenic	Intergenic	-4179	FBgn0037284	FBgn0037284	FBtr0078873						NA
AkaaF3Heat_REP3.mLb.clN_peak_10930	chr3R	30912348	30912714	+	213	NA	promoter-TSS (FBgn0020912)	-promoter-TSS (FBgn0020912)	-223	FBgn0020912	FBgn0020912	FBtr0330094						NA
AkaaF3Heat_REP3.mLb.clN_peak_2910	chr2R	8326860	8327566	+	209	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-277	FBgn0261588	FBgn0261588	FBtr0339350						NA
AkaaF3Heat_REP3.mLb.clN_peak_4541	chr2R	20903539	20903826	+	209	NA	promoter-TSS (FBgn0015524)	-promoter-TSS (FBgn0015524)	-268	FBgn0015524	FBgn0015524	FBtr0474157						NA
AkaaF3Heat_REP3.mLb.clN_peak_14005	chrX	23525828	23526697	+	207	NA	Intergenic	Intergenic	234562	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP3.mLb.clN_peak_6769	chr3L	14550884	14551484	+	202	NA	promoter-TSS (FBgn0036428)	-promoter-TSS (FBgn0036428)	-209	FBgn0036428	FBgn0036428	FBtr0333037						NA
AkaaF3Heat_REP3.mLb.clN_peak_2655	chr2R	6480510	6481768	+	201	NA	Intergenic	Intergenic	20633	FBgn0267744	FBgn0267744	FBtr0347304						NA
AkaaF3Heat_REP3.mLb.clN_peak_9113	chr3R	13901545	13901832	+	201	NA	promoter-TSS (FBgn0000576)	-promoter-TSS (FBgn0000576)	-165	FBgn0000576	FBgn0000576	FBtr0082863						NA
AkaaF3Heat_REP3.mLb.clN_peak_13971	chrX	23273938	23274339	+	198	NA	Intergenic	Intergenic	-2980	FBgn0267520	FBgn0267520	FBtr0346903						NA
AkaaF3Heat_REP3.mLb.clN_peak_8980	chr3R	12467800	12468216	+	193	NA	promoter-TSS (FBgn0013277)	-promoter-TSS (FBgn0013277)	-232	FBgn0013277	FBgn0013277	FBtr0082679						NA
AkaaF3Heat_REP3.mLb.clN_peak_13958	chrX	23210970	23211171	+	190	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-122	FBgn0085813	FBgn0085813	FBtr0346892						NA
AkaaF3Heat_REP3.mLb.clN_peak_11843	chrX	4426727	4427159	+	189	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13481	FBgn0000179	FBgn0000179	FBtr0331162						NA
AkaaF3Heat_REP3.mLb.clN_peak_13973	chrX	23281156	23281357	+	188	NA	promoter-TSS (FBgn0250731)	-promoter-TSS (FBgn0250731)	-979	FBgn0250731	FBgn0250731	FBtr0346901						NA
AkaaF3Heat_REP3.mLb.clN_peak_8371	chr3R	7000675	7001140	+	183	NA	exon (FBgn0267559, exon 1 of 1)	-exon (FBgn0267559, exon 1 of 1)	415	FBgn0267559	FBgn0267559	FBtr0346969						NA
AkaaF3Heat_REP3.mLb.clN_peak_2901	chr2R	8237191	8237982	+	182	NA	promoter-TSS (FBgn0013726)	-promoter-TSS (FBgn0013726)	-267	FBgn0013726	FBgn0013726	FBtr0088793						NA
AkaaF3Heat_REP3.mLb.clN_peak_2319	chr2L	22018878	22019353	+	182	NA	promoter-TSS (FBgn0028979)	-promoter-TSS (FBgn0028979)	-93	FBgn0028979	FBgn0028979	FBtr0335391						NA
AkaaF3Heat_REP3.mLb.clN_peak_12305	chrX	8757867	8758090	+	181	NA	exon (FBgn0026411, exon 7 of 7)	-exon (FBgn0026411, exon 7 of 7)	27375	FBgn0026411	FBgn0026411	FBtr0071279						NA
AkaaF3Heat_REP3.mLb.clN_peak_12392	chrX	9693802	9694165	+	178	NA	promoter-TSS (FBgn0000233)	-promoter-TSS (FBgn0000233)	-203	FBgn0000233	FBgn0000233	FBtr0071379						NA
AkaaF3Heat_REP3.mLb.clN_peak_13987	chrX	23390046	23390975	+	176	NA	Intergenic	Intergenic	98810	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP3.mLb.clN_peak_12296	chrX	8624869	8625180	+	173	NA	Intergenic	Intergenic	-18720	FBgn0030054	FBgn0030054	FBtr0071228						NA
AkaaF3Heat_REP3.mLb.clN_peak_8526	chr3R	8181469	8181927	+	173	NA	promoter-TSS (FBgn0001138)	-promoter-TSS (FBgn0001138)	-254	FBgn0001138	FBgn0001138	FBtr0330188						NA
AkaaF3Heat_REP3.mLb.clN_peak_3344	chr2R	11475410	11475745	+	173	NA	promoter-TSS (FBgn0001269)	-promoter-TSS (FBgn0001269)	-131	FBgn0001269	FBgn0001269	FBtr0345673						NA
AkaaF3Heat_REP3.mLb.clN_peak_9112	chr3R	13877174	13877426	+	172	NA	Intergenic	Intergenic	-2384	FBgn0008646	FBgn0008646	FBtr0082880						NA
AkaaF3Heat_REP3.mLb.clN_peak_6607	chr3L	13113895	13114445	+	171	NA	promoter-TSS (FBgn0010452)	-promoter-TSS (FBgn0010452)	-101	FBgn0010452	FBgn0010452	FBtr0330075						NA
AkaaF3Heat_REP3.mLb.clN_peak_201	chr2L	1737028	1737589	+	170	NA	promoter-TSS (FBgn0264494)	-promoter-TSS (FBgn0264494)	-159	FBgn0264494	FBgn0264494	FBtr0077886						NA
AkaaF3Heat_REP3.mLb.clN_peak_6733	chr3L	14274069	14274458	+	169	NA	promoter-TSS (FBgn0001085)	-promoter-TSS (FBgn0001085)	-80	FBgn0001085	FBgn0001085	FBtr0330102						NA
AkaaF3Heat_REP3.mLb.clN_peak_4442	chr2R	20111061	20111594	+	168	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-184	FBgn0287775	FBgn0287775	FBtr0086309						NA
AkaaF3Heat_REP3.mLb.clN_peak_9111	chr3R	13875101	13875389	+	168	NA	promoter-TSS (FBgn0008646)	-promoter-TSS (FBgn0008646)	-329	FBgn0008646	FBgn0008646	FBtr0082880						NA
AkaaF3Heat_REP3.mLb.clN_peak_4816	chr2R	22998597	22999099	+	168	NA	promoter-TSS (FBgn0034808)	-promoter-TSS (FBgn0034808)	36	FBgn0034808	FBgn0034808	FBtr0071988						NA
AkaaF3Heat_REP3.mLb.clN_peak_467	chr2L	4371748	4372088	+	168	NA	promoter-TSS (FBgn0026319)	-promoter-TSS (FBgn0026319)	-615	FBgn0266903	FBgn0266903	FBtr0445833						NA
AkaaF3Heat_REP3.mLb.clN_peak_7468	chr3L	20621578	20622092	+	168	NA	Intergenic	Intergenic	-1176	FBgn0001323	FBgn0001323	FBtr0346815						NA
AkaaF3Heat_REP3.mLb.clN_peak_11246	chr4	1288242	1289090	+	165	NA	Intergenic	Intergenic	57829	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF3Heat_REP3.mLb.clN_peak_6756	chr3L	14427222	14427657	+	164	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2938	FBgn0267695	FBgn0267695	FBtr0347205						NA
AkaaF3Heat_REP3.mLb.clN_peak_8953	chr3R	12280762	12281098	+	163	NA	promoter-TSS (FBgn0003651)	-promoter-TSS (FBgn0003651)	-222	FBgn0003651	FBgn0003651	FBtr0479795						NA
AkaaF3Heat_REP3.mLb.clN_peak_9323	chr3R	15901309	15901555	+	160	NA	promoter-TSS (FBgn0027657)	-promoter-TSS (FBgn0027657)	3211	FBgn0027657	FBgn0027657	FBtr0344381						NA
AkaaF3Heat_REP3.mLb.clN_peak_7737	chr3L	22460687	22461400	+	156	NA	promoter-TSS (FBgn0037163)	-promoter-TSS (FBgn0037163)	88	FBgn0037163	FBgn0037163	FBtr0078508						NA
AkaaF3Heat_REP3.mLb.clN_peak_578	chr2L	5403499	5403963	+	155	NA	promoter-TSS (FBgn0016660)	-promoter-TSS (FBgn0016660)	-902	FBgn0016660	FBgn0016660	FBtr0343225						NA
AkaaF3Heat_REP3.mLb.clN_peak_13329	chrX	18282209	18282744	+	154	NA	intron (FBgn0053542, intron 3 of 3)	-intron (FBgn0053542, intron 3 of 3)	5243	FBgn0053542	FBgn0053542	FBtr0113465						NA
AkaaF3Heat_REP3.mLb.clN_peak_2158	chr2L	20715982	20716484	+	154	NA	Intergenic	Intergenic	-1645	FBgn0014859	FBgn0014859	FBtr0301347						NA
AkaaF3Heat_REP3.mLb.clN_peak_1489	chr2L	14490169	14490971	+	153	NA	promoter-TSS (FBgn0005771)	-promoter-TSS (FBgn0005771)	-289	FBgn0005771	FBgn0005771	FBtr0080643						NA
AkaaF3Heat_REP3.mLb.clN_peak_7906	chr3L	27076431	27077179	+	153	NA	Intergenic	Intergenic	7101	FBgn0063670	FBgn0063670	FBtr0333872						NA
AkaaF3Heat_REP3.mLb.clN_peak_8830	chr3R	11156763	11157351	+	153	NA	promoter-TSS (FBgn0040259)	-promoter-TSS (FBgn0040259)	-41	FBgn0040259	FBgn0040259	FBtr0082338						NA
AkaaF3Heat_REP3.mLb.clN_peak_9733	chr3R	19802558	19802772	+	152	NA	promoter-TSS (FBgn0051471)	-promoter-TSS (FBgn0051471)	-25	FBgn0051471	FBgn0051471	FBtr0083794						NA
AkaaF3Heat_REP3.mLb.clN_peak_3187	chr2R	10302721	10303313	+	151	NA	promoter-TSS (FBgn0033504)	-promoter-TSS (FBgn0033504)	6777	FBgn0028426	FBgn0028426	FBtr0088360						NA
AkaaF3Heat_REP3.mLb.clN_peak_13994	chrX	23412301	23413734	+	151	NA	Intergenic	Intergenic	121317	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP3.mLb.clN_peak_2299	chr2L	21899066	21899740	+	150	NA	Intergenic	Intergenic	-1114	FBgn0032965	FBgn0032965	FBtr0085950						NA
AkaaF3Heat_REP3.mLb.clN_peak_13111	chrX	16216803	16217748	+	150	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-529	FBgn0000459	FBgn0000459	FBtr0074250						NA
AkaaF3Heat_REP3.mLb.clN_peak_3543	chr2R	13015581	13016050	+	150	NA	Intergenic	Intergenic	19314	FBgn0265623	FBgn0265623	FBtr0330613						NA
AkaaF3Heat_REP3.mLb.clN_peak_13472	chrX	19360861	19361619	+	149	NA	intron (FBgn0031016, intron 1 of 4)	-intron (FBgn0031016, intron 1 of 5)	8059	FBgn0031016	FBgn0031016	FBtr0309224						NA
AkaaF3Heat_REP3.mLb.clN_peak_13333	chrX	18312560	18313035	+	148	NA	promoter-TSS (FBgn0267169)	-promoter-TSS (FBgn0267169)	-871	FBgn0267169	FBgn0267169	FBtr0346289						NA
AkaaF3Heat_REP3.mLb.clN_peak_4242	chr2R	18652794	18653140	+	148	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-191	FBgn0034371	FBgn0034371	FBtr0086657						NA
AkaaF3Heat_REP3.mLb.clN_peak_6622	chr3L	13228418	13228955	+	148	NA	promoter-TSS (FBgn0023095)	-promoter-TSS (FBgn0023095)	-6	FBgn0023095	FBgn0023095	FBtr0346864						NA
AkaaF3Heat_REP3.mLb.clN_peak_13346	chrX	18404317	18404951	+	147	NA	promoter-TSS (FBgn0052549)	-promoter-TSS (FBgn0052549)	-4569	FBgn0085357	FBgn0085357	FBtr0112530						NA
AkaaF3Heat_REP3.mLb.clN_peak_10867	chr3R	30450059	30450624	+	147	NA	promoter-TSS (FBgn0028646)	-promoter-TSS (FBgn0028646)	65	FBgn0028646	FBgn0028646	FBtr0306586						NA
AkaaF3Heat_REP3.mLb.clN_peak_8564	chr3R	8477472	8477908	+	146	NA	promoter-TSS (FBgn0266801)	-promoter-TSS (FBgn0266801)	-73	FBgn0266801	FBgn0266801	FBtr0346729						NA
AkaaF3Heat_REP3.mLb.clN_peak_7986	chr3R	4307661	4308153	+	146	NA	promoter-TSS (FBgn0027930)	-promoter-TSS (FBgn0027930)	-1	FBgn0027930	FBgn0027930	FBtr0445313						NA
AkaaF3Heat_REP3.mLb.clN_peak_7728	chr3L	22407718	22408471	+	146	NA	promoter-TSS (FBgn0004449)	-promoter-TSS (FBgn0004449)	-231	FBgn0004449	FBgn0004449	FBtr0330159						NA
AkaaF3Heat_REP3.mLb.clN_peak_11986	chrX	5593923	5594290	+	145	NA	promoter-TSS (FBgn0263511)	-promoter-TSS (FBgn0263511)	-149	FBgn0263511	FBgn0263511	FBtr0340495						NA
AkaaF3Heat_REP3.mLb.clN_peak_5534	chr3L	3626001	3626378	+	145	NA	promoter-TSS (FBgn0263239)	-promoter-TSS (FBgn0263239)	-163	FBgn0263239	FBgn0263239	FBtr0113134						NA
AkaaF3Heat_REP3.mLb.clN_peak_2657	chr2R	6494383	6494542	+	144	NA	Intergenic	Intergenic	7310	FBgn0267744	FBgn0267744	FBtr0347304						NA
AkaaF3Heat_REP3.mLb.clN_peak_6664	chr3L	13666789	13667707	+	143	NA	promoter-TSS (FBgn0264001)	-promoter-TSS (FBgn0264001)	68018	FBgn0266595	FBgn0266595	FBtr0344818						NA
AkaaF3Heat_REP3.mLb.clN_peak_9361	chr3R	16242347	16242868	+	143	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-209	FBgn0040071	FBgn0040071	FBtr0083258						NA
AkaaF3Heat_REP3.mLb.clN_peak_11026	chr3R	31688975	31689744	+	142	NA	promoter-TSS (FBgn0267124)	-promoter-TSS (FBgn0267124)	519	FBgn0267125	FBgn0267125	FBtr0346220						NA
AkaaF3Heat_REP3.mLb.clN_peak_190	chr2L	1644442	1644704	+	142	NA	Intergenic	Intergenic	2590	FBgn0267259	FBgn0267259	FBtr0346473						NA
AkaaF3Heat_REP3.mLb.clN_peak_13838	chrX	22539857	22540478	+	139	NA	promoter-TSS (FBgn0031195)	-promoter-TSS (FBgn0031195)	216	FBgn0031194	FBgn0031194	FBtr0333716						NA
AkaaF3Heat_REP3.mLb.clN_peak_4903	chr2R	23666765	23667257	+	138	NA	promoter-TSS (FBgn0266377)	-promoter-TSS (FBgn0266377)	1717	FBgn0266377	FBgn0266377	FBtr0344181						NA
AkaaF3Heat_REP3.mLb.clN_peak_169	chr2L	1420345	1420752	+	137	NA	promoter-TSS (FBgn0002543)	-promoter-TSS (FBgn0002543)	-95	FBgn0002543	FBgn0002543	FBtr0329985						NA
AkaaF3Heat_REP3.mLb.clN_peak_13806	chrX	22258284	22260075	+	137	NA	Intergenic	Intergenic	7597	FBgn0085693	FBgn0085693	FBtr0114142						NA
AkaaF3Heat_REP3.mLb.clN_peak_8387	chr3R	7123777	7124060	+	137	NA	promoter-TSS (FBgn0037472)	-promoter-TSS (FBgn0037472)	267	FBgn0261238	FBgn0261238	FBtr0334677						NA
AkaaF3Heat_REP3.mLb.clN_peak_2210	chr2L	21042027	21042683	+	137	NA	intron (FBgn0250867, intron 2 of 5)	-intron (FBgn0250867, intron 1 of 1)	7580	FBgn0286733	FBgn0286733	FBtr0474087						NA
AkaaF3Heat_REP3.mLb.clN_peak_973	chr2L	9176083	9176849	+	136	NA	intron (FBgn0041092, intron 1 of 13)	-intron (FBgn0041092, intron 1 of 14)	9688	FBgn0041092	FBgn0041092	FBtr0304974						NA
AkaaF3Heat_REP3.mLb.clN_peak_12662	chrX	12203482	12203957	+	136	NA	promoter-TSS (FBgn0267001)	-promoter-TSS (FBgn0267001)	-25093	FBgn0030377	FBgn0030377	FBtr0073634						NA
AkaaF3Heat_REP3.mLb.clN_peak_778	chr2L	7306862	7307608	+	136	NA	promoter-TSS (FBgn0284084)	-promoter-TSS (FBgn0284084)	76	FBgn0284084	FBgn0284084	FBtr0079432						NA
AkaaF3Heat_REP3.mLb.clN_peak_13952	chrX	23096245	23096800	+	134	NA	promoter-TSS (FBgn0003559)	-promoter-TSS (FBgn0003559)	-249	FBgn0003559	FBgn0003559	FBtr0306544						NA
AkaaF3Heat_REP3.mLb.clN_peak_1529	chr2L	14745925	14746619	+	134	NA	promoter-TSS (FBgn0286892)	-promoter-TSS (FBgn0286892)	-96	FBgn0286892	FBgn0286892	FBtr0475069						NA
AkaaF3Heat_REP3.mLb.clN_peak_1555	chr2L	15057024	15057355	+	134	NA	intron (FBgn0000317, intron 1 of 11)	-intron (FBgn0000317, intron 1 of 11)	673	FBgn0000317	FBgn0000317	FBtr0343686						NA
AkaaF3Heat_REP3.mLb.clN_peak_8776	chr3R	10614240	10614706	+	133	NA	promoter-TSS (FBgn0001235)	-promoter-TSS (FBgn0001235)	-197	FBgn0001235	FBgn0001235	FBtr0100454						NA
AkaaF3Heat_REP3.mLb.clN_peak_5411	chr3L	2489983	2490254	+	133	NA	promoter-TSS (FBgn0035346)	-promoter-TSS (FBgn0035346)	-482	FBgn0035346	FBgn0035346	FBtr0344219						NA
