PeakID (cmd=annotatePeaks.pl AkaaF6Ctrl_REP1.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF6Ctrl_REP1.mLb.clN_peak_15783	chrX	23210953	23211272	+	404	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-80	FBgn0085813	FBgn0085813	FBtr0346892						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_4981	chr2R	18652699	18653233	+	399	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-190	FBgn0034371	FBgn0034371	FBtr0086657						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_2501	chr2R	3140710	3141063	+	380	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74387	FBgn0260995	FBgn0260995	FBtr0334939						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_1649	chr2L	14490166	14491128	+	379	NA	promoter-TSS (FBgn0005771)	-promoter-TSS (FBgn0005771)	-212	FBgn0005771	FBgn0005771	FBtr0080643						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15785	chrX	23214309	23214993	+	373	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	199	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_4058	chr2R	12996231	12997653	+	371	NA	promoter-TSS (FBgn0265623)	-promoter-TSS (FBgn0265623)	441	FBgn0265623	FBgn0265623	FBtr0330613						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_5985	chr2R	25267998	25269517	+	371	NA	Intergenic	Intergenic	16830	FBgn0050428	FBgn0050428	FBtr0343515						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_12678	chr4	1318290	1319797	+	370	NA	Intergenic	Intergenic	88206	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_6260	chr3L	1586427	1587386	+	370	NA	exon (FBgn0035237, exon 1 of 5)	-exon (FBgn0035237, exon 1 of 5)	212	FBgn0035237	FBgn0035237	FBtr0347066						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_4063	chr2R	13034979	13035838	+	368	NA	Intergenic	Intergenic	11848	FBgn0033788	FBgn0033788	FBtr0345360						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_8813	chr3L	24737945	24739135	+	367	NA	intron (FBgn0287186, intron 3 of 5)	-intron (FBgn0287186, intron 4 of 6)	14378	FBgn0287186	FBgn0287186	FBtr0339923						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_5764	chr2R	23839798	23840373	+	358	NA	promoter-TSS (FBgn0086659)	-promoter-TSS (FBgn0086659)	-21	FBgn0086659	FBgn0086659	FBtr0091917						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_2810	chr2R	6480487	6482881	+	356	NA	Intergenic	Intergenic	20088	FBgn0267744	FBgn0267744	FBtr0347304						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_7685	chr3L	14673412	14675238	+	355	NA	promoter-TSS (FBgn0011928)	-promoter-TSS (FBgn0011928)	-19	FBgn0011928	FBgn0011928	FBtr0075681						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_13419	chrX	4426700	4427162	+	346	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13469	FBgn0000179	FBgn0000179	FBtr0331162						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_4062	chr2R	13014368	13016164	+	344	NA	Intergenic	Intergenic	18765	FBgn0265623	FBgn0265623	FBtr0330613						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15808	chrX	23407044	23407578	+	342	NA	Intergenic	Intergenic	115611	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_1190	chr2L	9782019	9782977	+	341	NA	exon (FBgn0032147, exon 1 of 4)	-exon (FBgn0032147, exon 1 of 4)	-3748	FBgn0032147	FBgn0032147	FBtr0307204						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_1407	chr2L	11970761	11971438	+	339	NA	promoter-TSS (FBgn0263019)	-promoter-TSS (FBgn0263019)	-5	FBgn0263019	FBgn0263019	FBtr0306899						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_10191	chr3R	13983241	13984136	+	336	NA	promoter-TSS (FBgn0264493)	-promoter-TSS (FBgn0264493)	-11888	FBgn0264493	FBgn0264493	FBtr0301633						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_277	chr2L	2130048	2131129	+	334	NA	promoter-TSS (FBgn0004507)	-promoter-TSS (FBgn0004507)	-225	FBgn0004507	FBgn0004507	FBtr0077828						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_3805	chr2R	11603088	11603744	+	334	NA	intron (FBgn0033636, intron 1 of 15)	-intron (FBgn0033636, intron 1 of 16)	1520	FBgn0033636	FBgn0033636	FBtr0113066						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_7545	chr3L	13227677	13229046	+	329	NA	promoter-TSS (FBgn0023095)	-promoter-TSS (FBgn0023095)	-331	FBgn0023095	FBgn0023095	FBtr0346864						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_5644	chr2R	23071787	23072727	+	329	NA	promoter-TSS (FBgn0050202)	-promoter-TSS (FBgn0050202)	-157	FBgn0050201	FBgn0050201	FBtr0071983						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_7654	chr3L	14427019	14427788	+	328	NA	promoter-TSS (FBgn0087007)	-promoter-TSS (FBgn0087007)	2902	FBgn0267695	FBgn0267695	FBtr0347205						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_3177	chr2R	8326435	8327703	+	326	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-421	FBgn0261588	FBgn0261588	FBtr0339350						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_707	chr2L	5907014	5907933	+	325	NA	intron (FBgn0043362, intron 1 of 17)	-intron (FBgn0043362, intron 1 of 17)	304	FBgn0043362	FBgn0043362	FBtr0079144						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_1788	chr2L	16601477	16602009	+	324	NA	promoter-TSS (FBgn0259735)	-promoter-TSS (FBgn0259735)	-84	FBgn0259735	FBgn0259735	FBtr0335497						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_2770	chr2R	6171294	6171965	+	322	NA	promoter-TSS (FBgn0050316)	-promoter-TSS (FBgn0050316)	-58	FBgn0050316	FBgn0050316	FBtr0085986						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_7670	chr3L	14550729	14551658	+	319	NA	promoter-TSS (FBgn0036428)	-promoter-TSS (FBgn0036428)	-218	FBgn0036428	FBgn0036428	FBtr0333037						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_1779	chr2L	16525869	16526647	+	319	NA	intron (FBgn0032587, intron 2 of 2)	-intron (FBgn0032587, intron 2 of 2)	2664	FBgn0086038	FBgn0086038	FBtr0114314						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_2669	chr2R	5781867	5783087	+	318	NA	exon (FBgn0025693, exon 1 of 10)	-exon (FBgn0025693, exon 1 of 10)	381	FBgn0025693	FBgn0025693	FBtr0086056						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15467	chrX	19682759	19684181	+	317	NA	promoter-TSS (FBgn0031057)	-promoter-TSS (FBgn0031057)	48	FBgn0043903	FBgn0043903	FBtr0074756						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_9047	chr3R	4951703	4952774	+	316	NA	intron (FBgn0004436, intron 1 of 2)	-intron (FBgn0004436, intron 1 of 2)	444	FBgn0004436	FBgn0004436	FBtr0306106						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_10558	chr3R	16763788	16764402	+	315	NA	intron (FBgn0020556, intron 1 of 2)	-intron (FBgn0020556, intron 1 of 2)	-12761	FBgn0063261	FBgn0063261	FBtr0083346						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_13560	chrX	5524208	5524854	+	314	NA	promoter-TSS (FBgn0086667)	-promoter-TSS (FBgn0086667)	-66	FBgn0086667	FBgn0086667	FBtr0091788						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_13900	chrX	8141461	8142384	+	314	NA	TTS (FBgn0030006)	-TTS (FBgn0030006)	357	FBgn0025800	FBgn0025800	FBtr0340159						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_1708	chr2L	15263326	15265063	+	311	NA	promoter-TSS (FBgn0045842)	-promoter-TSS (FBgn0045842)	498	FBgn0045842	FBgn0045842	FBtr0415452						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15503	chrX	19886826	19887972	+	310	NA	promoter-TSS (FBgn0052529)	-promoter-TSS (FBgn0052529)	2661	FBgn0086782	FBgn0086782	FBtr0074802						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_4800	chr2R	17391584	17392826	+	309	NA	promoter-TSS (FBgn0011879)	-promoter-TSS (FBgn0011879)	-10	FBgn0011879	FBgn0011879	FBtr0086908						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_9395	chr3R	7000603	7001195	+	309	NA	exon (FBgn0267559, exon 1 of 1)	-exon (FBgn0267559, exon 1 of 1)	407	FBgn0267559	FBgn0267559	FBtr0346969						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_2847	chr2R	6661853	6663876	+	308	NA	promoter-TSS (FBgn0266518)	-promoter-TSS (FBgn0266518)	599	FBgn0284249	FBgn0284249	FBtr0330252						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_5417	chr2R	21645744	21647051	+	307	NA	exon (FBgn0034644, exon 1 of 8)	-exon (FBgn0034644, exon 1 of 8)	5589	FBgn0050284	FBgn0050284	FBtr0071684						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_12301	chr3R	31712916	31714058	+	307	NA	promoter-TSS (FBgn0003870)	-promoter-TSS (FBgn0003870)	4212	FBgn0054046	FBgn0054046	FBtr0308935						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_5151	chr2R	19999810	20001116	+	306	NA	promoter-TSS (FBgn0050212)	-promoter-TSS (FBgn0050212)	-95	FBgn0050212	FBgn0050212	FBtr0086326						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_9176	chr3R	5547175	5548005	+	306	NA	TTS (FBgn0014342)	-TTS (FBgn0014342)	185	FBgn0037336	FBgn0037336	FBtr0078762						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_11643	chr3R	26041639	26042961	+	304	NA	promoter-TSS (FBgn0001139)	-promoter-TSS (FBgn0001139)	564	FBgn0001139	FBgn0001139	FBtr0339900						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_4727	chr2R	16856140	16857472	+	301	NA	promoter-TSS (FBgn0263462)	-promoter-TSS (FBgn0263462)	586	FBgn0026533	FBgn0026533	FBtr0332946						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_7281	chr3L	11092251	11093238	+	300	NA	promoter-TSS (FBgn0020412)	-promoter-TSS (FBgn0020412)	449	FBgn0020412	FBgn0020412	FBtr0332707						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_14106	chrX	9693797	9694269	+	298	NA	promoter-TSS (FBgn0000233)	-promoter-TSS (FBgn0000233)	-153	FBgn0000233	FBgn0000233	FBtr0071379						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15394	chrX	19297777	19298987	+	298	NA	promoter-TSS (FBgn0031011)	-promoter-TSS (FBgn0031011)	3491	FBgn0065084	FBgn0065084	FBtr0091699						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_6429	chr3L	3095628	3097703	+	297	NA	promoter-TSS (FBgn0052285)	-promoter-TSS (FBgn0052285)	61	FBgn0052285	FBgn0052285	FBtr0073021						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_4055	chr2R	12979677	12981373	+	296	NA	exon (FBgn0005624, exon 1 of 5)	-exon (FBgn0005624, exon 1 of 5)	469	FBgn0005624	FBgn0005624	FBtr0345375						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_1996	chr2L	19157961	19159118	+	295	NA	promoter-TSS (FBgn0010300)	-promoter-TSS (FBgn0010300)	760	FBgn0266312	FBgn0266312	FBtr0344041						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_10487	chr3R	16249506	16250778	+	294	NA	intron (FBgn0040071, intron 1 of 1)	-intron (FBgn0040071, intron 1 of 1)	7326	FBgn0040071	FBgn0040071	FBtr0083258						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_12296	chr3R	31688630	31689861	+	292	NA	promoter-TSS (FBgn0267124)	-promoter-TSS (FBgn0267124)	633	FBgn0267125	FBgn0267125	FBtr0346220						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_6422	chr3L	3059766	3061320	+	292	NA	intron (FBgn0266918, intron 1 of 7)	-intron (FBgn0266918, intron 1 of 7)	5464	FBgn0035393	FBgn0035393	FBtr0072990						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15559	chrX	20656138	20657744	+	292	NA	promoter-TSS (FBgn0031126)	-promoter-TSS (FBgn0031126)	607	FBgn0267022	FBgn0267022	FBtr0345969						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15155	chrX	17768090	17769497	+	291	NA	exon (FBgn0024184, exon 1 of 4)	-exon (FBgn0024184, exon 1 of 4)	224	FBgn0024184	FBgn0024184	FBtr0340627						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_10051	chr3R	12467798	12468159	+	288	NA	promoter-TSS (FBgn0013277)	-promoter-TSS (FBgn0013277)	-202	FBgn0013277	FBgn0013277	FBtr0082679						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_10557	chr3R	16702712	16703425	+	286	NA	intron (FBgn0003944, intron 1 of 1)	-intron (FBgn0003944, intron 3 of 3)	31358	FBgn0003944	FBgn0003944	FBtr0083352						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_2780	chr2R	6220217	6222072	+	285	NA	exon (FBgn0263144, exon 1 of 7)	-exon (FBgn0263144, exon 1 of 7)	104	FBgn0263144	FBgn0263144	FBtr0346718						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15519	chrX	20158205	20160137	+	284	NA	exon (FBgn0031090, exon 1 of 3)	-exon (FBgn0031090, exon 1 of 3)	701	FBgn0031090	FBgn0031090	FBtr0333549						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_5636	chr2R	22998029	22999275	+	282	NA	intron (FBgn0034808, intron 1 of 5)	-intron (FBgn0034808, intron 1 of 5)	232	FBgn0034808	FBgn0034808	FBtr0071988						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15404	chrX	19360751	19361981	+	280	NA	intron (FBgn0031016, intron 1 of 4)	-intron (FBgn0031016, intron 1 of 5)	8185	FBgn0031016	FBgn0031016	FBtr0309224						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_7338	chr3L	11487262	11488076	+	279	NA	exon (FBgn0036165, exon 1 of 4)	-exon (FBgn0036165, exon 1 of 4)	-6202	FBgn0036165	FBgn0036165	FBtr0344910						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_12444	chr4	359819	360885	+	279	NA	exon (FBgn0039904, exon 1 of 14)	-exon (FBgn0039904, exon 1 of 14)	414	FBgn0039904	FBgn0039904	FBtr0345284						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15197	chrX	18136336	18137795	+	276	NA	promoter-TSS (FBgn0017418)	-promoter-TSS (FBgn0017418)	620	FBgn0017418	FBgn0017418	FBtr0332850						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_14522	chrX	13128187	13129380	+	276	NA	promoter-TSS (FBgn0030451)	-promoter-TSS (FBgn0030451)	11	FBgn0052638	FBgn0052638	FBtr0300453						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_8139	chr3L	18771156	18772182	+	276	NA	TTS (FBgn0267601)	-TTS (FBgn0267601)	-5925	FBgn0001078	FBgn0001078	FBtr0075086						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_5903	chr2R	24767500	24768720	+	274	NA	promoter-TSS (FBgn0027590)	-promoter-TSS (FBgn0027590)	-403	FBgn0027590	FBgn0027590	FBtr0072436						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_9853	chr3R	10614218	10614834	+	273	NA	promoter-TSS (FBgn0001235)	-promoter-TSS (FBgn0001235)	-250	FBgn0001235	FBgn0001235	FBtr0100454						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_4980	chr2R	18638392	18640051	+	273	NA	promoter-TSS (FBgn0050227)	-promoter-TSS (FBgn0050227)	49	FBgn0050122	FBgn0050122	FBtr0300924						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15055	chrX	17076577	17078223	+	273	NA	exon (FBgn0030812, exon 2 of 15)	-exon (FBgn0030812, exon 2 of 15)	497	FBgn0030812	FBgn0030812	FBtr0330596						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_13666	chrX	6343721	6344737	+	272	NA	TTS (FBgn0029866)	-TTS (FBgn0029866)	-2874	FBgn0029867	FBgn0029867	FBtr0070905						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_10925	chr3R	20252456	20254872	+	271	NA	exon (FBgn0262582, exon 2 of 19)	-exon (FBgn0262582, exon 2 of 19)	-14573	FBgn0267710	FBgn0267710	FBtr0347250						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_3926	chr2R	12261080	12261996	+	271	NA	TTS (FBgn0264501)	-TTS (FBgn0264501)	1506	FBgn0000253	FBgn0000253	FBtr0304963						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_6951	chr3L	8314958	8315576	+	270	NA	exon (FBgn0035872, exon 1 of 7)	-exon (FBgn0035872, exon 1 of 7)	235	FBgn0035872	FBgn0035872	FBtr0304628						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_2138	chr2L	20428571	20429517	+	269	NA	promoter-TSS (FBgn0263355)	-promoter-TSS (FBgn0263355)	19	FBgn0263355	FBgn0263355	FBtr0330204						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_14811	chrX	15332954	15334158	+	269	NA	promoter-TSS (FBgn0026428)	-promoter-TSS (FBgn0026428)	246	FBgn0026428	FBgn0026428	FBtr0330405						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_7769	chr3L	15553955	15554706	+	269	NA	exon (FBgn0087035, exon 2 of 8)	-exon (FBgn0087035, exon 2 of 8)	-2493	FBgn0087035	FBgn0087035	FBtr0331933						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_8871	chr3R	27568	27820	+	268	NA	Intergenic	Intergenic	-539382	FBgn0267431	FBgn0267431	FBtr0392909						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_178	chr2L	1077080	1078063	+	268	NA	promoter-TSS (FBgn0015905)	-promoter-TSS (FBgn0015905)	240	FBgn0003310	FBgn0003310	FBtr0077994						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_11333	chr3R	23601340	23602125	+	267	NA	promoter-TSS (FBgn0051143)	-promoter-TSS (FBgn0051143)	-277	FBgn0051143	FBgn0051143	FBtr0084482						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_11779	chr3R	27263290	27264168	+	267	NA	TTS (FBgn0039503)	-TTS (FBgn0039503)	326	FBgn0010328	FBgn0010328	FBtr0334731						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_2136	chr2L	20416342	20417921	+	267	NA	promoter-TSS (FBgn0032859)	-promoter-TSS (FBgn0032859)	74	FBgn0032859	FBgn0032859	FBtr0346418						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_5094	chr2R	19414242	19415528	+	267	NA	promoter-TSS (FBgn0050225)	-promoter-TSS (FBgn0050225)	40	FBgn0050225	FBgn0050225	FBtr0086527						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_3546	chr2R	10270970	10272083	+	266	NA	promoter-TSS (FBgn0033504)	-promoter-TSS (FBgn0033504)	5455	FBgn0033502	FBgn0033502	FBtr0310142						NA
