PeakID (cmd=annotatePeaks.pl AkaaF6HSan_REP2.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF6HSan_REP2.mLb.clN_peak_10819	chr3R	13983241	13984089	+	370	NA	promoter-TSS (FBgn0264493)	-promoter-TSS (FBgn0264493)	-11865	FBgn0264493	FBgn0264493	FBtr0301633						NA
AkaaF6HSan_REP2.mLb.clN_peak_252	chr2L	2130018	2131225	+	369	NA	promoter-TSS (FBgn0004507)	-promoter-TSS (FBgn0004507)	-192	FBgn0004507	FBgn0004507	FBtr0077828						NA
AkaaF6HSan_REP2.mLb.clN_peak_12174	chr3R	26041639	26043047	+	363	NA	promoter-TSS (FBgn0001139)	-promoter-TSS (FBgn0001139)	607	FBgn0001139	FBgn0001139	FBtr0339900						NA
AkaaF6HSan_REP2.mLb.clN_peak_14738	chrX	9658005	9659209	+	362	NA	TTS (FBgn0030148)	-TTS (FBgn0030148)	4296	FBgn0030148	FBgn0030148	FBtr0346168						NA
AkaaF6HSan_REP2.mLb.clN_peak_2889	chr2R	6171277	6171985	+	362	NA	promoter-TSS (FBgn0050316)	-promoter-TSS (FBgn0050316)	-56	FBgn0050316	FBgn0050316	FBtr0085986						NA
AkaaF6HSan_REP2.mLb.clN_peak_2938	chr2R	6480500	6482498	+	362	NA	Intergenic	Intergenic	20273	FBgn0267744	FBgn0267744	FBtr0347304						NA
AkaaF6HSan_REP2.mLb.clN_peak_15272	chrX	13563531	13564345	+	360	NA	TTS (FBgn0052633)	-TTS (FBgn0052633)	115	FBgn0284227	FBgn0284227	FBtr0452126						NA
AkaaF6HSan_REP2.mLb.clN_peak_16490	chrX	23406857	23407581	+	359	NA	Intergenic	Intergenic	115519	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP2.mLb.clN_peak_7601	chr3L	10897910	10899466	+	359	NA	promoter-TSS (FBgn0036111)	-promoter-TSS (FBgn0036111)	435	FBgn0036111	FBgn0036111	FBtr0076252						NA
AkaaF6HSan_REP2.mLb.clN_peak_16337	chrX	21280733	21281938	+	359	NA	promoter-TSS (FBgn0052521)	-promoter-TSS (FBgn0052521)	-182	FBgn0052521	FBgn0052521	FBtr0310654						NA
AkaaF6HSan_REP2.mLb.clN_peak_6108	chr2R	25262572	25262934	+	356	NA	Intergenic	Intergenic	10826	FBgn0050428	FBgn0050428	FBtr0343515						NA
AkaaF6HSan_REP2.mLb.clN_peak_16100	chrX	19297777	19299063	+	356	NA	promoter-TSS (FBgn0031011)	-promoter-TSS (FBgn0031011)	3453	FBgn0065084	FBgn0065084	FBtr0091699						NA
AkaaF6HSan_REP2.mLb.clN_peak_4192	chr2R	13014362	13016192	+	356	NA	Intergenic	Intergenic	18776	FBgn0265623	FBgn0265623	FBtr0330613						NA
AkaaF6HSan_REP2.mLb.clN_peak_8514	chr3L	18771175	18772260	+	354	NA	TTS (FBgn0267601)	-TTS (FBgn0267601)	-5973	FBgn0001078	FBgn0001078	FBtr0075086						NA
AkaaF6HSan_REP2.mLb.clN_peak_5223	chr2R	19668892	19669916	+	353	NA	promoter-TSS (FBgn0015949)	-promoter-TSS (FBgn0015949)	428	FBgn0015949	FBgn0015949	FBtr0111010						NA
AkaaF6HSan_REP2.mLb.clN_peak_5830	chr2R	23666773	23667549	+	351	NA	promoter-TSS (FBgn0266377)	-promoter-TSS (FBgn0266377)	1867	FBgn0266377	FBgn0266377	FBtr0344181						NA
AkaaF6HSan_REP2.mLb.clN_peak_6605	chr3L	3095603	3096910	+	350	NA	promoter-TSS (FBgn0052287)	-promoter-TSS (FBgn0052287)	-113	FBgn0052287	FBgn0052287	FBtr0073020						NA
AkaaF6HSan_REP2.mLb.clN_peak_11102	chr3R	16249502	16250789	+	346	NA	intron (FBgn0040071, intron 1 of 1)	-intron (FBgn0040071, intron 1 of 1)	7329	FBgn0040071	FBgn0040071	FBtr0083258						NA
AkaaF6HSan_REP2.mLb.clN_peak_1352	chr2L	11970801	11971433	+	346	NA	promoter-TSS (FBgn0263019)	-promoter-TSS (FBgn0263019)	-23	FBgn0263019	FBgn0263019	FBtr0306899						NA
AkaaF6HSan_REP2.mLb.clN_peak_4370	chr2R	14006769	14007311	+	345	NA	intron (FBgn0002643, intron 2 of 6)	-intron (FBgn0002643, intron 2 of 6)	-2159	FBgn0002643	FBgn0002643	FBtr0087598						NA
AkaaF6HSan_REP2.mLb.clN_peak_7968	chr3L	14273921	14274661	+	341	NA	promoter-TSS (FBgn0001085)	-promoter-TSS (FBgn0001085)	-52	FBgn0001085	FBgn0001085	FBtr0330102						NA
AkaaF6HSan_REP2.mLb.clN_peak_7546	chr3L	10363706	10364096	+	341	NA	promoter-TSS (FBgn0267668)	-promoter-TSS (FBgn0267668)	-118	FBgn0267668	FBgn0267668	FBtr0347140						NA
AkaaF6HSan_REP2.mLb.clN_peak_16227	chrX	20158891	20160144	+	341	NA	TTS (FBgn0031091)	-TTS (FBgn0031091)	355	FBgn0031090	FBgn0031090	FBtr0333549						NA
AkaaF6HSan_REP2.mLb.clN_peak_5264	chr2R	19999673	20001167	+	340	NA	promoter-TSS (FBgn0050212)	-promoter-TSS (FBgn0050212)	-52	FBgn0050212	FBgn0050212	FBtr0086326						NA
AkaaF6HSan_REP2.mLb.clN_peak_6920	chr3L	5276708	5278352	+	340	NA	intron (FBgn0052423, intron 1 of 11)	-intron (FBgn0052423, intron 1 of 10)	38921	FBgn0267305	FBgn0267305	FBtr0346561						NA
AkaaF6HSan_REP2.mLb.clN_peak_16488	chrX	23390055	23391025	+	340	NA	Intergenic	Intergenic	98840	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP2.mLb.clN_peak_2409	chr2L	21898899	21899835	+	339	NA	Intergenic	Intergenic	-1078	FBgn0032965	FBgn0032965	FBtr0085950						NA
AkaaF6HSan_REP2.mLb.clN_peak_6117	chr3L	39931	40779	+	338	NA	Intergenic	Intergenic	14396	FBgn0262679	FBgn0262679	FBtr0305596						NA
AkaaF6HSan_REP2.mLb.clN_peak_2516	chr2R	870293	870588	+	338	NA	Intergenic	Intergenic	15626	FBgn0284080	FBgn0284080	FBtr0452096						NA
AkaaF6HSan_REP2.mLb.clN_peak_2988	chr2R	6661826	6663922	+	338	NA	promoter-TSS (FBgn0266518)	-promoter-TSS (FBgn0266518)	609	FBgn0284249	FBgn0284249	FBtr0330252						NA
AkaaF6HSan_REP2.mLb.clN_peak_16272	chrX	20656138	20657736	+	338	NA	promoter-TSS (FBgn0031126)	-promoter-TSS (FBgn0031126)	611	FBgn0267022	FBgn0267022	FBtr0345969						NA
AkaaF6HSan_REP2.mLb.clN_peak_14268	chrX	6343677	6344797	+	335	NA	TTS (FBgn0029866)	-TTS (FBgn0029866)	-2866	FBgn0029867	FBgn0029867	FBtr0070905						NA
AkaaF6HSan_REP2.mLb.clN_peak_2157	chr2L	20416498	20417909	+	334	NA	promoter-TSS (FBgn0032858)	-promoter-TSS (FBgn0032858)	146	FBgn0032859	FBgn0032859	FBtr0346418						NA
AkaaF6HSan_REP2.mLb.clN_peak_15511	chrX	15332975	15334080	+	334	NA	promoter-TSS (FBgn0026428)	-promoter-TSS (FBgn0026428)	217	FBgn0026428	FBgn0026428	FBtr0330405						NA
AkaaF6HSan_REP2.mLb.clN_peak_1571	chr2L	14094672	14094898	+	334	NA	TTS (FBgn0028875)	-TTS (FBgn0028875)	-9305	FBgn0283651	FBgn0283651	FBtr0445730						NA
AkaaF6HSan_REP2.mLb.clN_peak_9300	chr3L	24737905	24739135	+	333	NA	intron (FBgn0287186, intron 3 of 5)	-intron (FBgn0287186, intron 4 of 6)	14358	FBgn0287186	FBgn0287186	FBtr0339923						NA
AkaaF6HSan_REP2.mLb.clN_peak_3686	chr2R	10302548	10303709	+	333	NA	promoter-TSS (FBgn0033504)	-intron (FBgn0033504, intron 1 of 5)	6666	FBgn0028426	FBgn0028426	FBtr0088360						NA
AkaaF6HSan_REP2.mLb.clN_peak_8365	chr3L	17590415	17591157	+	333	NA	intron (FBgn0000567, intron 5 of 7)	-intron (FBgn0000567, intron 5 of 7)	-24624	FBgn0086080	FBgn0086080	FBtr0114356						NA
AkaaF6HSan_REP2.mLb.clN_peak_6398	chr3L	1586370	1587566	+	332	NA	exon (FBgn0035237, exon 1 of 5)	-exon (FBgn0035237, exon 1 of 5)	274	FBgn0035237	FBgn0035237	FBtr0347066						NA
AkaaF6HSan_REP2.mLb.clN_peak_6110	chr2R	25268006	25269507	+	332	NA	Intergenic	Intergenic	16829	FBgn0050428	FBgn0050428	FBtr0343515						NA
AkaaF6HSan_REP2.mLb.clN_peak_14598	chrX	8624726	8625216	+	332	NA	Intergenic	Intergenic	-18667	FBgn0030054	FBgn0030054	FBtr0071228						NA
AkaaF6HSan_REP2.mLb.clN_peak_2786	chr2R	5781852	5783092	+	330	NA	exon (FBgn0025693, exon 1 of 10)	-exon (FBgn0025693, exon 1 of 10)	386	FBgn0025693	FBgn0025693	FBtr0086056						NA
AkaaF6HSan_REP2.mLb.clN_peak_7991	chr3L	14409455	14411009	+	329	NA	promoter-TSS (FBgn0003459)	-promoter-TSS (FBgn0003459)	-293	FBgn0003459	FBgn0003459	FBtr0333042						NA
AkaaF6HSan_REP2.mLb.clN_peak_3857	chr2R	11288984	11290204	+	329	NA	TTS (FBgn0033610)	-TTS (FBgn0033610)	178	FBgn0033609	FBgn0033609	FBtr0088178						NA
AkaaF6HSan_REP2.mLb.clN_peak_2035	chr2L	19463847	19464406	+	328	NA	promoter-TSS (FBgn0000964)	-promoter-TSS (FBgn0000964)	-141	FBgn0000964	FBgn0000964	FBtr0329891						NA
AkaaF6HSan_REP2.mLb.clN_peak_2158	chr2L	20428583	20429552	+	326	NA	promoter-TSS (FBgn0263355)	-promoter-TSS (FBgn0263355)	42	FBgn0263355	FBgn0263355	FBtr0330204						NA
AkaaF6HSan_REP2.mLb.clN_peak_5492	chr2R	21645741	21647051	+	324	NA	exon (FBgn0034644, exon 1 of 8)	-exon (FBgn0034644, exon 1 of 8)	5590	FBgn0050284	FBgn0050284	FBtr0071684						NA
AkaaF6HSan_REP2.mLb.clN_peak_14037	chrX	4684359	4684858	+	322	NA	intron (FBgn0022768, intron 1 of 2)	-intron (FBgn0022768, intron 1 of 2)	2295	FBgn0022768	FBgn0022768	FBtr0343531						NA
AkaaF6HSan_REP2.mLb.clN_peak_16172	chrX	19682892	19684251	+	322	NA	promoter-TSS (FBgn0031057)	-promoter-TSS (FBgn0031057)	-53	FBgn0043903	FBgn0043903	FBtr0074756						NA
AkaaF6HSan_REP2.mLb.clN_peak_10433	chr3R	10614250	10614872	+	320	NA	promoter-TSS (FBgn0001235)	-promoter-TSS (FBgn0001235)	-285	FBgn0001235	FBgn0001235	FBtr0100454						NA
AkaaF6HSan_REP2.mLb.clN_peak_12854	chr3R	31984445	31985941	+	320	NA	intron (FBgn0011224, intron 1 of 15)	-intron (FBgn0039886, intron 1 of 3)	-1656	FBgn0039886	FBgn0039886	FBtr0085871						NA
AkaaF6HSan_REP2.mLb.clN_peak_15679	chrX	16559033	16560280	+	318	NA	exon (FBgn0011826, exon 1 of 1)	-exon (FBgn0011826, exon 1 of 1)	360	FBgn0011826	FBgn0011826	FBtr0309793						NA
AkaaF6HSan_REP2.mLb.clN_peak_7867	chr3L	13044364	13045157	+	318	NA	TTS (FBgn0011284)	-TTS (FBgn0011284)	122	FBgn0036341	FBgn0036341	FBtr0332076						NA
AkaaF6HSan_REP2.mLb.clN_peak_15861	chrX	17768059	17769387	+	317	NA	exon (FBgn0024184, exon 1 of 4)	-exon (FBgn0024184, exon 1 of 4)	154	FBgn0024184	FBgn0024184	FBtr0340627						NA
AkaaF6HSan_REP2.mLb.clN_peak_13185	chrX	52217	54944	+	316	NA	Intergenic	Intergenic	-68913	FBgn0058469	FBgn0058469	FBtr0307364						NA
AkaaF6HSan_REP2.mLb.clN_peak_5054	chr2R	18638396	18639973	+	316	NA	promoter-TSS (FBgn0050227)	-promoter-TSS (FBgn0050227)	86	FBgn0050122	FBgn0050122	FBtr0300924						NA
AkaaF6HSan_REP2.mLb.clN_peak_11461	chr3R	19836647	19837083	+	315	NA	promoter-TSS (FBgn0014135)	-promoter-TSS (FBgn0014135)	-48	FBgn0014135	FBgn0014135	FBtr0344549						NA
AkaaF6HSan_REP2.mLb.clN_peak_2312	chr2L	21250438	21251190	+	315	NA	intron (FBgn0261239, intron 2 of 7)	-intron (FBgn0261239, intron 2 of 4)	-10354	FBgn0021856	FBgn0021856	FBtr0330677						NA
AkaaF6HSan_REP2.mLb.clN_peak_8513	chr3L	18765498	18766167	+	314	NA	promoter-TSS (FBgn0001078)	-promoter-TSS (FBgn0001078)	-88	FBgn0001078	FBgn0001078	FBtr0075086						NA
AkaaF6HSan_REP2.mLb.clN_peak_14410	chrX	7299725	7301331	+	313	NA	intron (FBgn0029941, intron 2 of 6)	-intron (FBgn0029941, intron 2 of 6)	-7411	FBgn0024250	FBgn0024250	FBtr0071048						NA
AkaaF6HSan_REP2.mLb.clN_peak_9188	chr3L	22944992	22946048	+	313	NA	promoter-TSS (FBgn0037207)	-promoter-TSS (FBgn0037207)	-475	FBgn0037207	FBgn0037207	FBtr0078563						NA
