"ensembl_gene_id"	"RNAseq.log2FoldChange.x.x"	"atac.log2FoldChange.x.x"	"z.atac.x.x"	"TE_pres.x"	"F3M_DE"	"F3M_DA"	"RNAseq.log2FoldChange.y.x"	"atac.log2FoldChange.y.x"	"F6M_DE"	"name.x"	"V1.x"	"V2.x"	"V3.x"	"V4.x"	"V5.x"	"RNAseq.log2FoldChange.x.y"	"atac.log2FoldChange.x.y"	"z.atac.x.y"	"TE_pres.y"	"F3A_DE"	"F3A_DA"	"RNAseq.log2FoldChange.y.y"	"atac.log2FoldChange.y.y"	"F6A_DE"	"name.y"	"V1.y"	"V2.y"	"V3.y"	"V4.y"	"V5.y"	"V2"	"V3"
"11"	"FBgn0034405"	-0.299570456812551	0.125918346757305	-0.163917036599118	"R"	"Shared"	"Not_DA"	-0.183623747022122	0.131039203032032	"Unique"	"Jheh2"	"chr2r"	18858291	18860019	"reference"	"fbti0018880"	-0.310605909434995	0.0865854086294128	-0.142984357701908	"R"	"Shared"	"Not_DA"	0.0539868332481008	0.0859475380733179	"Not_DE"	"Jheh2"	"chr2r"	18858291	18860019	"reference"	"fbti0018880"	"Jheh2"	"-"
"12"	"FBgn0045761"	-0.743663518353005	0.375917716208404	-1.21480164095208	"R"	"Shared"	"Unique"	-0.908968398298861	-0.0460987339938987	"Unique"	"CHKov1"	"chr3r"	25324412	25328927	"reference"	"fbti0019430"	-0.725149998713514	0.0903851835179274	-0.348465027771761	"R"	"Shared"	"Not_DA"	0.118037809788325	0.0487928502465979	"Not_DE"	"CHKov1"	"chr3r"	25324412	25328927	"reference"	"fbti0019430"	"CHKov1"	"-"
"13"	"FBgn0086408"	-0.774948814056241	-0.189384345536182	0.637754005293061	"R"	"Shared"	"Not_DA"	-0.301924631485264	0.0718302713866471	"Unique"	"stl"	"chr2r"	22815866	22815933	"reference"	"fbti0060878"	-0.691730620948438	-0.394717448516039	1.4516349963337	"R"	"Shared"	"Unique"	-0.0173800018713885	0.135034249884283	"Not_DE"	"stl"	"chr2r"	22815866	22815933	"reference"	"fbti0060878"	"stl"	"+"
"14"	"FBgn0261617"	0.826661689552883	-0.193289708085148	-0.694340728647083	"R"	"Shared"	"Not_DA"	0.201766329859134	0.127479389583999	"Unique"	"nej"	"chrx"	9678736	9679157	"reference"	"fbti0063327"	0.576734928723145	-0.335389435763072	-1.02839448036588	"R"	"Shared"	"Unique"	-0.194651016638699	0.0856597941097188	"Not_DE"	"nej"	"chrx"	9678154	9678639	"reference"	"fbti0063331"	"nej"	"-"
"15"	"FBgn0261617"	0.826661689552883	-0.193289708085148	-0.694340728647083	"R"	"Shared"	"Not_DA"	0.201766329859134	0.127479389583999	"Unique"	"nej"	"chrx"	9678736	9679157	"reference"	"fbti0063327"	0.576734928723145	-0.335389435763072	-1.02839448036588	"R"	"Shared"	"Unique"	-0.194651016638699	0.0856597941097188	"Not_DE"	"nej"	"chrx"	9678447	9679157	"reference"	"iso1_1573_tart-c"	"nej"	"-"
"16"	"FBgn0261617"	0.826661689552883	-0.193289708085148	-0.694340728647083	"R"	"Shared"	"Not_DA"	0.201766329859134	0.127479389583999	"Unique"	"nej"	"chrx"	9678736	9679157	"reference"	"fbti0063327"	0.576734928723145	-0.335389435763072	-1.02839448036588	"R"	"Shared"	"Unique"	-0.194651016638699	0.0856597941097188	"Not_DE"	"nej"	"chrx"	9678736	9679157	"reference"	"fbti0063327"	"nej"	"-"
"17"	"FBgn0261617"	0.826661689552883	-0.193289708085148	-0.694340728647083	"R"	"Shared"	"Not_DA"	0.201766329859134	0.127479389583999	"Unique"	"nej"	"chrx"	9678447	9679157	"reference"	"iso1_1573_tart-c"	0.576734928723145	-0.335389435763072	-1.02839448036588	"R"	"Shared"	"Unique"	-0.194651016638699	0.0856597941097188	"Not_DE"	"nej"	"chrx"	9678154	9678639	"reference"	"fbti0063331"	"nej"	"-"
"18"	"FBgn0261617"	0.826661689552883	-0.193289708085148	-0.694340728647083	"R"	"Shared"	"Not_DA"	0.201766329859134	0.127479389583999	"Unique"	"nej"	"chrx"	9678447	9679157	"reference"	"iso1_1573_tart-c"	0.576734928723145	-0.335389435763072	-1.02839448036588	"R"	"Shared"	"Unique"	-0.194651016638699	0.0856597941097188	"Not_DE"	"nej"	"chrx"	9678447	9679157	"reference"	"iso1_1573_tart-c"	"nej"	"-"
"19"	"FBgn0261617"	0.826661689552883	-0.193289708085148	-0.694340728647083	"R"	"Shared"	"Not_DA"	0.201766329859134	0.127479389583999	"Unique"	"nej"	"chrx"	9678447	9679157	"reference"	"iso1_1573_tart-c"	0.576734928723145	-0.335389435763072	-1.02839448036588	"R"	"Shared"	"Unique"	-0.194651016638699	0.0856597941097188	"Not_DE"	"nej"	"chrx"	9678736	9679157	"reference"	"fbti0063327"	"nej"	"-"
"20"	"FBgn0261617"	0.826661689552883	-0.193289708085148	-0.694340728647083	"R"	"Shared"	"Not_DA"	0.201766329859134	0.127479389583999	"Unique"	"nej"	"chrx"	9678154	9678639	"reference"	"fbti0063331"	0.576734928723145	-0.335389435763072	-1.02839448036588	"R"	"Shared"	"Unique"	-0.194651016638699	0.0856597941097188	"Not_DE"	"nej"	"chrx"	9678154	9678639	"reference"	"fbti0063331"	"nej"	"-"
"21"	"FBgn0261617"	0.826661689552883	-0.193289708085148	-0.694340728647083	"R"	"Shared"	"Not_DA"	0.201766329859134	0.127479389583999	"Unique"	"nej"	"chrx"	9678154	9678639	"reference"	"fbti0063331"	0.576734928723145	-0.335389435763072	-1.02839448036588	"R"	"Shared"	"Unique"	-0.194651016638699	0.0856597941097188	"Not_DE"	"nej"	"chrx"	9678447	9679157	"reference"	"iso1_1573_tart-c"	"nej"	"-"
"22"	"FBgn0261617"	0.826661689552883	-0.193289708085148	-0.694340728647083	"R"	"Shared"	"Not_DA"	0.201766329859134	0.127479389583999	"Unique"	"nej"	"chrx"	9678154	9678639	"reference"	"fbti0063331"	0.576734928723145	-0.335389435763072	-1.02839448036588	"R"	"Shared"	"Unique"	-0.194651016638699	0.0856597941097188	"Not_DE"	"nej"	"chrx"	9678736	9679157	"reference"	"fbti0063327"	"nej"	"-"
"23"	"FBgn0261955"	-0.722410657292626	-0.35833369175269	1.12488438322874	"R"	"Shared"	"Not_DA"	-0.203670020197976	0.169634008301247	"Unique"	"kdn"	"chrx"	6351052	6351815	"reference"	"iso1_1446_lard"	-0.869928822326346	-0.522992122580589	2.41887246791711	"R"	"Shared"	"Unique"	0.0641382219009067	0.0559000016519171	"Not_DE"	"kdn"	"chrx"	6351052	6351815	"reference"	"iso1_1446_lard"	"kdn"	"+"
"24"	"FBgn0265575"	0.541562362148786	-0.142550937249993	-0.335470742765139	"R"	"Shared"	"Not_DA"	-0.306077721365947	0.0819815845121186	"Unique"	"yin"	"chrx"	3870928	3871178	"reference"	"iso1_1379_lard"	0.532767751242334	-0.0570966553142682	-0.161727063447861	"R"	"Shared"	"Not_DA"	-0.122590860014404	-0.0898496480116017	"Not_DE"	"yin"	"chrx"	3870928	3871178	"reference"	"iso1_1379_lard"	"yin"	"-"
"25"	"FBgn0287725"	0.810263267835245	0.0286694215573287	0.100944155978844	"R"	"Shared"	"Not_DA"	0.258369025484103	0.122908286405046	"Unique"	NA	"chrx"	6755780	6756203	"reference"	"fbti0019594"	0.531354154274491	-0.107746440634384	-0.304383506959424	"R"	"Shared"	"Not_DA"	-0.176190059774436	0.0535687305475751	"Not_DE"	NA	"chrx"	6770583	6770641	"reference"	"fbti0061596"	"sov"	"+"
"26"	"FBgn0287725"	0.810263267835245	0.0286694215573287	0.100944155978844	"R"	"Shared"	"Not_DA"	0.258369025484103	0.122908286405046	"Unique"	NA	"chrx"	6755780	6756203	"reference"	"fbti0019594"	0.531354154274491	-0.107746440634384	-0.304383506959424	"R"	"Shared"	"Not_DA"	-0.176190059774436	0.0535687305475751	"Not_DE"	NA	"chrx"	6755780	6756203	"reference"	"fbti0019594"	"sov"	"+"
"27"	"FBgn0287725"	0.810263267835245	0.0286694215573287	0.100944155978844	"R"	"Shared"	"Not_DA"	0.258369025484103	0.122908286405046	"Unique"	NA	"chrx"	6755780	6756203	"reference"	"fbti0019594"	0.531354154274491	-0.107746440634384	-0.304383506959424	"R"	"Shared"	"Not_DA"	-0.176190059774436	0.0535687305475751	"Not_DE"	NA	"chrx"	6757291	6758456	"reference"	"fbti0019595"	"sov"	"+"
"28"	"FBgn0287725"	0.810263267835245	0.0286694215573287	0.100944155978844	"R"	"Shared"	"Not_DA"	0.258369025484103	0.122908286405046	"Unique"	NA	"chrx"	6755780	6756203	"reference"	"fbti0019594"	0.531354154274491	-0.107746440634384	-0.304383506959424	"R"	"Shared"	"Not_DA"	-0.176190059774436	0.0535687305475751	"Not_DE"	NA	"chrx"	6757567	6758087	"reference"	"fbti0061172"	"sov"	"+"
"29"	"FBgn0287725"	0.810263267835245	0.0286694215573287	0.100944155978844	"R"	"Shared"	"Not_DA"	0.258369025484103	0.122908286405046	"Unique"	NA	"chrx"	6757291	6758456	"reference"	"fbti0019595"	0.531354154274491	-0.107746440634384	-0.304383506959424	"R"	"Shared"	"Not_DA"	-0.176190059774436	0.0535687305475751	"Not_DE"	NA	"chrx"	6770583	6770641	"reference"	"fbti0061596"	"sov"	"+"
"30"	"FBgn0287725"	0.810263267835245	0.0286694215573287	0.100944155978844	"R"	"Shared"	"Not_DA"	0.258369025484103	0.122908286405046	"Unique"	NA	"chrx"	6757291	6758456	"reference"	"fbti0019595"	0.531354154274491	-0.107746440634384	-0.304383506959424	"R"	"Shared"	"Not_DA"	-0.176190059774436	0.0535687305475751	"Not_DE"	NA	"chrx"	6755780	6756203	"reference"	"fbti0019594"	"sov"	"+"
"31"	"FBgn0287725"	0.810263267835245	0.0286694215573287	0.100944155978844	"R"	"Shared"	"Not_DA"	0.258369025484103	0.122908286405046	"Unique"	NA	"chrx"	6757291	6758456	"reference"	"fbti0019595"	0.531354154274491	-0.107746440634384	-0.304383506959424	"R"	"Shared"	"Not_DA"	-0.176190059774436	0.0535687305475751	"Not_DE"	NA	"chrx"	6757291	6758456	"reference"	"fbti0019595"	"sov"	"+"
"32"	"FBgn0287725"	0.810263267835245	0.0286694215573287	0.100944155978844	"R"	"Shared"	"Not_DA"	0.258369025484103	0.122908286405046	"Unique"	NA	"chrx"	6757291	6758456	"reference"	"fbti0019595"	0.531354154274491	-0.107746440634384	-0.304383506959424	"R"	"Shared"	"Not_DA"	-0.176190059774436	0.0535687305475751	"Not_DE"	NA	"chrx"	6757567	6758087	"reference"	"fbti0061172"	"sov"	"+"
"33"	"FBgn0287725"	0.810263267835245	0.0286694215573287	0.100944155978844	"R"	"Shared"	"Not_DA"	0.258369025484103	0.122908286405046	"Unique"	NA	"chrx"	6757567	6758087	"reference"	"fbti0061172"	0.531354154274491	-0.107746440634384	-0.304383506959424	"R"	"Shared"	"Not_DA"	-0.176190059774436	0.0535687305475751	"Not_DE"	NA	"chrx"	6770583	6770641	"reference"	"fbti0061596"	"sov"	"+"
"34"	"FBgn0287725"	0.810263267835245	0.0286694215573287	0.100944155978844	"R"	"Shared"	"Not_DA"	0.258369025484103	0.122908286405046	"Unique"	NA	"chrx"	6757567	6758087	"reference"	"fbti0061172"	0.531354154274491	-0.107746440634384	-0.304383506959424	"R"	"Shared"	"Not_DA"	-0.176190059774436	0.0535687305475751	"Not_DE"	NA	"chrx"	6755780	6756203	"reference"	"fbti0019594"	"sov"	"+"
"35"	"FBgn0287725"	0.810263267835245	0.0286694215573287	0.100944155978844	"R"	"Shared"	"Not_DA"	0.258369025484103	0.122908286405046	"Unique"	NA	"chrx"	6757567	6758087	"reference"	"fbti0061172"	0.531354154274491	-0.107746440634384	-0.304383506959424	"R"	"Shared"	"Not_DA"	-0.176190059774436	0.0535687305475751	"Not_DE"	NA	"chrx"	6757291	6758456	"reference"	"fbti0019595"	"sov"	"+"
"36"	"FBgn0287725"	0.810263267835245	0.0286694215573287	0.100944155978844	"R"	"Shared"	"Not_DA"	0.258369025484103	0.122908286405046	"Unique"	NA	"chrx"	6757567	6758087	"reference"	"fbti0061172"	0.531354154274491	-0.107746440634384	-0.304383506959424	"R"	"Shared"	"Not_DA"	-0.176190059774436	0.0535687305475751	"Not_DE"	NA	"chrx"	6757567	6758087	"reference"	"fbti0061172"	"sov"	"+"
"37"	"FBgn0287725"	0.810263267835245	0.0286694215573287	0.100944155978844	"R"	"Shared"	"Not_DA"	0.258369025484103	0.122908286405046	"Unique"	NA	"chrx"	6770583	6770641	"reference"	"fbti0061596"	0.531354154274491	-0.107746440634384	-0.304383506959424	"R"	"Shared"	"Not_DA"	-0.176190059774436	0.0535687305475751	"Not_DE"	NA	"chrx"	6770583	6770641	"reference"	"fbti0061596"	"sov"	"+"
"38"	"FBgn0287725"	0.810263267835245	0.0286694215573287	0.100944155978844	"R"	"Shared"	"Not_DA"	0.258369025484103	0.122908286405046	"Unique"	NA	"chrx"	6770583	6770641	"reference"	"fbti0061596"	0.531354154274491	-0.107746440634384	-0.304383506959424	"R"	"Shared"	"Not_DA"	-0.176190059774436	0.0535687305475751	"Not_DE"	NA	"chrx"	6755780	6756203	"reference"	"fbti0019594"	"sov"	"+"
"39"	"FBgn0287725"	0.810263267835245	0.0286694215573287	0.100944155978844	"R"	"Shared"	"Not_DA"	0.258369025484103	0.122908286405046	"Unique"	NA	"chrx"	6770583	6770641	"reference"	"fbti0061596"	0.531354154274491	-0.107746440634384	-0.304383506959424	"R"	"Shared"	"Not_DA"	-0.176190059774436	0.0535687305475751	"Not_DE"	NA	"chrx"	6757291	6758456	"reference"	"fbti0019595"	"sov"	"+"
"40"	"FBgn0287725"	0.810263267835245	0.0286694215573287	0.100944155978844	"R"	"Shared"	"Not_DA"	0.258369025484103	0.122908286405046	"Unique"	NA	"chrx"	6770583	6770641	"reference"	"fbti0061596"	0.531354154274491	-0.107746440634384	-0.304383506959424	"R"	"Shared"	"Not_DA"	-0.176190059774436	0.0535687305475751	"Not_DE"	NA	"chrx"	6757567	6758087	"reference"	"fbti0061172"	"sov"	"+"
