Min.	1st Qu.	Median	Mean	3rd Qu.	Max.	num_peaks	measure	sample
107	182	299	384.356370543542	490	3451	13688	length	AkaaF3Heat_REP1.mLb.clN
1.31589	1.56601	1.65437	1.79886800566929	1.924285	17.5615	15875	fold	ManzF6Ctrl_REP1.mLb.clN
1.01728	1.507435	2.16207	4.68895957984252	5.39866	623.52	15875	-log10(qvalue)	ManzF6Ctrl_REP1.mLb.clN
2.28631	2.860865	3.59285	6.21880615874016	7.04591	627.952	15875	-log10(pvalue)	ManzF6Ctrl_REP1.mLb.clN
132	293	557	748.594204724409	1031	4662	15875	length	ManzF6Ctrl_REP1.mLb.clN
1.42434	1.835685	1.92744	2.05552807678262	2.0880125	21.0989	21906	fold	ManzF3Ctrl_REP2.mLb.clN
1.01578	1.43745	1.754595	3.06964334200676	2.52965	478.276	21906	-log10(qvalue)	ManzF3Ctrl_REP2.mLb.clN
2.40361	2.9641825	3.36244	4.75788806126176	4.277495	482.912	21906	-log10(pvalue)	ManzF3Ctrl_REP2.mLb.clN
103	213	384	528.029991783073	690	4314	21906	length	ManzF3Ctrl_REP2.mLb.clN
1.42709	1.87894	1.99242	2.20474980581453	2.33341	23.5447	18127	fold	AkaaF3Ctrl_REP2.mLb.clN
1.01761	1.431585	1.94073	4.00621866166492	4.14492	566.648	18127	-log10(qvalue)	AkaaF3Ctrl_REP2.mLb.clN
2.44686	2.96774	3.55253	5.71874475037237	5.96273	571.6	18127	-log10(pvalue)	AkaaF3Ctrl_REP2.mLb.clN
102	202	357	477.767253268605	626	4064	18127	length	AkaaF3Ctrl_REP2.mLb.clN
1.33131	1.6257725	1.72014	1.87821466662559	2.00958	17.9242	16228	fold	ManzF6HSan_REP2.mLb.clN
1.00858	1.511915	2.12966	4.57139556630515	5.2716925	512.299	16228	-log10(qvalue)	ManzF6HSan_REP2.mLb.clN
2.28585	2.87815	3.571665	6.11305820002465	6.923925	516.893	16228	-log10(pvalue)	ManzF6HSan_REP2.mLb.clN
128	288	530	728.412496918906	993	5143	16228	length	ManzF6HSan_REP2.mLb.clN
1.29853	1.54505	1.64779	1.83821406959856	2.01637	17.6222	17213	fold	AkaaF6Ctrl_REP3.mLb.clN
1.00853	1.4791	2.31192	5.71921382559693	7.00084	640.202	17213	-log10(qvalue)	AkaaF6Ctrl_REP3.mLb.clN
2.23185	2.7828	3.69472	7.20826800034857	8.61276	644.82	17213	-log10(pvalue)	AkaaF6Ctrl_REP3.mLb.clN
135	293	544	729.284319990705	989	4580	17213	length	AkaaF6Ctrl_REP3.mLb.clN
1.37392	2.25237	2.393215	2.57425180993235	2.696495	24.9003	12122	fold	ManzF3Heat_REP1.mLb.clN
1.0017	1.3833225	1.826045	2.89697756970797	3.0166725	348.838	12122	-log10(qvalue)	ManzF3Heat_REP1.mLb.clN
2.64755	3.1728575	3.71292	4.87093776604521	5.100145	353.81	12122	-log10(pvalue)	ManzF3Heat_REP1.mLb.clN
113	197	327	424.945388549744	545	3710	12122	length	ManzF3Heat_REP1.mLb.clN
1.49564	1.848175	1.93181	2.04888461111944	2.082825	22.3124	20019	fold	ManzF3Ctrl_REP1.mLb.clN
1.00336	1.346795	1.63795	2.75639183625556	2.29612	566.079	20019	-log10(qvalue)	ManzF3Ctrl_REP1.mLb.clN
2.45642	2.94345	3.31622	4.51199676107698	4.11283	570.777	20019	-log10(pvalue)	ManzF3Ctrl_REP1.mLb.clN
104	211	375	511.62905240022	661	3803	20019	length	ManzF3Ctrl_REP1.mLb.clN
1.43902	2.31562	2.4434	2.61545517141322	2.71669	25.6147	9305	fold	ManzF3Heat_REP3.mLb.clN
1.00975	1.41397	1.79395	2.88086492853305	2.81207	368.222	9305	-log10(qvalue)	ManzF3Heat_REP3.mLb.clN
2.85529	3.41641	3.89327	5.0599261192907	5.09778	373.164	9305	-log10(pvalue)	ManzF3Heat_REP3.mLb.clN
106	174	281	358.625470177324	452	3646	9305	length	ManzF3Heat_REP3.mLb.clN
1.48366	2.2474925	2.372225	2.5357898108624	2.6263125	23.4681	11526	fold	ManzF3Heat_REP2.mLb.clN
1.00406	1.2867825	1.64663	2.54838377147319	2.540265	327.042	11526	-log10(qvalue)	ManzF3Heat_REP2.mLb.clN
2.71634	3.1507625	3.612155	4.59343089189658	4.6923225	332.027	11526	-log10(pvalue)	ManzF3Heat_REP2.mLb.clN
114	189	309	397.13933715079	506.75	3778	11526	length	ManzF3Heat_REP2.mLb.clN
1.49735	2.35224	2.52392	2.72894356012531	2.89735	25.451	12449	fold	AkaaF3Heat_REP2.mLb.clN
1.00429	1.47545	1.98656	3.08197299702787	3.36651	317.292	12449	-log10(qvalue)	AkaaF3Heat_REP2.mLb.clN
2.64223	3.25697	3.87075	5.04938200096393	5.44236	322.501	12449	-log10(pvalue)	AkaaF3Heat_REP2.mLb.clN
108	189	314	406.800867539561	521	3726	12449	length	AkaaF3Heat_REP2.mLb.clN
1.27127	1.559645	1.64673	1.82469086426443	1.95154	18.132	18455	fold	ManzF6HSan_REP1.mLb.clN
1.00433	1.49978	2.1233	5.21774265998374	5.77456	603.566	18455	-log10(qvalue)	ManzF6HSan_REP1.mLb.clN
2.2397	2.820215	3.51132	6.71250145272284	7.369135	607.913	18455	-log10(pvalue)	ManzF6HSan_REP1.mLb.clN
123	272	503	698.810078569493	954	4432	18455	length	ManzF6HSan_REP1.mLb.clN
1.37056	1.69549	1.85415	2.06111420542774	2.29501	16.6182	14039	fold	AkaaF6HSan_REP1.mLb.clN
1.00648	1.526755	2.6807	5.50084516845929	7.100545	503.319	14039	-log10(qvalue)	AkaaF6HSan_REP1.mLb.clN
2.3089	2.91157	4.16676	7.08403521903269	8.820095	508.031	14039	-log10(pvalue)	AkaaF6HSan_REP1.mLb.clN
142	301	542	699.631455231854	939	4853	14039	length	AkaaF6HSan_REP1.mLb.clN
1.20739	1.6155475	1.726705	1.92173829374412	2.1081	18.0495	17008	fold	AkaaF6Ctrl_REP2.mLb.clN
1.01129	1.4597325	2.25628	5.21092788981656	6.3483925	564.172	17008	-log10(qvalue)	AkaaF6Ctrl_REP2.mLb.clN
2.28122	2.8085925	3.688095	6.74496512817498	7.9973525	568.783	17008	-log10(pvalue)	AkaaF6Ctrl_REP2.mLb.clN
125	270	494	666.588134995296	897	4998	17008	length	AkaaF6Ctrl_REP2.mLb.clN
1.3876	1.823745	1.91198	2.03901489472503	2.067015	23.0152	22275	fold	ManzF3Ctrl_REP3.mLb.clN
1.01143	1.40667	1.72859	3.01541218406285	2.52335	448.897	22275	-log10(qvalue)	ManzF3Ctrl_REP3.mLb.clN
2.39669	2.925935	3.32784	4.69359167138047	4.26419	453.491	22275	-log10(pvalue)	ManzF3Ctrl_REP3.mLb.clN
100	209	376	521.477845117845	684	3977	22275	length	ManzF3Ctrl_REP3.mLb.clN
1.27337	1.5136375	1.593895	1.75244407502087	1.864285	18.1017	19168	fold	ManzF6Ctrl_REP2.mLb.clN
1.0139	1.54358	2.156665	5.2835190447621	5.719455	723.474	19168	-log10(qvalue)	ManzF6Ctrl_REP2.mLb.clN
2.22582	2.8392825	3.519715	6.75015500521703	7.28374	727.897	19168	-log10(pvalue)	ManzF6Ctrl_REP2.mLb.clN
123	273	514	716.052170283806	983	4826	19168	length	ManzF6Ctrl_REP2.mLb.clN
1.36812	1.58774	1.69035	1.86241521971029	2.023725	17.2576	16499	fold	AkaaF6HSan_REP3.mLb.clN
1.00357	1.48217	2.24479	5.09319020243651	6.14111	621.802	16499	-log10(qvalue)	AkaaF6HSan_REP3.mLb.clN
2.25795	2.82152	3.66352	6.61590656706467	7.78341	626.279	16499	-log10(pvalue)	AkaaF6HSan_REP3.mLb.clN
133	287	536	715.37771986181	977	4444	16499	length	AkaaF6HSan_REP3.mLb.clN
1.4488	1.92923	2.07212	2.29131136607308	2.46212	23.585	16229	fold	AkaaF3Ctrl_REP1.mLb.clN
1.00207	1.49311	2.15548	4.29008170558876	4.71123	551.605	16229	-log10(qvalue)	AkaaF3Ctrl_REP1.mLb.clN
2.45171	3.05047	3.80515	6.03326707375686	6.5718	556.575	16229	-log10(pvalue)	AkaaF3Ctrl_REP1.mLb.clN
106	205	360	481.950212582414	628	3852	16229	length	AkaaF3Ctrl_REP1.mLb.clN
